term,relative_frequency
schlussstrich,7.87959971633441e-05
thema,0.0001575919943266882
ging,0.000787959971633441
gleich,0.00023638799149003231
lautstark,7.87959971633441e-05
leid,0.00023638799149003231
klagte,7.87959971633441e-05
kam,0.0008667559687967852
zielstrebig,7.87959971633441e-05
lieblingsthema,7.87959971633441e-05
problemen,7.87959971633441e-05
immer,0.002363879914900323
mehr,0.0012607359546135057
entglitten,7.87959971633441e-05
hingegen,0.0001575919943266882
warfen,7.87959971633441e-05
professoren,0.001575919943266882
einheitlich,7.87959971633441e-05
durchweg,7.87959971633441e-05
glänzende,7.87959971633441e-05
leistungen,0.0001575919943266882
zeigten,7.87959971633441e-05
erstaunlich,0.0001575919943266882
sogar,0.0011031439602868175
bedachte,0.0001575919943266882
grotten,7.87959971633441e-05
schlecht,0.0003151839886533764
wiesel,7.87959971633441e-05
bisher,7.87959971633441e-05
positive,7.87959971633441e-05
lernentwicklung,7.87959971633441e-05
dramatisch,7.87959971633441e-05
salbungsvoll,7.87959971633441e-05
dabei,0.0008667559687967852
warf,0.0006303679773067528
brille,0.00023638799149003231
gestrengen,7.87959971633441e-05
blick,0.0009455519659601293
glas,0.0001575919943266882
krampfhaft,7.87959971633441e-05
umfasst,7.87959971633441e-05
hielt,0.0003939799858167205
schwabbeligen,7.87959971633441e-05
doppelkinn,7.87959971633441e-05
zustimmend,7.87959971633441e-05
ja,0.0012607359546135057
junge,0.00023638799149003231
hervorragend,7.87959971633441e-05
reagiert,7.87959971633441e-05
wagte,7.87959971633441e-05
vektor,7.87959971633441e-05
naja,0.0001575919943266882
ministerium,0.00023638799149003231
genau,0.00047277598298006463
zeigte,0.0003939799858167205
sprout,0.001575919943266882
spur,7.87959971633441e-05
ironie,7.87959971633441e-05
leider,0.00023638799149003231
mitglieder,0.0001575919943266882
kollegiums,7.87959971633441e-05
kümmert,7.87959971633441e-05
guter,0.0001575919943266882
freund,0.0001575919943266882
hubertus,7.87959971633441e-05
legt,7.87959971633441e-05
größten,7.87959971633441e-05
wert,0.00023638799149003231
sicherheit,7.87959971633441e-05
kinder,0.0001575919943266882
denke,0.0003939799858167205
richtigkeit,7.87959971633441e-05
legte,0.00023638799149003231
wichtigtuerisch,7.87959971633441e-05
los,0.0001575919943266882
aufgeblasene,7.87959971633441e-05
dummheit,7.87959971633441e-05
kontakten,7.87959971633441e-05
anzugeben,7.87959971633441e-05
gewillt,0.0001575919943266882
brechen,7.87959971633441e-05
anscheinend,0.0003939799858167205
verbiestert,7.87959971633441e-05
dicken,7.87959971633441e-05
mann,0.0005515719801434088
niederstarrte,7.87959971633441e-05
ersten,0.0003939799858167205
mal,0.0011031439602868175
rest,0.0001575919943266882
nichtigen,7.87959971633441e-05
begegnung,7.87959971633441e-05
versank,7.87959971633441e-05
untiefen,7.87959971633441e-05
bewusstseins,7.87959971633441e-05
kurz,0.0008667559687967852
wachkoma,7.87959971633441e-05
stand,0.0011031439602868175
schien,0.0007091639744700969
endlose,7.87959971633441e-05
stunden,0.0005515719801434088
später,0.0003151839886533764
endlich,0.0005515719801434088
bett,7.87959971633441e-05
fallen,0.0001575919943266882
konnte,0.0012607359546135057
nächsten,0.0003939799858167205
abend,0.0003939799858167205
vorhergehenden,7.87959971633441e-05
nervenzehrenden,7.87959971633441e-05
gezeter,7.87959971633441e-05
hauslehrern,0.0001575919943266882
tat,0.0003939799858167205
schon,0.0020486959262469464
erste,0.00023638799149003231
professorentreffen,7.87959971633441e-05
harrte,7.87959971633441e-05
hogwarts,0.0009455519659601293
schreibtisch,0.00023638799149003231
sitzend,7.87959971633441e-05
überlegte,7.87959971633441e-05
deatheater,7.87959971633441e-05
zukünftigen,7.87959971633441e-05
lehrer,0.0017335119375935704
erwählen,7.87959971633441e-05
hallten,7.87959971633441e-05
aufbrausenden,7.87959971633441e-05
rufe,7.87959971633441e-05
ehemaligen,0.0003151839886533764
kollegen,0.000787959971633441
untergebenen,7.87959971633441e-05
ohren,0.00023638799149003231
wider,7.87959971633441e-05
reihenfolge,7.87959971633441e-05
durcheinander,0.0001575919943266882
weitsichtige,7.87959971633441e-05
rede,7.87959971633441e-05
schluss,0.00023638799149003231
abruptes,7.87959971633441e-05
betroffenes,7.87959971633441e-05
schweigen,0.0001575919943266882
gesorgt,7.87959971633441e-05
missbilligung,7.87959971633441e-05
abgrundtiefe,7.87959971633441e-05
verachtung,7.87959971633441e-05
anwesenden,7.87959971633441e-05
getroffen,0.0001575919943266882
offen,0.0001575919943266882
gezeigter,7.87959971633441e-05
hass,0.0001575919943266882
ungefiltert,7.87959971633441e-05
entgegen,0.00023638799149003231
geschlagen,0.00023638799149003231
wahrlich,7.87959971633441e-05
verdient,7.87959971633441e-05
jahren,0.0001575919943266882
hausvorstand,0.0001575919943266882
befehle,7.87959971633441e-05
gab,0.0003939799858167205
vielleicht,0.00047277598298006463
nachvollziehen,7.87959971633441e-05
gespräch,0.0006303679773067528
protestruf,7.87959971633441e-05
besonderen,7.87959971633441e-05
art,7.87959971633441e-05
eingesetzt,7.87959971633441e-05
ablöste,7.87959971633441e-05
unzufrieden,7.87959971633441e-05
versuchte,0.0005515719801434088
gekonnt,0.00023638799149003231
ignorieren,7.87959971633441e-05
bisweilen,7.87959971633441e-05
existenz,7.87959971633441e-05
anwesenheit,0.0001575919943266882
alten,0.00023638799149003231
biester,7.87959971633441e-05
resistent,7.87959971633441e-05
gegangen,0.00023638799149003231
verging,7.87959971633441e-05
zeit,0.0006303679773067528
zog,0.0001575919943266882
fast,7.87959971633441e-05
folterkeller,7.87959971633441e-05
wobei,0.0001575919943266882
sowohl,0.0001575919943266882
ab,0.0009455519659601293
ewiglich,7.87959971633441e-05
schlafende,7.87959971633441e-05
portrait,0.0001575919943266882
angekeift,7.87959971633441e-05
möge,7.87959971633441e-05
schlechter,7.87959971633441e-05
seite,0.0005515719801434088
einfach,0.0005515719801434088
wenig,0.00047277598298006463
getan,0.0001575919943266882
schlicht,7.87959971633441e-05
hausschüler,7.87959971633441e-05
miene,7.87959971633441e-05
widerwillige,7.87959971633441e-05
unterwerfung,7.87959971633441e-05
neigte,0.0003151839886533764
leicht,0.00023638799149003231
haupt,0.0001575919943266882
schnöden,7.87959971633441e-05
sieg,7.87959971633441e-05
bedeutet,7.87959971633441e-05
neuen,0.00023638799149003231
vorstellen,0.0001575919943266882
möchte,0.0001575919943266882
professorin,0.0001575919943266882
muggelkunde,7.87959971633441e-05
professor,0.008982743676621227
verteidigung,0.0005515719801434088
dunklen,0.0007091639744700969
künste,0.0003939799858167205
verkündete,7.87959971633441e-05
reichlich,7.87959971633441e-05
beginn,7.87959971633441e-05
herrschaft,7.87959971633441e-05
außer,0.0003939799858167205
frage,0.00023638799149003231
herausforderung,7.87959971633441e-05
anzugehen,7.87959971633441e-05
schritt,0.0001575919943266882
bedeutungsvoll,7.87959971633441e-05
langsam,0.0003939799858167205
platz,0.0006303679773067528
würgte,7.87959971633441e-05
schlussendlich,7.87959971633441e-05
erster,0.0001575919943266882
hervor,0.0003939799858167205
huldvoll,7.87959971633441e-05
dickes,7.87959971633441e-05
blässlich,7.87959971633441e-05
nase,0.0003939799858167205
entlasse,7.87959971633441e-05
kollegium,0.0001575919943266882
heute,0.0005515719801434088
wünsche,7.87959971633441e-05
großen,0.0006303679773067528
halle,0.0006303679773067528
wiederzusehen,7.87959971633441e-05
hauslehrer,0.0013395319517768497
sollten,0.00023638799149003231
zurückbleiben,7.87959971633441e-05
wünschen,0.0001575919943266882
tragen,7.87959971633441e-05
große,0.00023638799149003231
verantwortung,7.87959971633441e-05
sorgen,0.0001575919943266882
dafür,0.0003151839886533764
schüler,0.0014183279489401938
benehmen,7.87959971633441e-05
nennenswerten,7.87959971633441e-05
zwischenfällen,7.87959971633441e-05
kommen,0.00047277598298006463
woraufhin,0.0001575919943266882
betretenes,7.87959971633441e-05
zimmer,7.87959971633441e-05
erfüllte,7.87959971633441e-05
stuhl,0.0003939799858167205
quietschend,7.87959971633441e-05
