term,relative_frequency
höchstwahrscheinlich,3.989626969878316e-05
stimmt,0.00019948134849391582
sogar,0.0004388589666866148
beiden,0.0005585477757829643
erzählt,0.0003590664272890485
deutet,3.989626969878316e-05
darauf,0.0005984440454817474
beschrieben,3.989626969878316e-05
geschwärmt,3.989626969878316e-05
gerne,0.0004388589666866148
slugclub,3.989626969878316e-05
mal,0.001436265709156194
ehrlich,0.00019948134849391582
wer,0.00039896269698783165
normal,0.00011968880909634949
schüler,0.0013564731697586275
abgelehnt,7.979253939756632e-05
verschnupft,3.989626969878316e-05
kundgetan,3.989626969878316e-05
gratulierte,3.989626969878316e-05
tatsächlich,0.00011968880909634949
fächer,3.989626969878316e-05
belegen,0.00015958507879513265
konnte,0.0012766806303610612
utz,3.989626969878316e-05
prüfungen,3.989626969878316e-05
aurorenausbildung,3.989626969878316e-05
brauchen,7.979253939756632e-05
dank,0.00019948134849391582
zaubertränke,0.002194294833433074
e,7.979253939756632e-05
erwartet,0.00015958507879513265
wurde,0.0012766806303610612
o,7.979253939756632e-05
hieß,7.979253939756632e-05
begeistert,0.00011968880909634949
willkommen,7.979253939756632e-05
bemerkte,0.00019948134849391582
leidenden,3.989626969878316e-05
blick,0.0012367843606622781
zuwarf,3.989626969878316e-05
sah,0.0017155395970476761
ja,0.0017953321364452424
stimmte,0.00015958507879513265
kaum,0.00027927388789148215
sichtbaren,3.989626969878316e-05
angedeuteten,3.989626969878316e-05
nicken,7.979253939756632e-05
wünschte,0.00011968880909634949
gerade,0.0005984440454817474
herbei,7.979253939756632e-05
daran,0.0006782365848793137
ändern,3.989626969878316e-05
erzählte,0.00019948134849391582
aufgeregt,0.00011968880909634949
vier,0.00011968880909634949
vorbereitet,3.989626969878316e-05
hätte,0.000997406742469579
wäre,0.000997406742469579
fragte,0.0006782365848793137
sagen,0.00015958507879513265
handelte,7.979253939756632e-05
phiolen,3.989626969878316e-05
herumspielte,3.989626969878316e-05
erbarmte,3.989626969878316e-05
hob,0.00023937761819269897
hand,0.0006383403151805306
slytherins,0.0003191701575902653
weigerten,3.989626969878316e-05
heben,3.989626969878316e-05
erlöste,3.989626969878316e-05
hibbeligen,3.989626969878316e-05
dicken,7.979253939756632e-05
mann,0.0005984440454817474
erkannte,3.989626969878316e-05
beschrieb,3.989626969878316e-05
tränke,0.0005186515060841811
veritaserum,7.979253939756632e-05
vielsafttrank,3.989626969878316e-05
vierten,7.979253939756632e-05
unterbrach,0.00011968880909634949
ausführungen,7.979253939756632e-05
unwirsch,3.989626969878316e-05
zuerst,0.00015958507879513265
verwirrt,0.00011968880909634949
verstand,0.00011968880909634949
trank,0.0005984440454817474
fand,0.0003191701575902653
toll,3.989626969878316e-05
natürlich,0.0005984440454817474
danke,0.00039896269698783165
übernehme,3.989626969878316e-05
denke,0.0003191701575902653
bestimmt,0.00023937761819269897
kennen,0.00011968880909634949
wohl,0.0005984440454817474
überraschten,3.989626969878316e-05
blicke,0.00039896269698783165
umgebung,3.989626969878316e-05
warf,0.00047875523638539794
taxierende,3.989626969878316e-05
gefiel,3.989626969878316e-05
platz,0.0003191701575902653
eingenommen,3.989626969878316e-05
abend,0.0005585477757829643
beenden,0.00015958507879513265
entschwand,3.989626969878316e-05
genauso,0.00019948134849391582
arrogant,3.989626969878316e-05
schnell,0.0006383403151805306
geplagt,3.989626969878316e-05
erfreut,0.00019948134849391582
leid,3.989626969878316e-05
eilte,0.00011968880909634949
kerker,0.00019948134849391582
ließ,0.0007979253939756633
schlechte,0.00011968880909634949
party,0.00047875523638539794
ging,0.0012367843606622781
special,3.989626969878316e-05
anschließt,3.989626969878316e-05
http,3.989626969878316e-05
s,0.00015958507879513265
dreamer,3.989626969878316e-05
vielen,0.00019948134849391582
kapitel,0.00011968880909634949
problem,0.00011968880909634949
kurz,0.0003590664272890485
abendessen,0.00027927388789148215
orange,3.989626969878316e-05
schickte,7.979253939756632e-05
eule,0.00011968880909634949
mitzuteilen,3.989626969878316e-05
heute,0.0004388589666866148
kommen,0.0007580291242768801
wegen,0.0003590664272890485
besprechen,7.979253939756632e-05
hätten,0.00027927388789148215
wichtig,3.989626969878316e-05
bezug,3.989626969878316e-05
entschuldigte,3.989626969878316e-05
schon,0.0024735687213245563
morgen,0.00019948134849391582
abendlichen,3.989626969878316e-05
training,3.989626969878316e-05
teilnehmen,0.00011968880909634949
termin,3.989626969878316e-05
außerhalb,3.989626969878316e-05
hogwarts,0.0008378216636744464
gelogen,3.989626969878316e-05
verbrachte,7.979253939756632e-05
ziemlich,0.00047875523638539794
