term,relative_frequency
richard,6.45244547683572e-05
nahmen,0.0002580978190734288
carlisle,6.45244547683572e-05
zauberwelt,6.45244547683572e-05
bisschen,0.0001290489095367144
kennen,0.0001290489095367144
lernt,6.45244547683572e-05
beschlossen,6.45244547683572e-05
großes,0.0001290489095367144
fass,6.45244547683572e-05
butterbier,6.45244547683572e-05
frischer,6.45244547683572e-05
met,6.45244547683572e-05
elfenwein,6.45244547683572e-05
hoch,0.0001290489095367144
minder,6.45244547683572e-05
hochprozentiges,6.45244547683572e-05
kids,6.45244547683572e-05
besorgen,0.0001290489095367144
mädels,6.45244547683572e-05
kümmerten,6.45244547683572e-05
nebenbei,6.45244547683572e-05
beiden,0.0010969157310620726
babys,6.45244547683572e-05
erst,0.00045167118337850043
heiraten,0.0001290489095367144
hogwarts,0.0005161956381468576
fertig,0.00019357336430507162
oxford,6.45244547683572e-05
camebrigth,6.45244547683572e-05
studieren,0.0001290489095367144
möchte,0.0001290489095367144
gebildete,6.45244547683572e-05
frau,0.0002580978190734288
nein,0.00032262227384178605
lach,6.45244547683572e-05
weiß,0.00045167118337850043
magische,0.00019357336430507162
rechtswissenschaften,6.45244547683572e-05
kleine,0.0005161956381468576
unterstützen,6.45244547683572e-05
liebe,6.45244547683572e-05
ganzen,0.00019357336430507162
herzen,6.45244547683572e-05
nickte,0.00032262227384178605
nennst,6.45244547683572e-05
kommst,6.45244547683572e-05
ärgerten,6.45244547683572e-05
derweil,6.45244547683572e-05
plötzlich,0.00045167118337850043
grosse,6.45244547683572e-05
gruppe,0.00019357336430507162
menschen,0.0001290489095367144
muggelschule,6.45244547683572e-05
gehen,0.0006452445476835721
schreiben,6.45244547683572e-05
lernen,6.45244547683572e-05
roxanne,0.0008388179119886437
begann,0.00019357336430507162
aufzuzählen,6.45244547683572e-05
sagen,0.00038714672861014324
wäre,0.0005807200929152149
wahrscheinlich,0.00019357336430507162
ziemlich,0.00019357336430507162
aufgeschmissen,6.45244547683572e-05
immerhin,0.00032262227384178605
ahnung,6.45244547683572e-05
wer,0.00032262227384178605
geschweige,6.45244547683572e-05
saßen,0.0006452445476835721
tuschelten,6.45244547683572e-05
miteinander,6.45244547683572e-05
saß,0.0005807200929152149
zusammen,0.0009678668215253581
darüber,0.00045167118337850043
sprach,0.0001290489095367144
ferien,0.0002580978190734288
vorhatten,6.45244547683572e-05
kicherte,0.00019357336430507162
sagte,0.001871209188282359
familie,0.0007097690024519292
konnte,0.0017421602787456446
sehen,0.00038714672861014324
erahnen,6.45244547683572e-05
waggon,6.45244547683572e-05
eingestiegen,6.45244547683572e-05
bereits,0.00038714672861014324
abteil,0.00019357336430507162
folgten,0.0001290489095367144
beide,0.0005161956381468576
liefen,6.45244547683572e-05
schweigend,0.0001290489095367144
nebeneinander,6.45244547683572e-05
weasleys,0.0002580978190734288
vorne,0.00019357336430507162
gespräch,0.0002580978190734288
verfielen,6.45244547683572e-05
ging,0.0007097690024519292
kaum,0.00019357336430507162
hause,0.0001290489095367144
wurde,0.0010969157310620726
geschwistern,0.0001290489095367144
begrüßt,0.0001290489095367144
tag,0.00045167118337850043
verbracht,6.45244547683572e-05
hob,0.00019357336430507162
augenbraue,0.0001290489095367144
leicht,6.45244547683572e-05
rea,6.45244547683572e-05
neben,0.0007742934572202865
stand,0.0007742934572202865
arme,0.00038714672861014324
verschränkte,6.45244547683572e-05
fassungslos,0.0001290489095367144
ansah,6.45244547683572e-05
grips,6.45244547683572e-05
mutter,0.0005161956381468576
machte,0.0005807200929152149
angst,0.0002580978190734288
clever,6.45244547683572e-05
rating,6.45244547683572e-05
slash,6.45244547683572e-05
charaktere,0.0001290489095367144
weasley,0.0007742934572202865
regelus,6.45244547683572e-05
black,6.45244547683572e-05
newt,0.0001290489095367144
scamander,0.00032262227384178605
rolf,0.0002580978190734288
dumbledorepairings,6.45244547683572e-05
porpentina,6.45244547683572e-05
lesen,0.0002580978190734288
lieber,0.0002580978190734288
geschichte,0.00019357336430507162
komplett,6.45244547683572e-05
ooc,6.45244547683572e-05
verhalten,0.00019357336430507162
dabei,0.0007097690024519292
vergrößert,6.45244547683572e-05
gerade,0.0009033423667570009
magisch,0.0001290489095367144
ohnehin,6.45244547683572e-05
schon,0.001871209188282359
großen,0.0005807200929152149
esszimmertisch,6.45244547683572e-05
astoria,0.00019357336430507162
mitgebrachten,6.45244547683572e-05
köstlichkeiten,6.45244547683572e-05
auftischt,6.45244547683572e-05
scorp,6.45244547683572e-05
leute,0.0002580978190734288
empfängt,6.45244547683572e-05
eigenen,0.00019357336430507162
familien,0.0001290489095367144
gegründet,6.45244547683572e-05
glück,6.45244547683572e-05
skorpius,6.45244547683572e-05
gefunden,0.00019357336430507162
verlobt,6.45244547683572e-05
macht,0.00019357336430507162
ding,6.45244547683572e-05
stolz,0.0001290489095367144
lachen,0.0002580978190734288
verging,0.0001290489095367144
allerdings,0.0002580978190734288
dad,0.0006452445476835721
