term,relative_frequency
eschauffierte,8.005764150188136e-05
markus,0.00024017292450564405
sagte,0.0016812104715395084
nachdem,0.0004002882075094068
verlobte,8.005764150188136e-05
mund,0.00024017292450564405
gefahren,8.005764150188136e-05
beobachtete,8.005764150188136e-05
amüsiert,0.0001601152830037627
schlagabtausch,8.005764150188136e-05
schließlich,0.0006404611320150508
echt,0.00024017292450564405
gewöhnt,8.005764150188136e-05
gerade,0.0012008646225282202
macho,8.005764150188136e-05
machte,0.0003202305660075254
wurde,0.0004803458490112881
kuschenden,8.005764150188136e-05
schmußebären,8.005764150188136e-05
sobald,0.0001601152830037627
schmollmund,0.0001601152830037627
zog,0.0001601152830037627
solange,0.0001601152830037627
erfolgreich,0.0001601152830037627
einredete,8.005764150188136e-05
andres,8.005764150188136e-05
bitte,0.0001601152830037627
grüßte,8.005764150188136e-05
lässig,8.005764150188136e-05
twins,8.005764150188136e-05
vorbei,0.0010407493395244577
mehr,0.0007205187735169322
geschockte,0.0001601152830037627
erschütterte,8.005764150188136e-05
wohl,0.0001601152830037627
empörte,8.005764150188136e-05
runde,0.00024017292450564405
bestehend,0.0001601152830037627
ehemaligen,0.0001601152830037627
hufflepuffs,0.0001601152830037627
ravenclaws,0.0003202305660075254
slytherins,0.0004002882075094068
wenigen,0.0001601152830037627
gryffindors,0.0009606916980225762
konnte,0.0012809222640301017
erstaunlich,8.005764150188136e-05
viele,0.0001601152830037627
mitglieder,0.00024017292450564405
bl,8.005764150188136e-05
brater,8.005764150188136e-05
lugo,8.005764150188136e-05
ausmachen,0.0001601152830037627
erkennen,0.0001601152830037627
beispiel,0.00024017292450564405
LEANNE,0.0001601152830037627
gryffindor,0.0017612681130413897
ela,8.005764150188136e-05
wilkins,8.005764150188136e-05
mel,8.005764150188136e-05
VOLDEMORT,0.0001601152830037627
VAISEY,0.0001601152830037627
slytherin,0.0004803458490112881
zwei,0.0009606916980225762
tamsin,8.005764150188136e-05
applebee,8.005764150188136e-05
hufflepuff,8.005764150188136e-05
ravenclaw,0.0001601152830037627
anwesend,0.0001601152830037627
fing,0.0009606916980225762
gezielt,0.0001601152830037627
anzuwerben,8.005764150188136e-05
schmunzelte,8.005764150188136e-05
daran,0.00024017292450564405
dachte,0.00024017292450564405
verließen,8.005764150188136e-05
gesammelt,8.005764150188136e-05
irland,8.005764150188136e-05
gehen,0.0004803458490112881
tatsache,0.0001601152830037627
gewundert,8.005764150188136e-05
endlich,8.005764150188136e-05
quidditchteam,0.00024017292450564405
kommen,0.0006404611320150508
spielte,0.0010407493395244577
aufgrund,8.005764150188136e-05
einladung,8.005764150188136e-05
ebenfalls,0.0005604034905131695
job,8.005764150188136e-05
contino,8.005764150188136e-05
industries,8.005764150188136e-05
annehmen,8.005764150188136e-05
bietest,8.005764150188136e-05
neben,0.0006404611320150508
weasleys,0.0001601152830037627
robert,0.00024017292450564405
armen,8.005764150188136e-05
hielt,0.0004803458490112881
erwartet,8.005764150188136e-05
vater,8.005764150188136e-05
dädalus,8.005764150188136e-05
jägerinnen,0.0008806340565206948
damaliger,8.005764150188136e-05
hüter,0.0005604034905131695
armee,8.005764150188136e-05
mcmillan,8.005764150188136e-05
pavati,8.005764150188136e-05
patil,8.005764150188136e-05
sogar,0.00024017292450564405
creevy,0.00024017292450564405
kleine,0.00024017292450564405
bruder,0.00024017292450564405
garten,8.005764150188136e-05
versammelt,8.005764150188136e-05
beglückwünschten,8.005764150188136e-05
drehte,8.005764150188136e-05
begrüßen,8.005764150188136e-05
löste,0.00024017292450564405
kleinen,0.0001601152830037627
gruppe,0.0001601152830037627
bestand,8.005764150188136e-05
diskussion,8.005764150188136e-05
darüber,0.00024017292450564405
mannschaft,0.00024017292450564405
besten,0.0004803458490112881
spielen,0.0008005764150188136
kam,0.0003202305660075254
danke,8.005764150188136e-05
leise,0.00024017292450564405
lächeln,0.00024017292450564405
vergessen,8.005764150188136e-05
ließ,0.0005604034905131695
atmen,8.005764150188136e-05
abgehauen,8.005764150188136e-05
tropfenden,8.005764150188136e-05
kessel,8.005764150188136e-05
getroffen,0.0004803458490112881
oh,0.0001601152830037627
ja,0.0016011528300376272
murmelte,0.0006404611320150508
annice,8.005764150188136e-05
schlafzimmer,8.005764150188136e-05
überlassen,8.005764150188136e-05
lucas,8.005764150188136e-05
schlurfte,8.005764150188136e-05
hinüber,0.0003202305660075254
küche,0.0001601152830037627
tauschten,0.0001601152830037627
blick,0.0009606916980225762
hakten,8.005764150188136e-05
beide,0.0004803458490112881
erschöpften,8.005764150188136e-05
stieß,0.0001601152830037627
ellbogen,8.005764150188136e-05
seite,0.001120806981026339
sahen,0.0001601152830037627
fixierten,8.005764150188136e-05
blut,8.005764150188136e-05
geleckt,8.005764150188136e-05
ließen,0.0001601152830037627
abspeisen,8.005764150188136e-05
bemühten,8.005764150188136e-05
redlich,8.005764150188136e-05
rot,0.0001601152830037627
sah,0.0014410375470338644
glücklicherweise,8.005764150188136e-05
ganz,0.0005604034905131695
mühe,0.0001601152830037627
unterdrückte,8.005764150188136e-05
impuls,8.005764150188136e-05
zehen,8.005764150188136e-05
steigen,8.005764150188136e-05
schoss,0.0003202305660075254
zurück,0.0009606916980225762
augen,0.001120806981026339
wanderten,8.005764150188136e-05
schon,0.0020814986790489154
davon,0.0009606916980225762
richtung,0.0004002882075094068
immer,0.0009606916980225762
stand,0.00024017292450564405
meldete,8.005764150188136e-05
sofort,0.0003202305660075254
setzte,0.0005604034905131695
möglichst,8.005764150188136e-05
normales,8.005764150188136e-05
gesicht,0.0006404611320150508
wer,0.0005604034905131695
erste,0.0003202305660075254
wahl,0.0001601152830037627
könnten,0.00024017292450564405
candy,8.005764150188136e-05
leicht,0.0001601152830037627
ooc,8.005764150188136e-05
wissen,0.0004002882075094068
wenig,0.0006404611320150508
persönlichkeiten,8.005764150188136e-05
beiden,0.0012008646225282202
freundinnen,0.0005604034905131695
spinnett,8.005764150188136e-05
zeit,0.0005604034905131695
miteinander,0.0003202305660075254
verbrachten,0.0001601152830037627
erwähnenswert,8.005764150188136e-05
ohnehin,8.005764150188136e-05
ständig,0.00024017292450564405
zusammenhingen,8.005764150188136e-05
schlafsaal,0.00024017292450564405
teilte,0.00024017292450564405
natalie,0.0001601152830037627
fairbourne,8.005764150188136e-05
jahrgang,0.0003202305660075254
dabei,0.0005604034905131695
zumindest,0.00024017292450564405
interessant,0.0004803458490112881
beugten,8.005764150188136e-05
patricia,0.00024017292450564405
mitdiskutieren,8.005764150188136e-05
alleine,0.0001601152830037627
nie,0.0004002882075094068
eingemischt,8.005764150188136e-05
hätte,0.0008806340565206948
beratschlagten,8.005764150188136e-05
natalies,8.005764150188136e-05
aufgabe,0.0001601152830037627
begann,8.005764150188136e-05
verrückte,8.005764150188136e-05
kichern,0.0001601152830037627
nahm,0.0006404611320150508
gleichen,8.005764150188136e-05
ausdruck,8.005764150188136e-05
eben,0.0001601152830037627
beansprucht,8.005764150188136e-05
genug,0.0001601152830037627
luft,8.005764150188136e-05
bekam,0.0003202305660075254
antworten,8.005764150188136e-05
übernahm,0.0001601152830037627
erklärung,8.005764150188136e-05
letzten,0.0003202305660075254
balkon,0.0001601152830037627
standen,0.0004002882075094068
grinsend,0.0001601152830037627
bewegung,8.005764150188136e-05
verfolgten,8.005764150188136e-05
seufzte,0.00024017292450564405
ging,0.0003202305660075254
knie,8.005764150188136e-05
trotzdem,0.0001601152830037627
begannen,0.00024017292450564405
lauthals,0.0001601152830037627
lachen,0.00024017292450564405
ausgesprochen,8.005764150188136e-05
aufmerksamkeit,0.0001601152830037627
lenkte,0.0001601152830037627
überlegt,0.0001601152830037627
gab,0.0005604034905131695
protokoll,8.005764150188136e-05
mädchen,0.0009606916980225762
bestürmten,8.005764150188136e-05
gesagt,0.0003202305660075254
obwohl,8.005764150188136e-05
kicherten,0.00024017292450564405
ganzen,0.0001601152830037627
stachel,8.005764150188136e-05
genommen,0.0001601152830037627
tisch,0.0003202305660075254
platz,0.0003202305660075254
puffte,8.005764150188136e-05
auffordernd,8.005764150188136e-05
fremdwort,8.005764150188136e-05
gegensatz,0.0001601152830037627
mannschaften,8.005764150188136e-05
schaffte,0.0001601152830037627
deswegen,8.005764150188136e-05
vermutlich,0.00024017292450564405
gar,0.0004803458490112881
erst,0.0005604034905131695
eins,8.005764150188136e-05
funkelten,8.005764150188136e-05
johnson,0.0012809222640301017
wütend,0.0001601152830037627
kannte,0.0004002882075094068
namen,0.0003202305660075254
verkündete,8.005764150188136e-05
oft,0.0001601152830037627
feld,0.0010407493395244577
gehört,0.0001601152830037627
zieht,8.005764150188136e-05
ab,0.0009606916980225762
eigentlich,0.0003202305660075254
bleiben,0.00024017292450564405
mittlerweile,0.00024017292450564405
saß,0.0006404611320150508
weibliche,8.005764150188136e-05
teil,0.0003202305660075254
quidditchteams,8.005764150188136e-05
angela,0.0001601152830037627
sowie,0.0001601152830037627
zimmer,0.00024017292450564405
siebtklässlerinnen,8.005764150188136e-05
anm,8.005764150188136e-05
irgendwann,8.005764150188136e-05
stoßen,8.005764150188136e-05
flasche,0.0001601152830037627
butterbier,0.00024017292450564405
reicht,8.005764150188136e-05
sehe,0.0001601152830037627
zögernd,8.005764150188136e-05
gerunzelter,8.005764150188136e-05
stirn,0.0001601152830037627
schreit,8.005764150188136e-05
ne,0.00024017292450564405
spaßnachricht,0.0003202305660075254
professor,0.0004002882075094068
montaque,0.0004002882075094068
stehen,0.0004803458490112881
lassen,0.0008806340565206948
autsch,0.0003202305660075254
klatscher,0.0020014410375470337
abgekriegt,0.0003202305660075254
fängt,0.0010407493395244577
quaffel,0.0032823633015771356
fliegt,0.0006404611320150508
übers,0.0004002882075094068
hübscher,0.0004803458490112881
kopf,0.0012008646225282202
lässt,0.0009606916980225762
fallen,0.0008005764150188136
gibt,0.0004803458490112881
rückpass,0.0003202305660075254
saust,0.0003202305660075254
weicht,0.0004803458490112881
knapp,0.0004002882075094068
leute,0.0007205187735169322
lieben,0.0003202305660075254
hören,0.0006404611320150508
einfach,0.0008005764150188136
mal,0.001120806981026339
singen,0.0005604034905131695
mach,0.0003202305660075254
packst,0.0001601152830037627
ach,0.0004002882075094068
s,0.0004002882075094068
fall,0.00024017292450564405
ball,0.0008005764150188136
ähm,0.0001601152830037627
hoch,0.0004002882075094068
los,0.0004803458490112881
lasst,0.00024017292450564405
auflaufen,0.0001601152830037627
genauso,8.005764150188136e-05
ringe,0.0001601152830037627
unbeschreibliche,8.005764150188136e-05
bisher,8.005764150188136e-05
spiel,0.0004803458490112881
absolute,8.005764150188136e-05
glanzleistung,8.005764150188136e-05
vollbracht,8.005764150188136e-05
dahinter,8.005764150188136e-05
