term,relative_frequency
warum,0.0005482456140350877
traf,0.0003132832080200501
gasse,7.832080200501253e-05
wahhh,7.832080200501253e-05
riss,0.00015664160401002505
schriller,7.832080200501253e-05
durchdringender,7.832080200501253e-05
schrei,0.00015664160401002505
los,0.0003132832080200501
murrte,7.832080200501253e-05
eilten,0.00015664160401002505
gehenden,7.832080200501253e-05
mädchen,0.0008615288220551378
schon,0.001331453634085213
kniete,0.00015664160401002505
neben,0.0006265664160401002
nieder,7.832080200501253e-05
ohnmächtig,7.832080200501253e-05
dalag,7.832080200501253e-05
trat,0.00015664160401002505
sofort,0.00046992481203007516
gegenstand,0.0003132832080200501
boden,0.0005482456140350877
lag,7.832080200501253e-05
betrachtete,7.832080200501253e-05
skeptisch,7.832080200501253e-05
moment,0.00039160401002506263
zurück,0.001174812030075188
raum,0.0007048872180451127
rauschte,7.832080200501253e-05
stürmte,7.832080200501253e-05
erhob,7.832080200501253e-05
verließ,0.00015664160401002505
relativ,0.00015664160401002505
unbemerkt,7.832080200501253e-05
wurde,0.0012531328320802004
berichtet,7.832080200501253e-05
päckchen,0.00015664160401002505
unbeschriftet,7.832080200501253e-05
miss,0.00039160401002506263
verlauten,7.832080200501253e-05
ließ,0.00046992481203007516
geschenk,7.832080200501253e-05
sei,0.0003132832080200501
grüßte,7.832080200501253e-05
erst,0.0005482456140350877
nicken,7.832080200501253e-05
bevor,0.0005482456140350877
bedeutungsvoll,7.832080200501253e-05
ansah,0.00015664160401002505
deutlich,7.832080200501253e-05
tisch,0.0008615288220551378
beugte,7.832080200501253e-05
leise,0.00046992481203007516
eindringlich,7.832080200501253e-05
sagte,0.0025845864661654134
gestern,7.832080200501253e-05
wobei,0.00039160401002506263
interessiert,0.00015664160401002505
sehen,0.0006265664160401002
entwickelt,7.832080200501253e-05
sahen,0.0003132832080200501
verständig,7.832080200501253e-05
drei,0.0009398496240601503
dank,0.00023496240601503758
liste,0.00023496240601503758
halloween,7.832080200501253e-05
wussten,0.00023496240601503758
wer,7.832080200501253e-05
ominöse,7.832080200501253e-05
freund,0.00015664160401002505
hi,7.832080200501253e-05
änderte,7.832080200501253e-05
jeweiligen,7.832080200501253e-05
bedürfnisse,7.832080200501253e-05
fünferteams,7.832080200501253e-05
recht,0.00039160401002506263
