term,relative_frequency
fragte,0.0009011908593498551
recht,0.00045059542967492756
irritiert,6.43707756678468e-05
alte,6.43707756678468e-05
dame,6.43707756678468e-05
unwohl,0.0001287415513356936
kopf,0.0008368200836820083
mal,0.0014161570646926296
werwolf,0.000321853878339234
erwachsener,6.43707756678468e-05
mann,0.000321853878339234
ehemaliger,0.0001287415513356936
professor,0.0005793369810106212
draußen,0.000321853878339234
helfen,0.0001931123270035404
wusste,0.00045059542967492756
weasleys,0.0008368200836820083
caroline,6.43707756678468e-05
großeltern,6.43707756678468e-05
kamen,0.0008368200836820083
wurden,0.000321853878339234
natürlich,0.0005149662053427744
zwillinge,0.0001931123270035404
begrüßt,0.0001287415513356936
mutter,0.000321853878339234
wurde,0.0013517862890247828
fing,0.0001931123270035404
vielen,0.0001287415513356936
lieben,6.43707756678468e-05
dank,0.0001287415513356936
gekommen,0.0003862246540070808
seit,0.000321853878339234
möchte,0.0001287415513356936
erfahren,0.0002574831026713872
zauberwelt,6.43707756678468e-05
zuträgt,6.43707756678468e-05
saß,0.0005149662053427744
begann,0.0007724493080141616
rattern,6.43707756678468e-05
hätte,0.0007080785323463148
sorgerecht,0.0001287415513356936
verloren,0.0001931123270035404
wolf,0.0001287415513356936
lachte,6.43707756678468e-05
sagte,0.002961055680720953
nein,0.0001931123270035404
allerdings,0.00045059542967492756
auflagen,6.43707756678468e-05
gehabt,0.0005793369810106212
zeit,0.000643707756678468
verwandlung,0.0001287415513356936
freunden,0.0001287415513356936
auflage,6.43707756678468e-05
damals,0.000321853878339234
kinder,0.0001287415513356936
wütend,0.0001287415513356936
dafür,0.0001931123270035404
verantwortlich,6.43707756678468e-05
weißt,0.0001287415513356936
sendungen,6.43707756678468e-05
berichtet,6.43707756678468e-05
poster,6.43707756678468e-05
dunkel,6.43707756678468e-05
gekleideten,6.43707756678468e-05
menschen,0.0002574831026713872
wänden,6.43707756678468e-05
erkannte,0.00045059542967492756
reichlich,6.43707756678468e-05
bilder,0.0001287415513356936
vater,0.000321853878339234
cats,6.43707756678468e-05
eltern,0.0002574831026713872
sah,0.0017380109430318634
sogar,0.0003862246540070808
paar,0.00045059542967492756
wobei,0.0001931123270035404
bemühte,0.0001931123270035404
blick,0.0012230447376890892
schnell,0.0005793369810106212
davon,0.0005149662053427744
name,0.0001931123270035404
shacklebold,0.0002574831026713872
erblickte,6.43707756678468e-05
blickten,6.43707756678468e-05
hinterher,0.0001287415513356936
versuchte,0.0002574831026713872
darum,0.0001931123270035404
gebeten,0.0001287415513356936
wochenende,6.43707756678468e-05
außerhalb,6.43707756678468e-05
schule,0.0002574831026713872
verbringen,0.0001287415513356936
dürfen,6.43707756678468e-05
sinn,0.0001287415513356936
frühen,6.43707756678468e-05
samstagmorgen,6.43707756678468e-05
grimmauldplatz,0.0001287415513356936
flohen,6.43707756678468e-05
gemeinsam,0.000321853878339234
ministerium,0.0005793369810106212
weiterzureisen,6.43707756678468e-05
anwälte,6.43707756678468e-05
treffen,0.00045059542967492756
durchaus,6.43707756678468e-05
vorteile,6.43707756678468e-05
bord,6.43707756678468e-05
gähnte,6.43707756678468e-05
vorgehaltener,6.43707756678468e-05
weiß,0.00045059542967492756
frühstück,0.0001287415513356936
kaum,0.0002574831026713872
denken,6.43707756678468e-05
minky,6.43707756678468e-05
trotzdem,6.43707756678468e-05
kleinigkeit,6.43707756678468e-05
vorzubereiten,0.0001287415513356936
fügte,0.000321853878339234
hinzu,0.0003862246540070808
umarmte,0.0001287415513356936
wünschte,0.0001287415513356936
anwälten,0.0001287415513356936
besonders,0.0002574831026713872
ehemaligen,0.0001287415513356936
schüler,0.0001287415513356936
glück,0.0001931123270035404
traten,6.43707756678468e-05
unauffällig,0.0001287415513356936
schritte,0.000321853878339234
seite,0.0010299324106855488
stand,0.000643707756678468
allein,0.0001931123270035404
schatten,6.43707756678468e-05
statue,6.43707756678468e-05
stolzen,6.43707756678468e-05
