term,relative_frequency
hörte,0.00034862641193696836
sprachen,6.972528238739367e-05
blieb,0.00013945056477478735
kurz,0.0005578022590991494
neben,0.0013015386045646818
tür,0.0006740110630781388
stehen,0.000209175847162181
sodass,0.00013945056477478735
sehen,0.0004880769767117557
konnten,0.0002324176079579789
trotzdem,0.0002324176079579789
lauschen,2.3241760795797888e-05
leise,0.00044159345512015993
höhere,4.6483521591595777e-05
stimme,0.000418351694324362
mädel,2.3241760795797888e-05
zuvor,0.0002556593687537768
gesehen,0.0002324176079579789
gerade,0.0016269232557058523
aufgeregt,6.972528238739367e-05
sagte,0.0013712638869520755
zusammen,0.0013712638869520755
relativ,4.6483521591595777e-05
ruhig,0.0001859340863663831
halt,0.00013945056477478735
neugierig,0.00013945056477478735
wissen,0.0003718681727327662
raum,0.0005578022590991494
dank,0.00016269232557058523
späten,6.972528238739367e-05
stunde,0.00013945056477478735
leer,6.972528238739367e-05
ja,0.0016269232557058523
voll,0.00011620880397898944
heftig,6.972528238739367e-05
hätte,0.000836703388648724
nie,0.000418351694324362
gedacht,0.00013945056477478735
verträgst,2.3241760795797888e-05
trank,0.0001859340863663831
sofort,0.0004648352159159578
direkt,0.0005113187375075536
bissen,2.3241760795797888e-05
erhalten,6.972528238739367e-05
danach,0.0001859340863663831
magisch,4.6483521591595777e-05
gereinigt,2.3241760795797888e-05
hierhergebracht,2.3241760795797888e-05
madame,4.6483521591595777e-05
weitergemacht,4.6483521591595777e-05
ging,0.001045879235810905
ironisch,4.6483521591595777e-05
bereits,0.0004880769767117557
spät,9.296704318319155e-05
schlafraum,9.296704318319155e-05
stürmten,6.972528238739367e-05
aylin,2.3241760795797888e-05
beiden,0.0011620880397898944
mädchen,0.0007669781062613303
besuchte,2.3241760795797888e-05
zueilten,2.3241760795797888e-05
plumpen,2.3241760795797888e-05
art,0.00011620880397898944
sagen,0.000418351694324362
gesorgt,4.6483521591595777e-05
betrifft,2.3241760795797888e-05
kam,0.0010226374750151072
überraschend,2.3241760795797888e-05
besonders,0.0001859340863663831
bedenkt,2.3241760795797888e-05
hogwarts,0.0002789011295495747
annäherungsversuche,2.3241760795797888e-05
reagiert,2.3241760795797888e-05
hast,0.0005113187375075536
machte,0.0008134616278529261
pause,4.6483521591595777e-05
gedanken,0.0005345604983033515
schweiften,4.6483521591595777e-05
these,2.3241760795797888e-05
aufgestellt,2.3241760795797888e-05
nämlich,0.00013945056477478735
deswegen,0.0001859340863663831
verehrern,2.3241760795797888e-05
kalte,9.296704318319155e-05
schulter,0.00011620880397898944
zeigte,0.0001859340863663831
vergeben,4.6483521591595777e-05
jedoch,0.0003718681727327662
bekannt,9.296704318319155e-05
gab,0.0004880769767117557
VOLDEMORT,0.00011620880397898944
älter,2.3241760795797888e-05
mischte,4.6483521591595777e-05
sah,0.0018593408636638311
gehobener,2.3241760795797888e-05
augenbraue,9.296704318319155e-05
bevor,0.0006740110630781388
gestrigen,4.6483521591595777e-05
abend,0.0002789011295495747
unterbrochen,4.6483521591595777e-05
wisperte,4.6483521591595777e-05
erregt,2.3241760795797888e-05
nickte,0.0004648352159159578
ganz,0.0008134616278529261
blass,6.972528238739367e-05
tisch,0.0003718681727327662
beugte,0.00011620880397898944
brauchst,4.6483521591595777e-05
hilfe,9.296704318319155e-05
selbstgefälligkeit,2.3241760795797888e-05
kotzen,4.6483521591595777e-05
gehören,6.972528238739367e-05
erregte,2.3241760795797888e-05
eigentümlichen,2.3241760795797888e-05
glänzen,2.3241760795797888e-05
schrecklich,4.6483521591595777e-05
eingebildeter,2.3241760795797888e-05
blasierter,2.3241760795797888e-05
mann,0.0002556593687537768
angst,0.0001859340863663831
verbreitet,2.3241760795797888e-05
wechselten,4.6483521591595777e-05
frag,2.3241760795797888e-05
eher,0.00034862641193696836
überhaupt,0.0002556593687537768
auskommt,2.3241760795797888e-05
vergesst,4.6483521591595777e-05
beiträge,2.3241760795797888e-05
bitte,0.00032538465114117046
facebook,2.3241760795797888e-05
queenie,2.3241760795797888e-05
tnatürlich,2.3241760795797888e-05
winken,2.3241760795797888e-05
gewinne,2.3241760795797888e-05
könnt,6.972528238739367e-05
link,2.3241760795797888e-05
kapitel,0.0001859340863663831
sinn,9.296704318319155e-05
verstandnachdem,2.3241760795797888e-05
zurückgelassen,2.3241760795797888e-05
straffte,2.3241760795797888e-05
bl,4.6483521591595777e-05
stellen,0.0001859340863663831
entgegen,0.0001859340863663831
harrte,2.3241760795797888e-05
ärgerte,2.3241760795797888e-05
immer,0.001882582624459629
bande,6.972528238739367e-05
hirn,2.3241760795797888e-05
tratschen,4.6483521591595777e-05
plänen,2.3241760795797888e-05
tun,0.00030214289034537255
warum,0.0004880769767117557
merlin,0.00013945056477478735
nochmal,0.00013945056477478735
weihte,2.3241760795797888e-05
eintreffen,6.972528238739367e-05
samstag,4.6483521591595777e-05
wünsche,0.00016269232557058523
nachdem,0.000627527541486543
verschwunden,0.00013945056477478735
erschien,4.6483521591595777e-05
verkündete,0.00011620880397898944
austreten,2.3241760795797888e-05
riesengroßer,2.3241760795797888e-05
aufschrei,2.3241760795797888e-05
reihen,4.6483521591595777e-05
gezogen,9.296704318319155e-05
dafür,0.000418351694324362
kopfweh,2.3241760795797888e-05
bekommen,0.0001859340863663831
weasleys,0.00013945056477478735
robert,2.3241760795797888e-05
armen,9.296704318319155e-05
hielt,0.000418351694324362
erwartet,6.972528238739367e-05
vater,0.00013945056477478735
dädalus,2.3241760795797888e-05
ehemaligen,4.6483521591595777e-05
jägerinnen,2.3241760795797888e-05
gryffindors,0.00011620880397898944
damaliger,2.3241760795797888e-05
hüter,2.3241760795797888e-05
viele,0.00013945056477478735
mitglieder,2.3241760795797888e-05
armee,2.3241760795797888e-05
mcmillan,2.3241760795797888e-05
pavati,0.0001859340863663831
patil,0.0003718681727327662
sogar,0.0003718681727327662
creevy,4.6483521591595777e-05
kleine,0.0002789011295495747
bruder,0.0001859340863663831
garten,9.296704318319155e-05
versammelt,2.3241760795797888e-05
beglückwünschten,2.3241760795797888e-05
runde,0.0001859340863663831
drehte,0.000418351694324362
begrüßen,4.6483521591595777e-05
stattdessen,6.972528238739367e-05
schloss,0.0002324176079579789
gelben,4.6483521591595777e-05
augen,0.0011388462789940965
ließ,0.0008831869102403199
kopf,0.0007437363454655324
vorderpfoten,2.3241760795797888e-05
shhht,2.3241760795797888e-05
pig,2.3241760795797888e-05
drei,0.0002789011295495747
betten,0.0002556593687537768
elina,4.6483521591595777e-05
schienen,0.00011620880397898944
notiz,4.6483521591595777e-05
hüpfenden,2.3241760795797888e-05
wollknäuel,2.3241760795797888e-05
schlafsaal,0.0006740110630781388
kleiner,6.972528238739367e-05
jahre,0.00013945056477478735
beherbergte,2.3241760795797888e-05
vier,0.00016269232557058523
zusätzlicher,4.6483521591595777e-05
vergangenen,2.3241760795797888e-05
siebten,2.3241760795797888e-05
jahr,0.0002324176079579789
eigentlichen,2.3241760795797888e-05
sieben,4.6483521591595777e-05
sälen,2.3241760795797888e-05
schliefen,9.296704318319155e-05
weshalb,0.00011620880397898944
stahl,2.3241760795797888e-05
dachte,0.0005113187375075536
paar,0.0005578022590991494
freie,4.6483521591595777e-05
seiten,4.6483521591595777e-05
weitere,4.6483521591595777e-05
erinnerungen,6.972528238739367e-05
könnten,4.6483521591595777e-05
jahrgang,0.00011620880397898944
gryffindor,0.0004648352159159578
namentlich,2.3241760795797888e-05
genannt,2.3241760795797888e-05
letztendlich,4.6483521591595777e-05
geschlagen,9.296704318319155e-05
antwortete,0.0002789011295495747
suche,9.296704318319155e-05
wütend,0.00032538465114117046
klar,0.000209175847162181
suchst,2.3241760795797888e-05
vorschlagen,2.3241760795797888e-05
kommst,0.00013945056477478735
spätestens,2.3241760795797888e-05
unterricht,0.000209175847162181
wartete,4.6483521591595777e-05
genervt,0.0003718681727327662
schwebten,4.6483521591595777e-05
fünf,6.972528238739367e-05
koffer,0.00016269232557058523
große,0.0005113187375075536
fluchte,2.3241760795797888e-05
verlorene,2.3241760795797888e-05
verbrannte,2.3241760795797888e-05
finger,0.00011620880397898944
glätteisen,2.3241760795797888e-05
zog,0.0005345604983033515
lidstrich,2.3241760795797888e-05
dritten,0.00013945056477478735
mal,0.0011620880397898944
neu,2.3241760795797888e-05
blickte,0.0002789011295495747
freunden,6.972528238739367e-05
just,2.3241760795797888e-05
moment,0.0005578022590991494
legten,4.6483521591595777e-05
großen,0.0002556593687537768
auftritt,2.3241760795797888e-05
langsam,0.00030214289034537255
wendeltreppen,2.3241760795797888e-05
hinab,4.6483521591595777e-05
stiegen,9.296704318319155e-05
gestern,0.00011620880397898944
natürlich,0.00044159345512015993
frust,2.3241760795797888e-05
abzubauen,2.3241760795797888e-05
bescherte,2.3241760795797888e-05
lauschiges,2.3241760795797888e-05
stündchen,2.3241760795797888e-05
eulerei,2.3241760795797888e-05
verbracht,0.00011620880397898944
konnte,0.0017663738204806397
schließlich,0.0003951099335285641
unmöglich,6.972528238739367e-05
biss,9.296704318319155e-05
toast,2.3241760795797888e-05
ab,0.0002324176079579789
kaute,2.3241760795797888e-05
prophezeiungen,2.3241760795797888e-05
schaltete,2.3241760795797888e-05
jüngere,4.6483521591595777e-05
fragend,6.972528238739367e-05
saß,0.0006972528238739367
schon,0.0027657695346999488
platz,0.00044159345512015993
plapperte,4.6483521591595777e-05
munter,2.3241760795797888e-05
ebenfalls,0.0004648352159159578
geschlafen,6.972528238739367e-05
schielt,2.3241760795797888e-05
vorbei,0.00032538465114117046
glaube,0.0001859340863663831
ändern,4.6483521591595777e-05
meinst,6.972528238739367e-05
naja,0.000209175847162181
slytherin,0.0002324176079579789
sohn,6.972528238739367e-05
absoluter,4.6483521591595777e-05
prachtkerl,2.3241760795797888e-05
beziehung,0.00034862641193696836
eingehen,2.3241760795797888e-05
gut,0.0006972528238739367
zweiten,6.972528238739367e-05
schuljahres,4.6483521591595777e-05
bemerkt,6.972528238739367e-05
