term,relative_frequency
giftete,7.883948281299275e-05
leicht,0.000315357931251971
hysterisch,7.883948281299275e-05
verstand,7.883948281299275e-05
fauxpas,7.883948281299275e-05
genauer,7.883948281299275e-05
nachgefragt,7.883948281299275e-05
konnte,0.001261431725007884
leidtun,7.883948281299275e-05
ja,0.0016556291390728477
nie,0.000630715862503942
eifersüchtig,7.883948281299275e-05
glaubte,0.0001576789656259855
ganz,0.0007095553453169347
gut,0.0007095553453169347
sah,0.0014191106906338694
passte,7.883948281299275e-05
mischte,7.883948281299275e-05
winkte,0.0001576789656259855
schon,0.00228634500157679
ab,0.0004730368968779565
zog,0.0001576789656259855
verlangenden,7.883948281299275e-05
kuss,0.00023651844843897824
luft,0.0001576789656259855
holte,0.0001576789656259855
schimpfen,7.883948281299275e-05
vergaß,7.883948281299275e-05
lachte,0.00039419741406496373
beiden,0.0013402712078208767
wirklich,0.000315357931251971
herzlich,0.0001576789656259855
betreten,0.0001576789656259855
geht,0.00023651844843897824
raus,0.0001576789656259855
ärger,7.883948281299275e-05
immer,0.0013402712078208767
kommt,0.0001576789656259855
ranschmeißt,7.883948281299275e-05
augen,0.000946073793755913
funkelten,7.883948281299275e-05
verlangend,7.883948281299275e-05
freundin,0.000315357931251971
vorbeizog,7.883948281299275e-05
warf,0.000315357931251971
biestigen,7.883948281299275e-05
blick,0.0011037527593818985
schaute,0.0001576789656259855
mal,0.0013402712078208767
richtung,0.000315357931251971
himmelte,7.883948281299275e-05
freund,0.00023651844843897824
versonnen,7.883948281299275e-05
gab,0.0005518763796909492
drama,7.883948281299275e-05
weniger,0.000315357931251971
blickte,0.00023651844843897824
verliebten,0.0001576789656259855
lächeln,0.00039419741406496373
strahlte,0.0001576789656259855
erfreut,0.0001576789656259855
verhalten,0.0001576789656259855
zwinkernd,7.883948281299275e-05
kenntnis,7.883948281299275e-05
nahm,0.0004730368968779565
befahl,0.00023651844843897824
bestimmt,0.00023651844843897824
tat,0.00023651844843897824
gefallen,0.00023651844843897824
twins,0.000315357931251971
zuhielten,7.883948281299275e-05
turtelnden,7.883948281299275e-05
abseilten,7.883948281299275e-05
freudestrahlend,7.883948281299275e-05
siehst,0.0001576789656259855
fantastisch,7.883948281299275e-05
schönste,0.0001576789656259855
jammerte,7.883948281299275e-05
ungeduldig,7.883948281299275e-05
nickte,0.00023651844843897824
wäre,0.0004730368968779565
spaß,0.0004730368968779565
echote,7.883948281299275e-05
neben,0.001970987070324819
rechter,7.883948281299275e-05
seite,0.0004730368968779565
saß,0.0011825922421948912
ungläubig,7.883948281299275e-05
zeigte,0.00023651844843897824
beeindruckt,7.883948281299275e-05
schließlich,0.0005518763796909492
jemand,0.000315357931251971
gesagt,0.00023651844843897824
nett,0.0001576789656259855
zueinander,7.883948281299275e-05
raffte,0.0001576789656259855
sichtlich,0.0001576789656259855
widerwillig,0.0001576789656259855
