term,relative_frequency
wandte,0.0003700619853825516
hast,0.000570512227464767
recht,0.0002929657384278533
ausnahme,6.167699756375859e-05
gemacht,0.00041631973355537054
endlich,0.0003546427359916119
zustande,3.0838498781879296e-05
bekommen,0.00024670799025503437
zusammenkommt,1.5419249390939648e-05
glaub,1.5419249390939648e-05
eigenen,0.00020045024208221543
erstaunen,1.5419249390939648e-05
schwer,0.00016961174330033614
gefallen,0.0001541924939093965
spielen,0.00010793474573657754
wenngleich,3.0838498781879296e-05
gedanken,0.0003238042372097326
balg,3.0838498781879296e-05
zeit,0.0008172202177198014
letzten,0.0003700619853825516
monaten,3.0838498781879296e-05
schwanger,6.167699756375859e-05
gegangen,0.00021586949147315508
eher,9.25154963456379e-05
ekelerregend,1.5419249390939648e-05
gefunden,0.00021586949147315508
monat,9.25154963456379e-05
genauen,3.0838498781879296e-05
beobachtung,1.5419249390939648e-05
begutachtung,1.5419249390939648e-05
erste,0.00016961174330033614
mal,0.0013260554476208098
wiedergesehen,1.5419249390939648e-05
ordenstreffen,1.5419249390939648e-05
teilnehmen,6.167699756375859e-05
dürfen,0.0001541924939093965
misstrauen,1.5419249390939648e-05
entgegen,9.25154963456379e-05
händen,0.00012335399512751718
greifen,3.0838498781879296e-05
durchwegs,1.5419249390939648e-05
erheiternde,1.5419249390939648e-05
situation,0.00013877324451845685
dunkelrote,1.5419249390939648e-05
haar,4.625774817281895e-05
mehr,0.0012489592006661116
geglänzt,1.5419249390939648e-05
intensiven,1.5419249390939648e-05
grünen,7.709624695469825e-05
augen,0.0008480587165016807
überrascht,0.00020045024208221543
angefunkelt,1.5419249390939648e-05
gewahr,1.5419249390939648e-05
geworden,0.00016961174330033614
immer,0.0017423751811761804
wohl,0.0003700619853825516
bedeckt,1.5419249390939648e-05
schatten,7.709624695469825e-05
gehalten,6.167699756375859e-05
sowohl,4.625774817281895e-05
fracht,1.5419249390939648e-05
abgeworfen,1.5419249390939648e-05
prophezeiung,0.0003238042372097326
endgültig,6.167699756375859e-05
bewahrheitet,1.5419249390939648e-05
information,6.167699756375859e-05
gewünscht,4.625774817281895e-05
gegeben,0.00020045024208221543
sodass,0.00013877324451845685
lord,0.0004625774817281895
ziel,3.0838498781879296e-05
erwählen,1.5419249390939648e-05
entscheidung,0.00010793474573657754
danach,0.00012335399512751718
überzeugende,1.5419249390939648e-05
unendlich,4.625774817281895e-05
peinliche,1.5419249390939648e-05
weinerliche,1.5419249390939648e-05
show,3.0838498781879296e-05
hingelegt,3.0838498781879296e-05
demütigung,1.5419249390939648e-05
überbieten,1.5419249390939648e-05
schauspielkunst,1.5419249390939648e-05
zwecke,1.5419249390939648e-05
erfüllt,3.0838498781879296e-05
zweifel,3.0838498781879296e-05
zerstreut,1.5419249390939648e-05
getragen,4.625774817281895e-05
theatralisches,1.5419249390939648e-05
schauspiel,1.5419249390939648e-05
weiches,1.5419249390939648e-05
seniles,1.5419249390939648e-05
herz,0.00012335399512751718
erweicht,1.5419249390939648e-05
beichte,1.5419249390939648e-05
liebte,0.00012335399512751718
tief,9.25154963456379e-05
berührt,1.5419249390939648e-05
somit,0.0001541924939093965
sogleich,6.167699756375859e-05
losgezogen,1.5419249390939648e-05
heim,7.709624695469825e-05
gesichert,4.625774817281895e-05
geheimniswahrer,7.709624695469825e-05
fidelius,1.5419249390939648e-05
finden,0.00016961174330033614
zeichen,4.625774817281895e-05
vertrauens,1.5419249390939648e-05
nähe,6.167699756375859e-05
ab,0.0005550929780738274
jahr,0.00038548123477349125
professor,0.0003700619853825516
zaubertränke,0.00010793474573657754
hogwarts,0.001141024454929534
berufen,1.5419249390939648e-05
überraschung,6.167699756375859e-05
kurze,4.625774817281895e-05
weiteren,0.00010793474573657754
begegnung,3.0838498781879296e-05
gekommen,0.0003238042372097326
leben,0.0008326394671107411
gerechnet,4.625774817281895e-05
tränenumflort,1.5419249390939648e-05
tür,0.00041631973355537054
spinners,3.0838498781879296e-05
end,4.625774817281895e-05
geklopft,3.0838498781879296e-05
leid,0.0001541924939093965
zwecks,3.0838498781879296e-05
untreue,1.5419249390939648e-05
nacht,0.0003238042372097326
triumphes,1.5419249390939648e-05
bett,0.00021586949147315508
gelandet,1.5419249390939648e-05
genugtuung,3.0838498781879296e-05
sondergleichen,1.5419249390939648e-05
frau,0.0002929657384278533
schulfeindes,1.5419249390939648e-05
besorgen,4.625774817281895e-05
nötig,4.625774817281895e-05
versteckens,1.5419249390939648e-05
kleine,0.0005242544792919481
öfteren,1.5419249390939648e-05
unvorstellbarer,1.5419249390939648e-05
weise,4.625774817281895e-05
gast,1.5419249390939648e-05
