term,relative_frequency
wäre,0.0006874756046889362
hätte,0.0009594439757746692
dafür,0.00029966885332594653
getan,0.0002090127296307022
tod,0.00028959595069314164
aufzunehmen,1.2591128291006157e-05
werwolf,5.540096448042709e-05
festen,2.5182256582012314e-05
job,2.5182256582012314e-05
wirkliches,2.5182256582012313e-06
heim,1.0072902632804925e-05
schon,0.0019541431107641554
bieten,1.0072902632804925e-05
tot,0.00022160385792170835
gefühl,0.0001359841855428665
letzte,0.0001913851500232936
teil,0.0001284295085682628
familie,0.0003852885257047884
pate,7.051031842963448e-05
genau,0.0005111998086148499
gute,0.00019642160133969604
freundin,0.00035506981780637363
kannte,0.0001460570881756714
genauso,0.0002543407914783244
lange,0.0003475151408317699
herausgefunden,4.02916105312197e-05
reicht,2.014580526560985e-05
bot,4.280983618942093e-05
sofort,0.000533863839538661
lakonisch,2.5182256582012313e-06
na,0.00019642160133969604
lieber,0.00013850241120106773
wünschte,9.56925750116468e-05
professoren,1.2591128291006157e-05
unterstützten,2.5182256582012313e-06
wunsch,3.0218707898414777e-05
traute,4.78462875058234e-05
skrupellos,2.5182256582012313e-06
verkniffene,2.5182256582012313e-06
miene,4.280983618942093e-05
vermutung,2.5182256582012314e-05
ehedings,2.5182256582012313e-06
wirklich,0.0007957593079915891
durchzog,5.036451316402463e-06
baff,2.5182256582012313e-06
erstaunt,8.310144672064064e-05
sohn,0.0006748844763979301
wandte,0.0002744865967439342
hast,0.0006925120560053387
recht,0.00025182256582012314
ausnahme,5.036451316402463e-06
gemacht,0.0004079525566285995
endlich,0.00042306191057780686
zustande,5.036451316402463e-06
bekommen,0.0002618954684529281
zusammenkommt,2.5182256582012313e-06
glaub,3.0218707898414777e-05
art,0.00015864821646667757
wusste,0.0009115976882688458
ja,0.0013245866962138476
schwärmte,2.014580526560985e-05
schnell,0.00043565303886881305
paar,0.0005288273882222586
geworden,0.00021153095528890343
verliebt,0.00018886692436509235
kümmert,1.0072902632804925e-05
kind,0.0002014580526560985
vertrauensvoll,5.036451316402463e-06
sorgt,1.5109353949207389e-05
dunkelrote,7.554676974603694e-06
haar,0.00017879402173228743
mehr,0.0013447325014794575
geglänzt,2.5182256582012313e-06
intensiven,7.554676974603694e-06
grünen,5.036451316402463e-05
augen,0.001372432983719671
überrascht,0.00024174966318731822
angefunkelt,2.5182256582012313e-06
gewahr,5.036451316402463e-06
immer,0.0019893982699789726
wohl,0.00045328061847622165
bedeckt,1.0072902632804925e-05
schatten,3.273693355661601e-05
gehalten,9.821080066984802e-05
sowohl,9.065612369524434e-05
fracht,2.5182256582012313e-06
abgeworfen,2.5182256582012313e-06
prophezeiung,4.280983618942093e-05
endgültig,4.02916105312197e-05
bewahrheitet,2.5182256582012313e-06
information,1.2591128291006157e-05
gewünscht,3.777338487301847e-05
gegeben,0.0001611664421248788
sodass,0.00024678611450372067
lord,0.00021404918094710467
ziel,3.273693355661601e-05
erwählen,2.5182256582012313e-06
entscheidung,4.280983618942093e-05
danach,0.00014857531383387265
überzeugende,2.5182256582012313e-06
unendlich,2.2664030923811084e-05
peinliche,1.2591128291006157e-05
weinerliche,2.5182256582012313e-06
show,1.0072902632804925e-05
hingelegt,2.5182256582012313e-06
demütigung,7.554676974603694e-06
überbieten,5.036451316402463e-06
schauspielkunst,2.5182256582012313e-06
zwecke,5.036451316402463e-06
erfüllt,1.0072902632804925e-05
letzten,0.000370179171755581
zweifel,3.525515921481724e-05
zerstreut,2.5182256582012313e-06
getragen,7.554676974603694e-06
theatralisches,2.5182256582012313e-06
schauspiel,7.554676974603694e-06
weiches,1.0072902632804925e-05
seniles,2.5182256582012313e-06
herz,0.0002165674066053059
