term,relative_frequency
grinsen,0.0003049245311785333
gesicht,0.0009401839711338111
verriet,5.082075519642222e-05
genau,0.00043197641916958884
gewusst,0.00010164151039284444
beiden,0.0010926462367230776
rumtreiber,0.0005590283071606444
kommen,0.00020328302078568888
bewusst,5.082075519642222e-05
erwähnt,5.082075519642222e-05
mund,0.00015246226558926666
stand,0.0007369009503481222
offen,5.082075519642222e-05
fand,0.0002795141535803222
richtigen,2.541037759821111e-05
worte,0.0002795141535803222
sagen,0.0005082075519642222
moment,0.0003049245311785333
hasste,7.623113279463333e-05
gehst,7.623113279463333e-05
schon,0.0019057783198658332
seit,0.00022869339838389998
fast,0.0003557452863749555
zwei,0.0006860801951517
jahren,0.00012705188799105554
erinnerte,0.00015246226558926666
störte,7.623113279463333e-05
daran,0.00020328302078568888
paar,0.0008131320831427555
minuten,0.0003049245311785333
beginn,7.623113279463333e-05
festivitäten,2.541037759821111e-05
hauseinteilung,2.541037759821111e-05
willkommensfest,2.541037759821111e-05
warten,0.00010164151039284444
kosten,5.082075519642222e-05
s,0.0003557452863749555
hörte,0.0003049245311785333
leichtem,2.541037759821111e-05
interesse,2.541037759821111e-05
gegenseitig,2.541037759821111e-05
neusten,5.082075519642222e-05
sachen,0.00022869339838389998
klatsch,2.541037759821111e-05
tratsch,2.541037759821111e-05
brachten,2.541037759821111e-05
tippen,2.541037759821111e-05
schulter,0.0004827971743660111
unterbrach,0.0002795141535803222
denkst,7.623113279463333e-05
steht,0.00022869339838389998
schnaubten,2.541037759821111e-05
beide,0.0002541037759821111
schnappte,0.00010164151039284444
morgenmantel,2.541037759821111e-05
später,0.0006606698175534889
donna,0.0010672358591248667
schlepptau,7.623113279463333e-05
schwache,2.541037759821111e-05
flamme,2.541037759821111e-05
kamin,0.00015246226558926666
spendete,2.541037759821111e-05
meiste,7.623113279463333e-05
licht,0.00010164151039284444
gemeinschaftsraum,0.0007623113279463333
unteren,2.541037759821111e-05
treppenabsatz,2.541037759821111e-05
erschien,0.00015246226558926666
raum,0.00022869339838389998
donnas,5.082075519642222e-05
partnerschaft,2.541037759821111e-05
zeitpunkt,0.00012705188799105554
tschüss,5.082075519642222e-05
rief,0.00045738679676779996
winkte,0.00022869339838389998
bewegte,5.082075519642222e-05
neben,0.0022361132286425776
gryffindor,0.0002541037759821111
weißt,0.00017787264318747776
überlegte,2.541037759821111e-05
denke,0.00015246226558926666
könntest,2.541037759821111e-05
recht,0.00033033490877674445
adam,0.00033033490877674445
halle,0.00043197641916958884
betreten,2.541037759821111e-05
bewegten,5.082075519642222e-05
hastig,7.623113279463333e-05
große,0.00040656604157137777
vertrauensschülerin,7.623113279463333e-05
blieb,0.0002795141535803222
ja,0.0010672358591248667
finster,0.00010164151039284444
blickend,2.541037759821111e-05
nahm,0.0005082075519642222
gegenüber,0.0005336179295624333
begann,0.00043197641916958884
letztere,7.623113279463333e-05
langsam,0.00033033490877674445
darüber,0.0002541037759821111
rollte,0.00010164151039284444
augen,0.0011942877471159221
trotz,0.00012705188799105554
gegenteiligen,2.541037759821111e-05
behauptung,2.541037759821111e-05
verließ,0.00015246226558926666
krankenstation,2.541037759821111e-05
leichten,7.623113279463333e-05
lächeln,0.0005082075519642222
freunde,0.0002795141535803222
mittwochnachmittag,2.541037759821111e-05
aufbruch,2.541037759821111e-05
arithmetik,2.541037759821111e-05
verkündete,2.541037759821111e-05
konnte,0.0015500330334908777
deshalb,0.00012705188799105554
besonders,0.0002541037759821111
aufgebracht,2.541037759821111e-05
bloß,0.00015246226558926666
lathe,7.623113279463333e-05
ruhig,0.00010164151039284444
weile,0.00022869339838389998
bevor,0.0006606698175534889
fragte,0.000711490572749911
kannst,0.00022869339838389998
hüter,5.082075519642222e-05
quidditchmannschaft,2.541037759821111e-05
antwortete,0.00040656604157137777
äh,7.623113279463333e-05
wichtiges,5.082075519642222e-05
hättest,7.623113279463333e-05
gedacht,0.00015246226558926666
wichtig,0.00012705188799105554
carlotta,0.00015246226558926666
vegetarier,2.541037759821111e-05
zurück,0.0007623113279463333
problem,0.00015246226558926666
lachend,0.00010164151039284444
schob,0.00017787264318747776
lang,0.00010164151039284444
genug,0.00022869339838389998
fragen,0.00022869339838389998
uhr,0.00017787264318747776
samstagabend,5.082075519642222e-05
korridor,7.623113279463333e-05
vierten,5.082075519642222e-05
stocks,2.541037759821111e-05
wand,0.00012705188799105554
übersäte,2.541037759821111e-05
freundin,0.0009401839711338111
küssen,0.00010164151039284444
abwesend,5.082075519642222e-05
saß,0.0007877217055445444
stuhl,7.623113279463333e-05
nähe,0.00022869339838389998
feuers,7.623113279463333e-05
pergamentrolle,7.623113279463333e-05
zaubertränkebuch,2.541037759821111e-05
kam,0.0005082075519642222
stimme,0.00040656604157137777
deren,0.00015246226558926666
bett,0.0008639528383391777
drehte,0.00040656604157137777
sehen,0.0005844386847588555
bettvorhang,2.541037759821111e-05
spähte,2.541037759821111e-05
wer,0.00015246226558926666
typ,7.623113279463333e-05
letzter,0.00010164151039284444
zeit,0.0004827971743660111
rumhängt,2.541037759821111e-05
schaute,0.00022869339838389998
richtung,0.00033033490877674445
aufmerksamkeit,0.00010164151039284444
gerichtet,5.082075519642222e-05
bemerkte,0.0003049245311785333
dünnen,5.082075519642222e-05
großäugigen,2.541037759821111e-05
hufflepuff,0.00012705188799105554
wochen,0.00015246226558926666
zuvor,7.623113279463333e-05
lathes,2.541037759821111e-05
büro,0.00010164151039284444
gestoßen,0.00010164151039284444
fuhren,5.082075519642222e-05
abstieg,2.541037759821111e-05
fort,0.00033033490877674445
trafen,0.00010164151039284444
eingangshalle,5.082075519642222e-05
gruppe,0.00020328302078568888
pflege,5.082075519642222e-05
magischer,5.082075519642222e-05
geschöpfe,5.082075519642222e-05
gott,5.082075519642222e-05
sei,0.00020328302078568888
dank,0.00010164151039284444
seufzte,0.00017787264318747776
entdeckte,0.00022869339838389998
schickte,7.623113279463333e-05
fragenden,7.623113279463333e-05
blick,0.0013721603903034
riss,0.00015246226558926666
kopf,0.0008893632159373888
