term,relative_frequency
laut,0.00029808480512705867
gezischt,3.726060064088233e-05
schlaftrunken,3.726060064088233e-05
augen,0.0015276846262761755
sagte,0.0026455026455026454
drehte,0.0005961696102541173
vorhin,0.00014904240256352933
gehört,7.452120128176467e-05
gesagt,0.0007452120128176467
liebe,0.0002608242044861763
lebens,3.726060064088233e-05
könntest,0.000111781801922647
gähnte,0.000111781801922647
genervt,0.00029808480512705867
brach,7.452120128176467e-05
hysterisches,3.726060064088233e-05
gekicher,7.452120128176467e-05
fragte,0.001006036217303823
drängend,3.726060064088233e-05
wusste,0.0012668604217899993
antwort,0.000223563603845294
überhaupt,0.000223563603845294
wissen,0.00033534540576794097
erleichterung,0.000111781801922647
kopf,0.0008569938147402936
geschüttelt,3.726060064088233e-05
bestimmt,0.0002608242044861763
entsetzt,0.0002608242044861763
schüttelte,0.000223563603845294
plötzlich,0.00014904240256352933
nähe,0.00014904240256352933
gestanden,3.726060064088233e-05
entdeckt,3.726060064088233e-05
kissen,0.00018630300320441167
half,0.000111781801922647
setzte,0.0005216484089723526
sah,0.0032044116551158803
herüber,7.452120128176467e-05
sommerferien,3.726060064088233e-05
sowieso,0.00014904240256352933
nahten,3.726060064088233e-05
anfingen,7.452120128176467e-05
vermissen,3.726060064088233e-05
nie,0.0005961696102541173
wecker,0.00018630300320441167
wecken,0.00018630300320441167
ließ,0.0004843878083314703
immer,0.0016394664281988226
wach,0.00018630300320441167
kriegen,0.000111781801922647
frühstücken,0.000111781801922647
bekam,0.00018630300320441167
ganzen,0.000447127207690588
tag,0.00033534540576794097
einfach,0.0010432968179447052
unausstehlich,3.726060064088233e-05
murmelte,0.0005961696102541173
mal,0.0016394664281988226
fähig,0.000111781801922647
griff,0.00040986660704970564
selber,7.452120128176467e-05
magischen,3.726060064088233e-05
stellte,0.000223563603845294
sicher,0.0006334302108949996
inzwischen,3.726060064088233e-05
lieber,7.452120128176467e-05
abgang,3.726060064088233e-05
machte,0.0007079514121767642
bald,0.00014904240256352933
halbschlaf,3.726060064088233e-05
zauberstab,0.000111781801922647
sollten,0.00014904240256352933
neuen,0.000223563603845294
kaufen,0.000111781801922647
aufgestanden,7.452120128176467e-05
kante,3.726060064088233e-05
bettes,3.726060064088233e-05
saß,0.0005216484089723526
müde,0.000223563603845294
ansah,7.452120128176467e-05
morpheus,3.726060064088233e-05
armen,7.452120128176467e-05
sonderlich,7.452120128176467e-05
spät,0.00014904240256352933
bett,0.0012295998211491169
ging,0.0012295998211491169
meistens,7.452120128176467e-05
verließ,0.00018630300320441167
aufenthaltsraum,3.726060064088233e-05
genug,0.000111781801922647
rumtreibern,0.00033534540576794097
ziemlich,0.00037260600640882333
schnell,0.0005216484089723526
passierte,7.452120128176467e-05
