term,relative_frequency
schlug,0.00027492164733051083
frage,0.00021993731786440864
kopf,0.0007147962830593281
tante,0.00016495298839830648
warum,0.00027492164733051083
hast,0.0004948589651949195
genommen,0.00027492164733051083
lachte,0.00027492164733051083
wusste,0.0006598119535932259
sah,0.001979435860779678
beiden,0.0010996865893220433
sagte,0.002749216473305108
s,0.00021993731786440864
hollow,0.00021993731786440864
bringen,0.0004948589651949195
nein,0.00021993731786440864
prüfung,5.498432946610216e-05
apparieren,5.498432946610216e-05
schon,0.0015395612250508606
abgelegt,5.498432946610216e-05
dachte,0.0006598119535932259
angela,5.498432946610216e-05
genau,0.0006598119535932259
erfasst,5.498432946610216e-05
ministerium,0.00010996865893220432
damalige,5.498432946610216e-05
minister,0.00027492164733051083
slytherin,0.0007147962830593281
hogwarts,0.0006598119535932259
verjagt,5.498432946610216e-05
eben,0.00016495298839830648
hass,5.498432946610216e-05
häusern,5.498432946610216e-05
geschürt,5.498432946610216e-05
verstehe,5.498432946610216e-05
gab,0.0005498432946610217
grund,0.00010996865893220432
dafür,0.00027492164733051083
ganz,0.0009347336009237368
einfach,0.0007147962830593281
stark,0.00010996865893220432
glaubten,5.498432946610216e-05
schwarze,5.498432946610216e-05
magie,5.498432946610216e-05
ganze,0.0005498432946610217
zaubere,5.498432946610216e-05
welt,0.00016495298839830648
gefahr,5.498432946610216e-05
dabei,0.0004398746357288173
zwei,0.00038489030626271515
tage,0.00016495298839830648
später,0.0009347336009237368
kam,0.0008247649419915324
mcgonagol,5.498432946610216e-05
zettel,5.498432946610216e-05
rum,5.498432946610216e-05
schüler,0.0012096552482542475
osterferien,5.498432946610216e-05
bleiben,0.00032990597679661296
eintragen,5.498432946610216e-05
konnte,0.001374608236652554
brief,0.0004398746357288173
laß,5.498432946610216e-05
wurde,0.001374608236652554
nachricht,0.00027492164733051083
kommen,0.0006598119535932259
lassen,0.00010996865893220432
ferien,0.00016495298839830648
liebe,0.00032990597679661296
verwandten,0.00010996865893220432
fahren,0.00010996865893220432
willst,0.00021993731786440864
kameraden,5.498432946610216e-05
hause,5.498432946610216e-05
privat,5.498432946610216e-05
wohnung,0.00010996865893220432
auge,0.00021993731786440864
erfahren,0.00016495298839830648
VOLDEMORT,0.0006048276241271237
angriff,0.00010996865893220432
plant,5.498432946610216e-05
sicher,0.0005498432946610217
schließlich,0.0006598119535932259
ordnete,5.498432946610216e-05
hut,0.0005498432946610217
gryffindor,0.0005498432946610217
lehnte,5.498432946610216e-05
relativ,0.00010996865893220432
entspannt,5.498432946610216e-05
wäre,0.00038489030626271515
beaufsichtigen,5.498432946610216e-05
praktischer,5.498432946610216e-05
halt,5.498432946610216e-05
sohn,0.0006048276241271237
somit,5.498432946610216e-05
recht,0.00010996865893220432
schlich,5.498432946610216e-05
leichtes,0.00016495298839830648
zynisches,5.498432946610216e-05
lächeln,0.0008247649419915324
wachsames,5.498432946610216e-05
passt,5.498432946610216e-05
eröffnete,5.498432946610216e-05
typischen,5.498432946610216e-05
wirrwarr,5.498432946610216e-05
essen,0.00038489030626271515
wandte,0.0005498432946610217
ja,0.001044702259855941
fang,5.498432946610216e-05
gemacht,0.00027492164733051083
teil,5.498432946610216e-05
befürchtet,5.498432946610216e-05
verhältnisse,5.498432946610216e-05
sowieso,0.00027492164733051083
sätze,0.00010996865893220432
allgemeine,5.498432946610216e-05
gemurmel,5.498432946610216e-05
tisch,0.0008797492714576346
gryffindors,0.00027492164733051083
eingesetzt,5.498432946610216e-05
eklat,5.498432946610216e-05
bereits,0.0006048276241271237
vergessen,0.00010996865893220432
plötzlich,0.00021993731786440864
stand,0.0006598119535932259
guten,0.00010996865893220432
abend,5.498432946610216e-05
ms,5.498432946610216e-05
trotz,5.498432946610216e-05
angespannten,5.498432946610216e-05
situation,0.00021993731786440864
rang,5.498432946610216e-05
ab,0.0006048276241271237
nickte,0.00038489030626271515
wohlwollend,5.498432946610216e-05
möchte,0.00016495298839830648
mr,0.00021993731786440864
saal,5.498432946610216e-05
finden,0.00027492164733051083
gern,5.498432946610216e-05
darum,5.498432946610216e-05
bitten,0.00027492164733051083
suchen,5.498432946610216e-05
überbringen,5.498432946610216e-05
bat,5.498432946610216e-05
ruhig,0.00016495298839830648
gefasst,5.498432946610216e-05
eh,0.00010996865893220432
je,0.00010996865893220432
obwohl,0.00027492164733051083
genervt,5.498432946610216e-05
ständigen,5.498432946610216e-05
auflauern,5.498432946610216e-05
kontinuierlichen,5.498432946610216e-05
fragerei,5.498432946610216e-05
ausgehen,0.00010996865893220432
dürfte,5.498432946610216e-05
tiefsten,5.498432946610216e-05
inneren,5.498432946610216e-05
kleines,0.00010996865893220432
mädchen,0.00027492164733051083
freute,0.00010996865893220432
junge,0.00021993731786440864
toll,0.00010996865893220432
fand,0.00032990597679661296
all,5.498432946610216e-05
unbehagen,0.00010996865893220432
momentane,5.498432946610216e-05
auslöste,0.00010996865893220432
steif,5.498432946610216e-05
blickte,0.00038489030626271515
betrübt,5.498432946610216e-05
boden,0.00010996865893220432
geschickt,0.00010996865893220432
heute,0.0004398746357288173
nirgendwo,0.00010996865893220432
entdecken,0.00021993731786440864
woche,0.00021993731786440864
cat,0.00010996865893220432
krankenflügel,0.00016495298839830648
zog,0.00021993731786440864
klassenzimmer,0.00016495298839830648
wissen,0.00038489030626271515
getestet,5.498432946610216e-05
allerdings,0.00016495298839830648
streng,0.00016495298839830648
blickende,5.498432946610216e-05
frau,0.00021993731786440864
professorin,0.00021993731786440864
verwandlung,0.0007697806125254303
mitgeteilt,5.498432946610216e-05
sechste,5.498432946610216e-05
vierte,5.498432946610216e-05
schuljahr,0.00010996865893220432
besuchen,5.498432946610216e-05
wogegen,5.498432946610216e-05
beide,0.0004398746357288173
einwände,5.498432946610216e-05
vergnügt,5.498432946610216e-05
phönix,0.00010996865893220432
morgen,0.00016495298839830648
früh,0.00010996865893220432
besten,0.00032990597679661296
sodass,0.00032990597679661296
fächer,0.00010996865893220432
besprechen,0.00010996865893220432
begann,0.0004948589651949195
deutete,5.498432946610216e-05
gleichzeitig,0.00010996865893220432
schob,0.00010996865893220432
prewett,5.498432946610216e-05
dunkelblonden,5.498432946610216e-05
kinnlangen,5.498432946610216e-05
haaren,5.498432946610216e-05
freundlichen,0.00016495298839830648
schwarzen,0.00010996865893220432
schuluniformen,5.498432946610216e-05
gekleidet,5.498432946610216e-05
kleinen,0.0004948589651949195
silbernen,5.498432946610216e-05
abzeichen,5.498432946610216e-05
brust,0.00010996865893220432
denen,0.00038489030626271515
jeweils,0.00010996865893220432
v,5.498432946610216e-05
abgebildet,5.498432946610216e-05
stellten,5.498432946610216e-05
weder,0.00016495298839830648
plätze,0.00021993731786440864
unbesetzt,5.498432946610216e-05
schaute,0.0005498432946610217
kannst,0.00021993731786440864
zeigen,0.00016495298839830648
liste,0.00027492164733051083
wahlfächern,5.498432946610216e-05
wählte,5.498432946610216e-05
neben,0.0008797492714576346
astronomie,5.498432946610216e-05
muggelkunde,0.00010996865893220432
ausgefüllter,5.498432946610216e-05
stundenplan,0.00016495298839830648
überreicht,5.498432946610216e-05
erstes,0.00010996865893220432
slytherins,0.00016495298839830648
arithmantik,5.498432946610216e-05
zauberkunst,0.00016495298839830648
ravenclaws,5.498432946610216e-05
betrat,0.00016495298839830648
steuerte,0.00010996865893220432
automatisch,5.498432946610216e-05
freien,0.00010996865893220432
platz,0.00032990597679661296
mitte,0.00010996865893220432
raumes,5.498432946610216e-05
zeigte,0.00010996865893220432
fragte,0.0007697806125254303
worauf,5.498432946610216e-05
hinaus,0.00016495298839830648
überging,5.498432946610216e-05
fügte,0.00021993731786440864
hinzu,0.00021993731786440864
außerdem,0.00010996865893220432
per,5.498432946610216e-05
erzauberte,5.498432946610216e-05
