term,relative_frequency
schreibe,0.00011555350127108852
eher,0.00023110700254217703
x,0.00046221400508435407
lilyerschrocken,0.00011555350127108852
quietschte,0.00011555350127108852
oberarm,0.00023110700254217703
gepackt,0.00011555350127108852
leeren,0.00023110700254217703
geheimgang,0.00011555350127108852
gezogen,0.00011555350127108852
wurde,0.0010399815114397967
ersten,0.00046221400508435407
kapitel,0.00034666050381326557
bereits,0.00046221400508435407
fertig,0.0005777675063554426
hoffe,0.0005777675063554426
schaffe,0.00011555350127108852
mal,0.0015021955165241507
ganze,0.00034666050381326557
gesichte,0.00011555350127108852
wünsche,0.00011555350127108852
ganz,0.0006933210076265311
spaß,0.00023110700254217703
neuen,0.00011555350127108852
version,0.00011555350127108852
geschichte,0.0006933210076265311
rund,0.00011555350127108852
niki,0.00034666050381326557
natürlich,0.0006933210076265311
gefällt,0.00011555350127108852
vielleicht,0.0006933210076265311
wirklich,0.00023110700254217703
beurteilen,0.00011555350127108852
halben,0.00011555350127108852
sommer,0.00011555350127108852
verbracht,0.00011555350127108852
hälfte,0.00011555350127108852
fast,0.0008088745088976196
zeit,0.0006933210076265311
gesehen,0.00023110700254217703
veränderungen,0.00011555350127108852
fallen,0.00011555350127108852
ja,0.0008088745088976196
eigentlich,0.0006933210076265311
person,0.00011555350127108852
länger,0.00011555350127108852
lasse,0.00011555350127108852
blick,0.0008088745088976196
raum,0.00034666050381326557
wandern,0.00011555350127108852
finden,0.00011555350127108852
scorp,0.00011555350127108852
erfolg,0.00011555350127108852
entdecke,0.00011555350127108852
sitzt,0.00023110700254217703
niedrigen,0.00011555350127108852
tische,0.00034666050381326557
sitzecke,0.00011555350127108852
neben,0.0011555350127108851
erik,0.00023110700254217703
baggert,0.00011555350127108852
schamlos,0.00011555350127108852
sogar,0.0008088745088976196
hand,0.0008088745088976196
knie,0.00011555350127108852
funktionieren,0.00011555350127108852
ertragen,0.00011555350127108852
woche,0.00011555350127108852
sehen,0.00046221400508435407
kleine,0.0005777675063554426
schwester,0.00046221400508435407
beste,0.00011555350127108852
freundin,0.00034666050381326557
wahrnimmt,0.00011555350127108852
potterich,0.00034666050381326557
komme,0.00011555350127108852
pünktlich,0.00011555350127108852
bibliothek,0.00034666050381326557
atme,0.00011555350127108852
vertrauten,0.00011555350127108852
geruch,0.00011555350127108852
alten,0.00011555350127108852
bücher,0.0005777675063554426
tief,0.00023110700254217703
suche,0.00034666050381326557
platz,0.0009244280101687081
freie,0.00011555350127108852
weiß,0.0009244280101687081
notorischer,0.00011555350127108852
zuspätkommer,0.00011555350127108852
sortiere,0.00011555350127108852
ruhe,0.0008088745088976196
notizen,0.00011555350127108852
gebrauchten,0.00011555350127108852
raus,0.00023110700254217703
sagt,0.00023110700254217703
scropius,0.00011555350127108852
schnappt,0.00011555350127108852
schnell,0.0006933210076265311
sachen,0.00034666050381326557
rennt,0.00011555350127108852
seufze,0.00011555350127108852
packe,0.00011555350127108852
zusammen,0.00046221400508435407
geht,0.00011555350127108852
gut,0.0005777675063554426
los,0.0005777675063554426
neue,0.00034666050381326557
gefallen,0.00023110700254217703
review,0.00011555350127108852
freuen,0.00011555350127108852
lg,0.00011555350127108852
bisschen,0.00034666050381326557
wütend,0.00023110700254217703
einfach,0.0015021955165241507
sitzen,0.00034666050381326557
lassen,0.00011555350127108852
ärger,0.00011555350127108852
streng,0.00011555350127108852
quidditch,0.00011555350127108852
angeht,0.00011555350127108852
unglaublich,0.00011555350127108852
nachtragend,0.00011555350127108852
laufe,0.00023110700254217703
kälte,0.00011555350127108852
her,0.00046221400508435407
allerdings,0.00011555350127108852
meinung,0.00034666050381326557
weitere,0.00034666050381326557
wort,0.00034666050381326557
situation,0.00011555350127108852
zerstört,0.00011555350127108852
hätte,0.0011555350127108851
dviel,0.00011555350127108852
beim,0.0006933210076265311
lissawichtelkind,0.00011555350127108852
pencilsandpaperscharaktere,0.00011555350127108852
black,0.00023110700254217703
wobei,0.00011555350127108852
letzteren,0.00011555350127108852
nebensatz,0.00011555350127108852
auftreten,0.00011555350127108852
wichteln,0.00011555350127108852
the,0.00034666050381326557
dark,0.00011555350127108852
side,0.00011555350127108852
nymphettenliebe,0.00011555350127108852
oo,0.00023110700254217703
anfang,0.00023110700254217703
mitte,0.00023110700254217703
endefür,0.00011555350127108852
pencilsandpapersder,0.00011555350127108852
anfangnarcissa,0.00011555350127108852
trug,0.00023110700254217703
schutzschild,0.00011555350127108852
großen,0.00023110700254217703
gang,0.00011555350127108852
entlang,0.00011555350127108852
frühstück,0.00023110700254217703
ging,0.00034666050381326557
enkelkind,0.00011555350127108852
tobte,0.00011555350127108852
frau,0.00011555350127108852
eigenen,0.00023110700254217703
tochter,0.0006933210076265311
ordentlichen,0.00011555350127108852
rasen,0.00011555350127108852
anwesens,0.00011555350127108852
sonne,0.00023110700254217703
langsam,0.0005777675063554426
tiefer,0.00011555350127108852
sank,0.00011555350127108852
steckt,0.00011555350127108852
zwickmühle,0.00011555350127108852
möchte,0.00023110700254217703
wegen,0.00034666050381326557
leben,0.00034666050381326557
bleiben,0.0005777675063554426
versprechen,0.00011555350127108852
brechen,0.00011555350127108852
schlechtes,0.00011555350127108852
beispiel,0.00023110700254217703
gegenüber,0.00023110700254217703
sohn,0.0006933210076265311
angesehen,0.00023110700254217703
müssen,0.00034666050381326557
tun,0.00023110700254217703
sagte,0.0010399815114397967
stellte,0.0005777675063554426
vater,0.0009244280101687081
freute,0.00023110700254217703
freigelassen,0.00011555350127108852
worden,0.00023110700254217703
floh,0.00011555350127108852
erneut,0.00046221400508435407
hören,0.00011555350127108852
trat,0.00011555350127108852
heraus,0.00023110700254217703
sah,0.0015021955165241507
beschäftigt,0.00011555350127108852
hielten,0.00034666050381326557
schritt,0.00034666050381326557
küche,0.00034666050381326557
tante,0.00011555350127108852
helfen,0.00011555350127108852
fragte,0.00023110700254217703
dad,0.0009244280101687081
gezeigt,0.00011555350127108852
bestimmt,0.00011555350127108852
hastig,0.00011555350127108852
zehenspitzen,0.00011555350127108852
suchen,0.00011555350127108852
schlepptau,0.00011555350127108852
herlief,0.00011555350127108852
mehrere,0.00023110700254217703
lehrer,0.00011555350127108852
emma,0.00046221400508435407
emely,0.00023110700254217703
