term,relative_frequency
vielleicht,0.0005412906903759667
wagen,1.727523479923298e-05
bitten,4.6067292797954615e-05
mal,0.0014741533695345477
erzählen,0.00018426917119181846
toben,5.758411599744327e-06
wüten,5.758411599744327e-06
höchstwahrscheinlich,5.758411599744327e-06
stimmt,9.213458559590923e-05
sogar,0.00037429675398338125
beiden,0.0007716271543657398
erzählt,0.000316712637985938
deutet,1.727523479923298e-05
darauf,0.0003915719887826142
beschrieben,2.8792057998721634e-05
geschwärmt,5.758411599744327e-06
gerne,0.00024761169878900605
slugclub,5.758411599744327e-06
ehrlich,0.0001497187015933525
wer,0.00020730281759079577
normal,4.6067292797954615e-05
schüler,0.000282162168387472
abgelehnt,2.3033646398977307e-05
verschnupft,5.758411599744327e-06
kundgetan,5.758411599744327e-06
hauchte,8.061776239642058e-05
ja,0.0012553337287442633
neuen,0.00010365140879539788
professor,0.00033398787278517096
tun,0.00043763928158056884
einlud,1.1516823199488654e-05
bescheuerten,5.758411599744327e-06
club,5.758411599744327e-06
andrehen,5.758411599744327e-06
warum,0.0004837065743785234
hineindarf,5.758411599744327e-06
rollte,2.3033646398977307e-05
sichtbar,1.1516823199488654e-05
augen,0.0012207832591457973
verzog,6.910093919693192e-05
verächtlich,4.030888119821029e-05
mund,0.00015547711319309683
erstaunen,1.1516823199488654e-05
schien,0.0004952233975780121
braue,1.1516823199488654e-05
m,1.727523479923298e-05
gut,0.0007601103311662511
zaubertränke,0.00026488693358823904
dankend,1.1516823199488654e-05
hätten,0.00013820187839386384
elitären,5.758411599744327e-06
kreis,2.8792057998721634e-05
clubs,5.758411599744327e-06
beizutreten,5.758411599744327e-06
wow,2.3033646398977307e-05
geschockt,6.33425275971876e-05
kleine,0.00042036404678133586
liebelei,5.758411599744327e-06
start,1.1516823199488654e-05
gehabt,0.00017851075959207413
amüsant,1.1516823199488654e-05
schon,0.0019636183555128152
fragte,0.0007946608007647171
weit,0.00013244346679411952
wohl,0.0003858135771828699
gegangen,0.00015547711319309683
gerade,0.0008752785631611377
geantwortet,1.1516823199488654e-05
wagte,5.758411599744327e-05
nachzuhaken,5.758411599744327e-06
bestätigen,1.727523479923298e-05
grummelt,5.758411599744327e-06
los,0.0001497187015933525
willst,0.00020154440599105144
nerven,3.455046959846596e-05
dinge,0.00013820187839386384
wissen,0.00042036404678133586
alte,0.00012092664359463085
wunden,2.3033646398977307e-05
aufreißen,5.758411599744327e-06
frage,0.00028792057998721634
ähnlich,0.00011516823199488654
gefühlt,3.455046959846596e-05
schenkten,5.758411599744327e-06
sicher,0.000547049101975711
verhältnis,1.727523479923298e-05
ausgesprochen,5.758411599744327e-05
gesprächig,5.758411599744327e-06
gab,0.0006794925687698306
mehr,0.001923309474314605
fang,2.3033646398977307e-05
kind,0.00035126310758440394
gekannt,2.8792057998721634e-05
zwei,0.0004491561047800575
jahre,0.0001957859943913071
hogwarts,0.0007313182731675295
wusste,0.0010537893227532118
eingeständnis,5.758411599744327e-06
nekromantie,5.758411599744327e-06
versuchte,0.0004261224583810802
genaues,5.758411599744327e-06
damals,0.0004261224583810802
erinnerungen,0.00019002758279156279
gesehen,0.0003455046959846596
freundschaft,0.0003455046959846596
zerstört,1.727523479923298e-05
dank,8.061776239642058e-05
abfälligen,1.1516823199488654e-05
schimpfwortes,1.1516823199488654e-05
relativ,3.455046959846596e-05
gleich,0.00024761169878900605
jugendliche,1.1516823199488654e-05
zusammen,0.0007082846267685522
darüber,0.0003224710495856823
genaueres,5.758411599744327e-06
gar,0.0005240154555767337
erkenntnis,2.3033646398977307e-05
frustrierender,5.758411599744327e-06
gedanke,0.00011516823199488654
kam,0.0009271042675588366
ganz,0.0008176944471636944
deutlich,0.00012092664359463085
spielte,5.758411599744327e-05
samtgürtel,5.758411599744327e-06
eintrat,1.1516823199488654e-05
sofort,0.0005700827483746884
nackten,1.1516823199488654e-05
beinen,4.030888119821029e-05
spürte,0.00016699393639258548
natürlich,0.00039733040038235855
schicksalhaften,5.758411599744327e-06
nacht,0.00027064534518798336
seite,0.0004491561047800575
miterleben,1.727523479923298e-05
dürfen,6.910093919693192e-05
zügel,5.758411599744327e-06
vollständig,2.8792057998721634e-05
zutiefst,1.727523479923298e-05
erschütterten,5.758411599744327e-06
abraxas,1.727523479923298e-05
übernommen,1.727523479923298e-05
getroffen,9.213458559590923e-05
abgang,5.758411599744327e-06
meistes,5.758411599744327e-06
geachtet,1.1516823199488654e-05
möglichst,2.3033646398977307e-05
gute,0.00023609487558951737
position,4.030888119821029e-05
sichern,5.758411599744327e-06
dafür,0.0003224710495856823
gesorgt,1.727523479923298e-05
meisten,0.00010940982039514221
unerkannten,5.758411599744327e-06
enttarnten,5.758411599744327e-06
deatheater,5.758411599744327e-06
untergrund,1.1516823199488654e-05
verschwinden,5.758411599744327e-05
schnell,0.00041460563518159153
überlegt,2.3033646398977307e-05
gehandelt,5.758411599744327e-06
orden,9.789299719565356e-05
