term,relative_frequency
wirkten,8.136696501220504e-05
beeindruckend,8.136696501220504e-05
unheimlich,8.136696501220504e-05
einschüchternd,8.136696501220504e-05
düsteren,8.136696501220504e-05
blicken,8.136696501220504e-05
löste,8.136696501220504e-05
schon,0.0013018714401952806
sekundenschnelle,8.136696501220504e-05
gelber,8.136696501220504e-05
strahl,8.136696501220504e-05
zauberstab,0.00016273393002441008
traf,0.00024410089503661513
luft,0.00032546786004882016
befindlichen,8.136696501220504e-05
voll,8.136696501220504e-05
getroffen,0.00024410089503661513
bücherregal,8.136696501220504e-05
krachte,8.136696501220504e-05
körper,0.00016273393002441008
lautstark,8.136696501220504e-05
bruch,8.136696501220504e-05
ging,0.0009764035801464605
begrub,8.136696501220504e-05
schrie,0.00016273393002441008
schmerzhaft,8.136696501220504e-05
fast,0.0004068348250610252
erschlagen,0.00016273393002441008
durfte,0.00024410089503661513
sehen,0.0010577705451586656
selben,8.136696501220504e-05
sekunde,0.00016273393002441008
geschmeidig,8.136696501220504e-05
wortlos,8.136696501220504e-05
zauber,0.00016273393002441008
losließ,8.136696501220504e-05
schwungvollen,8.136696501220504e-05
bewegung,0.00024410089503661513
tür,0.0005695687550854353
erstarrte,8.136696501220504e-05
fuchsteufelswilden,8.136696501220504e-05
blick,0.0011391375101708705
kommentierte,0.00016273393002441008
stieß,0.00016273393002441008
gutgelaunt,8.136696501220504e-05
offenbarte,8.136696501220504e-05
einmaliges,8.136696501220504e-05
bild,0.00016273393002441008
offensichtlich,0.00024410089503661513
drei,0.00032546786004882016
angriffsstellung,8.136696501220504e-05
gegangen,8.136696501220504e-05
flog,8.136696501220504e-05
gerade,0.0008136696501220504
angriffsbereite,8.136696501220504e-05
biest,0.00016273393002441008
rudolphus,0.0009764035801464605
fluch,0.00032546786004882016
abfeuerte,8.136696501220504e-05
peitschenden,8.136696501220504e-05
sprechen,0.0005695687550854353
sofort,0.0005695687550854353
griff,0.00016273393002441008
geduld,8.136696501220504e-05
seit,0.0004068348250610252
exzessen,8.136696501220504e-05
dembiest,8.136696501220504e-05
extrem,0.00016273393002441008
kurz,0.0005695687550854353
rigoros,8.136696501220504e-05
seite,0.0008950366151342555
wucht,8.136696501220504e-05
regal,8.136696501220504e-05
landete,0.00016273393002441008
kümmerte,8.136696501220504e-05
darüber,0.0004068348250610252
nachzudenken,8.136696501220504e-05
fühlte,0.00016273393002441008
schaffte,0.00016273393002441008
wirklich,0.00024410089503661513
tat,0.00032546786004882016
weh,8.136696501220504e-05
zusehen,8.136696501220504e-05
zumal,8.136696501220504e-05
irgendwie,0.0008136696501220504
schuld,0.00024410089503661513
erleiden,8.136696501220504e-05
große,0.00048820179007323027
welle,8.136696501220504e-05
übelkeit,8.136696501220504e-05
schwappte,0.00016273393002441008
hinweg,8.136696501220504e-05
depressiven,8.136696501220504e-05
erkennen,0.00024410089503661513
sachlage,8.136696501220504e-05
kämpfte,8.136696501220504e-05
hart,8.136696501220504e-05
kontrolle,8.136696501220504e-05
verlieren,8.136696501220504e-05
drohte,8.136696501220504e-05
verloren,0.00024410089503661513
hilflos,8.136696501220504e-05
eingemischt,8.136696501220504e-05
kleine,0.00048820179007323027
grausamen,8.136696501220504e-05
schicksal,0.00024410089503661513
langsam,0.00024410089503661513
tode,8.136696501220504e-05
gefoltert,8.136696501220504e-05
errettet,8.136696501220504e-05
gezwungen,8.136696501220504e-05
zuzusehen,8.136696501220504e-05
sohn,0.0011391375101708705
freund,0.0007323026851098454
vergewaltigt,8.136696501220504e-05
zusätzlich,0.00016273393002441008
ungläubigen,8.136696501220504e-05
augen,0.002278275020341741
erleben,0.00016273393002441008
roten,8.136696501220504e-05
schopf,8.136696501220504e-05
packte,0.00024410089503661513
aufgebend,8.136696501220504e-05
tief,8.136696501220504e-05
gesenkt,8.136696501220504e-05
schlackerte,8.136696501220504e-05
her,0.0004068348250610252
stöße,8.136696501220504e-05
hinten,0.00024410089503661513
kamen,0.00048820179007323027
zerrte,8.136696501220504e-05
zwang,0.00016273393002441008
kopf,0.00024410089503661513
unerbittlich,8.136696501220504e-05
höhe,8.136696501220504e-05
verweintes,8.136696501220504e-05
schmerzverzehrtes,8.136696501220504e-05
gesicht,0.0007323026851098454
konnte,0.001708706265256306
fratze,0.00016273393002441008
hätte,0.0005695687550854353
genügend,8.136696501220504e-05
willige,8.136696501220504e-05
weiber,8.136696501220504e-05
gegeben,8.136696501220504e-05
beine,0.0008136696501220504
SCABIOR,0.0007323026851098454
öffneten,8.136696501220504e-05
schlecht,0.00016273393002441008
sah,0.0014646053702196907
wirkte,8.136696501220504e-05
eher,8.136696501220504e-05
gelangweilt,8.136696501220504e-05
betont,0.00016273393002441008
fertig,0.00024410089503661513
platz,0.00032546786004882016
genommen,0.00016273393002441008
rudolpus,8.136696501220504e-05
zusah,8.136696501220504e-05
kleinen,0.00048820179007323027
willenlosen,8.136696501220504e-05
smudgley,8.136696501220504e-05
verging,8.136696501220504e-05
mittlerweile,8.136696501220504e-05
verdreckt,8.136696501220504e-05
beschmutzt,8.136696501220504e-05
sowie,0.0006509357200976403
blutig,8.136696501220504e-05
matte,8.136696501220504e-05
lag,0.00032546786004882016
gehen,0.00016273393002441008
ließ,0.0007323026851098454
bleiben,0.00024410089503661513
drink,8.136696501220504e-05
bemerkte,8.136696501220504e-05
augenwinkeln,0.00016273393002441008
schwarzhäutige,8.136696501220504e-05
erstaunlich,0.00024410089503661513
tapfer,8.136696501220504e-05
bewegte,8.136696501220504e-05
