term,relative_frequency
trat,0.00029896855847326724
flur,4.982809307887787e-05
ordnung,4.982809307887787e-05
sorgen,0.00019931237231551147
gesehen,0.00039862474463102295
arm,0.00024914046539438933
berührte,9.965618615775574e-05
bitte,0.0005481090238676566
ohren,4.982809307887787e-05
wohl,0.0006975933031042902
mehr,0.0017439832577607255
befehl,4.982809307887787e-05
geklungen,4.982809307887787e-05
nachvollziehen,4.982809307887787e-05
währenddessen,4.982809307887787e-05
wandte,0.00044845283770990086
nahe,0.00014948427923663362
beieinander,4.982809307887787e-05
saßen,0.00029896855847326724
entschieden,4.982809307887787e-05
sieht,0.00019931237231551147
überwachung,4.982809307887787e-05
fiel,0.00024914046539438933
siedendheiß,4.982809307887787e-05
mussten,0.00014948427923663362
augen,0.001146046140814191
lassen,0.0006477652100254123
tag,0.00019931237231551147
immer,0.0016941551646818477
aussage,0.00019931237231551147
abend,0.00019931237231551147
übernahm,9.965618615775574e-05
saß,0.00044845283770990086
schankraum,4.982809307887787e-05
verkleidung,4.982809307887787e-05
herauskam,4.982809307887787e-05
verabschiedete,0.00024914046539438933
kam,0.0010463899546564353
erstaunliche,4.982809307887787e-05
versuchte,0.0003487966515521451
natürliches,4.982809307887787e-05
aroma,4.982809307887787e-05
fernzuhalten,4.982809307887787e-05
vielleicht,0.0006477652100254123
bedeutetet,4.982809307887787e-05
knockturn,4.982809307887787e-05
alley,9.965618615775574e-05
schon,0.00234192037470726
rumgeisterte,4.982809307887787e-05
beschattete,4.982809307887787e-05
wirklich,0.0012457023269719467
nähe,0.00019931237231551147
rudel,0.00014948427923663362
suchte,9.965618615775574e-05
na,0.00019931237231551147
endlich,0.00024914046539438933
langsam,0.00019931237231551147
wurde,0.0010962180477353132
sarkastisch,4.982809307887787e-05
schmunzelnd,4.982809307887787e-05
sinn,4.982809307887787e-05
twins,0.00014948427923663362
mal,0.0007972494892620459
schneller,0.00014948427923663362
begriff,4.982809307887787e-05
sagt,4.982809307887787e-05
lieber,0.00014948427923663362
eingeteilt,4.982809307887787e-05
macht,0.00029896855847326724
wölfen,4.982809307887787e-05
ja,0.0012457023269719467
gut,0.0008470775823409239
breitete,4.982809307887787e-05
zufriedenes,9.965618615775574e-05
grinsen,0.00014948427923663362
zügen,9.965618615775574e-05
eins,4.982809307887787e-05
klar,0.00024914046539438933
fast,0.0005481090238676566
schwieriger,9.965618615775574e-05
beiden,0.0010463899546564353
eisprinzen,4.982809307887787e-05
arbeit,9.965618615775574e-05
bedeuten,4.982809307887787e-05
perfekt,9.965618615775574e-05
hakte,4.982809307887787e-05
gedanken,0.00019931237231551147
ganz,0.0003487966515521451
schweigen,9.965618615775574e-05
ideen,4.982809307887787e-05
schnell,0.00044845283770990086
umsetzten,4.982809307887787e-05
genauso,0.00014948427923663362
mädels,4.982809307887787e-05
sowie,0.00039862474463102295
wusste,0.0008470775823409239
dinge,0.00014948427923663362
besorgen,4.982809307887787e-05
konnte,0.0013951866062085804
recht,0.00039862474463102295
erledigt,4.982809307887787e-05
glück,0.00029896855847326724
ungesehen,9.965618615775574e-05
beschäftigt,0.00014948427923663362
schienen,0.00014948427923663362
einzelnen,0.00014948427923663362
person,0.00014948427923663362
aufmerksamkeit,4.982809307887787e-05
schenken,4.982809307887787e-05
außerdem,9.965618615775574e-05
sah,0.0013453585131297026
breiteten,4.982809307887787e-05
blonden,4.982809307887787e-05
schönlinge,4.982809307887787e-05
letztendlich,4.982809307887787e-05
gespräch,0.00019931237231551147
bestätigt,4.982809307887787e-05
wahrlich,9.965618615775574e-05
geschafft,4.982809307887787e-05
partners,4.982809307887787e-05
dazuzugehören,4.982809307887787e-05
konfrontiert,4.982809307887787e-05
rudels,4.982809307887787e-05
anvertraut,4.982809307887787e-05
informiert,0.00019931237231551147
hätten,0.00014948427923663362
aufgabe,9.965618615775574e-05
orden,4.982809307887787e-05
neben,0.0003487966515521451
beschattung,4.982809307887787e-05
finden,0.00024914046539438933
frech,9.965618615775574e-05
angegrinst,4.982809307887787e-05
lapidar,4.982809307887787e-05
gemeint,4.982809307887787e-05
stolz,0.00014948427923663362
hilfe,0.00024914046539438933
herausbekommen,9.965618615775574e-05
hast,0.00044845283770990086
gratulation,4.982809307887787e-05
mudblood,4.982809307887787e-05
beharrlich,4.982809307887787e-05
wissen,0.00029896855847326724
bedeutete,4.982809307887787e-05
fersen,9.965618615775574e-05
hing,0.00014948427923663362
kopf,0.0005481090238676566
bemerkte,0.0003487966515521451
bekleidungsgeschäft,4.982809307887787e-05
diagon,4.982809307887787e-05
familie,0.0004982809307887787
weasley,0.00019931237231551147
stand,0.0007972494892620459
grünhaarigen,4.982809307887787e-05
ergab,4.982809307887787e-05
dran,4.982809307887787e-05
wobei,0.0003487966515521451
sollten,0.0003487966515521451
ruhig,0.00024914046539438933
nerven,4.982809307887787e-05
lieb,4.982809307887787e-05
geschenken,4.982809307887787e-05
behilflich,4.982809307887787e-05
inspiriert,4.982809307887787e-05
kapitel,0.00014948427923663362
skepsises,4.982809307887787e-05
komplette,4.982809307887787e-05
erwartende,4.982809307887787e-05
mannschaft,4.982809307887787e-05
versammelt,4.982809307887787e-05
setzte,0.0003487966515521451
weasleys,0.0003487966515521451
jung,4.982809307887787e-05
alt,4.982809307887787e-05
ausgenommen,4.982809307887787e-05
zusammen,0.0006975933031042902
fehlte,4.982809307887787e-05
bestimmt,0.00014948427923663362
schritten,9.965618615775574e-05
trio,4.982809307887787e-05
einher,4.982809307887787e-05
nährten,4.982809307887787e-05
tribunal,4.982809307887787e-05
schweigend,9.965618615775574e-05
entgegen,4.982809307887787e-05
wisperte,0.00014948427923663362
lucis,4.982809307887787e-05
ungläubig,0.00019931237231551147
glauben,0.00014948427923663362
gerade,0.0012457023269719467
zeitpunkt,4.982809307887787e-05
zuckte,0.00014948427923663362
verräterischen,4.982809307887787e-05
wort,0.00024914046539438933
hoch,0.00019931237231551147
schreckenstarren,4.982809307887787e-05
schmerz,9.965618615775574e-05
gefüllten,4.982809307887787e-05
fokussierten,4.982809307887787e-05
nahm,0.00039862474463102295
spärlichen,4.982809307887787e-05
aufmachung,4.982809307887787e-05
wahr,4.982809307887787e-05
huschten,4.982809307887787e-05
