term,relative_frequency
verspricht,4.463687898942106e-05
davon,0.0005802794268624738
image,2.9757919326280707e-05
aufzubauen,1.4878959663140353e-05
fassade,1.4878959663140353e-05
bisher,0.00011903167730512283
nie,0.000505884628546772
nötig,5.9515838652561414e-05
VOLDEMORT,0.02440149384755018
genauso,0.000252942314273386
antwort,0.00016366855629454388
anschließen,2.9757919326280707e-05
bedeutet,5.9515838652561414e-05
zwangsweise,1.4878959663140353e-05
anzuschließen,2.9757919326280707e-05
befahl,0.00011903167730512283
aufbrausend,1.4878959663140353e-05
absolut,4.463687898942106e-05
autoritär,1.4878959663140353e-05
bevor,0.0006100373461887544
lord,0.0019491437158713862
erhob,0.00020830543528396495
sitzung,5.9515838652561414e-05
beendet,7.439479831570177e-05
begleite,1.4878959663140353e-05
gast,7.439479831570177e-05
bedeutete,0.00013391063696826318
stand,0.0008778586201252808
rasch,2.9757919326280707e-05
ließ,0.0006695531848413159
gerne,0.00023806335461024566
würgende,1.4878959663140353e-05
schlange,0.000252942314273386
mahl,1.4878959663140353e-05
verzehren,1.4878959663140353e-05
sicher,0.0006397952655150352
verdammt,0.00010415271764198248
schnell,0.0002231843949471053
wären,0.00011903167730512283
saal,0.00014878959663140354
entschwunden,1.4878959663140353e-05
geleitete,1.4878959663140353e-05
hinab,2.9757919326280707e-05
kerker,8.927375797884212e-05
führte,5.9515838652561414e-05
zellen,2.9757919326280707e-05
offenbarte,1.4878959663140353e-05
ausholenden,1.4878959663140353e-05
sah,0.0015622907646297372
vielleicht,0.0005505215075361931
mehr,0.0014135011679983335
wirklich,0.0004910056688836316
gepflegt,1.4878959663140353e-05
ging,0.000714190063830737
umständen,4.463687898942106e-05
entsprechend,2.9757919326280707e-05
erblickte,2.9757919326280707e-05
zuckte,0.00017854751595768425
furchtsam,2.9757919326280707e-05
panisch,5.9515838652561414e-05
zurück,0.0008332217411358598
seite,0.0006695531848413159
trat,0.00023806335461024566
schlangengleichen,1.4878959663140353e-05
lords,0.0002827002335996667
ansichtig,1.4878959663140353e-05
wurde,0.001428380127661474
gewand,1.4878959663140353e-05
binsen,1.4878959663140353e-05
boden,0.00038685295124164917
strich,5.9515838652561414e-05
fing,0.00014878959663140354
wisperte,4.463687898942106e-05
seidig,4.463687898942106e-05
freundlich,7.439479831570177e-05
alte,0.00011903167730512283
mann,0.0008183427814727194
schluckte,5.9515838652561414e-05
sichtlich,7.439479831570177e-05
schwer,0.00019342647562082459
versuchte,0.0004166108705679299
gewisse,4.463687898942106e-05
stärke,4.463687898942106e-05
eib,1.4878959663140353e-05
eibenholz,1.4878959663140353e-05
zoooolllll,1.4878959663140353e-05
phönixfeder,1.4878959663140353e-05
t,2.9757919326280707e-05
stotterte,1.4878959663140353e-05
gewohnter,1.4878959663140353e-05
manier,4.463687898942106e-05
hob,0.00023806335461024566
aristokratische,1.4878959663140353e-05
braue,1.4878959663140353e-05
dürfen,2.9757919326280707e-05
zeit,0.0006546742251781755
verlieren,8.927375797884212e-05
richtig,0.00017854751595768425
einschätze,1.4878959663140353e-05
abschied,1.4878959663140353e-05
todesserdasein,1.4878959663140353e-05
bereits,0.0004166108705679299
erfahren,0.00026782127393652636
wohl,0.0005951583865256142
derjenige,5.9515838652561414e-05
meiste,1.4878959663140353e-05
vertrauen,0.00014878959663140354
gehabt,0.00017854751595768425
tot,0.00016366855629454388
anhänger,0.0006100373461887544
versprengt,1.4878959663140353e-05
manor,0.0005654004671993334
einzige,0.000252942314273386
platz,0.0002975791932628071
prozess,2.9757919326280707e-05
beginnt,1.4878959663140353e-05
dabei,0.000505884628546772
behilflich,2.9757919326280707e-05
später,0.0003719739915785088
stellung,1.4878959663140353e-05
gesellschaft,0.00013391063696826318
festigen,1.4878959663140353e-05
einfluss,0.00013391063696826318
kreise,0.00011903167730512283
auszudehnen,1.4878959663140353e-05
benutzt,4.463687898942106e-05
gefährliches,1.4878959663140353e-05
unterfangen,2.9757919326280707e-05
