term,relative_frequency
wirbelte,7.65286599831637e-05
gar,0.0006887579398484733
verträumt,0.0003826432999158185
wild,7.65286599831637e-05
umher,7.65286599831637e-05
kämpfte,0.0001530573199663274
licht,0.0003061146399326548
trat,0.00022958597994949108
zögerte,0.0001530573199663274
entwaffnete,7.65286599831637e-05
fesselt,7.65286599831637e-05
sofort,0.00045917195989898216
immer,0.001530573199663274
verbissen,7.65286599831637e-05
sah,0.0012244585597306192
mehr,0.0011479298997474554
verträumten,7.65286599831637e-05
versonnen,0.0001530573199663274
blauen,7.65286599831637e-05
augen,0.000994872579781128
wirkte,0.0005357006198821459
wütend,0.00022958597994949108
blut,7.65286599831637e-05
aufgeschnittene,7.65286599831637e-05
wange,7.65286599831637e-05
fluch,7.65286599831637e-05
levicorpus,7.65286599831637e-05
löste,7.65286599831637e-05
blitzartig,7.65286599831637e-05
zauberstab,0.0001530573199663274
traf,7.65286599831637e-05
geschockt,7.65286599831637e-05
s,0.00022958597994949108
blutende,7.65286599831637e-05
wunde,0.0001530573199663274
starrte,0.0003061146399326548
daraufhin,7.65286599831637e-05
verlor,7.65286599831637e-05
schwungvoll,7.65286599831637e-05
boden,0.00022958597994949108
füßen,7.65286599831637e-05
wurde,0.000765286599831637
ruckartig,7.65286599831637e-05
hoch,7.65286599831637e-05
luft,0.0003061146399326548
gerissen,7.65286599831637e-05
versuchte,0.00045917195989898216
letzter,0.0001530573199663274
sekunde,0.00022958597994949108
deckung,7.65286599831637e-05
tür,0.00045917195989898216
finden,0.0003826432999158185
splitterhagel,7.65286599831637e-05
relativ,0.0001530573199663274
schutzlos,7.65286599831637e-05
ausgeliefert,7.65286599831637e-05
daher,0.0001530573199663274
hielt,0.00045917195989898216
schreiend,7.65286599831637e-05
hände,0.0001530573199663274
vors,7.65286599831637e-05
gesicht,0.0005357006198821459
blutete,7.65286599831637e-05
mehreren,7.65286599831637e-05
wunden,7.65286599831637e-05
unten,0.0001530573199663274
hängender,7.65286599831637e-05
kopf,0.00045917195989898216
röter,7.65286599831637e-05
verschwand,7.65286599831637e-05
flott,7.65286599831637e-05
inneren,0.0001530573199663274
hauses,0.0001530573199663274
erweckten,7.65286599831637e-05
enervate,7.65286599831637e-05
wiederzubeleben,7.65286599831637e-05
beispiel,0.00022958597994949108
anapneo,7.65286599831637e-05
benötigte,7.65286599831637e-05
schlafmittel,7.65286599831637e-05
nebel,7.65286599831637e-05
atemwege,7.65286599831637e-05
verstopft,7.65286599831637e-05
wenig,0.0006887579398484733
bekommen,0.00022958597994949108
nachdem,0.0001530573199663274
gegenzauber,7.65286599831637e-05
liberarcorpus,7.65286599831637e-05
gefischt,7.65286599831637e-05
mussten,0.00022958597994949108
ferula,7.65286599831637e-05
magisch,0.0001530573199663274
knochen,7.65286599831637e-05
schienen,0.0001530573199663274
gehören,7.65286599831637e-05
raum,0.0006887579398484733
änderte,7.65286599831637e-05
jeweiligen,0.0001530573199663274
bedürfnisse,7.65286599831637e-05
fünferteams,7.65286599831637e-05
recht,0.0006887579398484733
veränderten,7.65286599831637e-05
verschwanden,7.65286599831637e-05
zusammen,0.0011479298997474554
massiven,7.65286599831637e-05
steinwand,7.65286599831637e-05
bösen,0.0001530573199663274
schwarzmagischen,7.65286599831637e-05
sprüchen,7.65286599831637e-05
schützten,7.65286599831637e-05
denke,0.00022958597994949108
beim,0.0003061146399326548
ersten,0.00045917195989898216
training,0.0001530573199663274
drannehmen,7.65286599831637e-05
erst,0.0008418152598148006
spielerische,7.65286599831637e-05
winkte,7.65286599831637e-05
ecke,0.0003826432999158185
dicken,7.65286599831637e-05
matten,7.65286599831637e-05
ausstaffiert,7.65286599831637e-05
deren,0.0001530573199663274
wänden,7.65286599831637e-05
hilfsmittel,7.65286599831637e-05
hingen,7.65286599831637e-05
verteufelte,7.65286599831637e-05
bo,7.65286599831637e-05
stecken,0.0001530573199663274
nie,0.00045917195989898216
lieben,7.65286599831637e-05
klar,7.65286599831637e-05
aufgeregt,0.0003826432999158185
fast,0.0003826432999158185
aufgekratzt,7.65286599831637e-05
gruppe,0.00045917195989898216
wirkten,7.65286599831637e-05
willig,7.65286599831637e-05
ließen,7.65286599831637e-05
erschöpfte,7.65286599831637e-05
nieder,0.00022958597994949108
schien,0.0006122292798653096
froh,7.65286599831637e-05
sitzen,0.0001530573199663274
team,0.0003826432999158185
strebte,7.65286599831637e-05
angeführt,7.65286599831637e-05
frohgemut,7.65286599831637e-05
eilte,7.65286599831637e-05
dabei,0.0006887579398484733
wies,7.65286599831637e-05
weniger,0.0001530573199663274
rede,7.65286599831637e-05
ministerium,7.65286599831637e-05
erzählen,0.0003061146399326548
ließ,0.0006887579398484733
kingswear,7.65286599831637e-05
erfuhr,7.65286599831637e-05
wirklich,0.00045917195989898216
flucht,0.00022958597994949108
erlebt,0.0001530573199663274
gesehen,0.0003061146399326548
erkannte,0.00022958597994949108
pech,7.65286599831637e-05
gehabt,0.0003061146399326548
lestranges,7.65286599831637e-05
laufen,0.0001530573199663274
zogen,7.65286599831637e-05
blutig,0.0001530573199663274
mordend,7.65286599831637e-05
skrupel,7.65286599831637e-05
auftrag,7.65286599831637e-05
grausames,7.65286599831637e-05
abend,0.00045917195989898216
erzählte,0.0001530573199663274
schillerndsten,7.65286599831637e-05
buntesten,7.65286599831637e-05
ureigenste,7.65286599831637e-05
schmückte,7.65286599831637e-05
großzügig,7.65286599831637e-05
tisch,0.0009183439197979643
fallen,7.65286599831637e-05
zeigte,0.0001530573199663274
erzählung,0.0001530573199663274
große,0.0003061146399326548
lücken,7.65286599831637e-05
konnte,0.000994872579781128
eindrucks,7.65286599831637e-05
erwehren,7.65286599831637e-05
kam,0.0013775158796969465
ließe,7.65286599831637e-05
worauf,0.0001530573199663274
schon,0.0018366878395959286
nickte,0.0006887579398484733
unbehaglich,7.65286599831637e-05
ja,0.0013009872197137827
vertrauen,7.65286599831637e-05
verdienen,7.65286599831637e-05
dafür,0.00022958597994949108
slytherins,7.65286599831637e-05
bisher,0.0003826432999158185
gut,0.000994872579781128
chance,0.0001530573199663274
gegeben,7.65286599831637e-05
durchaus,7.65286599831637e-05
assistenten,7.65286599831637e-05
ebenfalls,0.0008418152598148006
später,0.0006122292798653096
bat,7.65286599831637e-05
machte,0.0003826432999158185
übergangslos,0.0001530573199663274
ravenclaw,0.0006122292798653096
führung,7.65286599831637e-05
bleiben,7.65286599831637e-05
gryffindor,0.0008418152598148006
colyn,7.65286599831637e-05
creevey,7.65286599831637e-05
kommt,0.0001530573199663274
slytherin,0.0009183439197979643
neu,7.65286599831637e-05
freue,0.0001530573199663274
änderungen,7.65286599831637e-05
derart,7.65286599831637e-05
gleichmütig,7.65286599831637e-05
entgegen,7.65286599831637e-05
seht,7.65286599831637e-05
geht,0.0003061146399326548
gleich,0.0003061146399326548
nähe,7.65286599831637e-05
abgetrennten,7.65286599831637e-05
raumes,0.0001530573199663274
werdet,7.65286599831637e-05
beginnen,7.65286599831637e-05
üben,7.65286599831637e-05
barg,7.65286599831637e-05
bleiches,7.65286599831637e-05
verlegen,0.0001530573199663274
armen,0.0003061146399326548
auflösen,7.65286599831637e-05
fassungslos,7.65286599831637e-05
offenbarung,7.65286599831637e-05
anstarrten,7.65286599831637e-05
schockierenden,7.65286599831637e-05
beichte,7.65286599831637e-05
verdauen,7.65286599831637e-05
wow,7.65286599831637e-05
heftig,7.65286599831637e-05
unerwartet,0.0001530573199663274
schockierende,7.65286599831637e-05
erkenntnis,7.65286599831637e-05
gerade,0.0012244585597306192
einfach,0.0003826432999158185
privat,7.65286599831637e-05
schrecklich,0.00022958597994949108
jemand,0.0003061146399326548
teilen,0.0001530573199663274
fragte,0.0009183439197979643
warum,0.0001530573199663274
offen,0.0001530573199663274
laut,0.0003061146399326548
ausgesprochen,0.0001530573199663274
bilder,0.0001530573199663274
anscheinend,0.0003826432999158185
zeigten,7.65286599831637e-05
bogen,7.65286599831637e-05
unsichtbaren,0.0001530573199663274
schleier,7.65286599831637e-05
bräuchte,7.65286599831637e-05
wüssten,7.65286599831637e-05
vollkommen,0.0003061146399326548
egal,0.0001530573199663274
warf,0.0003826432999158185
weiß,0.0003061146399326548
dunkel,7.65286599831637e-05
hör,7.65286599831637e-05
sagt,7.65286599831637e-05
glaub,0.00022958597994949108
jahr,0.0001530573199663274
sieben,7.65286599831637e-05
gingen,0.0005357006198821459
hinein,7.65286599831637e-05
warten,0.00022958597994949108
kamen,0.0006122292798653096
anwesend,7.65286599831637e-05
begann,0.00022958597994949108
sprechen,0.00022958597994949108
abwesenheit,7.65286599831637e-05
wald,0.0003061146399326548
vorgefallen,7.65286599831637e-05
wusste,0.0005357006198821459
moment,0.00045917195989898216
sicher,0.0003826432999158185
richtig,0.00022958597994949108
wandte,0.00022958597994949108
blick,0.0009183439197979643
murmelte,0.00022958597994949108
tänzelte,7.65286599831637e-05
leichtfüßig,7.65286599831637e-05
dannen,7.65286599831637e-05
veela,0.0005357006198821459
schrie,0.00022958597994949108
ganz,0.0005357006198821459
überlegte,7.65286599831637e-05
reagierte,7.65286599831637e-05
unerwartete,7.65286599831637e-05
weise,7.65286599831637e-05
zauberte,7.65286599831637e-05
dicke,7.65286599831637e-05
ohrenschützer,7.65286599831637e-05
schwarze,7.65286599831637e-05
brille,7.65286599831637e-05
herbei,7.65286599831637e-05
krönen,7.65286599831637e-05
astronautenhelm,7.65286599831637e-05
schlug,7.65286599831637e-05
eindeutig,7.65286599831637e-05
muggelseite,7.65286599831637e-05
sirenengesang,7.65286599831637e-05
schützen,0.0001530573199663274
sensibel,7.65286599831637e-05
wertvolle,7.65286599831637e-05
gabe,7.65286599831637e-05
unterdessen,7.65286599831637e-05
hing,0.0001530573199663274
stoppen,7.65286599831637e-05
vertrauensvoll,7.65286599831637e-05
benebeltem,7.65286599831637e-05
wesen,0.0003061146399326548
zuhielt,7.65286599831637e-05
gierig,7.65286599831637e-05
beute,7.65286599831637e-05
hilf,7.65286599831637e-05
panisch,7.65286599831637e-05
bevor,0.0006122292798653096
abrupt,0.0003061146399326548
losließ,7.65286599831637e-05
ziegelsteinwand,7.65286599831637e-05
direkt,0.0003061146399326548
erschuf,7.65286599831637e-05
woraufhin,7.65286599831637e-05
blinder,7.65286599831637e-05
wucht,0.0001530573199663274
dagegen,0.0001530573199663274
frau,0.00022958597994949108
lag,0.0001530573199663274
frage,0.0001530573199663274
aussage,0.0001530573199663274
irland,0.0001530573199663274
wirkung,7.65286599831637e-05
seite,0.0006887579398484733
stimmt,0.0001530573199663274
sagst,7.65286599831637e-05
bestimmt,0.0001530573199663274
glamour,7.65286599831637e-05
sehen,0.00045917195989898216
sieht,7.65286599831637e-05
geier,7.65286599831637e-05
gab,0.0003826432999158185
bedenken,7.65286599831637e-05
schüttelte,0.0001530573199663274
innerlich,7.65286599831637e-05
trotzdem,0.0001530573199663274
begegnung,7.65286599831637e-05
weltmeisterschaft,7.65286599831637e-05
eigenwillig,7.65286599831637e-05
ohhh,7.65286599831637e-05
magst,0.0001530573199663274
meinte,0.0005357006198821459
munter,0.0001530573199663274
unterdrückte,0.0001530573199663274
knurren,7.65286599831637e-05
daran,0.00022958597994949108
dachte,0.0003826432999158185
zurückgekehrt,7.65286599831637e-05
verdrängen,7.65286599831637e-05
suchte,0.0001530573199663274
lange,0.0003061146399326548
zeit,0.00045917195989898216
verbracht,0.00022958597994949108
wehrte,7.65286599831637e-05
hartnäckig,7.65286599831637e-05
charme,7.65286599831637e-05
setzte,0.00022958597994949108
vehement,7.65286599831637e-05
wehr,7.65286599831637e-05
murrte,0.0001530573199663274
düster,0.0001530573199663274
deutete,0.0003061146399326548
zaubern,7.65286599831637e-05
bearbeitete,7.65286599831637e-05
geist,7.65286599831637e-05
klären,7.65286599831637e-05
hast,0.00045917195989898216
schau,7.65286599831637e-05
raus,0.0003061146399326548
absolut,0.00022958597994949108
finstere,7.65286599831637e-05
aufgrund,7.65286599831637e-05
entgeisterten,7.65286599831637e-05
gesichtsausdrucks,7.65286599831637e-05
skepsis,7.65286599831637e-05
erkennen,7.65286599831637e-05
komm,0.00022958597994949108
betonte,7.65286599831637e-05
einschlagenden,7.65286599831637e-05
lärm,7.65286599831637e-05
funken,7.65286599831637e-05
regnenden,7.65286599831637e-05
feuerbälle,0.00022958597994949108
ziegelmauer,7.65286599831637e-05
aufgebracht,7.65286599831637e-05
eher,0.0001530573199663274
endlich,0.0003826432999158185
brüllte,7.65286599831637e-05
sprang,0.0001530573199663274
kleines,7.65286599831637e-05
stück,0.0001530573199663274
mauer,7.65286599831637e-05
einbrach,7.65286599831637e-05
sprach,0.0003061146399326548
namen,0.0003826432999158185
deutlicher,7.65286599831637e-05
vorwurf,7.65286599831637e-05
kurz,0.0005357006198821459
