term,relative_frequency
hakte,3.311770030689069e-05
ruhig,0.00023182390214823484
dagegen,0.0001103923343563023
dürfen,5.519616717815115e-05
kommen,0.0003311770030689069
neue,0.00016558850153445344
häusern,1.103923343563023e-05
erstmal,8.831386748504184e-05
aufnehmen,1.103923343563023e-05
augenblicklich,2.207846687126046e-05
angespannt,4.415693374252092e-05
absolut,6.623540061378138e-05
aufmerksam,9.935310092067207e-05
trat,0.0001103923343563023
leise,0.0004194908705539487
langsam,0.00030909853619764645
näher,0.00012143156779193253
heran,6.623540061378138e-05
sah,0.0017993950500077274
schon,0.0021747289868191554
entfernung,2.207846687126046e-05
freundliches,2.207846687126046e-05
gespräch,0.00027598083589075575
vernahm,4.415693374252092e-05
kalte,3.311770030689069e-05
stimme,0.0006071578389596627
sagte,0.0020422581855915924
lass,0.00019870620184134414
party,0.00012143156779193253
geht,0.0003753339368114278
heißt,0.00012143156779193253
lange,0.0005078047380389905
frei,7.727463404941161e-05
bewahre,2.207846687126046e-05
dahin,5.519616717815115e-05
gehen,0.0004415693374252092
hör,6.623540061378138e-05
fragen,0.00026494160245512554
kleinen,0.0003311770030689069
ravenclaw,0.0003753339368114278
abgemacht,2.207846687126046e-05
mitnahm,1.103923343563023e-05
gut,0.00096041330889983
sogar,0.0003642947033757976
aufgefallen,5.519616717815115e-05
longbottom,0.00015454926809882323
wohl,0.0005188439714746208
getrennt,2.207846687126046e-05
warum,0.00024286313558386505
kümmerte,3.311770030689069e-05
schenkte,9.935310092067207e-05
fröhliches,1.103923343563023e-05
verträumtes,1.103923343563023e-05
lächeln,0.0005188439714746208
begrüßte,0.00012143156779193253
worten,0.00014351003466319298
oh,0.0003974124036826883
hoffe,0.00014351003466319298
stört,1.103923343563023e-05
eingeladen,8.831386748504184e-05
recht,0.0004084516371183185
feind,3.311770030689069e-05
gegangen,0.00024286313558386505
entspannte,2.207846687126046e-05
stimmung,0.0001103923343563023
schnell,0.0005188439714746208
plapperte,4.415693374252092e-05
munter,5.519616717815115e-05
s,0.00014351003466319298
besser,0.00028702006932638597
wüsste,4.415693374252092e-05
sagen,0.0004084516371183185
viele,0.00028702006932638597
schickschlupfe,1.103923343563023e-05
kopf,0.0007396286401872254
weißt,0.0002207846687126046
bringen,0.00013247080122756277
dumme,1.103923343563023e-05
dinge,0.0001103923343563023
tun,0.00020974543527697435
immer,0.0016227673150376438
macht,0.00025390236901949527
dumm,1.103923343563023e-05
vergeben,3.311770030689069e-05
kam,0.0007727463404941161
erstaunlich,2.207846687126046e-05
schnippisch,2.207846687126046e-05
bl,1.103923343563023e-05
kollegin,1.103923343563023e-05
unterhakte,2.207846687126046e-05
stehen,0.0002980593027620162
brüsk,2.207846687126046e-05
ließ,0.0006623540061378138
mädels,6.623540061378138e-05
verdattert,4.415693374252092e-05
hinterher,8.831386748504184e-05
wobei,0.00026494160245512554
sieeinige,1.103923343563023e-05
lacher,1.103923343563023e-05
kassierte,1.103923343563023e-05
pav,1.103923343563023e-05
lav,1.103923343563023e-05
amüsierte,2.207846687126046e-05
hübsche,4.415693374252092e-05
chinesin,1.103923343563023e-05
chancen,2.207846687126046e-05
ausrechnete,2.207846687126046e-05
ja,0.0011260018104342834
mal,0.0012584726116618462
echte,2.207846687126046e-05
konkurrentin,1.103923343563023e-05
plus,1.103923343563023e-05
baby,6.623540061378138e-05
gab,0.0006513147727021835
gar,0.000430530103989579
ankommen,2.207846687126046e-05
vorüber,1.103923343563023e-05
überraschung,7.727463404941161e-05
tauchte,3.311770030689069e-05
astoria,0.0001103923343563023
ganz,0.0006513147727021835
plötzlich,0.00034221623650453715
sichtlich,2.207846687126046e-05
irritiert,7.727463404941161e-05
schläfen,1.103923343563023e-05
strich,7.727463404941161e-05
derart,2.207846687126046e-05
seiten,5.519616717815115e-05
angegangen,1.103923343563023e-05
wurde,0.000916256375157309
obgleich,2.207846687126046e-05
jungs,0.0002207846687126046
entspannt,1.103923343563023e-05
zurückhielten,1.103923343563023e-05
einfach,0.0007727463404941161
schauspiel,2.207846687126046e-05
zickender,1.103923343563023e-05
