term,relative_frequency
weiß,0.00016121231662098983
gar,0.00024181847493148477
jemand,0.00016121231662098983
mitkommt,8.060615831049492e-05
heute,0.00032242463324197966
angekündigt,8.060615831049492e-05
ja,0.0012896985329679186
schule,0.00016121231662098983
fertig,0.00040303079155247463
ereignis,8.060615831049492e-05
guten,8.060615831049492e-05
morgen,0.00032242463324197966
sagte,0.0037078832822827665
fröhlich,8.060615831049492e-05
lächeln,0.0006448492664839593
vier,0.00024181847493148477
jungs,0.00040303079155247463
schlepptau,8.060615831049492e-05
schlafsaal,0.0008060615831049493
siebtklässlerinnen,8.060615831049492e-05
hölle,0.00016121231662098983
habt,0.00016121231662098983
suchen,8.060615831049492e-05
gefühl,0.00016121231662098983
unterbrochen,0.00024181847493148477
hätte,0.0013703046912784138
zwei,0.0007254554247944543
minuten,0.00040303079155247463
zuvor,0.00016121231662098983
freundschaftsarmband,0.00016121231662098983
hast,0.00048363694986296955
gesagt,0.0006448492664839593
euphemismus,8.060615831049492e-05
bevor,0.00048363694986296955
antworten,0.00016121231662098983
konnte,0.0016121231662098985
erschienen,0.00016121231662098983
setzten,0.00024181847493148477
gegenüber,0.00040303079155247463
setzte,0.0007254554247944543
neben,0.0024987909076253424
leere,0.00024181847493148477
bett,0.0012090923746574237
seite,0.00040303079155247463
donna,0.00048363694986296955
wand,0.00024181847493148477
gelehnt,8.060615831049492e-05
stand,0.001047880058036434
verschränkten,8.060615831049492e-05
armen,8.060615831049492e-05
untypischerweise,8.060615831049492e-05
abendessenszeit,8.060615831049492e-05
krankenflügel,0.00016121231662098983
ankam,0.00016121231662098983
frag,0.00024181847493148477
irgendetwas,0.00016121231662098983
brauchst,8.060615831049492e-05
danke,0.00032242463324197966
ging,0.0007254554247944543
weißt,0.00024181847493148477
ecke,0.00024181847493148477
griffiths,8.060615831049492e-05
stahl,8.060615831049492e-05
leicht,0.00032242463324197966
geöffneten,8.060615831049492e-05
tore,8.060615831049492e-05
großen,0.00048363694986296955
halle,0.0006448492664839593
paar,0.0011284862163469288
nachdem,0.00032242463324197966
reingekommen,8.060615831049492e-05
ältere,8.060615831049492e-05
hexe,0.00024181847493148477
stellte,0.00016121231662098983
sofort,0.0005642431081734644
verpasst,0.00024181847493148477
anscheinend,0.00016121231662098983
perfekte,8.060615831049492e-05
urlaubsort,8.060615831049492e-05
tja,0.00016121231662098983
fallen,0.00040303079155247463
sommerpläne,8.060615831049492e-05
wohl,0.0006448492664839593
wasser,0.00024181847493148477
antwortete,0.00032242463324197966
unterdrückte,8.060615831049492e-05
überlegt,8.060615831049492e-05
schwänzen,8.060615831049492e-05
fuhr,0.00040303079155247463
jüngere,8.060615831049492e-05
leise,0.00032242463324197966
fort,0.00024181847493148477
gerüche,8.060615831049492e-05
feuerwhiskey,8.060615831049492e-05
butterbier,8.060615831049492e-05
rauch,8.060615831049492e-05
stachen,8.060615831049492e-05
heraus,8.060615831049492e-05
gab,0.00032242463324197966
menge,0.00032242463324197966
essen,0.00040303079155247463
büchertasche,0.00016121231662098983
werfend,8.060615831049492e-05
machte,0.0005642431081734644
nächsten,0.00032242463324197966
hey,0.00024181847493148477
rief,0.00016121231662098983
stimme,0.00040303079155247463
plärrenden,8.060615831049492e-05
lärm,0.00016121231662098983
drehte,0.00040303079155247463
sehen,0.0006448492664839593
adam,0.00032242463324197966
näherte,0.00016121231662098983
hättest,0.00016121231662098983
eins,8.060615831049492e-05
bestellt,8.060615831049492e-05
post,8.060615831049492e-05
bekommen,0.0005642431081734644
jedoch,0.00032242463324197966
stebbins,8.060615831049492e-05
butterbieren,0.00016121231662098983
zurückkam,8.060615831049492e-05
unterhaltung,0.00016121231662098983
zurückwendete,8.060615831049492e-05
fragen,0.00032242463324197966
gerade,0.0008060615831049493
sagen,0.0005642431081734644
liebe,0.00016121231662098983
geburtstag,8.060615831049492e-05
zog,0.0008060615831049493
quadratische,8.060615831049492e-05
goldverpackte,8.060615831049492e-05
box,8.060615831049492e-05
rücken,0.00016121231662098983
hervor,0.00024181847493148477
überreichte,8.060615831049492e-05
kannst,8.060615831049492e-05
notizen,8.060615831049492e-05
behalten,0.00016121231662098983
einfach,0.00040303079155247463
äh,8.060615831049492e-05
warte,0.00016121231662098983
warf,0.00032242463324197966
bereits,0.0012896985329679186
schulter,0.0005642431081734644
eilte,8.060615831049492e-05
wüsste,8.060615831049492e-05
alleine,0.00032242463324197966
abendessen,8.060615831049492e-05
gryffindortisch,0.00024181847493148477
lieben,8.060615831049492e-05
sagt,0.00040303079155247463
platonische,8.060615831049492e-05
freundin,0.0006448492664839593
liebt,8.060615831049492e-05
später,0.0005642431081734644
mehr,0.0015315170078994036
trotzdem,0.00032242463324197966
trug,8.060615831049492e-05
mehrheit,8.060615831049492e-05
älterer,0.00016121231662098983
zauberer,0.00048363694986296955
senfgelben,8.060615831049492e-05
dreiteiler,8.060615831049492e-05
gruppe,0.00032242463324197966
sam,0.00032242463324197966
sarah,0.00016121231662098983
beinhaltete,8.060615831049492e-05
wurde,0.0009672738997259391
vorgestellt,8.060615831049492e-05
schloss,0.00040303079155247463
manchmal,0.00016121231662098983
rufen,0.00016121231662098983
sprach,0.00016121231662098983
denen,0.00048363694986296955
herum,0.00048363694986296955
natürlich,0.00040303079155247463
zeitpunkt,8.060615831049492e-05
kurze,8.060615831049492e-05
diskussion,8.060615831049492e-05
kannte,8.060615831049492e-05
gefragt,8.060615831049492e-05
speziell,8.060615831049492e-05
event,8.060615831049492e-05
haare,0.00032242463324197966
gefärbt,8.060615831049492e-05
rumtreiber,0.0011284862163469288
immer,0.0016927293245203934
zurückgekehrt,8.060615831049492e-05
fast,0.00032242463324197966
uhr,0.00016121231662098983
dreißig,8.060615831049492e-05
irgendwas,0.00016121231662098983
wirklich,0.0005642431081734644
interessantes,8.060615831049492e-05
begann,0.00016121231662098983
aufflackern,8.060615831049492e-05
grünen,0.00032242463324197966
flammen,8.060615831049492e-05
kamine,8.060615831049492e-05
bedruckt,8.060615831049492e-05
elisha,8.060615831049492e-05
garrett,8.060615831049492e-05
standen,0.00040303079155247463
singenden,8.060615831049492e-05
masse,8.060615831049492e-05
beim,0.0006448492664839593
brunnen,0.00024181847493148477
zurückkehrten,8.060615831049492e-05
grinste,0.0008060615831049493
hielten,0.00024181847493148477
wenige,0.00032242463324197966
schritte,0.00016121231662098983
grenze,8.060615831049492e-05
rotgewandeten,8.060615831049492e-05
protestierenden,8.060615831049492e-05
entfernt,0.00016121231662098983
nähe,0.00032242463324197966
aufzüge,8.060615831049492e-05
gingen,0.00048363694986296955
meter,8.060615831049492e-05
hielt,0.00016121231662098983
weiterer,8.060615831049492e-05
festen,8.060615831049492e-05
entschlossenen,8.060615831049492e-05
ausdruck,0.00040303079155247463
gesicht,0.0007254554247944543
auftragszauberer,0.00016121231662098983
hörte,0.00016121231662098983
jemanden,0.00032242463324197966
flüstern,8.060615831049492e-05
ließ,0.0012090923746574237
moment,0.00032242463324197966
bestätigung,8.060615831049492e-05
rotgekleideten,8.060615831049492e-05
gäste,8.060615831049492e-05
gefolgt,0.00032242463324197966
sah,0.0008060615831049493
glücklich,0.00024181847493148477
darf,8.060615831049492e-05
murmelte,0.00032242463324197966
solltest,0.00024181847493148477
gehen,0.0005642431081734644
cousin,8.060615831049492e-05
leute,0.00024181847493148477
ministerium,8.060615831049492e-05
neuen,0.00024181847493148477
leiter,8.060615831049492e-05
abteilung,8.060615831049492e-05
magische,8.060615831049492e-05
strafverfolgung,8.060615831049492e-05
sams,8.060615831049492e-05
bruder,0.00016121231662098983
neue,0.00032242463324197966
gesetzgebung,8.060615831049492e-05
muggelstämmige,8.060615831049492e-05
pro,8.060615831049492e-05
jahr,0.00024181847493148477
hogwarts,0.00024181847493148477
zulassen,8.060615831049492e-05
protestieren,0.00016121231662098983
füllte,0.00016121231662098983
papierkram,8.060615831049492e-05
reichte,0.00016121231662098983
braut,8.060615831049492e-05
gelegentlich,8.060615831049492e-05
feder,0.00016121231662098983
pergament,0.00024181847493148477
unterschrift,8.060615831049492e-05
großteil,0.00016121231662098983
formulars,8.060615831049492e-05
diktat,8.060615831049492e-05
beschäftigt,0.00032242463324197966
brauchten,8.060615831049492e-05
verschollenen,8.060615831049492e-05
trauzeugin,8.060615831049492e-05
bescheid,8.060615831049492e-05
zeremonie,8.060615831049492e-05
bald,0.00032242463324197966
trauzauberer,8.060615831049492e-05
kleiner,0.00032242463324197966
chronisch,8.060615831049492e-05
gestresst,8.060615831049492e-05
wirkte,8.060615831049492e-05
informierte,8.060615831049492e-05
flur,8.060615831049492e-05
lief,8.060615831049492e-05
rothaarige,8.060615831049492e-05
raum,0.00024181847493148477
geschickt,0.00016121231662098983
umarmten,0.00016121231662098983
schwarzhaarige,8.060615831049492e-05
fragte,0.001047880058036434
schließlich,0.0008060615831049493
kurzerhand,8.060615831049492e-05
beschlossen,0.00016121231662098983
streichewettbewerb,8.060615831049492e-05
teilzunehmen,8.060615831049492e-05
grunde,8.060615831049492e-05
fair,8.060615831049492e-05
team,0.00024181847493148477
mädchen,0.0007254554247944543
person,8.060615831049492e-05
schulsprecherin,8.060615831049492e-05
meinung,8.060615831049492e-05
streberin,8.060615831049492e-05
tauschten,0.00016121231662098983
verständnislose,8.060615831049492e-05
blicke,0.00024181847493148477
marauder,8.060615831049492e-05
beruhigt,8.060615831049492e-05
okay,0.00016121231662098983
schlage,8.060615831049492e-05
kommen,0.00016121231662098983
endlich,0.00040303079155247463
mal,0.0012896985329679186
punkt,8.060615831049492e-05
treffens,8.060615831049492e-05
ah,8.060615831049492e-05
blacky,8.060615831049492e-05
kommt,0.00048363694986296955
höhepunkt,8.060615831049492e-05
witzelte,8.060615831049492e-05
fingen,8.060615831049492e-05
kichern,0.00016121231662098983
taff,8.060615831049492e-05
begabt,8.060615831049492e-05
auffällig,8.060615831049492e-05
observativ,8.060615831049492e-05
fällt,8.060615831049492e-05
absolut,0.00016121231662098983
wovor,8.060615831049492e-05
angst,8.060615831049492e-05
gesetzt,8.060615831049492e-05
betrachtete,0.00016121231662098983
sag,8.060615831049492e-05
mädels,8.060615831049492e-05
prusteten,8.060615831049492e-05
los,0.0007254554247944543
langsam,0.00032242463324197966
schauen,0.00032242463324197966
verdrehte,8.060615831049492e-05
schlaf,0.00024181847493148477
müden,8.060615831049492e-05
augen,0.0013703046912784138
schüttete,8.060615831049492e-05
prompt,8.060615831049492e-05
kaffee,8.060615831049492e-05
bluse,8.060615831049492e-05
kommandierte,8.060615831049492e-05
erschrocken,0.00040303079155247463
gehorchte,8.060615831049492e-05
trat,0.00032242463324197966
zurück,0.00048363694986296955
macht,8.060615831049492e-05
schreibt,8.060615831049492e-05
gerne,0.00016121231662098983
reviews,8.060615831049492e-05
feedback,8.060615831049492e-05
kritik,8.060615831049492e-05
etc,0.00016121231662098983
könnt,8.060615831049492e-05
versuchen,8.060615831049492e-05
inhalt,0.00016121231662098983
gelben,8.060615831049492e-05
fläschchens,8.060615831049492e-05
erraten,0.00016121231662098983
fawkesburningfeather,8.060615831049492e-05
aka,8.060615831049492e-05
lea,8.060615831049492e-05
kapitel,8.060615831049492e-05
quidditch,0.00016121231662098983
hormongesteuerten,8.060615831049492e-05
teenagernnachdem,8.060615831049492e-05
geklärt,8.060615831049492e-05
worden,8.060615831049492e-05
keinesfalls,8.060615831049492e-05
betrogen,8.060615831049492e-05
mittel,8.060615831049492e-05
zweck,8.060615831049492e-05
fungiert,8.060615831049492e-05
lockerte,8.060615831049492e-05
stimmung,0.00024181847493148477
schien,0.0008060615831049493
besorgt,0.0005642431081734644
phiole,8.060615831049492e-05
vergessen,0.00032242463324197966
vorgefallen,8.060615831049492e-05
verschwunden,0.00024181847493148477
letzten,0.00032242463324197966
tage,0.00016121231662098983
entschädigen,0.00016121231662098983
bat,8.060615831049492e-05
inständig,8.060615831049492e-05
darum,8.060615831049492e-05
eigenen,8.060615831049492e-05
zwinkerte,0.00024181847493148477
woraufhin,0.00032242463324197966
black,0.00048363694986296955
ungefähr,8.060615831049492e-05
zehn,0.00016121231662098983
sekunden,0.00016121231662098983
zweifelsohne,8.060615831049492e-05
fall,0.00016121231662098983
reinliche,8.060615831049492e-05
bettwäsche,8.060615831049492e-05
allerdings,0.00032242463324197966
abgelenkt,0.00016121231662098983
quidditchfeld,0.00024181847493148477
schleppte,8.060615831049492e-05
erste,0.00016121231662098983
trainingseinheit,8.060615831049492e-05
saison,8.060615831049492e-05
starten,8.060615831049492e-05
kommentare,8.060615831049492e-05
mitschüler,0.00016121231662098983
ausblenden,8.060615831049492e-05
situation,0.00016121231662098983
unglaublich,0.00016121231662098983
cool,0.00016121231662098983
umgehen,0.00016121231662098983
witze,8.060615831049492e-05
körper,0.00016121231662098983
konnten,0.00032242463324197966
abgesehen,0.00016121231662098983
teilte,0.00040303079155247463
prewett,0.00032242463324197966
gehörten,8.060615831049492e-05
sonderlich,0.00024181847493148477
viele,0.00024181847493148477
freunde,0.00032242463324197966
obwohl,0.00032242463324197966
letzteres,8.060615831049492e-05
unterricht,0.00024181847493148477
empfehlendswert,8.060615831049492e-05
saß,0.0008060615831049493
verwandlung,8.060615831049492e-05
ausnahmegenehmigung,8.060615831049492e-05
gestern,0.00016121231662098983
abgereist,0.00016121231662098983
beerdigung,0.00016121231662098983
großmutter,0.00024181847493148477
beiwohnen,8.060615831049492e-05
doppelstunde,8.060615831049492e-05
reihe,0.00032242463324197966
prusten,8.060615831049492e-05
verwundert,8.060615831049492e-05
umdrehen,0.00016121231662098983
entdeckte,0.00032242463324197966
faust,8.060615831049492e-05
bissen,8.060615831049492e-05
laut,0.00032242463324197966
unterdrücktes,8.060615831049492e-05
gekicher,8.060615831049492e-05
hob,0.00032242463324197966
augenbraue,8.060615831049492e-05
metern,8.060615831049492e-05
entfernung,8.060615831049492e-05
zweitklässler,8.060615831049492e-05
tentakeln,8.060615831049492e-05
riesenkraken,8.060615831049492e-05
beruhigen,0.00016121231662098983
genoss,8.060615831049492e-05
wärmenden,8.060615831049492e-05
sonnenstrahlen,0.00016121231662098983
vielen,0.00016121231662098983
lernen,0.00032242463324197966
bleichen,8.060615831049492e-05
sehe,8.060615831049492e-05
fiona,0.0006448492664839593
