term,relative_frequency
verfolgten,4.108294646892075e-05
großen,0.0004108294646892075
augen,0.0009449077687851773
erhob,0.00020541473234460375
steckte,0.00012324883940676226
rücken,4.108294646892075e-05
erwarte,8.21658929378415e-05
kam,0.0012324883940676226
weiterzureden,4.108294646892075e-05
vortrat,4.108294646892075e-05
einfach,0.0007394930364405736
wort,0.00028758062528244524
abschnitt,4.108294646892075e-05
wohl,0.0005340783040959698
zweitrangig,4.108294646892075e-05
hogwarts,0.001314654287005464
wissen,0.0007805759829094943
madam,0.008339838133190912
hinterfragen,4.108294646892075e-05
schon,0.0020952302699149584
trat,0.0002464976788135245
legte,0.0002464976788135245
hand,0.000821658929378415
schulter,0.000328663571751366
gab,0.0004108294646892075
schließlich,0.0003697465182202868
anweisungen,8.21658929378415e-05
hooch,0.00028758062528244524
professor,0.0010270736617230187
vektor,4.108294646892075e-05
bitte,0.0005340783040959698
mädchen,0.000328663571751366
krankenflügel,0.0017665666981635923
bringen,0.0005340783040959698
angesprochenen,8.21658929378415e-05
nickten,0.000164331785875683
hoben,4.108294646892075e-05
schülerinnen,4.108294646892075e-05
trugen,4.108294646892075e-05
richtung,0.00028758062528244524
titus,4.108294646892075e-05
vorstellen,4.108294646892075e-05
schwer,4.108294646892075e-05
fuhr,0.00012324883940676226
fort,0.00012324883940676226
wandte,0.00028758062528244524
müssen,0.000492995357627049
sicherheit,0.00012324883940676226
schüler,0.0008627418758473357
denken,4.108294646892075e-05
gerade,0.0010270736617230187
trank,0.00020541473234460375
abfüllen,4.108294646892075e-05
magisch,4.108294646892075e-05
verstärkte,4.108294646892075e-05
stimme,0.0004519124111581283
gänge,4.108294646892075e-05
hallte,4.108294646892075e-05
außerdem,0.00020541473234460375
ahnung,4.108294646892075e-05
gegenmittel,4.108294646892075e-05
gibt,0.000164331785875683
hole,0.000164331785875683
erstmal,8.21658929378415e-05
unterbrach,0.000164331785875683
verschwand,0.0002464976788135245
büro,0.0011914054475987018
begrüßte,4.108294646892075e-05
jünger,4.108294646892075e-05
gemacht,0.000164331785875683
gegangen,0.00028758062528244524
versichert,0.00012324883940676226
unternehmen,8.21658929378415e-05
geheimnissen,4.108294646892075e-05
spur,8.21658929378415e-05
kommen,0.0002464976788135245
blieb,0.000328663571751366
merkwürdig,4.108294646892075e-05
unruhig,4.108294646892075e-05
herausgefunden,4.108294646892075e-05
statt,0.00020541473234460375
antwort,0.000164331785875683
machte,0.0006984100899716527
nickende,4.108294646892075e-05
kopfbewegung,4.108294646892075e-05
arbeitsraum,4.108294646892075e-05
lasst,4.108294646892075e-05
zeit,0.000821658929378415
mehr,0.0012324883940676226
grummelte,8.21658929378415e-05
erneut,0.0002464976788135245
fügte,0.00020541473234460375
sah,0.001314654287005464
bereitwillig,4.108294646892075e-05
schulleiterbüro,0.00012324883940676226
versammelt,8.21658929378415e-05
wovon,4.108294646892075e-05
redet,4.108294646892075e-05
sahen,0.0003697465182202868
schulleiter,0.0005751612505648905
verständnislos,8.21658929378415e-05
schrie,0.000164331785875683
deshalb,0.000164331785875683
warfen,8.21658929378415e-05
verständnislose,4.108294646892075e-05
fast,0.0003697465182202868
feindselige,4.108294646892075e-05
blicke,0.000164331785875683
leg,4.108294646892075e-05
gute,0.00012324883940676226
nacht,0.000492995357627049
murmelte,0.000328663571751366
irritiert,4.108294646892075e-05
getrunken,8.21658929378415e-05
konnte,0.0011914054475987018
dennoch,0.000164331785875683
schockte,8.21658929378415e-05
nachricht,0.000164331785875683
nächsten,0.0004519124111581283
tages,8.21658929378415e-05
versteinerung,4.108294646892075e-05
mal,0.0007805759829094943
betroffen,4.108294646892075e-05
wirklich,0.000328663571751366
änderung,4.108294646892075e-05
sechs,8.21658929378415e-05
uhr,8.21658929378415e-05
gemeinschaftsräumen,4.108294646892075e-05
mussten,4.108294646892075e-05
bloß,8.21658929378415e-05
begleitung,4.108294646892075e-05
lehrers,4.108294646892075e-05
unterricht,0.00028758062528244524
gehen,0.0006984100899716527
durften,8.21658929378415e-05
änderte,4.108294646892075e-05
alltag,8.21658929378415e-05
vergingen,4.108294646892075e-05
ende,0.0002464976788135245
zweiten,8.21658929378415e-05
schuljahres,4.108294646892075e-05
abschiedsfeier,4.108294646892075e-05
vollen,0.00012324883940676226
gedeckten,4.108294646892075e-05
tischen,4.108294646892075e-05
saßen,0.0004519124111581283
soweit,0.00012324883940676226
zweites,8.21658929378415e-05
schuljahr,0.00012324883940676226
ging,0.0008627418758473357
genug,0.000328663571751366
ja,0.0009449077687851773
allemal,4.108294646892075e-05
mysterien,4.108294646892075e-05
brille,4.108294646892075e-05
nie,0.00020541473234460375
aufgeklärt,0.00012324883940676226
beherrschte,4.108294646892075e-05
