term,relative_frequency
suchte,8.246742536698004e-05
oft,0.00032986970146792015
weite,0.00016493485073396007
sobald,0.00024740227610094015
nahte,8.246742536698004e-05
zuerst,0.00024740227610094015
schließlich,0.00024740227610094015
jahrelang,8.246742536698004e-05
ägypten,0.00016493485073396007
erst,0.0009896091044037606
seitdem,8.246742536698004e-05
kennengelernt,8.246742536698004e-05
london,8.246742536698004e-05
anstellung,8.246742536698004e-05
gringotts,0.00016493485073396007
angenommen,0.00024740227610094015
zog,0.0007422068283028204
sprang,8.246742536698004e-05
bresche,8.246742536698004e-05
fällt,8.246742536698004e-05
mutter,0.00024740227610094015
reden,0.00024740227610094015
rauschte,8.246742536698004e-05
schlepptau,8.246742536698004e-05
mann,0.0004948045522018803
überraschung,8.246742536698004e-05
wunderschönen,8.246742536698004e-05
blonden,8.246742536698004e-05
wandte,0.00016493485073396007
kopf,0.0004123371268349002
bemerkte,8.246742536698004e-05
bekleidungsgeschäft,8.246742536698004e-05
diagon,8.246742536698004e-05
alley,8.246742536698004e-05
familie,0.0005772719775688602
weasley,0.0009896091044037606
stand,0.0005772719775688602
grünhaarigen,8.246742536698004e-05
ergab,8.246742536698004e-05
wohl,0.00024740227610094015
dran,8.246742536698004e-05
wobei,0.0007422068283028204
sollten,0.00016493485073396007
ruhig,8.246742536698004e-05
nerven,8.246742536698004e-05
jammerte,8.246742536698004e-05
herzergreifend,8.246742536698004e-05
sah,0.0011545439551377205
schon,0.0015668810819726208
mund,0.0004123371268349002
verneinend,8.246742536698004e-05
öffnen,8.246742536698004e-05
schnell,0.0006597394029358403
hand,0.0009071416790367805
griff,8.246742536698004e-05
bestimmt,0.00016493485073396007
drückte,0.00024740227610094015
antworten,8.246742536698004e-05
erstaunte,8.246742536698004e-05
bitte,0.00024740227610094015
nachkam,8.246742536698004e-05
still,0.00016493485073396007
blieb,0.00024740227610094015
düsteren,8.246742536698004e-05
blick,0.0005772719775688602
sagte,0.001814283358073561
ja,0.0012370113805047005
kleine,0.00024740227610094015
natürlich,0.0007422068283028204
darfst,8.246742536698004e-05
mum,0.00024740227610094015
gehen,0.00032986970146792015
einkaufen,8.246742536698004e-05
maronen,8.246742536698004e-05
hinten,0.00024740227610094015
essen,0.0006597394029358403
treffen,0.00016493485073396007
geschäft,0.00016493485073396007
brüder,0.00024740227610094015
reaktion,8.246742536698004e-05
verängstig,8.246742536698004e-05
aufgeschrien,8.246742536698004e-05
entsetzt,8.246742536698004e-05
großen,0.00024740227610094015
augen,0.0006597394029358403
männer,0.00024740227610094015
fast,0.0005772719775688602
aufgesprungen,8.246742536698004e-05
schien,0.0009071416790367805
sekunde,0.00016493485073396007
raum,0.00016493485073396007
erstarrt,8.246742536698004e-05
händen,0.00024740227610094015
vorsichtig,0.00016493485073396007
rührte,8.246742536698004e-05
knurrte,8.246742536698004e-05
wütend,0.00016493485073396007
verdammt,8.246742536698004e-05
hasse,8.246742536698004e-05
wolf,0.00016493485073396007
leise,0.0004948045522018803
nährt,8.246742536698004e-05
überrumpelte,8.246742536698004e-05
eigenen,8.246742536698004e-05
art,0.0004948045522018803
dabei,0.0004948045522018803
große,0.00032986970146792015
versöhnen,8.246742536698004e-05
endlich,0.00024740227610094015
anzuerkennen,8.246742536698004e-05
hielt,0.00024740227610094015
nachdem,0.00024740227610094015
gezeichnet,8.246742536698004e-05
leben,0.00016493485073396007
verkündete,0.00016493485073396007
gewohnt,0.00024740227610094015
charmant,8.246742536698004e-05
überging,8.246742536698004e-05
chaotischen,8.246742536698004e-05
ordenshaufen,8.246742536698004e-05
überheblich,8.246742536698004e-05
beachtete,8.246742536698004e-05
alte,0.00032986970146792015
auffordernd,8.246742536698004e-05
sitz,8.246742536698004e-05
neben,0.0008246742536698004
blickte,0.00016493485073396007
langsam,0.0004123371268349002
ansammlung,0.00016493485073396007
ordens,8.246742536698004e-05
bestehend,0.00016493485073396007
weasleys,0.0009071416790367805
plus,8.246742536698004e-05
ted,0.00032986970146792015
sowie,0.0010720765297707407
dädalus,8.246742536698004e-05
verwunderung,8.246742536698004e-05
letztes,0.00024740227610094015
ganz,0.0009896091044037606
gut,0.0013194788058716806
ecke,0.00016493485073396007
verkroch,8.246742536698004e-05
versuchte,0.0004948045522018803
unsichtbar,0.00024740227610094015
rief,8.246742536698004e-05
erleichtert,0.00016493485073396007
eilte,8.246742536698004e-05
ebenso,0.00032986970146792015
habt,0.00024740227610094015
gefunden,0.00016493485073396007
kurz,0.0009896091044037606
badezimmer,0.00016493485073396007
aufgesucht,8.246742536698004e-05
rötliche,8.246742536698004e-05
überbleibsel,8.246742536698004e-05
wangenverletzung,8.246742536698004e-05
überschminkt,8.246742536698004e-05
sodass,0.00024740227610094015
gar,0.0004123371268349002
mehr,0.0009896091044037606
wahrnehmen,8.246742536698004e-05
konnte,0.0012370113805047005
brachen,8.246742536698004e-05
schlussendlich,0.00016493485073396007
appariert,8.246742536698004e-05
gingen,0.0006597394029358403
schweigsam,8.246742536698004e-05
schiefen,8.246742536698004e-05
fuchsbau,0.0009071416790367805
hinauf,0.00016493485073396007
garten,0.0004948045522018803
eigentlich,0.00024740227610094015
eher,0.00016493485073396007
festtafel,8.246742536698004e-05
ausmachen,8.246742536698004e-05
gewohnte,8.246742536698004e-05
geliebte,0.00016493485073396007
chaos,0.00016493485073396007
zelebriert,8.246742536698004e-05
herumwuselten,8.246742536698004e-05
bemerkten,8.246742536698004e-05
flötete,0.00016493485073396007
gerührt,0.00016493485073396007
madame,0.00032986970146792015
lächelte,0.0004948045522018803
oh,0.0004948045522018803
oui,8.246742536698004e-05
hogwarts,0.0005772719775688602
lernen,8.246742536698004e-05
mädchen,0.00024740227610094015
