term,relative_frequency
stand,0.00032152617758962544
umarmte,0.00026793848132468785
hallo,0.00026793848132468785
mann,0.00016076308879481272
kommt,0.00026793848132468785
erst,0.0006430523551792509
heute,0.00032152617758962544
abend,0.00032152617758962544
kannst,0.00032152617758962544
ruhig,0.00010717539252987514
beim,0.00026793848132468785
vornamen,5.358769626493757e-05
nennen,5.358769626493757e-05
tut,0.0002143507850597503
weasley,0.000750227747709126
gibt,5.358769626493757e-05
zauber,0.00016076308879481272
erfahren,0.00010717539252987514
zauberstab,0.00010717539252987514
sah,0.0011789293178286265
überlegte,5.358769626493757e-05
meinte,0.0008038154439740635
erstens,5.358769626493757e-05
kind,0.0002143507850597503
nenn,5.358769626493757e-05
bitte,0.0002143507850597503
glaube,0.00010717539252987514
sicher,0.0002143507850597503
helfen,0.00010717539252987514
saß,0.0004287015701195006
tisch,0.0006430523551792509
frühstückte,5.358769626493757e-05
schon,0.002518621724452066
kraftbrühe,5.358769626493757e-05
schokolade,5.358769626493757e-05
vorbereitete,5.358769626493757e-05
kam,0.0005894646589143132
gerannt,5.358769626493757e-05
nächstes,5.358769626493757e-05
büschel,5.358769626493757e-05
braune,5.358769626493757e-05
haare,5.358769626493757e-05
gesicht,0.0002143507850597503
umarmung,5.358769626493757e-05
inklusive,5.358769626493757e-05
wollten,0.0005358769626493757
wissen,0.0002143507850597503
ginge,5.358769626493757e-05
entnervt,5.358769626493757e-05
ging,0.00026793848132468785
lächelte,0.00026793848132468785
freundlich,0.00010717539252987514
beide,0.00026793848132468785
gingen,0.0004822892663844381
küche,0.00032152617758962544
großen,0.00032152617758962544
augen,0.0004287015701195006
annehmen,5.358769626493757e-05
natürlich,0.0005358769626493757
nächster,5.358769626493757e-05
zeit,0.0008574031402390011
zurück,0.0004822892663844381
sag,0.00010717539252987514
einfach,0.0002143507850597503
gerne,0.0004822892663844381
möchtest,5.358769626493757e-05
schloss,5.358769626493757e-05
gut,0.0006430523551792509
bestimmen,0.00010717539252987514
darf,0.00010717539252987514
möchte,0.0005358769626493757
schöne,5.358769626493757e-05
gelbe,5.358769626493757e-05
tapete,5.358769626493757e-05
fanden,0.00016076308879481272
beiden,0.0016612185842130648
super,0.00010717539252987514
nett,5.358769626493757e-05
eben,0.00010717539252987514
genau,0.00026793848132468785
minuten,0.00026793848132468785
später,0.0006966400514441884
rumänien,5.358769626493757e-05
angereist,5.358769626493757e-05
kinkley,5.358769626493757e-05
moddy,5.358769626493757e-05
caroline,0.00010717539252987514
ja,0.0011789293178286265
geschenken,0.00010717539252987514
leider,0.00010717539252987514
spät,0.00016076308879481272
eingefallen,5.358769626493757e-05
darum,0.00016076308879481272
süßigkeiten,5.358769626493757e-05
bekommen,0.00010717539252987514
berti,5.358769626493757e-05
bots,5.358769626493757e-05
bohnen,5.358769626493757e-05
schokofrosch,5.358769626493757e-05
karten,5.358769626493757e-05
bekam,0.00032152617758962544
uhr,0.00010717539252987514
zwillinge,0.000375113873854563
scherzartikeln,5.358769626493757e-05
geschenkt,5.358769626493757e-05
kette,5.358769626493757e-05
delfin,5.358769626493757e-05
anhänger,0.0002143507850597503
jeweils,0.00026793848132468785
pullover,5.358769626493757e-05
hochzeit,0.0005358769626493757
morgens,0.00010717539252987514
standen,0.00026793848132468785
nachmittag,5.358769626493757e-05
danke,0.0002143507850597503
her,0.00010717539252987514
gebracht,0.0002143507850597503
hast,0.0004287015701195006
problem,0.0002143507850597503
übrigens,0.00010717539252987514
jungs,0.0004822892663844381
merkwürdig,5.358769626493757e-05
sagte,0.0020363324580676277
wieso,5.358769626493757e-05
erwidern,5.358769626493757e-05
wurde,0.0008038154439740635
unterbrochen,0.00010717539252987514
umgedreht,5.358769626493757e-05
grüne,5.358769626493757e-05
kinder,0.0006430523551792509
liebte,5.358769626493757e-05
rief,0.00026793848132468785
sofort,0.0006966400514441884
kamin,0.0002143507850597503
orden,0.00010717539252987514
wenige,0.00016076308879481272
weasleys,0.00016076308879481272
blacks,5.358769626493757e-05
angehörten,5.358769626493757e-05
wutentbrannter,5.358769626493757e-05
stimme,0.00026793848132468785
berichtete,0.00010717539252987514
erlaubt,0.00010717539252987514
zeigte,5.358769626493757e-05
brief,0.00016076308879481272
gespräch,0.00010717539252987514
denkarium,5.358769626493757e-05
tat,0.00010717539252987514
ansehen,0.00016076308879481272
gesehen,0.0002143507850597503
still,5.358769626493757e-05
wütend,0.0002143507850597503
glück,5.358769626493757e-05
nächsten,0.0005894646589143132
jahr,0.0004287015701195006
lies,5.358769626493757e-05
kopf,0.00010717539252987514
begann,0.00016076308879481272
rattern,5.358769626493757e-05
fragte,0.0005894646589143132
hätte,0.0004287015701195006
sorgerecht,5.358769626493757e-05
verloren,0.000375113873854563
wolf,5.358769626493757e-05
lachte,0.00010717539252987514
nein,0.0002143507850597503
allerdings,0.00010717539252987514
auflagen,5.358769626493757e-05
gehabt,0.00010717539252987514
verwandlung,0.00010717539252987514
freunden,0.00010717539252987514
auflage,5.358769626493757e-05
damals,5.358769626493757e-05
dafür,0.00026793848132468785
verantwortlich,5.358769626493757e-05
sollten,0.00016076308879481272
leute,0.00010717539252987514
hinterher,0.00016076308879481272
beruhigen,5.358769626493757e-05
kümmerte,5.358769626493757e-05
folgte,0.00010717539252987514
treppe,5.358769626493757e-05
oben,0.00010717539252987514
zimmer,0.0006430523551792509
vermuteten,5.358769626493757e-05
schlechte,5.358769626493757e-05
nachricht,5.358769626493757e-05
