term,relative_frequency
schüttelte,0.00012561236025624922
überrumpelten,6.280618012812461e-05
eltern,0.0009420927019218691
hölzern,6.280618012812461e-05
wenig,0.0006280618012812461
herzlich,6.280618012812461e-05
hand,0.0007536741615374953
dabei,0.0006280618012812461
sah,0.0012561236025624921
gerührt,0.00018841854038437382
monaten,6.280618012812461e-05
endlich,0.00025122472051249844
sohn,0.0011305112423062428
sehen,0.0009420927019218691
unterlippe,6.280618012812461e-05
zitterte,6.280618012812461e-05
wagte,6.280618012812461e-05
schien,0.00031403090064062303
großes,6.280618012812461e-05
tun,6.280618012812461e-05
auffällig,6.280618012812461e-05
wäre,0.00031403090064062303
erstaunte,6.280618012812461e-05
temperament,6.280618012812461e-05
total,6.280618012812461e-05
entgegen,6.280618012812461e-05
zeigte,0.00018841854038437382
minister,0.0005024494410249969
wer,0.00031403090064062303
eigentliche,6.280618012812461e-05
ziel,6.280618012812461e-05
besuches,6.280618012812461e-05
schritt,6.280618012812461e-05
ausladend,6.280618012812461e-05
gewichtig,6.280618012812461e-05
legte,0.00025122472051249844
jovial,6.280618012812461e-05
schulter,0.00037683708076874763
blickte,0.00012561236025624922
wichtigtuerisch,6.280618012812461e-05
mr,0.00012561236025624922
fragte,0.0007536741615374953
kumpelhaft,6.280618012812461e-05
rückte,0.00012561236025624922
brille,0.00018841854038437382
zurecht,0.00018841854038437382
nickte,0.0005024494410249969
konnten,0.00012561236025624922
zauberstab,0.00037683708076874763
zückte,6.280618012812461e-05
stillzauber,6.280618012812461e-05
eindringlich,6.280618012812461e-05
intensiv,6.280618012812461e-05
einzusprechen,6.280618012812461e-05
versuchte,0.0004396432608968722
ärmel,6.280618012812461e-05
fassen,0.00012561236025624922
reden,0.00025122472051249844
unterband,6.280618012812461e-05
arm,0.00018841854038437382
unwillig,6.280618012812461e-05
entwand,6.280618012812461e-05
lächelte,0.00025122472051249844
meinte,0.0005024494410249969
natürlich,0.0006908679814093707
kannst,0.00037683708076874763
kommt,0.0004396432608968722
nächster,0.00012561236025624922
zeit,0.0004396432608968722
zurück,0.0008164803416656199
sag,0.00012561236025624922
einfach,0.0008164803416656199
gerne,0.00031403090064062303
möchtest,6.280618012812461e-05
schloss,0.00018841854038437382
augen,0.0007536741615374953
gut,0.0010677050621781183
bestimmen,6.280618012812461e-05
darf,0.00018841854038437382
möchte,0.00012561236025624922
schöne,0.00012561236025624922
gelbe,6.280618012812461e-05
tapete,6.280618012812461e-05
sahen,0.0004396432608968722
überrascht,0.00031403090064062303
gerade,0.0006908679814093707
öffnete,0.00018841854038437382
mund,0.00031403090064062303
antworten,6.280618012812461e-05
küche,0.0008164803416656199
morgen,0.0007536741615374953
sagten,0.00012561236025624922
beide,0.00018841854038437382
einstimmig,6.280618012812461e-05
fröhlich,6.280618012812461e-05
lächelnd,6.280618012812461e-05
marschierte,6.280618012812461e-05
folgte,0.00031403090064062303
schatz,0.00018841854038437382
murmelte,0.0005024494410249969
küsste,6.280618012812461e-05
kurz,0.00037683708076874763
ließ,0.0006280618012812461
stuhl,6.280618012812461e-05
seid,0.00012561236025624922
schon,0.0022610224846124857
früh,0.00018841854038437382
wach,6.280618012812461e-05
moment,0.00037683708076874763
bevor,0.0008164803416656199
wandte,0.00025122472051249844
anfing,0.00018841854038437382
antwortete,0.00031403090064062303
dringend,6.280618012812461e-05
papierkram,6.280618012812461e-05
ordnung,6.280618012812461e-05
sagte,0.002386634844868735
leicht,0.0004396432608968722
gar,0.0006280618012812461
mehr,0.0015701545032031153
treppe,0.00037683708076874763
oben,0.00031403090064062303
hast,0.00031403090064062303
verschwinden,0.00025122472051249844
erst,0.0005652556211531214
ging,0.00037683708076874763
vermutlich,0.00031403090064062303
einzige,0.00018841854038437382
weasleys,0.0008792865217937445
plötzliches,6.280618012812461e-05
wirklich,0.0005024494410249969
aufsah,6.280618012812461e-05
konnte,0.0013189297826906167
geradezu,6.280618012812461e-05
halb,0.00012561236025624922
geöffnete,6.280618012812461e-05
tür,0.00025122472051249844
zustürzte,0.00012561236025624922
wohnzimmer,0.00031403090064062303
führte,0.00012561236025624922
dicht,0.00012561236025624922
gefolgt,0.00018841854038437382
vergeblich,6.280618012812461e-05
beruhigte,0.00012561236025624922
starrte,0.00025122472051249844
wütend,0.00012561236025624922
machte,0.00031403090064062303
ebenfalls,0.0006908679814093707
eindruck,6.280618012812461e-05
losgehen,6.280618012812461e-05
lasst,6.280618012812461e-05
wenigstens,0.0004396432608968722
hören,0.00031403090064062303
vollpfosten,0.00012561236025624922
sagen,0.0005024494410249969
tauchten,6.280618012812461e-05
gespielt,0.00012561236025624922
beleidigter,6.280618012812461e-05
stimme,0.00031403090064062303
betraten,6.280618012812461e-05
tisch,0.0013189297826906167
setzten,0.00012561236025624922
ja,0.0016957668634593644
tue,0.00012561236025624922
ernst,6.280618012812461e-05
sessel,6.280618012812461e-05
saß,0.00037683708076874763
dicken,6.280618012812461e-05
buch,0.00025122472051249844
schoss,6.280618012812461e-05
sicher,0.00037683708076874763
gehen,0.0004396432608968722
jemand,0.00018841854038437382
bitte,0.00025122472051249844
nachkam,6.280618012812461e-05
sollten,0.00018841854038437382
gleich,0.0005652556211531214
laden,0.00018841854038437382
wiederkommen,6.280618012812461e-05
letzten,0.00025122472051249844
worten,0.00018841854038437382
verdrehte,6.280618012812461e-05
leichtes,6.280618012812461e-05
lächeln,0.00025122472051249844
lippen,0.00018841854038437382
kam,0.0006280618012812461
samstagabend,6.280618012812461e-05
spät,0.00012561236025624922
abendessen,0.00018841854038437382
brennendem,6.280618012812461e-05
kaminfeuer,6.280618012812461e-05
versammelt,6.280618012812461e-05
saßen,0.0006908679814093707
kleinen,0.0006908679814093707
herum,0.00012561236025624922
spielten,0.00025122472051249844
zauberschnippschnapp,6.280618012812461e-05
kamin,0.00012561236025624922
grün,6.280618012812461e-05
aufflammte,6.280618012812461e-05
grinsen,0.00031403090064062303
reisetasche,6.280618012812461e-05
feuer,6.280618012812461e-05
erzählen,0.00012561236025624922
willst,0.00012561236025624922
wissen,0.00031403090064062303
bleibe,6.280618012812461e-05
liebling,6.280618012812461e-05
schön,0.0005652556211531214
immer,0.0013817359628187414
lachend,6.280618012812461e-05
klopfte,0.00012561236025624922
grinste,0.00031403090064062303
triumphierend,6.280618012812461e-05
ansichtssache,6.280618012812461e-05
erwiderte,0.00031403090064062303
wohl,0.0006280618012812461
eher,0.0004396432608968722
tatsache,6.280618012812461e-05
brachte,0.00018841854038437382
restlichen,0.00018841854038437382
abend,0.00018841854038437382
verbrachten,6.280618012812461e-05
kartenspielen,0.00012561236025624922
schach,6.280618012812461e-05
gesprächen,6.280618012812461e-05
aufstand,0.00012561236025624922
bett,0.00031403090064062303
schickte,0.00012561236025624922
nachdem,0.00025122472051249844
couch,0.00012561236025624922
neben,0.0004396432608968722
beinahe,0.00037683708076874763
eingeschlafen,6.280618012812461e-05
aufwachte,6.280618012812461e-05
dunkel,6.280618012812461e-05
zahlen,6.280618012812461e-05
wecker,6.280618012812461e-05
verschlafenen,6.280618012812461e-05
dunkelheit,6.280618012812461e-05
kaum,0.0004396432608968722
erkennen,6.280618012812461e-05
weniger,0.00037683708076874763
meinung,0.00012561236025624922
ungefähr,0.00012561236025624922
drei,0.0006280618012812461
uhr,0.00018841854038437382
morgens,6.280618012812461e-05
zog,0.00025122472051249844
kopf,0.0006280618012812461
fragend,0.00012561236025624922
fünf,0.00025122472051249844
minuten,0.00018841854038437382
zusammen,0.0004396432608968722
unten,0.00025122472051249844
kamen,0.0006908679814093707
bereits,0.0005024494410249969
küchentisch,0.00012561236025624922
beiden,0.0011933174224343676
brüdern,0.00018841854038437382
überrumpelt,0.00012561236025624922
beschuldigt,6.280618012812461e-05
worden,0.00012561236025624922
gekommen,0.00025122472051249844
wink,6.280618012812461e-05
zauberstabs,6.280618012812461e-05
spuren,6.280618012812461e-05
explosion,6.280618012812461e-05
gesicht,0.0004396432608968722
haar,0.00012561236025624922
widmete,6.280618012812461e-05
stellte,0.0005652556211531214
portion,6.280618012812461e-05
frisches,6.280618012812461e-05
rührei,0.00012561236025624922
würstchen,6.280618012812461e-05
grilltomaten,6.280618012812461e-05
messer,6.280618012812461e-05
gabel,6.280618012812461e-05
gegriffen,6.280618012812461e-05
explodierte,6.280618012812461e-05
beides,6.280618012812461e-05
händen,0.00012561236025624922
wolke,6.280618012812461e-05
dunkelgrünem,6.280618012812461e-05
rauch,0.00012561236025624922
weißen,0.00018841854038437382
schneeflocken,0.00025122472051249844
goldene,6.280618012812461e-05
christbaumkugel,6.280618012812461e-05
kullerte,6.280618012812461e-05
kaffeebecher,6.280618012812461e-05
paar,0.0005024494410249969
mistelzweige,6.280618012812461e-05
fielen,6.280618012812461e-05
füßen,6.280618012812461e-05
schneekristalle,6.280618012812461e-05
glitzerten,6.280618012812461e-05
verschwand,0.00025122472051249844
allmählich,6.280618012812461e-05
verfangen,6.280618012812461e-05
richtungen,6.280618012812461e-05
abstand,6.280618012812461e-05
thronte,6.280618012812461e-05
grüner,6.280618012812461e-05
haarreif,6.280618012812461e-05
rentiergeweih,6.280618012812461e-05
goldenen,0.00018841854038437382
glöckchen,6.280618012812461e-05
angebracht,0.00012561236025624922
versuchten,0.00012561236025624922
lachen,0.0004396432608968722
verkneifen,6.280618012812461e-05
tief,6.280618012812461e-05
einatmete,6.280618012812461e-05
besser,0.00012561236025624922
stand,0.0012561236025624921
fuße,6.280618012812461e-05
musterte,6.280618012812461e-05
breiten,0.00018841854038437382
weihnachtlich,0.00012561236025624922
fügte,0.00012561236025624922
hinzu,0.00018841854038437382
setzte,0.00031403090064062303
witzig,6.280618012812461e-05
glocken,6.280618012812461e-05
geweih,6.280618012812461e-05
erklingen,6.280618012812461e-05
oh,0.00018841854038437382
nein,0.00012561236025624922
fangen,6.280618012812461e-05
verdächtigen,6.280618012812461e-05
verteidigte,6.280618012812461e-05
weiß,0.00018841854038437382
erklärte,0.0004396432608968722
hörte,0.00018841854038437382
leise,0.00025122472051249844
zumindest,0.00018841854038437382
essen,0.00031403090064062303
gewandt,6.280618012812461e-05
neuen,0.00025122472051249844
teller,0.00037683708076874763
danke,0.00012561236025624922
frühstück,6.280618012812461e-05
verging,6.280618012812461e-05
kosten,0.00012561236025624922
jedoch,0.0004396432608968722
explosionen,6.280618012812461e-05
mäusen,6.280618012812461e-05
gleichen,6.280618012812461e-05
gedanken,0.00018841854038437382
