term,relative_frequency
nachdem,0.0003458711629917856
rangok,2.16169476869866e-05
punkt,2.16169476869866e-05
verlesen,2.16169476869866e-05
ertönte,4.32338953739732e-05
lauter,4.32338953739732e-05
entrüsteter,2.16169476869866e-05
schrei,4.32338953739732e-05
wegen,0.0001729355814958928
summe,2.16169476869866e-05
galleonen,2.16169476869866e-05
wandte,0.0001513186338089062
twins,4.32338953739732e-05
taschentüchern,2.16169476869866e-05
übertrieben,2.16169476869866e-05
augen,0.00023778642455685257
betupften,2.16169476869866e-05
überrumpelt,2.16169476869866e-05
wirkten,2.16169476869866e-05
angewidert,6.485084306095979e-05
theaters,2.16169476869866e-05
verdrehte,4.32338953739732e-05
guten,0.00010808473843493298
mal,0.00047557284911370514
ärgern,2.16169476869866e-05
gestern,6.485084306095979e-05
dermaßen,2.16169476869866e-05
unkollegial,2.16169476869866e-05
rücken,6.485084306095979e-05
gefallen,8.64677907479464e-05
immer,0.0006052745352356247
zugestimmt,2.16169476869866e-05
servierte,2.16169476869866e-05
lüge,2.16169476869866e-05
schleimigen,2.16169476869866e-05
grinsen,4.32338953739732e-05
getroffen,2.16169476869866e-05
keuchen,2.16169476869866e-05
ließ,8.64677907479464e-05
empört,2.16169476869866e-05
aufbrausen,2.16169476869866e-05
mann,0.0001945525291828794
hand,0.00023778642455685257
musst,6.485084306095979e-05
grob,4.32338953739732e-05
schnarrte,2.16169476869866e-05
endgültig,2.16169476869866e-05
konnte,0.0003458711629917856
gerade,0.0005620406398616515
eben,6.485084306095979e-05
regung,2.16169476869866e-05
unterdrücken,2.16169476869866e-05
schließlich,8.64677907479464e-05
nennung,2.16169476869866e-05
werten,2.16169476869866e-05
namens,4.32338953739732e-05
mehr,0.0005188067444876783
überraschend,2.16169476869866e-05
ältester,2.16169476869866e-05
sohn,0.00025940337224383917
küche,0.0003026372676178124
verwiesen,2.16169476869866e-05
wurden,0.00012970168612191958
schien,0.0001513186338089062
frau,0.00021616947686986597
mächtig,2.16169476869866e-05
aufzustoßen,2.16169476869866e-05
heraus,6.485084306095979e-05
warum,8.64677907479464e-05
bleibt,4.32338953739732e-05
außerdem,0.000540423692174665
möchte,0.0006701253782965845
favoriten,0.000540423692174665
danken,0.0005620406398616515
geschichte,0.000540423692174665
mitverfolgen,0.000540423692174665
sowie,0.0006052745352356247
besonders,0.0005836575875486381
großes,0.0006052745352356247
danke,0.0007133592736705577
jemals,0.0005620406398616515
review,0.0005620406398616515
geschrieben,0.0006052745352356247
ela,0.000540423692174665
sevfan,0.000540423692174665
alkmene,0.000540423692174665
irinabutterfly,0.000540423692174665
julius,0.000540423692174665
faithyone,0.000540423692174665
rumtreiberin,0.000540423692174665
atropate,0.000540423692174665
isissky,0.000540423692174665
lusekir,0.000540423692174665
senorita,0.000540423692174665
coralyn,0.000540423692174665
midima,0.000540423692174665
lycana,0.000540423692174665
northgirl,0.000540423692174665
saiya,0.000540423692174665
cabo,0.000540423692174665
wynssafel,0.000540423692174665
potterpot,0.000540423692174665
hexe,0.0006052745352356247
minerverus,0.000540423692174665
tomcat,0.000540423692174665
domii,0.000540423692174665
kandis,0.000540423692174665
inessnape,0.000540423692174665
wasp,0.000540423692174665
iqra,0.000540423692174665
alli,0.000540423692174665
uhrwerkorange,0.000540423692174665
corni,0.000540423692174665
pureblood,0.000540423692174665
xdnaddyxd,0.000540423692174665
cerchi,0.000540423692174665
anudre,0.000540423692174665
andrea,0.0005620406398616515
katharina,0.000540423692174665
froschlein,0.000540423692174665
dannysahne,0.000540423692174665
vanessasnake,0.000540423692174665
vanessaseptember,0.000540423692174665
demonskiss,0.000540423692174665
gwendolyn,0.000540423692174665
magicmerl,0.000540423692174665
severinasnake,0.000540423692174665
dark,0.0008214440121054907
ingwill,0.000540423692174665
juliamalfoy,0.000540423692174665
beccs,0.000540423692174665
solevalia,0.0010159965412883702
liselotte,0.000540423692174665
beka,0.000540423692174665
miss,0.0006052745352356247
blacksilverstar,0.000540423692174665
evi,0.000540423692174665
aurora,0.0005836575875486381
morgenstern,0.000540423692174665
julicullen,0.000540423692174665
fierce,0.000540423692174665
diamondsparkle,0.000540423692174665
lenobia,0.000540423692174665
tinie,0.000540423692174665
moonsun,0.000540423692174665
mizukawajashi,0.000540423692174665
alfrey,0.000540423692174665
cannelle,0.000540423692174665
all,0.0006052745352356247
thatglitters,0.000540423692174665
thajin,0.000540423692174665
m,0.0007349762213575443
c,0.0005836575875486381
aragock,0.000540423692174665
silberschatten,0.000540423692174665
ahuntersgrace,0.000540423692174665
mekka,0.000540423692174665
lesekatze,0.000540423692174665
aryaa,0.000540423692174665
hurls,0.000540423692174665
mindi,0.000540423692174665
xxkaddaleinxx,0.000540423692174665
mellaly,0.000540423692174665
sandra,0.0005836575875486381
black,0.0037397319498486815
sommersommersommer,0.000540423692174665
diabolisches,0.000540423692174665
ulo,0.000540423692174665
eriksnape,0.000540423692174665
nyx,0.000540423692174665
herminem,0.000540423692174665
weissmagiger,0.000540423692174665
nicacyde,0.000540423692174665
taomiu,0.000540423692174665
alana,0.000540423692174665
slytherin,0.0009943795936013834
drachentochter,0.000540423692174665
tinkabellchen,0.000540423692174665
kellylanson,0.000540423692174665
limogirl,0.000540423692174665
kathe,0.000540423692174665
lestrange,0.0008214440121054907
paranorm,0.000540423692174665
chloe,0.000540423692174665
smaragd,0.000540423692174665
alcminuialwen,0.000540423692174665
coockiemonster,0.000540423692174665
kaschmirrot,0.000540423692174665
betterbeely,0.000540423692174665
misswongee,0.000540423692174665
lavenia,0.000540423692174665
suiseiseki,0.000540423692174665
fredchen,0.000540423692174665
dragoni,0.000540423692174665
abigal,0.0010159965412883702
eviesnape,0.000540423692174665
katesnape,0.000540423692174665
rikudosennin,0.000540423692174665
aoi,0.000540423692174665
hyuga,0.000540423692174665
luciablack,0.000540423692174665
shadowfire,0.000540423692174665
wichtel,0.000540423692174665
chemlady,0.000540423692174665
niawe,0.000540423692174665
miro,0.000540423692174665
gwynever,0.000540423692174665
lmc,0.000540423692174665
magnoliacrystal,0.000540423692174665
karneval,0.000540423692174665
shadows,0.000540423692174665
of,0.0007349762213575443
night,0.000540423692174665
franny,0.000540423692174665
snapesbride,0.000540423692174665
skyscrapergirl,0.000540423692174665
suppenkohleintopf,0.000540423692174665
caligula,0.000540423692174665
lady,0.0018374405533938608
armitage,0.000540423692174665
ellcrys,0.000540423692174665
clodeen,0.000540423692174665
izzie,0.000540423692174665
ravenclaw,0.0006052745352356247
mariko,0.000540423692174665
ichigawa,0.000540423692174665
yelana,0.000540423692174665
snowmouse,0.000540423692174665
alton,0.000540423692174665
alan,0.000540423692174665
belladonna,0.000540423692174665
lunefaye,0.000540423692174665
quarks,0.000540423692174665
fjoralba,0.000540423692174665
silina,0.000540423692174665
lemennlatrus,0.000540423692174665
bubbelz,0.000540423692174665
misslinda,0.000540423692174665
crowgirl,0.000540423692174665
wolfshauch,0.00108084738434933
widderchen,0.000540423692174665
safeandsound,0.000540423692174665
delia,0.000540423692174665
mellark,0.000540423692174665
coralina,0.000540423692174665
lana,0.00108084738434933
sternschnuppe,0.000540423692174665
princessmalfoy,0.000540423692174665
mia,0.000540423692174665
elena,0.000540423692174665
begeisterter,0.000540423692174665
fan,0.001621271076523995
bef,0.000540423692174665
schwarzleserin,0.000540423692174665
elle,0.000540423692174665
misu,0.000540423692174665
rantanplan,0.000540423692174665
morganalore,0.000540423692174665
greenbuddha,0.000540423692174665
unbelievable,0.000540423692174665
vanessa,0.0005620406398616515
liri,0.000540423692174665
shiningstar,0.000540423692174665
saria,0.000540423692174665
naur,0.000540423692174665
anonym,0.000540423692174665
schoki,0.000540423692174665
smartejowsky,0.000540423692174665
sandy,0.000540423692174665
dreamy,0.000540423692174665
myua,0.000540423692174665
jules,0.001124081279723303
kiddo,0.000540423692174665
luminara,0.000540423692174665
unduli,0.000540423692174665
swissnoy,0.000540423692174665
oyram,0.000540423692174665
missblack,0.000540423692174665
leseratte,0.0007133592736705577
stiftedose,0.000540423692174665
sbanimagushg,0.000540423692174665
kleine,0.0008862948551664505
anmerkung,0.000540423692174665
mejuka,0.000540423692174665
merlia,0.000540423692174665
iacrimai,0.000540423692174665
pixelschubser,0.000540423692174665
beere,0.000540423692174665
ayssia,0.000540423692174665
kota,0.000540423692174665
jpellert,0.000540423692174665
stellaabigail,0.000540423692174665
trini,0.000540423692174665
soulofearth,0.000540423692174665
samantha,0.000540423692174665
basalt,0.000540423692174665
solistatos,0.000540423692174665
sternchen,0.000540423692174665
noriko,0.000540423692174665
kathy,0.000540423692174665
lalala,0.000540423692174665
kapitel,0.0005188067444876783
kojakhermiones,2.16169476869866e-05
sicht,6.485084306095979e-05
ahhhh,4.32338953739732e-05
kam,0.00036748811067877215
langsam,8.64677907479464e-05
tiefen,2.16169476869866e-05
dunkelheit,4.32338953739732e-05
wünschte,4.32338953739732e-05
fast,0.00023778642455685257
stelle,6.485084306095979e-05
dahin,2.16169476869866e-05
zurück,0.0003026372676178124
hirn,2.16169476869866e-05
heftig,2.16169476869866e-05
vorschlaghammer,2.16169476869866e-05
bearbeitet,2.16169476869866e-05
pochte,2.16169476869866e-05
xyara,0.0005188067444876783
tattoonation,0.0005188067444876783
hirudo,0.0005188067444876783
mortifer,0.0005188067444876783
thegrinch,0.0005188067444876783
padawan,0.0005188067444876783
miriel,0.0005188067444876783
serinamuggel,0.0005188067444876783
daniel,0.0005188067444876783
freund,0.0007998270644185041
fastbremerin,0.0005188067444876783
nymia,0.0010159965412883702
teuflische,2.16169476869866e-05
tatsachenschließlich,2.16169476869866e-05
machte,0.0001729355814958928
offensichtlich,6.485084306095979e-05
klick,2.16169476869866e-05
wer,8.64677907479464e-05
geheiligten,2.16169476869866e-05
anwesen,2.16169476869866e-05
beehrte,2.16169476869866e-05
filia,0.0004971897968006917
silvae,0.0004971897968006917
faeleth,0.0004971897968006917
pfeonyxdrache,0.0004971897968006917
arctus,0.0004971897968006917
capella,0.0004971897968006917
imp,0.0004971897968006917
asdf,0.0004971897968006917
reiner,2.16169476869866e-05
wein,6.485084306095979e-05
sorena,0.00047557284911370514
schattensammlerin,0.00047557284911370514
xenozis,0.00047557284911370514
silvio,0.00047557284911370514
jucebi,0.00047557284911370514
pilzkuh,0.00047557284911370514
ladywillow,0.00047557284911370514
fire,0.00047557284911370514
phoenix,0.00047557284911370514
scarlett,0.00047557284911370514
dearing,0.00047557284911370514
malmisrose,0.00047557284911370514
abeyla,0.0009511456982274103
melodie,0.0013186338089061825
nenenixda,0.00047557284911370514
dreamgirl,0.00047557284911370514
bellina,0.00047557284911370514
tiara,0.00047557284911370514
isa,0.0005620406398616515
sofie,0.00047557284911370514
sarajeva,0.00047557284911370514
feier,2.16169476869866e-05
jubeltages,2.16169476869866e-05
os,2.16169476869866e-05
eintritt,2.16169476869866e-05
zauberwelt,2.16169476869866e-05
beschreibt,2.16169476869866e-05
hoffe,0.00012970168612191958
gefällt,2.16169476869866e-05
wünsche,4.32338953739732e-05
spaß,4.32338953739732e-05
beim,6.485084306095979e-05
sünden,2.16169476869866e-05
eltern,0.00025940337224383917
http,4.32338953739732e-05
s,0.00010808473843493298
freunden,2.16169476869866e-05
braucht,2.16169476869866e-05
feinde,2.16169476869866e-05
seid,0.00010808473843493298
froh,4.32338953739732e-05
erzähle,2.16169476869866e-05
wort,0.00010808473843493298
erfahren,0.00010808473843493298
schweigen,4.32338953739732e-05
grab,2.16169476869866e-05
desweiteren,2.16169476869866e-05
darum,8.64677907479464e-05
kümmern,6.485084306095979e-05
bruder,8.64677907479464e-05
mund,0.00010808473843493298
ganz,0.0001945525291828794
blatt,2.16169476869866e-05
stand,0.0001945525291828794
tätschelte,2.16169476869866e-05
sagte,0.0009511456982274103
weinen,6.485084306095979e-05
lieb,2.16169476869866e-05
familie,0.00025940337224383917
VOLDEMORT,0.0006052745352356247
besiegen,2.16169476869866e-05
weinte,6.485084306095979e-05
jemand,6.485084306095979e-05
bemerkt,2.16169476869866e-05
ersinnung,2.16169476869866e-05
abgetaucht,2.16169476869866e-05
schaute,0.0001729355814958928
lächelte,0.00012970168612191958
fall,4.32338953739732e-05
nächsten,0.0001513186338089062
schuljahr,2.16169476869866e-05
hogwarts,0.00032425421530479895
gehen,0.00021616947686986597
heute,0.0001945525291828794
abend,0.0001513186338089062
rausholen,2.16169476869866e-05
beiden,0.00025940337224383917
weiterhin,8.64677907479464e-05
bleiben,0.0001513186338089062
blödes,2.16169476869866e-05
gefühl,0.00010808473843493298
kamen,0.00010808473843493298
abschluss,4.32338953739732e-05
ja,0.000540423692174665
jahr,0.00012970168612191958
nickte,0.00025940337224383917
müssen,0.0001729355814958928
sowieso,2.16169476869866e-05
ordenstreffen,2.16169476869866e-05
einberufen,2.16169476869866e-05
neuigkeiten,2.16169476869866e-05
rief,0.00010808473843493298
münze,2.16169476869866e-05
orden,0.00023778642455685257
kinder,0.00036748811067877215
bett,4.32338953739732e-05
sprach,6.485084306095979e-05
atsuto,0.00045395590142671856
shine,0.00045395590142671856
darkrose,0.00045395590142671856
katjatwa,0.00045395590142671856
nicola,0.00045395590142671856
jojonny,0.00045395590142671856
chenoia,0.00045395590142671856
punkykarina,0.00045395590142671856
bad,0.00047557284911370514
betrogene,2.16169476869866e-05
betrüger,2.16169476869866e-05
ahhh,2.16169476869866e-05
entwich,2.16169476869866e-05
leiser,2.16169476869866e-05
schmerzlaut,2.16169476869866e-05
SANGUINI,2.16169476869866e-05
leise,0.00010808473843493298
schmatzend,2.16169476869866e-05
hals,0.00012970168612191958
sicher,0.00028102031993082574
fand,8.64677907479464e-05
gegenwehr,4.32338953739732e-05
schubsen,2.16169476869866e-05
schon,0.0008862948551664505
ab,0.0001513186338089062
erhob,6.485084306095979e-05
ging,0.0003026372676178124
unruhig,2.16169476869866e-05
zimmer,0.00023778642455685257
eigentlich,0.0001945525291828794
sorgen,4.32338953739732e-05
überzeugungskraft,2.16169476869866e-05
eher,8.64677907479464e-05
beschäftigte,2.16169476869866e-05
gedanke,2.16169476869866e-05
abenteuerlich,2.16169476869866e-05
gut,0.00025940337224383917
vorschlag,4.32338953739732e-05
anfangs,2.16169476869866e-05
hielt,0.00021616947686986597
vertrauen,6.485084306095979e-05
ziehen,2.16169476869866e-05
bitten,2.16169476869866e-05
haus,0.0001729355814958928
zuflucht,2.16169476869866e-05
verfügung,2.16169476869866e-05
stellen,4.32338953739732e-05
irrwitzig,2.16169476869866e-05
überdreht,2.16169476869866e-05
durchsichtigen,2.16169476869866e-05
spiegelbild,2.16169476869866e-05
ernst,2.16169476869866e-05
entgegensah,2.16169476869866e-05
klein,4.32338953739732e-05
wenig,0.0001945525291828794
zuversicht,2.16169476869866e-05
schlich,4.32338953739732e-05
mitgeteilt,4.32338953739732e-05
leben,0.0001945525291828794
beschlossen,6.485084306095979e-05
brechen,2.16169476869866e-05
zaubergamot,2.16169476869866e-05
auszusagen,2.16169476869866e-05
bereit,2.16169476869866e-05
augenblick,2.16169476869866e-05
schienen,2.16169476869866e-05
dürfen,4.32338953739732e-05
risiko,2.16169476869866e-05
eingehen,2.16169476869866e-05
sah,0.0006701253782965845
abwechselnd,6.485084306095979e-05
schnell,0.0001513186338089062
geht,0.0001513186338089062
kommt,6.485084306095979e-05
fuchsbau,0.00023778642455685257
schenkte,2.16169476869866e-05
warmes,2.16169476869866e-05
lächeln,4.32338953739732e-05
lange,0.0005836575875486381
setzten,6.485084306095979e-05
taten,4.32338953739732e-05
habt,4.32338953739732e-05
erkennen,2.16169476869866e-05
gegeben,6.485084306095979e-05
meinung,6.485084306095979e-05
fragte,0.0001945525291828794
glauben,6.485084306095979e-05
gelassen,8.64677907479464e-05
tun,0.0001513186338089062
antwortete,0.0001729355814958928
zwischenzeit,4.32338953739732e-05
geschehen,2.16169476869866e-05
stellte,8.64677907479464e-05
tasse,0.0001729355814958928
tisch,0.00021616947686986597
begann,6.485084306095979e-05
erzählen,0.00010808473843493298
gestalt,4.32338953739732e-05
hall,2.16169476869866e-05
zurückgelassen,2.16169476869866e-05
natürlich,0.00023778642455685257
entsprechenden,2.16169476869866e-05
leibgarde,2.16169476869866e-05
weshalb,4.32338953739732e-05
leslie,0.00043233895373973193
carley,0.00043233895373973193
sommer,0.00043233895373973193
lilcassyfly,0.00043233895373973193
whity,0.00043233895373973193
iamanonym,0.00043233895373973193
malou,0.00043233895373973193
sivra,0.00043233895373973193
bambipotterhead,0.00043233895373973193
linchenk,0.0008430609597924773
sleepyvampire,0.00043233895373973193
winterling,0.00043233895373973193
amleh,0.00043233895373973193
flaemmchen,0.00043233895373973193
adriana,0.00043233895373973193
linchen,0.00043233895373973193
max,0.00043233895373973193
wiedersehen,4.32338953739732e-05
sichtnachdem,2.16169476869866e-05
gemächern,2.16169476869866e-05
überrascht,4.32338953739732e-05
eingestehen,2.16169476869866e-05
manko,2.16169476869866e-05
gekonnt,4.32338953739732e-05
umschifft,2.16169476869866e-05
groß,4.32338953739732e-05
klären,2.16169476869866e-05
vorgefallen,2.16169476869866e-05
göttin,2.16169476869866e-05
peinlich,0.00010808473843493298
feder,4.32338953739732e-05
abgezogen,2.16169476869866e-05
corpus,2.16169476869866e-05
delicti,2.16169476869866e-05
händen,4.32338953739732e-05
starrte,0.00012970168612191958
brief,8.64677907479464e-05
sündigen,2.16169476869866e-05
warme,6.485084306095979e-05
geduldige,2.16169476869866e-05
stimme,0.0001945525291828794
angenehmer,2.16169476869866e-05
herablassendes,2.16169476869866e-05
schnauben,4.32338953739732e-05
setzte,8.64677907479464e-05
druck,2.16169476869866e-05
ehemaliger,0.0001729355814958928
getan,4.32338953739732e-05
anweisung,4.32338953739732e-05
öffnete,0.00010808473843493298
druckknöpfe,2.16169476869866e-05
beinen,2.16169476869866e-05
strampelanzug,2.16169476869866e-05
zog,0.0001729355814958928
stoff,2.16169476869866e-05
