term,relative_frequency
dviel,8.545547769612032e-05
spaß,0.00017091095539224064
beim,0.0003418219107844813
lissawichtelkind,8.545547769612032e-05
pencilsandpaperscharaktere,8.545547769612032e-05
black,0.00017091095539224064
wobei,0.00017091095539224064
letzteren,8.545547769612032e-05
nebensatz,8.545547769612032e-05
auftreten,8.545547769612032e-05
wichteln,8.545547769612032e-05
the,8.545547769612032e-05
dark,8.545547769612032e-05
side,8.545547769612032e-05
nymphettenliebe,8.545547769612032e-05
oo,0.00017091095539224064
anfang,0.00017091095539224064
mitte,0.00017091095539224064
endefür,8.545547769612032e-05
pencilsandpapersder,8.545547769612032e-05
anfangnarcissa,8.545547769612032e-05
trug,0.00017091095539224064
bücher,8.545547769612032e-05
schutzschild,8.545547769612032e-05
her,0.00042727738848060163
neben,0.00042727738848060163
großen,0.0005127328661767219
schwester,0.00042727738848060163
gang,8.545547769612032e-05
entlang,8.545547769612032e-05
frühstück,8.545547769612032e-05
ging,0.0008545547769612033
blut,8.545547769612032e-05
möbeln,8.545547769612032e-05
geklebt,8.545547769612032e-05
standen,0.0005127328661767219
neue,8.545547769612032e-05
möbel,8.545547769612032e-05
gespickt,8.545547769612032e-05
bildern,0.00025636643308836097
astoria,0.0032473081524525722
astorias,8.545547769612032e-05
familie,0.0010254657323534439
deshalb,0.0003418219107844813
ganz,0.0007690992992650829
froh,0.00017091095539224064
einredete,8.545547769612032e-05
sodass,0.0003418219107844813
einfach,0.0008545547769612033
schweigend,0.00025636643308836097
daneben,0.00017091095539224064
setzen,0.00025636643308836097
abwarten,8.545547769612032e-05
weitere,0.00025636643308836097
stunden,8.545547769612032e-05
später,0.001110921210049564
geboren,8.545547769612032e-05
blau,8.545547769612032e-05
augen,0.001367287643137925
sah,0.003418219107844813
mehr,0.0006836438215689625
wusste,0.0008545547769612033
mal,0.0010254657323534439
blaue,8.545547769612032e-05
gehabt,0.0003418219107844813
erste,0.00017091095539224064
wunderte,0.00025636643308836097
vater,0.0017091095539224065
ehemann,8.545547769612032e-05
wirklich,0.0008545547769612033
erst,0.0006836438215689625
versagt,8.545547769612032e-05
askaban,8.545547769612032e-05
gegangen,8.545547769612032e-05
zurück,0.0006836438215689625
gelassen,8.545547769612032e-05
