term,relative_frequency
viele,0.000125158403604562
flüsternde,1.564480045057025e-05
portraits,1.564480045057025e-05
begleiteten,4.693440135171076e-05
repetierte,1.564480045057025e-05
informationen,4.693440135171076e-05
fall,0.00010951360315399176
linke,6.2579201802281e-05
seite,0.0002972512085608348
oberen,1.564480045057025e-05
stockwerke,1.564480045057025e-05
meiden,3.12896009011405e-05
wohl,0.0005632128162205291
aufhielt,1.564480045057025e-05
nickte,0.0007822400225285126
zögern,3.12896009011405e-05
hoffte,3.12896009011405e-05
hilfe,0.00028160640811026455
schon,0.002158982462178695
sprach,0.0002659616076596943
credere,1.564480045057025e-05
tacientiae,1.564480045057025e-05
schicksalhaften,1.564480045057025e-05
worte,0.00028160640811026455
verhallten,1.564480045057025e-05
riss,7.822400225285127e-05
augen,0.0007978848229790829
hereingelegt,1.564480045057025e-05
schweigen,0.00010951360315399176
verdammt,0.00010951360315399176
servierte,1.564480045057025e-05
beachtlichen,1.564480045057025e-05
nachrichten,1.564480045057025e-05
sofort,0.0007822400225285126
unwichtige,1.564480045057025e-05
gedanken,0.00028160640811026455
verschwunden,0.00018773760540684303
nachhinein,3.12896009011405e-05
dankbar,0.00010951360315399176
bedacht,3.12896009011405e-05
gehandelt,3.12896009011405e-05
besonderen,3.12896009011405e-05
zauber,0.0002033824058574133
angewandt,1.564480045057025e-05
genau,0.00043805441261596706
erklärt,3.12896009011405e-05
genial,1.564480045057025e-05
brillant,1.564480045057025e-05
wenigstens,6.2579201802281e-05
mund,0.0002033824058574133
zaum,1.564480045057025e-05
hielt,0.00037547521081368607
gegenüber,0.00037547521081368607
verdammte,1.564480045057025e-05
dachte,0.00035983041036311583
bösartig,1.564480045057025e-05
vernahm,3.12896009011405e-05
tür,0.0006727264193745209
suite,3.12896009011405e-05
laut,0.000125158403604562
wand,0.000125158403604562
aufprallte,1.564480045057025e-05
wucht,1.564480045057025e-05
aufgestoßen,4.693440135171076e-05
wurde,0.0011420704328916284
polternd,1.564480045057025e-05
zimmer,0.0004693440135171076
stürmten,1.564480045057025e-05
bekam,0.00018773760540684303
verdiente,1.564480045057025e-05
gerechte,1.564480045057025e-05
strafe,6.2579201802281e-05
dafür,0.00034418560991254554
belohnt,1.564480045057025e-05
warnung,3.12896009011405e-05
ernst,0.00037547521081368607
nehmen,7.822400225285127e-05
aufpassen,1.564480045057025e-05
mussten,0.00018773760540684303
wirklich,0.0007822400225285126
verfallen,3.12896009011405e-05
erhielt,1.564480045057025e-05
einladung,4.693440135171076e-05
vergiften,3.12896009011405e-05
weckte,1.564480045057025e-05
tiefe,3.12896009011405e-05
rachegelüste,1.564480045057025e-05
besorgtes,1.564480045057025e-05
tatkräftiges,1.564480045057025e-05
fürsorgliches,1.564480045057025e-05
handeln,4.693440135171076e-05
erleben,4.693440135171076e-05
ließ,0.0006101472175722399
leicht,0.0002972512085608348
verwirrt,0.00010951360315399176
wäre,0.0005319232153193886
verreckt,1.564480045057025e-05
beherzt,1.564480045057025e-05
versucht,0.0002033824058574133
hätte,0.0006257920180228101
retten,0.000125158403604562
gut,0.0011264256324410582
ging,0.0010169120292870665
gehen,0.0004693440135171076
toll,1.564480045057025e-05
kümmerten,1.564480045057025e-05
sorgen,0.000250316807209124
konnte,0.0012672288364961905
gar,0.0005475680157699588
fassen,3.12896009011405e-05
lebte,6.2579201802281e-05
feigen,1.564480045057025e-05
anschlag,4.693440135171076e-05
überlebt,1.564480045057025e-05
schenkte,0.00014080320405513227
feindseligen,1.564480045057025e-05
boshaftigkeit,1.564480045057025e-05
nachstehenden,1.564480045057025e-05
harrten,1.564480045057025e-05
schweigend,9.386880270342152e-05
neben,0.0008761088252319341
nächstmögliche,1.564480045057025e-05
sitzgelegenheit,1.564480045057025e-05
niedergelassen,3.12896009011405e-05
blickte,0.0003285408094619753
arrogant,1.564480045057025e-05
hocherhobenen,1.564480045057025e-05
haupt,1.564480045057025e-05
gegend,1.564480045057025e-05
gefühle,0.00010951360315399176
überbrodeln,1.564480045057025e-05
gerade,0.0011420704328916284
wirkungsvoll,1.564480045057025e-05
befriedigt,1.564480045057025e-05
beobachteten,6.2579201802281e-05
schienen,6.2579201802281e-05
schauspiel,6.2579201802281e-05
genießen,3.12896009011405e-05
verächtliche,1.564480045057025e-05
blicke,6.2579201802281e-05
zuwarfen,1.564480045057025e-05
echt,0.00010951360315399176
blöd,1.564480045057025e-05
familie,0.00043805441261596706
position,1.564480045057025e-05
nie,0.0007040160202756614
langen,4.693440135171076e-05
haare,0.00014080320405513227
fielen,6.2579201802281e-05
schulter,0.000125158403604562
gebeugt,1.564480045057025e-05
dastand,1.564480045057025e-05
erhob,0.000125158403604562
hand,0.0009543328274847855
strich,0.00017209280495627277
vertraulich,1.564480045057025e-05
zurück,0.0007353056211768018
zurückzog,1.564480045057025e-05
größer,1.564480045057025e-05
wirkte,7.822400225285127e-05
grazil,1.564480045057025e-05
dünn,3.12896009011405e-05
hell,3.12896009011405e-05
schwer,0.00017209280495627277
versuchte,0.00034418560991254554
schritt,6.2579201802281e-05
halten,0.00014080320405513227
gelang,9.386880270342152e-05
zwecke,4.693440135171076e-05
näherte,1.564480045057025e-05
unaufhaltsam,1.564480045057025e-05
böses,1.564480045057025e-05
höhnisches,1.564480045057025e-05
lächeln,0.0002972512085608348
verdrücken,1.564480045057025e-05
ring,3.12896009011405e-05
griff,0.00028160640811026455
linken,3.12896009011405e-05
zeigefinger,1.564480045057025e-05
steckte,7.822400225285127e-05
zeigte,0.00021902720630798353
erstaunen,4.693440135171076e-05
neugier,3.12896009011405e-05
interesse,6.2579201802281e-05
geschah,3.12896009011405e-05
erlebt,6.2579201802281e-05
lachte,0.00017209280495627277
trocken,4.693440135171076e-05
schien,0.0004224096121653968
gefallen,0.000125158403604562
machte,0.0004849888139676778
große,0.0002346720067585538
amüsiert,0.00010951360315399176
krankenhaus,3.12896009011405e-05
liegt,6.2579201802281e-05
rache,1.564480045057025e-05
paten,4.693440135171076e-05
genommen,0.00015644800450570254
stell,6.2579201802281e-05
denke,0.00017209280495627277
immer,0.0015957696459581658
befindlichkeiten,1.564480045057025e-05
baten,4.693440135171076e-05
gespielt,6.2579201802281e-05
gelangweilt,1.564480045057025e-05
überbrachte,1.564480045057025e-05
nachricht,7.822400225285127e-05
offener,1.564480045057025e-05
straße,4.693440135171076e-05
angegriffen,4.693440135171076e-05
worden,9.386880270342152e-05
lag,0.00018773760540684303
hereinrauschte,1.564480045057025e-05
genauere,1.564480045057025e-05
lieferte,1.564480045057025e-05
neugierigen,3.12896009011405e-05
fremden,1.564480045057025e-05
mann,0.0007665952220779424
entließ,3.12896009011405e-05
eilten,3.12896009011405e-05
sehen,0.0006570816189239506
fragte,0.0007509504216273721
lauernd,1.564480045057025e-05
knapp,3.12896009011405e-05
sprang,0.000125158403604562
gekonnt,1.564480045057025e-05
my,1.564480045057025e-05
lord,0.00043805441261596706
positive,1.564480045057025e-05
erstes,7.822400225285127e-05
arm,0.0005788576166710994
lupe,3.12896009011405e-05
kam,0.0010169120292870665
gute,0.00021902720630798353
eigenschaft,3.12896009011405e-05
tage,0.00015644800450570254
eitelkeit,3.12896009011405e-05
merlin,6.2579201802281e-05
ganze,0.00017209280495627277
tamtam,1.564480045057025e-05
endlich,0.0004849888139676778
vorbei,0.00021902720630798353
ja,0.0014080320405513227
problem,7.822400225285127e-05
vermutete,3.12896009011405e-05
weswegen,3.12896009011405e-05
glänzend,1.564480045057025e-05
gelaunt,4.693440135171076e-05
mörder,1.564480045057025e-05
vater,0.0004693440135171076
konnten,0.0003285408094619753
aufschub,1.564480045057025e-05
internierung,1.564480045057025e-05
erwirken,1.564480045057025e-05
guter,9.386880270342152e-05
letzt,4.693440135171076e-05
taten,0.00010951360315399176
erlaubnis,1.564480045057025e-05
holen,0.00015644800450570254
dürfen,7.822400225285127e-05
vergiftete,1.564480045057025e-05
kampf,7.822400225285127e-05
knockturn,1.564480045057025e-05
alley,1.564480045057025e-05
anbot,1.564480045057025e-05
erinnerungen,0.000125158403604562
zeigen,0.00014080320405513227
blieb,0.00037547521081368607
fast,0.0002972512085608348
luft,0.0002033824058574133
nein,0.0003911200112642563
allgemein,3.12896009011405e-05
strafte,1.564480045057025e-05
schreie,3.12896009011405e-05
genossen,4.693440135171076e-05
genüsslich,4.693440135171076e-05
länge,1.564480045057025e-05
gezogen,6.2579201802281e-05
wege,3.12896009011405e-05
töne,3.12896009011405e-05
entlocken,1.564480045057025e-05
gedanke,6.2579201802281e-05
entlockte,1.564480045057025e-05
diabolisches,1.564480045057025e-05
bitte,0.000500633614418248
beleidigend,1.564480045057025e-05
bewusst,9.386880270342152e-05
hogwarts,0.00045369921306653735
lassen,0.00037547521081368607
lappalie,1.564480045057025e-05
rechenschaft,1.564480045057025e-05
ziehen,1.564480045057025e-05
rollte,7.822400225285127e-05
spielte,7.822400225285127e-05
gehstock,3.12896009011405e-05
fingern,1.564480045057025e-05
her,0.00018773760540684303
denkst,7.822400225285127e-05
ammonit,1.564480045057025e-05
erklären,0.00010951360315399176
natürlich,0.0004224096121653968
wusste,0.0007978848229790829
meerestiere,1.564480045057025e-05
urzeiten,1.564480045057025e-05
gegeben,0.000125158403604562
unterschidlichsten,1.564480045057025e-05
größen,1.564480045057025e-05
ganz,0.0009230432265836449
klein,4.693440135171076e-05
meter,4.693440135171076e-05
groß,0.00017209280495627277
achtete,1.564480045057025e-05
darauf,0.00035983041036311583
gefangen,4.693440135171076e-05
davon,0.0003911200112642563
besonderheiten,0.00010951360315399176
neuen,0.00017209280495627277
reiches,1.564480045057025e-05
