term,relative_frequency
tür,0.0004642386486162693
öffnete,7.487720138972085e-05
schlepptau,2.9950880555888343e-05
ankam,2.9950880555888343e-05
schweigen,7.487720138972085e-05
holten,1.4975440277944172e-05
gab,0.0005091649694501018
gedanken,0.00022463160416916257
erst,0.0004043368875044926
mal,0.0010333053791781479
währenddessen,5.9901761111776687e-05
rutschten,2.9950880555888343e-05
unbehaglich,4.492632083383251e-05
sitzen,0.00034443512639271593
herum,0.00032945968611477176
kalt,5.9901761111776687e-05
daran,0.0001048280819456092
schuld,5.9901761111776687e-05
applaudierte,2.9950880555888343e-05
stillen,1.4975440277944172e-05
sah,0.0016472984305738589
wirklich,0.0007188211333413202
ungläubig,5.9901761111776687e-05
anblinzelten,1.4975440277944172e-05
bestimmt,0.0001497544027794417
ungewöhnlich,1.4975440277944172e-05
arrogant,1.4975440277944172e-05
beleidigend,2.9950880555888343e-05
sicht,7.487720138972085e-05
dinge,0.0001048280819456092
dargestellt,1.4975440277944172e-05
durften,1.4975440277944172e-05
zusehen,2.9950880555888343e-05
mund,0.0002995088055588834
aufklappte,1.4975440277944172e-05
stotterte,1.4975440277944172e-05
h,2.9950880555888343e-05
setzte,0.0005091649694501018
neben,0.0013627650652929197
gegenüber,0.0004043368875044926
lav,5.9901761111776687e-05
niedergelassen,2.9950880555888343e-05
himmelte,1.4975440277944172e-05
stumm,4.492632083383251e-05
genoss,5.9901761111776687e-05
sichtlich,7.487720138972085e-05
verliebten,1.4975440277944172e-05
blicken,5.9901761111776687e-05
trank,0.00011980352222355337
kaffee,2.9950880555888343e-05
lebenselixier,1.4975440277944172e-05
liebte,5.9901761111776687e-05
einfach,0.0008386246555648736
geschmack,2.9950880555888343e-05
getränks,1.4975440277944172e-05
knabberte,1.4975440277944172e-05
toast,1.4975440277944172e-05
verdammt,4.492632083383251e-05
seist,1.4975440277944172e-05
arroganz,1.4975440277944172e-05
tollpatschigkeit,1.4975440277944172e-05
hob,8.985264166766503e-05
gerade,0.001227986102791422
dolch,1.4975440277944172e-05
schwer,8.985264166766503e-05
erstaunlich,5.9901761111776687e-05
gut,0.0009883790583443152
hand,0.0007936983347310411
lag,0.00017970528333533005
schlug,0.00023960704444710675
gelben,5.9901761111776687e-05
rocksaum,1.4975440277944172e-05
nachher,1.4975440277944172e-05
jemand,0.00016472984305738588
vielen,7.487720138972085e-05
neugierigen,4.492632083383251e-05
beobachte,1.4975440277944172e-05
wappen,1.4975440277944172e-05
wohl,0.0005391158500059901
katastrophaler,1.4975440277944172e-05
wäre,0.0003144842458368276
großen,0.0003743860069486043
augen,0.0007787228944530969
wissen,0.0003144842458368276
zeigten,4.492632083383251e-05
vorwurfsvolle,1.4975440277944172e-05
warum,0.0002545824847250509
meisten,8.985264166766503e-05
gryffindors,0.00023960704444710675
letzten,0.0004193123277824368
hierher,2.9950880555888343e-05
gemacht,0.0003743860069486043
besser,0.0001497544027794417
nahm,0.0003743860069486043
zumindest,0.00011980352222355337
sehen,0.0005840421708398227
hingegen,0.0001048280819456092
beide,0.0004043368875044926
erinnerungen,1.4975440277944172e-05
behalten,1.4975440277944172e-05
abend,0.0003743860069486043
größtenteils,1.4975440277944172e-05
gemeinsam,0.0005091649694501018
verbracht,0.00017970528333533005
nachdem,0.0003594105666706601
getraut,2.9950880555888343e-05
tanz,7.487720138972085e-05
fordern,1.4975440277944172e-05
schon,0.0018719300347430213
hörte,0.0002096561638912184
körper,5.9901761111776687e-05
bewusstlos,4.492632083383251e-05
nebel,4.492632083383251e-05
aufschlagen,1.4975440277944172e-05
kurzerhand,2.9950880555888343e-05
gas,1.4975440277944172e-05
rannte,7.487720138972085e-05
los,0.00032945968611477176
landete,2.9950880555888343e-05
füßen,2.9950880555888343e-05
offenbar,5.9901761111776687e-05
gryffindormut,1.4975440277944172e-05
gefunden,0.00011980352222355337
hindernis,1.4975440277944172e-05
heile,2.9950880555888343e-05
gelassen,2.9950880555888343e-05
rechtzeitig,4.492632083383251e-05
bevor,0.000524140409728046
grauen,2.9950880555888343e-05
einatmete,1.4975440277944172e-05
ganz,0.0007337965736192644
passte,4.492632083383251e-05
weswegen,4.492632083383251e-05
immer,0.0013627650652929197
kopf,0.000613993051395711
schüttelte,0.00019468072361327423
meinte,0.0006589193722295435
sorry,5.9901761111776687e-05
kannst,0.00011980352222355337
gehen,0.000524140409728046
jedenfalls,0.00013477896250149753
zeigte,0.0001497544027794417
kampfgeist,1.4975440277944172e-05
wirkte,0.00022463160416916257
deutlich,7.487720138972085e-05
weniger,7.487720138972085e-05
bestätigung,2.9950880555888343e-05
neuen,0.00013477896250149753
