term,relative_frequency
hakte,4.959923815570193e-05
ruhig,0.00011903817157368463
dagegen,0.00014879771446710578
dürfen,6.94389334179827e-05
kommen,0.0004067137528767558
neue,0.00012895801920482502
häusern,2.9759542893421157e-05
erstmal,5.9519085786842315e-05
aufnehmen,9.919847631140386e-06
ausgearbeitet,9.919847631140386e-06
donnerte,9.919847631140386e-06
plötzlich,0.00043647329577017695
erstaunlich,2.9759542893421157e-05
tiefe,2.9759542893421157e-05
fast,0.00038687405761447504
männliche,1.9839695262280773e-05
stimme,0.0003372748194587731
gar,0.0003571145147210539
schüchtern,2.9759542893421157e-05
raum,0.00043647329577017695
aufstand,3.9679390524561545e-05
böse,0.00010911832394254424
delinquentin,9.919847631140386e-06
starrte,0.00014879771446710578
somit,7.935878104912309e-05
mitgliedern,9.919847631140386e-06
rücken,0.00015871756209824618
trifft,1.9839695262280773e-05
jemanden,5.9519085786842315e-05
trio,4.959923815570193e-05
gehört,0.00023807634314736926
entscheiden,2.9759542893421157e-05
strafmaß,9.919847631140386e-06
ja,0.0010911832394254425
strafe,2.9759542893421157e-05
her,0.0002678358860407904
einreißt,9.919847631140386e-06
fragte,0.0007043091818109674
süßlich,9.919847631140386e-06
harter,9.919847631140386e-06
blick,0.0009919847631140385
weißt,0.00010911832394254424
genau,0.0004067137528767558
laufe,3.9679390524561545e-05
zeit,0.0007836679628600904
gesellt,9.919847631140386e-06
abgang,9.919847631140386e-06
bewirkte,1.9839695262280773e-05
sowie,0.00043647329577017695
lächeln,0.0002777557336719308
aylin,1.9839695262280773e-05
kopfschütteln,9.919847631140386e-06
begleitet,4.959923815570193e-05
breitem,9.919847631140386e-06
grinsen,0.00018847710499166732
hochrotem,9.919847631140386e-06
kopf,0.0005852710102372828
wütenden,2.9759542893421157e-05
gesichtsausdruck,4.959923815570193e-05
sprang,7.935878104912309e-05
hoch,0.00017855725736052694
hätte,0.0004959923815570193
gestürzt,3.9679390524561545e-05
festgehalten,3.9679390524561545e-05
hätten,0.00012895801920482502
spöttisch,1.9839695262280773e-05
grinsend,0.0001388778668359654
beobachtete,0.00017855725736052694
bemühungen,9.919847631140386e-06
wild,8.927862868026347e-05
fluchenden,9.919847631140386e-06
weasley,0.0008332672010157924
besinnung,9.919847631140386e-06
bringen,0.00015871756209824618
moment,0.0005158320768193001
verbissen,9.919847631140386e-06
immer,0.0012201412586302675
fluchend,9.919847631140386e-06
versucht,0.00012895801920482502
griff,0.0001388778668359654
befreien,4.959923815570193e-05
sodass,0.00018847710499166732
weder,0.00017855725736052694
beiden,0.0011011030870565828
bemerkt,7.935878104912309e-05
wann,7.935878104912309e-05
gegangen,0.00016863740972938656
leider,0.00012895801920482502
sah,0.0015871756209824618
gedanken,0.0002876755813030712
bestätigt,2.9759542893421157e-05
krampfhaft,9.919847631140386e-06
versuchte,0.0004959923815570193
