term,relative_frequency
zeigte,0.0001344357061235464
ungewohnte,6.72178530617732e-05
dickköpfigkeit,6.72178530617732e-05
sogar,0.0008066142367412785
überraschen,6.72178530617732e-05
schien,0.00040330711837063924
zuckte,0.00020165355918531962
zurück,0.0007393963836795053
ungewohnt,6.72178530617732e-05
bestimmende,6.72178530617732e-05
ähm,0.0001344357061235464
jaja,6.72178530617732e-05
natürlich,0.0002688714122470928
bringen,0.00020165355918531962
kind,0.0001344357061235464
neben,0.001008267795926598
weasleys,0.0008738320898030517
robert,6.72178530617732e-05
armen,0.00020165355918531962
hielt,0.0002688714122470928
erwartet,0.0002688714122470928
vater,0.00040330711837063924
dädalus,6.72178530617732e-05
ehemaligen,0.0001344357061235464
jägerinnen,6.72178530617732e-05
gryffindors,0.00033608926530886605
damaliger,6.72178530617732e-05
hüter,6.72178530617732e-05
viele,0.0008738320898030517
mitglieder,0.00020165355918531962
armee,6.72178530617732e-05
mcmillan,6.72178530617732e-05
pavati,6.72178530617732e-05
patil,6.72178530617732e-05
creevy,6.72178530617732e-05
kleine,0.00020165355918531962
bruder,0.0002688714122470928
garten,6.72178530617732e-05
versammelt,6.72178530617732e-05
beglückwünschten,6.72178530617732e-05
runde,0.00020165355918531962
drehte,0.0002688714122470928
begrüßen,6.72178530617732e-05
jungs,0.0001344357061235464
massen,6.72178530617732e-05
stattliche,6.72178530617732e-05
m,0.0001344357061235464
gross,0.0001344357061235464
mädchen,0.00033608926530886605
kleidung,0.0001344357061235464
umhang,0.0001344357061235464
hervorblitzten,6.72178530617732e-05
betonten,6.72178530617732e-05
haare,0.0001344357061235464
schön,0.00033608926530886605
kurz,0.0008066142367412785
sah,0.0014787927673590106
vereinzelten,6.72178530617732e-05
strähnchen,0.0001344357061235464
rot,0.0001344357061235464
gold,6.72178530617732e-05
grün,0.0001344357061235464
dunkel,0.0001344357061235464
hüftlanges,6.72178530617732e-05
haar,6.72178530617732e-05
vereinzelte,6.72178530617732e-05
dunkelblaue,6.72178530617732e-05
elena,6.72178530617732e-05
golden,6.72178530617732e-05
hellblaue,6.72178530617732e-05
seraya,6.72178530617732e-05
freunde,0.00040330711837063924
setzten,0.0001344357061235464
erschien,6.72178530617732e-05
erstklässlern,0.0001344357061235464
einladung,6.72178530617732e-05
gefolgt,0.00033608926530886605
worüber,0.0001344357061235464
freute,0.00020165355918531962
neue,0.0001344357061235464
freundin,0.00020165355918531962
claire,6.72178530617732e-05
mitgebracht,6.72178530617732e-05
glücklich,6.72178530617732e-05
shaklebolt,6.72178530617732e-05
bestimmt,0.00020165355918531962
prima,6.72178530617732e-05
fand,0.00020165355918531962
paar,0.0008738320898030517
tröstliche,6.72178530617732e-05
worte,0.00040330711837063924
ebenso,0.00040330711837063924
lehrer,0.0006049606775559589
meisten,6.72178530617732e-05
jedoch,0.00020165355918531962
half,0.0002688714122470928
anwesenheit,0.0001344357061235464
fast,0.0006721785306177321
gäste,0.0001344357061235464
gegangen,0.0001344357061235464
entdeckte,0.00020165355918531962
älteren,0.0001344357061235464
mann,0.00020165355918531962
nie,0.0002688714122470928
zuvor,0.00020165355918531962
gesehen,0.0002688714122470928
trotzdem,0.0001344357061235464
seltsam,0.0001344357061235464
bekannt,6.72178530617732e-05
vorkam,6.72178530617732e-05
beauftragt,6.72178530617732e-05
suche,0.0001344357061235464
geeigneten,6.72178530617732e-05
lehrkraft,0.00020165355918531962
fach,6.72178530617732e-05
zaubertränke,6.72178530617732e-05
hand,0.00033608926530886605
nehmen,6.72178530617732e-05
nickte,0.0006049606775559589
stumm,0.0001344357061235464
gerade,0.0010754856489883712
fertig,6.72178530617732e-05
