term,relative_frequency
erklang,2.0876390889543015e-05
reichlich,4.175278177908603e-05
verbittert,1.0438195444771508e-05
weiß,0.00029226947245360223
bevor,0.00042796601323563183
zurückkam,2.0876390889543015e-05
hätte,0.0008141792446921776
all,0.00022964029978497316
verachtet,3.131458633431452e-05
hasst,1.0438195444771508e-05
frauen,4.175278177908603e-05
schlagen,3.131458633431452e-05
dahin,4.175278177908603e-05
verbal,1.0438195444771508e-05
zusammengestaucht,1.0438195444771508e-05
wandte,0.00021920210434020167
ab,0.000636729922131062
strich,8.350556355817206e-05
stirn,0.00016701112711634412
sah,0.0017014258574977559
kratzer,1.0438195444771508e-05
heilten,1.0438195444771508e-05
rot,7.306736811340056e-05
weißen,2.0876390889543015e-05
blassen,2.0876390889543015e-05
haut,5.219097722385754e-05
krass,1.0438195444771508e-05
erwarte,1.0438195444771508e-05
patronus,4.175278177908603e-05
astoria,0.0006262917266862905
passt,6.262917266862904e-05
bloß,0.00014613473622680112
arch,1.0438195444771508e-05
dummen,5.219097722385754e-05
idee,0.00019832571345065864
anheimfallen,1.0438195444771508e-05
glauben,0.00011482014989248658
nett,9.394375900294358e-05
liebe,0.00016701112711634412
slytherins,0.0006262917266862905
erinnert,2.0876390889543015e-05
skrupel,1.0438195444771508e-05
tun,0.00033402225423268824
verstanden,0.00010438195444771508
einmischen,2.0876390889543015e-05
nachdem,0.0004592805995699463
sowohl,0.00018788751800588715
crutiatus,1.0438195444771508e-05
gespürt,3.131458633431452e-05
unterbrach,0.00010438195444771508
hand,0.000636729922131062
vertrauensvoll,1.0438195444771508e-05
schulter,0.0002609548861192877
böse,8.350556355817206e-05
grinste,0.0004070896223460888
zusammen,0.001252583453372581
hohen,2.0876390889543015e-05
fenster,9.394375900294358e-05
see,0.00022964029978497316
saßen,0.0006680445084653765
händchen,4.175278177908603e-05
hielten,0.00017744932256111564
darüber,0.00048015699045948936
blinzelte,4.175278177908603e-05
kurz,0.000720235485689234
verwundert,3.131458633431452e-05
warf,0.00035489864512223127
dämonisch,1.0438195444771508e-05
grinsenden,1.0438195444771508e-05
fragenden,4.175278177908603e-05
