term,relative_frequency
schnarrte,3.3530042918454936e-05
kalte,3.3530042918454936e-05
stimme,0.0002682403433476395
rücken,0.0002011802575107296
gruppe,0.00023471030042918455
slytherins,0.0007711909871244635
mittlerweile,0.0002682403433476395
angeschlossen,3.3530042918454936e-05
umwandten,3.3530042918454936e-05
immer,0.001609442060085837
edel,3.3530042918454936e-05
gewandet,3.3530042918454936e-05
dastanden,3.3530042918454936e-05
anführer,6.706008583690987e-05
zynisch,3.3530042918454936e-05
angrinste,3.3530042918454936e-05
verächtlich,3.3530042918454936e-05
maß,3.3530042918454936e-05
sogar,0.000502950643776824
lavander,3.3530042918454936e-05
oh,0.00030177038626609445
wunder,0.00016765021459227468
gehängt,3.3530042918454936e-05
klammerte,3.3530042918454936e-05
ziemlich,0.00023471030042918455
sicher,0.0004694206008583691
initiative,3.3530042918454936e-05
ergriffen,3.3530042918454936e-05
vielleicht,0.0003688304721030043
gesehen,0.0002682403433476395
verschwunden,0.0001005901287553648
schüttelt,0.0001005901287553648
kopf,0.0007711909871244635
gedanken,0.00033530042918454936
antwortete,0.00013412017167381974
nein,0.00030177038626609445
dumm,0.0001005901287553648
brauchen,6.706008583690987e-05
hasst,3.3530042918454936e-05
all,0.00023471030042918455
ach,0.0002011802575107296
kriegen,6.706008583690987e-05
schon,0.002615343347639485
lieben,0.00016765021459227468
gut,0.0008717811158798284
hasste,0.0001005901287553648
dafür,0.0002682403433476395
konnte,0.001542381974248927
erwarten,0.0001005901287553648
nachdem,0.0003688304721030043
crutio,6.706008583690987e-05
gespürt,6.706008583690987e-05
ließ,0.0005700107296137339
kalt,6.706008583690987e-05
las,3.3530042918454936e-05
aufmerksam,6.706008583690987e-05
sah,0.0017770922746781115
permanent,6.706008583690987e-05
fenster,0.0002011802575107296
blickte,0.0002011802575107296
wohl,0.0004358905579399142
versteckte,6.706008583690987e-05
blicke,0.00023471030042918455
schenkte,0.00013412017167381974
einmischen,6.706008583690987e-05
sowohl,0.00013412017167381974
crutiatus,3.3530042918454936e-05
weiß,0.0002682403433476395
unterbrach,0.00016765021459227468
hand,0.0008047210300429185
vertrauensvoll,3.3530042918454936e-05
schulter,0.0002011802575107296
tun,0.0004694206008583691
erleichterung,6.706008583690987e-05
augen,0.0008047210300429185
mehr,0.0013076716738197425
aufblitzen,3.3530042918454936e-05
sehen,0.0006706008583690987
wirkte,0.0002011802575107296
fiele,3.3530042918454936e-05
stein,3.3530042918454936e-05
herzen,6.706008583690987e-05
schloss,0.00033530042918454936
erleichtert,0.00013412017167381974
läuft,0.00013412017167381974
böse,0.00013412017167381974
grinste,0.00030177038626609445
zusammen,0.0012070815450643778
hohen,3.3530042918454936e-05
see,0.00013412017167381974
saßen,0.0009388412017167382
händchen,3.3530042918454936e-05
hielten,6.706008583690987e-05
darüber,0.0005700107296137339
blinzelte,6.706008583690987e-05
kurz,0.0003688304721030043
verwundert,6.706008583690987e-05
warf,0.0002682403433476395
