term,relative_frequency
bot,0.0001001527329176995
sofort,0.00032549638198252335
lakonisch,2.5038183229424875e-05
na,0.0003004581987530985
lieber,0.0003755727484413731
zufrieden,0.00012519091614712438
sieg,5.007636645884975e-05
wenngleich,2.5038183229424875e-05
frau,0.00025038183229424875
gemocht,2.5038183229424875e-05
damals,0.00042564911490022286
schon,0.0015523673602243421
gewusst,5.007636645884975e-05
liebte,0.0001001527329176995
wobei,0.00025038183229424875
gefragt,0.00015022909937654924
zeit,0.000801221863341596
deatheater,2.5038183229424875e-05
gefühlsregung,2.5038183229424875e-05
tatsächlich,0.0002754200155236736
fähig,2.5038183229424875e-05
wäre,0.0006760309471944716
weiten,2.5038183229424875e-05
gewachsen,2.5038183229424875e-05
hübsch,2.5038183229424875e-05
total,5.007636645884975e-05
dumm,5.007636645884975e-05
dennoch,5.007636645884975e-05
skrupeln,2.5038183229424875e-05
belastet,2.5038183229424875e-05
behaftet,2.5038183229424875e-05
minimal,2.5038183229424875e-05
genervt,0.00012519091614712438
freude,0.0001001527329176995
überwogen,5.007636645884975e-05
gegenüber,0.0005007636645884975
zugetragen,2.5038183229424875e-05
lord,0.0003505345652119482
schonung,2.5038183229424875e-05
leben,0.0003755727484413731
ersucht,2.5038183229424875e-05
durchaus,5.007636645884975e-05
befriedung,2.5038183229424875e-05
brachte,0.0003505345652119482
besitzen,2.5038183229424875e-05
vorher,0.00015022909937654924
versagt,2.5038183229424875e-05
bitte,0.0003004581987530985
großzügig,2.5038183229424875e-05
treuesten,2.5038183229424875e-05
verlässlichsten,2.5038183229424875e-05
diener,2.5038183229424875e-05
gehabt,0.0001752672826059741
tun,0.0004506872981296477
hilfe,0.00012519091614712438
aufspüren,2.5038183229424875e-05
frage,0.00015022909937654924
führten,5.007636645884975e-05
zauber,0.00015022909937654924
bevor,0.0006760309471944716
namen,0.00022534364906482386
sagen,0.00032549638198252335
konnte,0.0013019855279300934
manipulierte,2.5038183229424875e-05
vater,0.0004757254813590726
geheimniswahrer,0.0006760309471944716
macht,0.0001001527329176995
oktober,5.007636645884975e-05
beim,0.0003004581987530985
essen,0.000200305465835399
mitten,5.007636645884975e-05
nacht,0.0005007636645884975
passierte,0.0001001527329176995
wurde,0.0012769473447006685
ermordet,0.0001001527329176995
hinterher,0.0001752672826059741
haus,0.0004506872981296477
wollten,0.000200305465835399
kinder,0.00015022909937654924
holen,0.0001001527329176995
hielt,0.000200305465835399
davon,0.00032549638198252335
ab,0.0002754200155236736
plötzlich,0.0003004581987530985
tauchten,2.5038183229424875e-05
