term,relative_frequency
blickte,0.0003873800197994232
eindringlich,8.608444884431627e-05
sah,0.0014203934059312186
bedeutungsvoll,4.3042224422158136e-05
ja,0.0011621400593982696
kleine,0.0003873800197994232
handelte,4.3042224422158136e-05
genauso,0.00021521112211079067
recht,0.0003873800197994232
trotzdem,0.00012912667326647441
fast,0.0003443377953772651
jahr,0.0007747600395988464
her,0.00025825334653294883
endlich,0.0003873800197994232
vergessen,4.3042224422158136e-05
außerdem,0.00021521112211079067
black,0.0016356045280420091
tot,0.00017216889768863254
fristete,4.3042224422158136e-05
nutzloses,4.3042224422158136e-05
dasein,8.608444884431627e-05
leibeigener,4.3042224422158136e-05
lords,0.00025825334653294883
schon,0.0014634356303533766
irgendwann,4.3042224422158136e-05
fett,4.3042224422158136e-05
kriegen,4.3042224422158136e-05
eh,4.3042224422158136e-05
gestraft,4.3042224422158136e-05
wer,0.00030129557095510696
schließlich,0.0005165066930658977
lachte,0.00021521112211079067
höhnisch,4.3042224422158136e-05
grummlig,4.3042224422158136e-05
verstockt,4.3042224422158136e-05
sehen,0.0005595489174880558
zwingen,4.3042224422158136e-05
versammelter,4.3042224422158136e-05
mannschaft,8.608444884431627e-05
viele,0.00025825334653294883
geständnisse,4.3042224422158136e-05
abzugeben,4.3042224422158136e-05
wirklich,0.000645633366332372
herrlich,4.3042224422158136e-05
wusste,0.000989971161709637
information,8.608444884431627e-05
ratte,0.0007317178151766883
anzufangen,4.3042224422158136e-05
sylvester,4.3042224422158136e-05
darüber,4.3042224422158136e-05
kenntnis,8.608444884431627e-05
gesetzt,4.3042224422158136e-05
lord,0.0012051822838204278
zimmer,0.00021521112211079067
dark,4.3042224422158136e-05
manor,4.3042224422158136e-05
gekommen,0.00030129557095510696
kurz,0.0003443377953772651
alleine,0.00025825334653294883
gelassen,0.00021521112211079067
wohl,0.0003873800197994232
überprüft,4.3042224422158136e-05
weißen,0.00012912667326647441
augen,0.0006886755907545302
verloren,8.608444884431627e-05
gesehen,0.0006025911419102139
normal,4.3042224422158136e-05
zufrieden,4.3042224422158136e-05
dannen,4.3042224422158136e-05
gezogen,8.608444884431627e-05
bestätigung,4.3042224422158136e-05
ab,0.0003873800197994232
verändert,8.608444884431627e-05
unwiederbringlich,4.3042224422158136e-05
immer,0.0018938578745749581
ewig,4.3042224422158136e-05
feiern,8.608444884431627e-05
zusammen,0.0006886755907545302
baldiges,4.3042224422158136e-05
zukünftiges,4.3042224422158136e-05
mitglied,8.608444884431627e-05
bescheuerten,4.3042224422158136e-05
orden,0.00030129557095510696
traue,8.608444884431627e-05
widerlich,4.3042224422158136e-05
undurchsichtig,4.3042224422158136e-05
versprach,0.00012912667326647441
amüsant,4.3042224422158136e-05
erstaunen,4.3042224422158136e-05
bemerkte,0.00017216889768863254
soeben,0.00012912667326647441
ähnelte,4.3042224422158136e-05
beobachter,4.3042224422158136e-05
zurückzog,4.3042224422158136e-05
zusehen,8.608444884431627e-05
gerade,0.0009469289372874791
schwarzen,0.00021521112211079067
energischen,8.608444884431627e-05
forderung,4.3042224422158136e-05
spinnst,4.3042224422158136e-05
verschiedene,8.608444884431627e-05
arten,4.3042224422158136e-05
todessern,0.00012912667326647441
engste,4.3042224422158136e-05
kreis,4.3042224422158136e-05
besteht,4.3042224422158136e-05
kommen,0.00025825334653294883
erst,0.0003443377953772651
mann,0.00047346446864373953
bruder,0.00030129557095510696
außer,0.00025825334653294883
saßen,0.00012912667326647441
jenny,0.00017216889768863254
vier,0.00025825334653294883
unbekannte,4.3042224422158136e-05
mädchen,0.00017216889768863254
angenehmer,4.3042224422158136e-05
überraschung,4.3042224422158136e-05
kailee,8.608444884431627e-05
übernahm,8.608444884431627e-05
mal,0.001592562303619851
strafarbeit,4.3042224422158136e-05
erledigen,8.608444884431627e-05
lydia,0.00012912667326647441
hausaufgaben,0.00012912667326647441
machte,0.00047346446864373953
setzte,0.00021521112211079067
gefühl,0.00012912667326647441
plausible,4.3042224422158136e-05
erklärung,4.3042224422158136e-05
sonderlich,8.608444884431627e-05
beruhigt,4.3042224422158136e-05
hätte,0.000989971161709637
saß,0.0005165066930658977
langen,0.00021521112211079067
tisch,0.00025825334653294883
paukte,4.3042224422158136e-05
zaubertränke,0.00030129557095510696
erklärte,0.00017216889768863254
emma,4.3042224422158136e-05
muster,4.3042224422158136e-05
wahrsagen,8.608444884431627e-05
melanie,4.3042224422158136e-05
melissa,4.3042224422158136e-05
vicci,4.3042224422158136e-05
spielten,0.00017216889768863254
billiard,4.3042224422158136e-05
zauberschach,8.608444884431627e-05
teilnahmslos,4.3042224422158136e-05
neben,0.0006886755907545302
großen,0.00021521112211079067
sessel,8.608444884431627e-05
gemütlich,0.00012912667326647441
gemacht,0.00017216889768863254
buch,0.00021521112211079067
ebenfalls,0.0003443377953772651
nacheinander,4.3042224422158136e-05
verließen,0.00012912667326647441
raum,0.0003873800197994232
übrig,8.608444884431627e-05
dachte,0.0003873800197994232
fragte,0.0003873800197994232
wissen,0.000645633366332372
davon,0.00043042224422158135
madam,0.00021521112211079067
angehört,4.3042224422158136e-05
hätten,0.00017216889768863254
jungen,0.0003443377953772651
quidditch,8.608444884431627e-05
gesprochen,0.00021521112211079067
verschlüsselte,4.3042224422158136e-05
einwilligung,4.3042224422158136e-05
paar,0.0005165066930658977
tage,0.00017216889768863254
später,0.0006886755907545302
krankheit,0.00012912667326647441
überwunden,4.3042224422158136e-05
wurden,0.00025825334653294883
zwillinge,8.608444884431627e-05
nachts,4.3042224422158136e-05
geheimen,4.3042224422158136e-05
zitiert,8.608444884431627e-05
hob,0.00012912667326647441
hand,0.0006886755907545302
stoppte,4.3042224422158136e-05
redeschwall,4.3042224422158136e-05
fuhr,0.00012912667326647441
fassungslos,4.3042224422158136e-05
wandte,0.00012912667326647441
gezwungen,4.3042224422158136e-05
ruhiger,4.3042224422158136e-05
stimme,0.0005595489174880558
unbeirrt,4.3042224422158136e-05
fort,0.00017216889768863254
drei,0.0005595489174880558
zeigte,0.00017216889768863254
dachten,4.3042224422158136e-05
wäre,0.0007747600395988464
freien,4.3042224422158136e-05
stücken,4.3042224422158136e-05
dunklen,0.0012051822838204278
versteck,4.3042224422158136e-05
verraten,0.00043042224422158135
völlig,0.00021521112211079067
häuschen,4.3042224422158136e-05
sprang,0.00012912667326647441
werd,8.608444884431627e-05
scht,4.3042224422158136e-05
ungute,4.3042224422158136e-05
gleich,0.00021521112211079067
verdammt,8.608444884431627e-05
dummes,4.3042224422158136e-05
tun,0.0003873800197994232
lief,0.00017216889768863254
hörte,0.0003443377953772651
überlaute,4.3042224422158136e-05
oh,0.00012912667326647441
konntest,4.3042224422158136e-05
aufgebracht,4.3042224422158136e-05
irgendetwas,8.608444884431627e-05
erwiderte,0.0003873800197994232
bewegung,0.00012912667326647441
rücken,0.0003873800197994232
verborgenen,4.3042224422158136e-05
händen,8.608444884431627e-05
todesser,0.001248224508242586
unternehmung,4.3042224422158136e-05
gewusst,4.3042224422158136e-05
erstmals,4.3042224422158136e-05
spur,4.3042224422158136e-05
gebracht,0.00025825334653294883
verrat,0.00017216889768863254
gehört,0.00012912667326647441
tiefe,8.608444884431627e-05
angst,0.00021521112211079067
ergriffen,4.3042224422158136e-05
überlebt,0.00012912667326647441
blickten,4.3042224422158136e-05
ebenso,0.00025825334653294883
finster,8.608444884431627e-05
tat,0.00025825334653294883
schwiegen,8.608444884431627e-05
eisern,4.3042224422158136e-05
hilflos,4.3042224422158136e-05
dreinblickender,4.3042224422158136e-05
entdeckte,4.3042224422158136e-05
