term,relative_frequency
hörte,0.0001876436646807712
erheitert,4.69109161701928e-05
fragen,9.38218323403856e-05
wunderte,9.38218323403856e-05
relativ,9.38218323403856e-05
normal,4.69109161701928e-05
klang,0.0001407327485105784
verströmte,4.69109161701928e-05
große,0.00032837641319134964
kaltblütigkeit,4.69109161701928e-05
redete,4.69109161701928e-05
immer,0.002157902143828869
feuer,9.38218323403856e-05
neugierigen,4.69109161701928e-05
augen,0.0014073274851057842
folgten,0.0001876436646807712
bemerkte,0.0002814654970211568
natürlich,0.00032837641319134964
maske,0.0001876436646807712
neben,0.0015949711497865553
fast,0.0003752873293615424
einzige,9.38218323403856e-05
frau,0.0008443964910634705
aufhielt,4.69109161701928e-05
machten,9.38218323403856e-05
beobachtete,0.0001876436646807712
augenwinkeln,4.69109161701928e-05
beiden,0.0009382183234038561
männer,0.00032837641319134964
erregt,4.69109161701928e-05
unterhielten,4.69109161701928e-05
schließlich,0.00042219824553173523
sauer,4.69109161701928e-05
richtung,0.0001407327485105784
hauchte,0.0001876436646807712
leise,0.0003752873293615424
lauschten,4.69109161701928e-05
doppelt,4.69109161701928e-05
neugierig,4.69109161701928e-05
beäugt,4.69109161701928e-05
wurde,0.000985129239574049
davor,0.0001407327485105784
sah,0.0012665947365952056
versuchten,9.38218323403856e-05
abzulenken,4.69109161701928e-05
wohl,0.0007505746587230848
erinnerung,4.69109161701928e-05
gerufen,4.69109161701928e-05
versagte,4.69109161701928e-05
bekam,0.0003752873293615424
zuverlässigsten,4.69109161701928e-05
komm,0.00023455458085096402
lass,0.0001876436646807712
holen,9.38218323403856e-05
ab,0.0005160200778721208
dafür,0.0002814654970211568
brüder,0.0002814654970211568
zauberstäbe,9.38218323403856e-05
gezückt,4.69109161701928e-05
schickte,4.69109161701928e-05
schon,0.0009382183234038561
zuhechten,4.69109161701928e-05
bruder,0.0012665947365952056
zauber,0.0002814654970211568
ablenken,4.69109161701928e-05
somit,0.0001876436646807712
legten,4.69109161701928e-05
zusammen,0.0005160200778721208
eingespieltes,4.69109161701928e-05
team,9.38218323403856e-05
gleichzeitig,0.0001876436646807712
los,0.00023455458085096402
wirkten,0.00023455458085096402
beeindruckend,9.38218323403856e-05
unheimlich,9.38218323403856e-05
einschüchternd,4.69109161701928e-05
düsteren,4.69109161701928e-05
blicken,0.0001407327485105784
löste,0.0001407327485105784
sekundenschnelle,4.69109161701928e-05
gelber,4.69109161701928e-05
strahl,9.38218323403856e-05
zauberstab,0.0001876436646807712
traf,0.00023455458085096402
luft,0.0001407327485105784
befindlichen,4.69109161701928e-05
voll,4.69109161701928e-05
getroffen,9.38218323403856e-05
bücherregal,9.38218323403856e-05
krachte,4.69109161701928e-05
körper,9.38218323403856e-05
lautstark,4.69109161701928e-05
bruch,4.69109161701928e-05
ging,0.0006098419102125065
begrub,4.69109161701928e-05
schrie,9.38218323403856e-05
schmerzhaft,9.38218323403856e-05
erschlagen,4.69109161701928e-05
durfte,0.0001876436646807712
sehen,0.00046910916170192805
selben,4.69109161701928e-05
sekunde,9.38218323403856e-05
geschmeidig,4.69109161701928e-05
wortlos,4.69109161701928e-05
losließ,4.69109161701928e-05
schwungvollen,4.69109161701928e-05
bewegung,0.0001876436646807712
tür,0.0005160200778721208
erstarrte,0.0001876436646807712
fuchsteufelswilden,4.69109161701928e-05
blick,0.0012665947365952056
kommentierte,4.69109161701928e-05
steckte,4.69109161701928e-05
locker,4.69109161701928e-05
stab,4.69109161701928e-05
tasche,4.69109161701928e-05
hob,0.0001876436646807712
ergeben,4.69109161701928e-05
spöttischen,4.69109161701928e-05
lächeln,0.0002814654970211568
mundwinkel,9.38218323403856e-05
blickten,4.69109161701928e-05
drei,0.0005160200778721208
vier,0.00023455458085096402
personen,9.38218323403856e-05
nieder,4.69109161701928e-05
angriffshaltung,4.69109161701928e-05
halt,9.38218323403856e-05
ausgeschaltet,4.69109161701928e-05
langsam,0.0003752873293615424
ächzend,4.69109161701928e-05
trümmern,4.69109161701928e-05
