term,relative_frequency
hauchte,5.8626956674679014e-05
leise,0.0003517617400480741
bemerkte,5.8626956674679014e-05
lauschten,5.8626956674679014e-05
doppelt,5.8626956674679014e-05
neugierig,5.8626956674679014e-05
beäugt,5.8626956674679014e-05
wurde,0.0014070469601922965
davor,0.00017588087002403706
sah,0.0012311660901682593
versuchten,5.8626956674679014e-05
abzulenken,0.00011725391334935803
wohl,0.0008794043501201853
erinnerung,0.00011725391334935803
gerufen,0.00017588087002403706
versagte,5.8626956674679014e-05
bekam,0.00017588087002403706
zuverlässigsten,5.8626956674679014e-05
männer,0.00023450782669871606
wirkten,0.00017588087002403706
zwei,0.0006448965234214692
tiefhängenden,5.8626956674679014e-05
mehrarmigen,5.8626956674679014e-05
lüster,5.8626956674679014e-05
umso,0.00011725391334935803
gegenüber,0.0005862695667467902
mittig,5.8626956674679014e-05
seite,0.0008207773934455063
tisches,0.00017588087002403706
saßen,0.0005862695667467902
drei,0.0005276426100721111
lestranges,0.0003517617400480741
männern,0.00011725391334935803
rechts,5.8626956674679014e-05
flankiert,0.00011725391334935803
mann,0.0012311660901682593
links,5.8626956674679014e-05
neben,0.0015829278302163334
familie,0.0008207773934455063
platz,0.00041038869672275314
gefunden,0.00041038869672275314
zeigte,0.0004690156533974321
gut,0.0003517617400480741
sitzende,5.8626956674679014e-05
maske,0.00011725391334935803
verborgen,0.00017588087002403706
stuhl,0.00011725391334935803
rumlungerte,5.8626956674679014e-05
ungeduldig,0.00011725391334935803
zotteligen,5.8626956674679014e-05
locken,5.8626956674679014e-05
spielte,0.00017588087002403706
wobei,0.00011725391334935803
schweigsame,5.8626956674679014e-05
lord,0.0014656739168669754
immer,0.0017001817435656915
taxierenden,5.8626956674679014e-05
blick,0.0012311660901682593
unsicheren,5.8626956674679014e-05
ende,5.8626956674679014e-05
tafel,5.8626956674679014e-05
offizielle,0.00011725391334935803
teil,0.00011725391334935803
begonnen,5.8626956674679014e-05
wichtige,5.8626956674679014e-05
protagonisten,5.8626956674679014e-05
ließ,0.00041038869672275314
aufmerksamen,0.00011725391334935803
wartenden,5.8626956674679014e-05
anwesenden,0.00017588087002403706
schweifen,0.00011725391334935803
registrierte,0.00017588087002403706
blicke,0.00017588087002403706
hasserfüllt,5.8626956674679014e-05
irgendwie,0.00011725391334935803
gierigen,5.8626956674679014e-05
ausdruck,0.00011725391334935803
augen,0.0011139121768189014
gefesselt,5.8626956674679014e-05
frau,0.0009380313067948642
lagen,0.00011725391334935803
direkt,0.0007621504367708273
saß,0.0005862695667467902
ertönte,0.00011725391334935803
SCABIOR,5.8626956674679014e-05
erfreut,5.8626956674679014e-05
würgende,5.8626956674679014e-05
geräusche,5.8626956674679014e-05
gab,0.00011725391334935803
gehässigen,0.00011725391334935803
bitte,5.8626956674679014e-05
kreaturen,5.8626956674679014e-05
erkannten,5.8626956674679014e-05
sagt,5.8626956674679014e-05
richtige,5.8626956674679014e-05
geht,0.0003517617400480741
sack,5.8626956674679014e-05
entgegnete,0.00017588087002403706
fies,5.8626956674679014e-05
grinsend,5.8626956674679014e-05
setzte,0.0004690156533974321
humpen,5.8626956674679014e-05
recht,0.0002931347833733951
schwungvoll,5.8626956674679014e-05
sodass,0.0002931347833733951
prächtige,5.8626956674679014e-05
wunderschöne,5.8626956674679014e-05
schwarzmagierin,5.8626956674679014e-05
knallen,5.8626956674679014e-05
lässt,0.00011725391334935803
strich,5.8626956674679014e-05
warf,0.0002931347833733951
verzerrter,5.8626956674679014e-05
fratze,5.8626956674679014e-05
schien,0.0008794043501201853
wirklich,0.0007035234800961482
übel,0.00011725391334935803
nehmen,0.00017588087002403706
warum,0.0003517617400480741
tut,0.00023450782669871606
fragte,0.0004690156533974321
zorn,0.00011725391334935803
kalkweißer,5.8626956674679014e-05
langsam,0.00017588087002403706
zögern,5.8626956674679014e-05
ausgang,0.00011725391334935803
hahaha,5.8626956674679014e-05
lachte,0.00011725391334935803
mittlerweile,5.8626956674679014e-05
lauter,0.00011725391334935803
köstlich,5.8626956674679014e-05
gesagt,0.0003517617400480741
mungos,0.00011725391334935803
berichtete,0.00011725391334935803
zügig,5.8626956674679014e-05
danach,0.0002931347833733951
haderte,5.8626956674679014e-05
tat,5.8626956674679014e-05
schlicht,5.8626956674679014e-05
ergreifend,5.8626956674679014e-05
krrrrr,5.8626956674679014e-05
knirschte,5.8626956674679014e-05
atemlosen,5.8626956674679014e-05
stille,0.00017588087002403706
lautes,0.00011725391334935803
kreischen,5.8626956674679014e-05
ellenbogengelenk,5.8626956674679014e-05
trocken,5.8626956674679014e-05
barst,5.8626956674679014e-05
somit,0.00017588087002403706
arm,0.0002931347833733951
ausgerenkt,5.8626956674679014e-05
nutzlos,5.8626956674679014e-05
ahhhhhrrrr,5.8626956674679014e-05
gurgelte,5.8626956674679014e-05
schmerzverzerrt,5.8626956674679014e-05
unsäglichen,5.8626956674679014e-05
schmerzen,5.8626956674679014e-05
schlaffen,5.8626956674679014e-05
her,0.00041038869672275314
wand,0.00017588087002403706
abließ,5.8626956674679014e-05
sichtbar,0.00017588087002403706
unbeeindruckt,5.8626956674679014e-05
aufstand,5.8626956674679014e-05
verächtlich,0.00023450782669871606
hinab,5.8626956674679014e-05
schwerer,0.00011725391334935803
kampf,5.8626956674679014e-05
spottete,5.8626956674679014e-05
erntete,5.8626956674679014e-05
verhaltene,5.8626956674679014e-05
lacher,5.8626956674679014e-05
sarkasmus,5.8626956674679014e-05
wütend,5.8626956674679014e-05
gegend,0.00011725391334935803
blicken,0.00011725391334935803
peinlich,5.8626956674679014e-05
wissen,0.00023450782669871606
wann,0.0003517617400480741
besser,5.8626956674679014e-05
aufgibt,5.8626956674679014e-05
flüsterte,0.00011725391334935803
viele,0.0003517617400480741
mehr,0.0011725391334935803
meisten,0.00017588087002403706
gesichter,0.00023450782669871606
jedoch,0.0004690156533974321
silbernen,0.00011725391334935803
hingegen,5.8626956674679014e-05
ungebundenen,5.8626956674679014e-05
status,5.8626956674679014e-05
gegensatz,5.8626956674679014e-05
VOLDEMORT,0.0026968400070352346
höchst,5.8626956674679014e-05
interessant,5.8626956674679014e-05
niemandem,5.8626956674679014e-05
verbunden,5.8626956674679014e-05
verpflichtet,5.8626956674679014e-05
fühlte,0.00011725391334935803
niemand,0.0003517617400480741
geringeres,5.8626956674679014e-05
standen,0.0006448965234214692
befahl,5.8626956674679014e-05
harsch,5.8626956674679014e-05
kurz,0.0006448965234214692
darauf,0.00023450782669871606
grob,5.8626956674679014e-05
armen,0.00011725391334935803
gepackt,5.8626956674679014e-05
presste,5.8626956674679014e-05
zähnen,5.8626956674679014e-05
hervor,0.00017588087002403706
starrte,0.0002931347833733951
dunklen,0.0010552852201442223
satz,5.8626956674679014e-05
leeren,0.00011725391334935803
pandora,0.00011725391334935803
zählte,5.8626956674679014e-05
hand,0.0004690156533974321
abend,0.0002931347833733951
sowohl,0.00023450782669871606
bruder,0.0036934982705047782
zwillinge,0.00017588087002403706
benjamin,0.00017588087002403706
eingeladen,0.00017588087002403706
lange,0.0012897930468429384
ort,5.8626956674679014e-05
versammelt,0.00017588087002403706
anfang,0.0003517617400480741
machte,0.00023450782669871606
sekunden,0.0002931347833733951
später,0.0006448965234214692
gefolgt,0.00017588087002403706
älteren,0.00011725391334935803
cousinchen,5.8626956674679014e-05
grüßte,5.8626956674679014e-05
aurelia,5.8626956674679014e-05
neckischen,5.8626956674679014e-05
grinsen,0.00023450782669871606
drückte,5.8626956674679014e-05
mädchen,0.0003517617400480741
fest,0.00023450782669871606
füße,0.00017588087002403706
boden,0.0002931347833733951
verließen,0.00011725391334935803
letzterer,0.00011725391334935803
ziemlich,0.00041038869672275314
widerwillig,0.00011725391334935803
folgten,0.00017588087002403706
ostern,5.8626956674679014e-05
angriff,5.8626956674679014e-05
muggeldorf,5.8626956674679014e-05
geplant,0.00011725391334935803
wechselte,0.00011725391334935803
thema,5.8626956674679014e-05
kam,0.0007621504367708273
eigentlichen,5.8626956674679014e-05
grund,0.00011725391334935803
treffens,5.8626956674679014e-05
endlich,0.00041038869672275314
tisch,0.0003517617400480741
konnte,0.0006448965234214692
wagen,5.8626956674679014e-05
augenblick,0.00011725391334935803
hinterfragen,5.8626956674679014e-05
nein,0.0004690156533974321
mach,5.8626956674679014e-05
schon,0.0008207773934455063
murmelte,0.00023450782669871606
ging,0.0009380313067948642
entschlossen,5.8626956674679014e-05
geflissentlich,5.8626956674679014e-05
ignorierte,0.00017588087002403706
leises,5.8626956674679014e-05
lachen,0.00017588087002403706
rosier,0.00017588087002403706
selbstverständlich,5.8626956674679014e-05
vorhin,0.00011725391334935803
erwähnt,5.8626956674679014e-05
interessiert,5.8626956674679014e-05
hinüber,0.00011725391334935803
schreck,5.8626956674679014e-05
fuhr,0.00017588087002403706
glieder,5.8626956674679014e-05
erkannte,0.00023450782669871606
stockte,0.00017588087002403706
erschrocken,0.00011725391334935803
gewölbe,5.8626956674679014e-05
gingen,0.00017588087002403706
kakophonie,0.00011725391334935803
irrsinns,5.8626956674679014e-05
entgegenschlug,5.8626956674679014e-05
unten,0.00017588087002403706
gang,5.8626956674679014e-05
gäbe,0.00011725391334935803
vergnügen,5.8626956674679014e-05
meinte,0.0003517617400480741
hielt,0.00023450782669871606
zielsicher,5.8626956674679014e-05
gemütliche,5.8626956674679014e-05
insel,5.8626956674679014e-05
erwähnen,5.8626956674679014e-05
heute,0.0006448965234214692
gesitteter,5.8626956674679014e-05
weniger,0.00041038869672275314
derb,5.8626956674679014e-05
zuging,5.8626956674679014e-05
komm,0.00017588087002403706
schoß,0.00011725391334935803
klopfte,5.8626956674679014e-05
einladend,5.8626956674679014e-05
brüsten,0.00011725391334935803
blonden,0.00017588087002403706
schönheit,5.8626956674679014e-05
auftauchte,0.00011725391334935803
verächtlichen,5.8626956674679014e-05
parat,5.8626956674679014e-05
hättest,5.8626956674679014e-05
gerne,0.00017588087002403706
neutral,5.8626956674679014e-05
versuchte,0.00041038869672275314
wut,5.8626956674679014e-05
erscheinen,5.8626956674679014e-05
kompensieren,5.8626956674679014e-05
blonde,0.00011725391334935803
schmerzlich,5.8626956674679014e-05
brustwarzen,5.8626956674679014e-05
kniff,5.8626956674679014e-05
fasste,5.8626956674679014e-05
herz,5.8626956674679014e-05
trat,0.0003517617400480741
leichtes,0.00011725391334935803
zittern,5.8626956674679014e-05
angst,0.00017588087002403706
robe,5.8626956674679014e-05
eng,5.8626956674679014e-05
gerade,0.0005862695667467902
aufgenommen,5.8626956674679014e-05
worden,0.0005862695667467902
gebräuche,5.8626956674679014e-05
gepflogenheiten,5.8626956674679014e-05
festes,5.8626956674679014e-05
unterwiesen,5.8626956674679014e-05
eingeführt,5.8626956674679014e-05
dachte,0.0002931347833733951
freude,5.8626956674679014e-05
bereiten,0.00011725391334935803
zeigen,0.00011725391334935803
spaß,0.00017588087002403706
erklärte,0.00017588087002403706
bewusst,0.00017588087002403706
großer,5.8626956674679014e-05
gehässigkeit,5.8626956674679014e-05
betonung,5.8626956674679014e-05
zwist,5.8626956674679014e-05
sonder,5.8626956674679014e-05
bestreben,5.8626956674679014e-05
wow,5.8626956674679014e-05
hätte,0.0005276426100721111
erwartet,0.00011725391334935803
unserer,5.8626956674679014e-05
umgebung,5.8626956674679014e-05
auuuuuu,5.8626956674679014e-05
daher,0.00017588087002403706
stieß,0.00011725391334935803
lauten,5.8626956674679014e-05
schrei,0.00011725391334935803
beine,0.0005276426100721111
auseinander,5.8626956674679014e-05
zogen,0.00011725391334935803
schaffen,5.8626956674679014e-05
bitten,0.00011725391334935803
eilig,5.8626956674679014e-05
kroch,5.8626956674679014e-05
tief,5.8626956674679014e-05
besondere,0.00011725391334935803
rücksicht,5.8626956674679014e-05
pforte,5.8626956674679014e-05
bohren,5.8626956674679014e-05
ganz,0.0005276426100721111
willig,5.8626956674679014e-05
moment,0.0005276426100721111
bockte,5.8626956674679014e-05
beinah,0.00023450782669871606
ab,0.00023450782669871606
umgehend,5.8626956674679014e-05
fester,5.8626956674679014e-05
busen,0.00011725391334935803
mädchens,5.8626956674679014e-05
festkrallte,5.8626956674679014e-05
fast,0.00041038869672275314
entging,0.00017588087002403706
dabei,0.0005276426100721111
mund,0.0002931347833733951
nacken,5.8626956674679014e-05
geliebten,5.8626956674679014e-05
legte,0.0003517617400480741
hals,0.00011725391334935803
küsste,5.8626956674679014e-05
brüste,5.8626956674679014e-05
aufmerksamkeit,5.8626956674679014e-05
überschüttete,5.8626956674679014e-05
körper,0.00017588087002403706
vergleich,5.8626956674679014e-05
jungen,0.00041038869672275314
festen,5.8626956674679014e-05
straffen,5.8626956674679014e-05
reifen,5.8626956674679014e-05
trotz,0.00017588087002403706
magie,0.0007035234800961482
bisschen,5.8626956674679014e-05
hängenden,5.8626956674679014e-05
zauberte,5.8626956674679014e-05
gehässiges,5.8626956674679014e-05
aufs,0.00023450782669871606
vornehme,5.8626956674679014e-05
antlitz,5.8626956674679014e-05
ebenso,0.0004690156533974321
weißen,5.8626956674679014e-05
bewegenden,5.8626956674679014e-05
pobacken,5.8626956674679014e-05
akteure,5.8626956674679014e-05
exquisit,5.8626956674679014e-05
belustigten,0.00011725391334935803
anscheinend,0.00011725391334935803
wollten,0.00023450782669871606
belastungsgrenze,5.8626956674679014e-05
schlag,0.00017588087002403706
zeitgleich,0.00011725391334935803
beherrschung,5.8626956674679014e-05
verloren,5.8626956674679014e-05
beziehungsweise,5.8626956674679014e-05
schwägerin,0.00011725391334935803
arbeit,5.8626956674679014e-05
prallen,5.8626956674679014e-05
schwänzen,5.8626956674679014e-05
beendete,0.00017588087002403706
ach,0.00011725391334935803
hübsches,5.8626956674679014e-05
