term,relative_frequency
kam,0.0009328358208955224
ruhig,0.00013092432573972245
leise,0.0004091385179366326
herangetreten,1.6365540717465306e-05
hand,0.0005727939251112857
zuckte,8.182770358732653e-05
sekunde,6.546216286986122e-05
schon,0.0020620581304006285
dolch,1.6365540717465306e-05
antrainierten,1.6365540717465306e-05
impuls,3.273108143493061e-05
heraus,0.00011455878502225713
bevor,0.0004255040586540979
stoppte,3.273108143493061e-05
verdammt,0.00011455878502225713
träum,1.6365540717465306e-05
rief,0.0002782141921969102
ärgerlich,1.6365540717465306e-05
ordnung,0.00013092432573972245
erklärte,0.00044186959937156324
spielte,1.6365540717465306e-05
darauf,0.0002782141921969102
offen,4.909662215239592e-05
bekannt,0.00013092432573972245
einfach,0.0006546216286986122
guter,0.00013092432573972245
fick,3.273108143493061e-05
erstaunte,1.6365540717465306e-05
glauben,0.00014728986645718776
professor,0.0023402723225975385
kannte,9.819324430479184e-05
brav,1.6365540717465306e-05
liebe,9.819324430479184e-05
besserwisserische,1.6365540717465306e-05
unterricht,0.0003436763550667714
empfand,4.909662215239592e-05
atmete,9.819324430479184e-05
tief,0.00016365540717465306
gespräch,0.0004255040586540979
hätte,0.0008019114951557999
heute,0.0002945797329143755
eigentlich,0.0002945797329143755
gewollt,1.6365540717465306e-05
gut,0.000752814873003404
wusste,0.0005564283843938204
nie,0.0002782141921969102
wozu,1.6365540717465306e-05
hob,0.00021275202932704895
abwehrend,1.6365540717465306e-05
antworten,8.182770358732653e-05
blickte,0.0003273108143493061
eindringlich,3.273108143493061e-05
sah,0.0021766169154228856
bedeutungsvoll,1.6365540717465306e-05
ja,0.001505629746006808
kleine,0.0002782141921969102
handelte,8.182770358732653e-05
genauso,0.00019638648860958367
recht,0.000540062843676355
trotzdem,0.00016365540717465306
fast,0.0005073317622414245
jahr,0.0002618486514794449
her,0.0002782141921969102
endlich,0.00021275202932704895
vergessen,0.00011455878502225713
außerdem,0.00019638648860958367
black,0.0005564283843938204
tot,6.546216286986122e-05
fristete,1.6365540717465306e-05
nutzloses,1.6365540717465306e-05
dasein,1.6365540717465306e-05
leibeigener,1.6365540717465306e-05
lords,1.6365540717465306e-05
irgendwann,0.00016365540717465306
fett,1.6365540717465306e-05
kriegen,3.273108143493061e-05
eh,6.546216286986122e-05
gestraft,1.6365540717465306e-05
wer,0.0002618486514794449
schließlich,0.000540062843676355
lachte,0.00013092432573972245
höhnisch,1.6365540717465306e-05
grummlig,1.6365540717465306e-05
verstockt,1.6365540717465306e-05
sehen,0.0003109452736318408
zwingen,3.273108143493061e-05
versammelter,1.6365540717465306e-05
mannschaft,3.273108143493061e-05
viele,0.0003436763550667714
geständnisse,1.6365540717465306e-05
abzugeben,1.6365540717465306e-05
wirklich,0.000752814873003404
herrlich,1.6365540717465306e-05
erzählte,0.0002618486514794449
breit,6.546216286986122e-05
grinsend,8.182770358732653e-05
gesicht,0.0005564283843938204
gesagt,0.0004091385179366326
gar,0.00021275202932704895
passte,1.6365540717465306e-05
wies,1.6365540717465306e-05
ungeduldig,3.273108143493061e-05
nickten,0.00011455878502225713
fasste,3.273108143493061e-05
ans,4.909662215239592e-05
herz,9.819324430479184e-05
arme,0.0002618486514794449
hast,0.0005236973029588898
richtig,0.00018002094789211837
zugesetzt,1.6365540717465306e-05
geht,0.00036004189578423674
stotterte,1.6365540717465306e-05
tiefere,1.6365540717465306e-05
sorgenfalten,1.6365540717465306e-05
zügen,3.273108143493061e-05
trug,0.00021275202932704895
bisher,0.00018002094789211837
wenigstens,6.546216286986122e-05
schien,0.000376407436501702
teil,9.819324430479184e-05
erbschaft,1.6365540717465306e-05
ebenfalls,0.00036004189578423674
neue,9.819324430479184e-05
kleidung,1.6365540717465306e-05
investiert,1.6365540717465306e-05
anständigen,1.6365540717465306e-05
geflickten,1.6365540717465306e-05
hosen,1.6365540717465306e-05
