term,relative_frequency
hingegen,3.647505106507149e-05
immer,0.0017872775021885031
paar,0.0004012255617157864
zusätzliche,7.295010213014298e-05
reichte,0.00010942515319521448
plan,7.295010213014298e-05
unfreundlichen,3.647505106507149e-05
blick,0.0010942515319521447
harten,3.647505106507149e-05
augen,0.0008754012255617158
fühlte,0.00014590020426028595
schon,0.0016778523489932886
wind,7.295010213014298e-05
wurde,0.0010213014298220018
glück,0.0002918004085205719
erste,0.00025532535745550046
unterrichtsstunde,0.00010942515319521448
verteidigung,0.0006930259702363584
dunklen,0.0005836008170411438
künste,0.0005471257659760724
ausdruckslosen,3.647505106507149e-05
miene,0.00021885030639042896
tiefstem,3.647505106507149e-05
schwarz,3.647505106507149e-05
gewandet,3.647505106507149e-05
ersten,0.0005836008170411438
mal,0.0010577764808870733
seit,0.00018237525532535746
sechs,7.295010213014298e-05
jahren,0.00021885030639042896
kerker,3.647505106507149e-05
willkommen,3.647505106507149e-05
hieß,3.647505106507149e-05
klassenzimmer,0.00018237525532535746
stock,7.295010213014298e-05
unterrichtet,0.00010942515319521448
worden,0.00018237525532535746
schenkte,0.00010942515319521448
daraufhin,7.295010213014298e-05
betretenen,3.647505106507149e-05
nickte,0.0005106507149110009
hoffe,7.295010213014298e-05
tür,0.00047417566384592936
gehört,0.00014590020426028595
bevor,0.0007295010213014298
sah,0.0012036766851473593
hätte,0.0009118762766267873
umkehren,3.647505106507149e-05
apsis,3.647505106507149e-05
gespräch,0.00025532535745550046
belauscht,3.647505106507149e-05
ging,0.0006200758681062154
erneut,0.0003647505106507149
angelegt,3.647505106507149e-05
erstens,3.647505106507149e-05
meinte,0.0006930259702363584
sei,0.00014590020426028595
schuld,0.00014590020426028595
tod,3.647505106507149e-05
unsinnig,3.647505106507149e-05
rudel,3.647505106507149e-05
schicken,0.00010942515319521448
gefährlich,0.00014590020426028595
schließlich,0.0005836008170411438
hätten,0.00025532535745550046
ja,0.0008754012255617158
erster,0.00014590020426028595
front,7.295010213014298e-05
spion,3.647505106507149e-05
traue,3.647505106507149e-05
schien,0.0004377006127808579
schwer,0.00014590020426028595
getroffen,0.00010942515319521448
tragweite,3.647505106507149e-05
mehr,0.0009118762766267873
offenbart,3.647505106507149e-05
werwolf,0.0005106507149110009
glaub,3.647505106507149e-05
einfach,0.00047417566384592936
sage,3.647505106507149e-05
sicherer,3.647505106507149e-05
je,7.295010213014298e-05
heute,0.00018237525532535746
nirgendwo,3.647505106507149e-05
entdecken,3.647505106507149e-05
woche,0.00021885030639042896
später,0.0005836008170411438
cat,0.00010942515319521448
krankenflügel,0.00021885030639042896
zog,0.0003282754595856434
wissen,0.0007659760723665013
getestet,3.647505106507149e-05
allerdings,0.00021885030639042896
streng,0.00021885030639042896
blickende,3.647505106507149e-05
frau,0.0003647505106507149
professorin,0.00014590020426028595
verwandlung,0.0005106507149110009
mitgeteilt,3.647505106507149e-05
sechste,3.647505106507149e-05
vierte,3.647505106507149e-05
schuljahr,0.00010942515319521448
besuchen,3.647505106507149e-05
wogegen,3.647505106507149e-05
beide,0.0006200758681062154
einwände,3.647505106507149e-05
verschwanden,3.647505106507149e-05
fortfuhr,7.295010213014298e-05
bitten,0.00010942515319521448
auroren,0.0004377006127808579
solltet,7.295010213014298e-05
haus,0.0003647505106507149
kommen,0.0004377006127808579
falls,0.00018237525532535746
direkt,0.00014590020426028595
verhaften,3.647505106507149e-05
verteilen,3.647505106507149e-05
gelände,7.295010213014298e-05
welt,0.00018237525532535746
schwager,0.00010942515319521448
viele,0.0004012255617157864
wichtig,7.295010213014298e-05
tot,0.00014590020426028595
dumpf,3.647505106507149e-05
dringt,3.647505106507149e-05
professor,0.001860227604318646
stimme,0.0006200758681062154
hindurch,7.295010213014298e-05
keuchend,7.295010213014298e-05
luft,0.0003282754595856434
holt,3.647505106507149e-05
scharrte,3.647505106507149e-05
linken,0.00010942515319521448
vorderpfote,3.647505106507149e-05
laub,3.647505106507149e-05
wobei,0.00014590020426028595
müde,0.00014590020426028595
legte,0.0004012255617157864
gegenüber,0.00025532535745550046
verharrte,3.647505106507149e-05
stunde,0.00018237525532535746
zwei,0.0008389261744966443
jegliches,3.647505106507149e-05
zeitgefühl,3.647505106507149e-05
längst,0.00014590020426028595
verloren,0.00014590020426028595
aufstand,3.647505106507149e-05
streckte,7.295010213014298e-05
stand,0.0006930259702363584
bog,0.00010942515319521448
rücken,7.295010213014298e-05
ehe,0.0002918004085205719
schüttelte,0.00014590020426028595
abwartend,3.647505106507149e-05
rannte,0.00010942515319521448
perplexen,3.647505106507149e-05
sekunden,0.00010942515319521448
preschte,3.647505106507149e-05
schnauze,3.647505106507149e-05
unten,7.295010213014298e-05
fährte,3.647505106507149e-05
verlieren,7.295010213014298e-05
holte,0.00021885030639042896
abkürzung,3.647505106507149e-05
standen,0.0003647505106507149
beleuchtete,3.647505106507149e-05
schloss,0.0003282754595856434
werfen,0.00018237525532535746
weiteren,0.00010942515319521448
hetzjagden,3.647505106507149e-05
verging,3.647505106507149e-05
nacht,0.0003282754595856434
flug,3.647505106507149e-05
wartete,0.00014590020426028595
eingang,7.295010213014298e-05
verbotenen,3.647505106507149e-05
waldes,3.647505106507149e-05
gebüsch,3.647505106507149e-05
treten,7.295010213014298e-05
verwandelte,7.295010213014298e-05
zurück,0.0004377006127808579
liefen,0.00010942515319521448
schweigend,7.295010213014298e-05
traute,3.647505106507149e-05
fragen,0.0002918004085205719
brachte,0.00014590020426028595
bestimmt,0.00021885030639042896
schmerzen,3.647505106507149e-05
danke,0.00014590020426028595
murmelte,0.0003647505106507149
geistesabwesend,7.295010213014298e-05
nähe,7.295010213014298e-05
eingangshalle,0.00010942515319521448
ebenso,0.00018237525532535746
schmunzelte,7.295010213014298e-05
leicht,0.00014590020426028595
wischte,3.647505106507149e-05
wohl,0.0003647505106507149
bald,0.00025532535745550046
ferien,3.647505106507149e-05
plötzlich,0.0004012255617157864
wirkte,7.295010213014298e-05
sollten,0.0003282754595856434
frühstück,0.00018237525532535746
große,0.0004012255617157864
halle,0.0006200758681062154
gehen,0.00047417566384592936
miss,0.0002918004085205719
ähm,7.295010213014298e-05
gute,0.0002918004085205719
besserung,3.647505106507149e-05
schlenderte,3.647505106507149e-05
anfang,7.295010213014298e-05
weihnachtsferien,3.647505106507149e-05
erst,0.0003647505106507149
verdammt,7.295010213014298e-05
lange,0.0005471257659760724
ferientage,3.647505106507149e-05
gefühl,0.00010942515319521448
weitergehen,3.647505106507149e-05
langeweile,3.647505106507149e-05
sterben,0.00018237525532535746
blätterte,7.295010213014298e-05
seite,0.0009483513276918587
interessant,3.647505106507149e-05
vielen,0.00018237525532535746
stunden,0.00018237525532535746
getan,0.00010942515319521448
schlafen,3.647505106507149e-05
lesen,0.00014590020426028595
neben,0.0010942515319521447
kicherte,3.647505106507149e-05
gruppe,0.00021885030639042896
junger,3.647505106507149e-05
hufflepuffs,3.647505106507149e-05
warf,0.0002918004085205719
giftigen,3.647505106507149e-05
sogleich,0.00010942515319521448
abhauen,3.647505106507149e-05
klappte,3.647505106507149e-05
buch,7.295010213014298e-05
starrte,0.00010942515319521448
fenster,7.295010213014298e-05
hinaus,7.295010213014298e-05
verschneiten,3.647505106507149e-05
jungen,0.0004012255617157864
lieferten,3.647505106507149e-05
schneeballschlacht,3.647505106507149e-05
wurden,0.0005836008170411438
jedoch,0.0003282754595856434
quasi,3.647505106507149e-05
großen,0.0004377006127808579
terminkalender,3.647505106507149e-05
übersät,7.295010213014298e-05
gesagt,0.00047417566384592936
solle,3.647505106507149e-05
spaß,7.295010213014298e-05
gönnen,7.295010213014298e-05
sollen,0.00025532535745550046
meldete,7.295010213014298e-05
wort,0.00021885030639042896
ganz,0.00047417566384592936
zufällig,7.295010213014298e-05
ass,3.647505106507149e-05
ärmel,3.647505106507149e-05
seufzte,0.00018237525532535746
fragte,0.0006930259702363584
wieso,0.00010942515319521448
verheimlichen,3.647505106507149e-05
konnte,0.0013860519404727168
wohnzimmer,0.00010942515319521448
begrüßte,3.647505106507149e-05
goss,7.295010213014298e-05
setzte,0.0004377006127808579
aufs,3.647505106507149e-05
sofa,7.295010213014298e-05
sessel,0.00014590020426028595
gehofft,7.295010213014298e-05
nachfolger,3.647505106507149e-05
hauslehrer,0.00014590020426028595
dora,7.295010213014298e-05
vertrauenslehrerin,3.647505106507149e-05
antwortete,0.00018237525532535746
na,0.00010942515319521448
macht,0.00014590020426028595
schönen,7.295010213014298e-05
abend,0.0002918004085205719
verabschiedete,0.00010942515319521448
wiedersehen,3.647505106507149e-05
erstes,0.00018237525532535746
sagen,0.0006565509191712868
weiß,0.0005106507149110009
zweites,7.295010213014298e-05
glauben,0.00010942515319521448
frag,3.647505106507149e-05
apperiert,3.647505106507149e-05
erwin,3.647505106507149e-05
kam,0.0007659760723665013
meint,3.647505106507149e-05
könnt,7.295010213014298e-05
bedienen,3.647505106507149e-05
erklärte,0.0004012255617157864
eberkopf,3.647505106507149e-05
gab,0.0005106507149110009
schlüssel,3.647505106507149e-05
kragen,3.647505106507149e-05
hergezogen,7.295010213014298e-05
präsentierte,3.647505106507149e-05
triumphierend,7.295010213014298e-05
beute,3.647505106507149e-05
gebeten,0.00014590020426028595
gryffindors,0.00018237525532535746
publik,3.647505106507149e-05
schätze,7.295010213014298e-05
bisher,0.00014590020426028595
vergessen,0.00018237525532535746
genommen,0.00018237525532535746
erzählende,3.647505106507149e-05
begebenheit,3.647505106507149e-05
spielte,7.295010213014298e-05
tanztraining,3.647505106507149e-05
beginn,7.295010213014298e-05
spiegelwänden,3.647505106507149e-05
plapperten,3.647505106507149e-05
rätselhaften,3.647505106507149e-05
kleiderhaufen,3.647505106507149e-05
mitte,3.647505106507149e-05
raums,3.647505106507149e-05
blicken,7.295010213014298e-05
inspizierten,3.647505106507149e-05
fand,0.00014590020426028595
verschmitzt,7.295010213014298e-05
lächelnd,3.647505106507149e-05
sue,0.00010942515319521448
partnerin,3.647505106507149e-05
freie,0.00010942515319521448
fläche,3.647505106507149e-05
ziehen,7.295010213014298e-05
bereits,0.0004012255617157864
gefundenen,3.647505106507149e-05
paare,7.295010213014298e-05
versammelten,3.647505106507149e-05
auffrischung,3.647505106507149e-05
tanzstunde,3.647505106507149e-05
partner,7.295010213014298e-05
erfolgreich,3.647505106507149e-05
gebracht,0.00014590020426028595
bandeln,3.647505106507149e-05
langsam,0.00018237525532535746
einander,0.00010942515319521448
neue,0.00014590020426028595
entwicklung,3.647505106507149e-05
wartet,3.647505106507149e-05
bloße,3.647505106507149e-05
freundschaft,7.295010213014298e-05
the,7.295010213014298e-05
innocence,3.647505106507149e-05
mission,3.647505106507149e-05
evensong,3.647505106507149e-05
perks,3.647505106507149e-05
of,7.295010213014298e-05
being,3.647505106507149e-05
a,3.647505106507149e-05
wallflower,3.647505106507149e-05
schlichtweg,7.295010213014298e-05
vergöttere,3.647505106507149e-05
wünsch,3.647505106507149e-05
reviews,0.00010942515319521448
wären,0.00014590020426028595
toll,7.295010213014298e-05
verübele,3.647505106507149e-05
erstmal,0.00018237525532535746
zeit,0.0005106507149110009
braucht,3.647505106507149e-05
wegen,0.0002918004085205719
trödelei,3.647505106507149e-05
reinzulesen,3.647505106507149e-05
eins,7.295010213014298e-05
kommt,0.00018237525532535746
sicher,0.0005106507149110009
außerschulisches,3.647505106507149e-05
engagement,3.647505106507149e-05
loben,3.647505106507149e-05
sagte,0.0018237525532535746
gwen,3.647505106507149e-05
trat,0.0002918004085205719
hände,0.00014590020426028595
schultern,0.00010942515319521448
pergament,0.00010942515319521448
schaute,0.00018237525532535746
glaube,0.0003647505106507149
weniger,0.00014590020426028595
hübscher,3.647505106507149e-05
randgestaltung,3.647505106507149e-05
inhalt,7.295010213014298e-05
aufsatzes,3.647505106507149e-05
tippte,3.647505106507149e-05
glucksend,3.647505106507149e-05
finger,0.00014590020426028595
krakeligen,3.647505106507149e-05
männchen,3.647505106507149e-05
obere,3.647505106507149e-05
ecke,0.00010942515319521448
namenszug,3.647505106507149e-05
gemalt,3.647505106507149e-05
hörte,0.00021885030639042896
alte,0.00025532535745550046
holzstuhl,3.647505106507149e-05
knackte,3.647505106507149e-05
dicken,3.647505106507149e-05
wälzer,3.647505106507149e-05
studiertisch,3.647505106507149e-05
bibliothek,0.00014590020426028595
platz,0.0003647505106507149
nahm,0.0002918004085205719
verwunderlich,3.647505106507149e-05
rumtreibern,7.295010213014298e-05
startposten,3.647505106507149e-05
wand,0.00010942515319521448
bezogen,3.647505106507149e-05
begrüßung,3.647505106507149e-05
warteten,0.00010942515319521448
kürzer,3.647505106507149e-05
sowieso,3.647505106507149e-05
hand,0.0005836008170411438
ausstrecken,3.647505106507149e-05
greifen,3.647505106507149e-05
misses,3.647505106507149e-05
weasley,0.0006565509191712868
helfende,3.647505106507149e-05
gut,0.0008389261744966443
gewandt,7.295010213014298e-05
gleich,0.00021885030639042896
hogwarts,0.0010942515319521447
zurückkehren,3.647505106507149e-05
verschwinden,7.295010213014298e-05
beiden,0.0011307265830172162
schüler,0.0007295010213014298
erklären,0.00010942515319521448
besprochen,3.647505106507149e-05
natürlich,0.0007659760723665013
sofort,0.0005471257659760724
ganze,0.0003647505106507149
saßen,0.0005106507149110009
unterhielt,0.00010942515319521448
geschichten,7.295010213014298e-05
erlebnisse,3.647505106507149e-05
rumtreiber,0.00021885030639042896
holen,7.295010213014298e-05
klang,0.00014590020426028595
dringend,3.647505106507149e-05
unterbrach,0.00018237525532535746
zweiten,0.0004012255617157864
nachtisch,3.647505106507149e-05
eilte,0.00021885030639042896
davon,0.0005106507149110009
richtung,0.00014590020426028595
dicht,3.647505106507149e-05
nehme,3.647505106507149e-05
katze,3.647505106507149e-05
meisten,0.00018237525532535746
schaffen,0.00010942515319521448
gestaltlose,3.647505106507149e-05
patroni,3.647505106507149e-05
leistung,3.647505106507149e-05
beschwichtigte,3.647505106507149e-05
übrigen,0.00018237525532535746
hilflos,7.295010213014298e-05
recht,0.00018237525532535746
darbietungen,3.647505106507149e-05
stets,7.295010213014298e-05
team,3.647505106507149e-05
unbedingt,0.00014590020426028595
musst,0.00014590020426028595
gesehen,0.0004012255617157864
bleiben,0.0003282754595856434
scheint,0.00010942515319521448
bewusst,0.00010942515319521448
mundwinkel,7.295010213014298e-05
zuckten,7.295010213014298e-05
bezweifle,0.00010942515319521448
akuter,3.647505106507149e-05
gefahr,0.00014590020426028595
befindet,3.647505106507149e-05
zankerei,3.647505106507149e-05
arbeit,0.00014590020426028595
weihnachtsfestmahl,3.647505106507149e-05
tisch,0.0005836008170411438
steht,0.00010942515319521448
rest,0.00025532535745550046
beeilte,3.647505106507149e-05
helfen,0.00010942515319521448
suchen,0.00010942515319521448
vermutete,7.295010213014298e-05
menschen,0.00014590020426028595
stimmung,0.00010942515319521448
beeinflusst,7.295010213014298e-05
dankbar,0.00010942515319521448
erforderlichen,3.647505106507149e-05
bücher,0.00010942515319521448
gemeinschaftsraum,0.00014590020426028595
nahmen,0.00010942515319521448
setzen,0.00018237525532535746
ruhigen,3.647505106507149e-05
erinnerte,0.00010942515319521448
krankenstation,0.00018237525532535746
tarnumhang,7.295010213014298e-05
körper,0.00018237525532535746
versteckte,3.647505106507149e-05
vielleicht,0.0003647505106507149
fluren,3.647505106507149e-05
bereit,3.647505106507149e-05
kammer,3.647505106507149e-05
schreckens,3.647505106507149e-05
bringen,0.0002918004085205719
junge,0.00025532535745550046
zimmer,7.295010213014298e-05
zauber,0.0003282754595856434
funktionierte,3.647505106507149e-05
staub,3.647505106507149e-05
verfall,3.647505106507149e-05
angekommen,0.00010942515319521448
verzauberte,3.647505106507149e-05
zitronendrops,3.647505106507149e-05
großes,7.295010213014298e-05
bett,0.0004012255617157864
sanft,0.00014590020426028595
dahinein,3.647505106507149e-05
entfernen,3.647505106507149e-05
lag,0.0002918004085205719
genau,0.0004377006127808579
verlassen,0.0002918004085205719
ungerührt,7.295010213014298e-05
position,7.295010213014298e-05
verklärt,3.647505106507149e-05
nächsten,0.00021885030639042896
tag,0.0004377006127808579
uhr,0.00014590020426028595
generalprobe,3.647505106507149e-05
hochzeit,7.295010213014298e-05
dezember,3.647505106507149e-05
geladen,3.647505106507149e-05
trauzeugen,3.647505106507149e-05
jenny,3.647505106507149e-05
danger,3.647505106507149e-05
minister,0.00018237525532535746
madame,0.00010942515319521448
maxim,3.647505106507149e-05
brautjungfern,3.647505106507149e-05
ringträger,3.647505106507149e-05
braun,3.647505106507149e-05
josefine,3.647505106507149e-05
moore,3.647505106507149e-05
creeve,3.647505106507149e-05
mia,3.647505106507149e-05
stclair,3.647505106507149e-05
caroll,3.647505106507149e-05
mclaine,3.647505106507149e-05
hielten,0.00010942515319521448
wache,3.647505106507149e-05
probe,3.647505106507149e-05
gestört,7.295010213014298e-05
habt,3.647505106507149e-05
ahnung,0.00010942515319521448
pflege,3.647505106507149e-05
magischer,3.647505106507149e-05
geschöpfe,3.647505106507149e-05
nehmen,0.00018237525532535746
wollt,3.647505106507149e-05
außer,0.0004377006127808579
schnitt,7.295010213014298e-05
fall,0.00010942515319521448
muggelkunde,7.295010213014298e-05
umlegen,3.647505106507149e-05
genug,0.0004012255617157864
vier,0.0003647505106507149
wäre,0.0005106507149110009
würdet,3.647505106507149e-05
fünf,0.00014590020426028595
standardkurse,3.647505106507149e-05
schlampe,3.647505106507149e-05
genannt,0.0003647505106507149
bloß,0.00010942515319521448
nein,0.0002918004085205719
bleicher,3.647505106507149e-05
ernster,7.295010213014298e-05
dachte,0.0004012255617157864
lächerlichen,3.647505106507149e-05
naiven,3.647505106507149e-05
kindischen,3.647505106507149e-05
schwur,3.647505106507149e-05
geleistet,3.647505106507149e-05
grinsen,0.00018237525532535746
vorstellung,3.647505106507149e-05
einwerwolfwar,3.647505106507149e-05
gesicht,0.00025532535745550046
erschienen,7.295010213014298e-05
abends,3.647505106507149e-05
beim,0.00021885030639042896
hochschleichen,3.647505106507149e-05
schlafsaal,7.295010213014298e-05
erwischt,0.00014590020426028595
beschuldigt,3.647505106507149e-05
herumzutreiben,3.647505106507149e-05
ertragen,3.647505106507149e-05
sogar,0.00047417566384592936
gar,0.0003282754595856434
fiel,0.00021885030639042896
ermunterte,3.647505106507149e-05
letztendlich,3.647505106507149e-05
besorgte,7.295010213014298e-05
blicke,0.00014590020426028595
zuwerfend,3.647505106507149e-05
folgten,0.00018237525532535746
ankamen,0.00010942515319521448
setzten,0.00010942515319521448
zugeteiltes,3.647505106507149e-05
stehen,0.0003647505106507149
blieb,0.00025532535745550046
stuhl,0.00025532535745550046
heran,3.647505106507149e-05
geht,0.0004012255617157864
durchgängig,3.647505106507149e-05
schlechten,0.00010942515319521448
gedanken,0.00018237525532535746
schlimmsten,3.647505106507149e-05
szenarien,3.647505106507149e-05
kopf,0.00047417566384592936
folgte,0.00010942515319521448
traf,0.00010942515319521448
bild,0.00010942515319521448
nie,0.0005106507149110009
erträumen,3.647505106507149e-05
lassen,0.0004377006127808579
träume,3.647505106507149e-05
letzten,0.0004377006127808579
realität,0.00010942515319521448
auge,7.295010213014298e-05
rechten,7.295010213014298e-05
offensichtlich,7.295010213014298e-05
bewusstlos,7.295010213014298e-05
sehen,0.0005106507149110009
benommen,3.647505106507149e-05
boden,7.295010213014298e-05
kämpften,3.647505106507149e-05
sowie,0.0004377006127808579
geschickt,0.00014590020426028595
todesser,0.0003647505106507149
hilft,7.295010213014298e-05
wusste,0.0008389261744966443
besorgten,3.647505106507149e-05
erwiderte,0.00025532535745550046
wenig,0.0006565509191712868
einsprang,3.647505106507149e-05
gewissheit,3.647505106507149e-05
denke,0.00018237525532535746
kompletter,3.647505106507149e-05
maße,3.647505106507149e-05
infiziert,3.647505106507149e-05
betretenes,3.647505106507149e-05
schweigen,7.295010213014298e-05
betretener,3.647505106507149e-05
schuldbewusst,0.00010942515319521448
eltern,0.0005106507149110009
zeitpunkt,3.647505106507149e-05
darüber,0.00021885030639042896
reden,0.00021885030639042896
sachte,3.647505106507149e-05
bedauernden,3.647505106507149e-05
gefreut,0.00010942515319521448
liebe,0.00018237525532535746
gibt,0.00021885030639042896
schroff,3.647505106507149e-05
wandte,0.0003647505106507149
ab,0.0004377006127808579
erkannte,0.00025532535745550046
vater,0.0002918004085205719
echten,0.00010942515319521448
zusammen,0.0009848263787569302
verlässt,3.647505106507149e-05
küche,0.00021885030639042896
gefolgt,0.00014590020426028595
geh,7.295010213014298e-05
rein,0.00010942515319521448
sagt,0.0003282754595856434
zeigt,0.00010942515319521448
vorahnung,3.647505106507149e-05
überfällt,3.647505106507149e-05
betrete,3.647505106507149e-05
gehe,0.00014590020426028595
herum,0.00010942515319521448
stecke,3.647505106507149e-05
herzförmigen,3.647505106507149e-05
anhänger,0.00014590020426028595
grinst,3.647505106507149e-05
zieht,3.647505106507149e-05
küchentür,7.295010213014298e-05
hält,3.647505106507149e-05
draußen,0.00021885030639042896
