term,relative_frequency
gesicht,0.0005959002065787383
twins,0.00011918004131574765
beschrieb,7.94533608771651e-05
leuchtenden,3.972668043858255e-05
farben,3.972668043858255e-05
erkannten,3.972668043858255e-05
stolzes,3.972668043858255e-05
großes,7.94533608771651e-05
beeindruckendes,3.972668043858255e-05
tier,3.972668043858255e-05
ja,0.001509613856666137
leguan,3.972668043858255e-05
wolf,3.972668043858255e-05
eule,7.94533608771651e-05
halt,0.00011918004131574765
eichhörnchen,3.972668043858255e-05
erfuhren,3.972668043858255e-05
paten,0.00011918004131574765
tanten,3.972668043858255e-05
MURIEL,0.00027808676307007786
tessie,3.972668043858255e-05
lucretia,3.972668043858255e-05
schon,0.0022644207849992055
länger,0.00011918004131574765
lebende,3.972668043858255e-05
gehabt,0.00019863340219291277
sorgte,3.972668043858255e-05
erheiterung,3.972668043858255e-05
gerade,0.0009931670109645638
schlangen,3.972668043858255e-05
eigentlich,0.0003178134435086604
darauf,0.00043699348482440805
geachtet,3.972668043858255e-05
wurde,0.0009137136500873987
mädchen,0.00011918004131574765
patentanten,3.972668043858255e-05
einsatz,3.972668043858255e-05
kamen,0.0005561735261401557
jungs,0.0001589067217543302
männer,7.94533608771651e-05
bekamen,7.94533608771651e-05
zeigte,7.94533608771651e-05
offene,3.972668043858255e-05
liberalere,3.972668043858255e-05
flexiblere,3.972668043858255e-05
einstellung,3.972668043858255e-05
familie,0.0007945336087716511
weasley,0.0013904338153503894
genommen,0.0002383600826314953
verfügung,3.972668043858255e-05
stand,0.0007548069283330685
lieb,3.972668043858255e-05
manor,3.972668043858255e-05
bestimmt,0.0001589067217543302
verloren,0.00011918004131574765
gegangene,3.972668043858255e-05
haus,0.000357540123947243
gut,0.0009137136500873987
einzige,0.00019863340219291277
augenblicklich,3.972668043858255e-05
eigene,3.972668043858255e-05
residenz,3.972668043858255e-05
wobei,0.0003178134435086604
sicher,0.00043699348482440805
eltern,0.0009931670109645638
längst,3.972668043858255e-05
fuchsbau,0.00039726680438582554
zugedacht,3.972668043858255e-05
renovierte,3.972668043858255e-05
unterkunft,7.94533608771651e-05
hochzeit,0.00019863340219291277
einzuziehen,3.972668043858255e-05
rumänien,0.001430160495788972
zurückkommen,3.972668043858255e-05
chance,0.00011918004131574765
tendierte,3.972668043858255e-05
null,3.972668043858255e-05
