term,relative_frequency
schmerzte,1.4301139085728179e-05
regelrecht,5.7204556342912714e-05
daran,0.0003503779076003404
dachte,0.0004969645832290542
jüngster,3.5752847714320446e-06
kindheit,1.7876423857160222e-05
verzichten,2.1451708628592266e-05
müssen,0.0003754049010003647
zimmer,0.0003110497751145879
ja,0.0015588241603443713
mal,0.0014622914715157061
brauchte,8.938211928580112e-05
weder,0.0002002159472001945
eifersüchtig,6.435512588577681e-05
viele,0.00018949009288589836
schöne,3.932813248575249e-05
erinnerungen,6.435512588577681e-05
liebenswerte,3.5752847714320446e-06
aufmerksamkeit,9.65326888286652e-05
seit,0.0004326094573432774
fünf,0.0001036832583715293
jahren,0.00014658667562871382
magischen,4.290341725718453e-05
bevölkerung,3.5752847714320446e-06
bekam,0.00020379123197162655
sah,0.002234552982145028
rundum,7.150569542864089e-06
bemitleiden,1.0725854314296133e-05
augenblicklich,6.793041065720885e-05
mochte,6.435512588577681e-05
kannte,0.00012871025177155362
fast,0.0004147330334861172
sechs,4.290341725718453e-05
beiden,0.0009796280273723802
verband,1.4301139085728179e-05
genau,0.0004326094573432774
genommen,9.65326888286652e-05
wohl,0.0007293580933721371
eher,0.00025742050354310723
bester,7.865626497150498e-05
freund,0.0006042231263720155
sicher,0.0005219915766290785
ganz,0.000718632239057841
gar,0.0004576364507433017
geeignet,1.7876423857160222e-05
platz,0.0001751889538001702
einzunehmen,7.150569542864089e-06
hilfe,0.0001036832583715293
fall,0.00012513496700012155
recht,0.0004469105964290056
soviel,2.5026993400024313e-05
zeit,0.0008473424908293945
heute,0.0003861307553146608
weiß,0.0004576364507433017
sowieso,0.0001036832583715293
nächsten,0.00030747449034315585
tagen,9.295740405723316e-05
erfahren,0.00012155968222868951
gesicht,0.000643551258857768
denken,0.00012871025177155362
halbnackt,3.5752847714320446e-06
zuging,2.5026993400024313e-05
abgrundtiefes,3.5752847714320446e-06
entsetzen,3.2177562942888404e-05
nachdem,0.0003754049010003647
gesehen,0.00029317335125742764
liebesspiel,3.5752847714320446e-06
aussah,9.295740405723316e-05
glaubte,7.508098020007293e-05
sehen,0.0005934972720577194
unwiederbringlich,3.5752847714320446e-06
hoffnungen,1.0725854314296133e-05
phantasien,3.5752847714320446e-06
verloren,0.00010725854314296133
totalen,3.5752847714320446e-06
wahrheit,9.295740405723316e-05
konfrontiert,1.4301139085728179e-05
na,0.0003003239208002917
gut,0.0010189561598581327
brauchten,1.4301139085728179e-05
reden,0.00030747449034315585
schien,0.0004933892984576221
kurz,0.0005005398680004862
hirnschaden,3.5752847714320446e-06
stehen,0.000318200344657452
gepaart,1.0725854314296133e-05
herzinfarkt,3.5752847714320446e-06
knallrot,2.8602278171456357e-05
ausgesehen,1.7876423857160222e-05
beide,0.0003861307553146608
resolut,7.150569542864089e-06
weggeschickt,3.5752847714320446e-06
wirkten,3.2177562942888404e-05
schon,0.0021308697237734987
entsetzt,9.295740405723316e-05
rest,0.00011440911268582543
erlebt,3.932813248575249e-05
hätten,0.0001358608213144177
wären,0.00010010797360009725
reif,3.5752847714320446e-06
st,2.1451708628592266e-05
schluckte,4.290341725718453e-05
sichtbar,3.2177562942888404e-05
schwer,0.0002002159472001945
riss,0.00011083382791439339
soweit,6.435512588577681e-05
riemen,3.5752847714320446e-06
sagen,0.0005791961329719912
ungewöhnlichen,7.150569542864089e-06
umstand,1.4301139085728179e-05
pfanne,3.5752847714320446e-06
stand,0.0007758367954007536
fiel,0.00025384521877167514
tun,0.00041115774871468513
weißblonden,1.4301139085728179e-05
tageslicht,7.150569542864089e-06
zuzusetzen,3.5752847714320446e-06
wäre,0.0008509177756008266
nächtlicher,3.5752847714320446e-06
albtraum,7.150569542864089e-06
wahr,0.00010725854314296133
geworden,0.00015373724517157793
immer,0.001995008902459081
hey,0.00014301139085728178
große,0.00023596879491451494
blonde,0.00015731252994300997
hübscher,1.0725854314296133e-05
beklagte,3.5752847714320446e-06
entspannt,5.0053986800048627e-05
auszumachen,7.150569542864089e-06
tischthema,3.5752847714320446e-06
wenig,0.0004075824639432531
erfreut,2.5026993400024313e-05
verstummt,1.0725854314296133e-05
würgen,1.7876423857160222e-05
hörte,0.00038255547054322876
mitleidig,2.1451708628592266e-05
rücken,0.0002002159472001945
klopfte,8.223154974293702e-05
bösen,0.0001036832583715293
blick,0.0014587161867442742
könnt,6.435512588577681e-05
langsamer,1.0725854314296133e-05
würgte,1.0725854314296133e-05
heraus,0.00010725854314296133
klar,0.0002895980664859956
wofür,4.647870202861658e-05
wen,6.0779841114344755e-05
herauspresste,3.5752847714320446e-06
meinte,0.0006578523979434962
essen,0.0002180923710573547
servierte,3.5752847714320446e-06
geheilt,1.0725854314296133e-05
stimme,0.0004326094573432774
zuckte,0.00011440911268582543
kopf,0.0007007558152006808
sofort,0.0005291421461719426
hoch,0.0001930653776573304
angriffslustig,7.150569542864089e-06
augen,0.0010797360009724775
funkelte,7.508098020007293e-05
lippe,1.7876423857160222e-05
biss,5.0053986800048627e-05
kam,0.0009045470471723073
