term,relative_frequency
okay,0.00011477514831101196
machten,0.0003658457852413506
fragte,0.0009684153138741633
irritiert,3.586723384719124e-05
wachkobolden,3.586723384719124e-06
sanftes,3.586723384719124e-06
neigen,3.586723384719124e-06
hauptes,3.586723384719124e-06
zukommen,1.793361692359562e-05
zwei,0.0005451819544773068
tage,0.0001793361692359562
manor,4.3040680616629484e-05
ging,0.0010473232283379841
blut,3.586723384719124e-05
schritt,0.00010042825477213546
prachtvollen,3.586723384719124e-06
hallen,7.173446769438248e-06
kannte,6.09742975402251e-05
konnte,0.0014167557369640538
bestimmte,2.5107063693033864e-05
klackern,3.586723384719124e-06
hohen,3.228051046247211e-05
schuhe,2.1520340308314742e-05
marmor,3.586723384719124e-06
vernehmen,1.4346893538876495e-05
schalter,7.173446769438248e-06
tun,0.00027976442400809166
mrs,0.00025107063693033865
immer,0.0017216272246651794
lustig,7.890791446382072e-05
sehen,0.0005129014440148347
respekt,7.173446769438248e-06
gezeigt,3.945395723191036e-05
durchaus,3.945395723191036e-05
twins,6.456102092494423e-05
hielt,0.0003514988917024741
hätte,0.0006276765923258467
nie,0.00038019267878022713
freiwillig,3.228051046247211e-05
zusätzlich,1.793361692359562e-05
freizeit,1.793361692359562e-05
saßen,0.0006420234858647232
weasleys,0.00041605991262741833
eltern,0.0006097429754022511
verwundert,5.3800850770786855e-05
stirn,0.00011477514831101196
runzeln,3.586723384719124e-06
ließ,0.0005487686778620259
kam,0.00098276220741304
gesamte,3.945395723191036e-05
erbengemeinschaft,3.586723384719124e-06
versammelt,3.945395723191036e-05
bemerkte,0.0001936830627748327
rangok,3.586723384719124e-06
bedeutete,3.586723384719124e-05
neben,0.001011455994490793
rechte,1.4346893538876495e-05
seite,0.00038019267878022713
setzen,7.890791446382072e-05
tat,0.0001685759990817988
gefordert,3.586723384719124e-06
kollaps,3.586723384719124e-06
nahe,4.3040680616629484e-05
vogel,2.5107063693033864e-05
schossen,1.4346893538876495e-05
ab,0.0004770342101676435
voran,1.4346893538876495e-05
sah,0.001710867054511022
wolle,3.228051046247211e-05
implodieren,3.586723384719124e-06
hochrot,3.586723384719124e-06
schädel,3.586723384719124e-06
zeterte,3.586723384719124e-06
rum,5.3800850770786855e-05
blickte,0.0003228051046247211
wirklich,0.0007854924212534881
schockiert,5.3800850770786855e-05
taten,0.00010401497815685458
zurückgeschlagen,3.586723384719124e-06
gut,0.0009755887606436016
davon,0.00034432544493303587
wussten,0.00019726978615955182
ja,0.0016785865440485498
ruhe,0.0001542291055429223
bitte,0.0002869378707775299
schaute,0.0002976980409316873
verloren,0.00013270876523460758
peinlich,3.228051046247211e-05
berührt,7.173446769438248e-06
gegend,3.945395723191036e-05
standen,0.00046268731662876697
leicht,0.00023672374339146217
überflüssig,3.586723384719124e-06
daneben,6.456102092494423e-05
blickten,9.684153138741635e-05
interessiert,7.173446769438248e-05
schaufenster,1.0760170154157371e-05
streit,0.00013270876523460758
hinein,9.325480800269722e-05
gezogen,9.684153138741635e-05
wohl,0.0005774624649397789
gezänk,3.586723384719124e-06
entkommen,2.1520340308314742e-05
verlangten,3.586723384719124e-06
stießen,4.3040680616629484e-05
selbe,7.173446769438248e-06
horn,3.586723384719124e-06
zuvor,6.814774430966335e-05
gesehen,0.00022955029662202392
dank,6.814774430966335e-05
toll,6.09742975402251e-05
gemacht,0.0003730192320107889
beiden,0.0011620983766489961
grollte,7.173446769438248e-06
junge,0.00016140255231236056
dame,3.228051046247211e-05
stand,0.0006599571027883187
zornbebend,3.586723384719124e-06
abfällig,1.0760170154157371e-05
wäre,0.00047344748678292435
schlampe,1.4346893538876495e-05
weasley,0.0008715737824867471
wiegelte,3.586723384719124e-06
ebenfalls,0.0005415952310925876
bestimmt,0.00019009633939011356
nützte,3.586723384719124e-06
chance,4.662740400134861e-05
bot,1.793361692359562e-05
familie,0.0004411669763204522
sprachlose,3.586723384719124e-06
wütende,2.5107063693033864e-05
zurück,0.0007424517406368586
offenem,2.869378707775299e-05
mund,0.00026183080708449603
dastand,7.173446769438248e-06
derart,1.4346893538876495e-05
grob,1.0760170154157371e-05
abserviert,3.586723384719124e-06
worden,0.00020444323292899004
wirkten,4.662740400134861e-05
überfahren,3.586723384719124e-06
gekonnt,2.5107063693033864e-05
komm,0.00010401497815685458
schönste,1.4346893538876495e-05
kannst,0.0002259635732373048
kamin,0.00019009633939011356
arbeitszimmer,7.173446769438248e-06
benützen,3.586723384719124e-06
tschüss,1.793361692359562e-05
lieben,5.021412738606773e-05
je,0.0001362954886193267
hand,0.0006276765923258467
packten,1.4346893538876495e-05
überrascht,0.0001362954886193267
hob,0.00013270876523460758
geprägt,7.173446769438248e-06
neuen,0.00023313702000674305
indigniert,3.586723384719124e-06
augenbraue,5.021412738606773e-05
wissenden,3.586723384719124e-06
blicke,0.0002116166796984283
endlich,0.0003981262957038227
aufgeregt,8.96680846179781e-05
schenkte,8.608136123325897e-05
anzügliches,3.586723384719124e-06
gar,0.00045910059324404785
sagen,0.0005523554012467451
schaffte,5.021412738606773e-05
dankbares,3.586723384719124e-06
lächeln,0.0002259635732373048
reden,0.00021879012646786654
kinder,0.00025107063693033865
fragen,0.0002546573603150578
beschied,3.586723384719124e-06
kalt,2.5107063693033864e-05
löste,7.173446769438248e-05
entschuldigend,3.228051046247211e-05
ecke,0.00010760170154157371
wohlsten,3.586723384719124e-06
fühlen,2.1520340308314742e-05
sank,1.793361692359562e-05
gegenüber,0.000319218381240002
stuhl,0.00010401497815685458
platz,0.00029411131754696816
unbesetzt,3.586723384719124e-06
blieb,0.00023672374339146217
ließen,9.325480800269722e-05
großen,0.000347912168317755
augen,0.0007747322510993308
recht,0.000347912168317755
sprachlos,3.586723384719124e-05
plätze,8.96680846179781e-05
plumpsen,1.0760170154157371e-05
schauten,0.00011118842492629284
entsetzt,4.662740400134861e-05
legte,0.0001936830627748327
hände,0.00014705565877348408
gebet,3.586723384719124e-06
verschränkt,1.793361692359562e-05
blanken,3.586723384719124e-06
alten,0.00011477514831101196
holztisch,3.586723384719124e-06
wartete,9.684153138741635e-05
einkehrte,3.586723384719124e-06
weiß,0.0003730192320107889
wurden,0.00046268731662876697
quietschte,1.0760170154157371e-05
stimme,0.0003335652747788785
hoch,0.00017216272246651794
staunend,7.173446769438248e-06
entschuldigenden,1.4346893538876495e-05
sorry,6.09742975402251e-05
unterbrach,0.00010760170154157371
unfug,7.173446769438248e-06
aufgesprungen,2.1520340308314742e-05
stürmten,2.1520340308314742e-05
