term,relative_frequency
knalle,4.261575504464e-05
tür,0.00031961816283480003
laut,0.00023438665274552002
schloss,0.00023438665274552002
endlich,0.00025569453026784
gleichzeitig,8.523151008928e-05
kam,0.0008523151008928001
anfingen,6.392363256696e-05
lachen,0.00029831028531248
brachten,4.261575504464e-05
leichtes,2.130787752232e-05
lächeln,0.00023438665274552002
danke,0.00012784726513392
flüsternd,2.130787752232e-05
musst,2.130787752232e-05
bedanken,2.130787752232e-05
sehe,0.00012784726513392
freunde,0.0007031599582365601
bereit,6.392363256696e-05
vielleicht,0.00029831028531248
helfen,0.00021307877522320001
müsst,6.392363256696e-05
rotzgören,2.130787752232e-05
anhören,2.130787752232e-05
abteil,0.00042615755044640003
still,2.130787752232e-05
las,6.392363256696e-05
klitterer,0.00017046302017856
kräuterbuch,2.130787752232e-05
sahen,0.000532696938058
stumm,4.261575504464e-05
zug,0.00023438665274552002
blickten,6.392363256696e-05
ausdruckslos,4.261575504464e-05
vorbei,0.00021307877522320001
rauschende,2.130787752232e-05
landschaft,4.261575504464e-05
hingen,6.392363256696e-05
gedanken,0.00029831028531248
bat,4.261575504464e-05
befehlsgewohnt,2.130787752232e-05
rücken,0.00014915514265624
verschränken,2.130787752232e-05
armen,0.00017046302017856
erschöpft,8.523151008928e-05
nickten,0.00012784726513392
brav,4.261575504464e-05
meinte,0.00083100722337048
macmillan,4.261575504464e-05
abbot,4.261575504464e-05
gryffindors,0.00019177089770088
gehen,0.00036223391787944004
gut,0.00102277812107136
wär,2.130787752232e-05
s,0.00012784726513392
raum,0.0007244678357588801
änderte,2.130787752232e-05
jeweiligen,8.523151008928e-05
bedürfnisse,2.130787752232e-05
fünferteams,2.130787752232e-05
recht,0.00029831028531248
veränderten,2.130787752232e-05
verschwanden,6.392363256696e-05
zusammen,0.0012784726513392001
massiven,2.130787752232e-05
steinwand,2.130787752232e-05
bösen,2.130787752232e-05
schwarzmagischen,2.130787752232e-05
sprüchen,4.261575504464e-05
schützten,2.130787752232e-05
denke,0.00019177089770088
beim,0.00042615755044640003
ersten,0.00027700240779016
training,4.261575504464e-05
drannehmen,2.130787752232e-05
erst,0.00042615755044640003
spielerische,2.130787752232e-05
winkte,8.523151008928e-05
ecke,0.00021307877522320001
dicken,4.261575504464e-05
