term,relative_frequency
gesicht,0.000483866090059576
twins,0.0001512081531436175
beschrieb,3.02416306287235e-05
leuchtenden,6.0483261257447e-05
farben,3.02416306287235e-05
erkannten,6.0483261257447e-05
stolzes,3.02416306287235e-05
großes,6.0483261257447e-05
beeindruckendes,3.02416306287235e-05
tier,6.0483261257447e-05
ja,0.0018447394683521335
leguan,3.02416306287235e-05
wolf,3.02416306287235e-05
eule,0.000362899567544682
halt,0.0001512081531436175
eichhörnchen,3.02416306287235e-05
sehen,0.000725799135089364
entwickelt,3.02416306287235e-05
froh,0.0001512081531436175
ersten,0.000302416306287235
schritt,0.000181449783772341
gehst,9.07248918861705e-05
wäre,0.0002721746756585115
schade,0.000120966522514894
verliert,3.02416306287235e-05
langer,6.0483261257447e-05
zeit,0.0008165240269755345
rücken,0.000120966522514894
gekehrt,3.02416306287235e-05
familie,0.000967732180119152
wissen,0.000302416306287235
unverständnis,9.07248918861705e-05
abneigung,9.07248918861705e-05
stoßen,3.02416306287235e-05
stand,0.0008770072882329815
bestimmt,0.0001512081531436175
seite,0.000544349351317023
guten,0.0001512081531436175
woher,6.0483261257447e-05
willst,0.000120966522514894
erfuhren,3.02416306287235e-05
paten,9.07248918861705e-05
tanten,3.02416306287235e-05
MURIEL,0.000181449783772341
tessie,3.02416306287235e-05
lucretia,3.02416306287235e-05
schon,0.0020866725133819215
länger,0.000120966522514894
lebende,3.02416306287235e-05
gehabt,0.000181449783772341
sorgte,9.07248918861705e-05
erheiterung,3.02416306287235e-05
gerade,0.001028215441376599
schlangen,3.02416306287235e-05
eigentlich,0.000362899567544682
darauf,0.0003931411981734055
geachtet,3.02416306287235e-05
wurde,0.0009979738107478756
mädchen,0.000241933045029788
patentanten,3.02416306287235e-05
einsatz,6.0483261257447e-05
kamen,0.000483866090059576
jungs,0.0002721746756585115
männer,3.02416306287235e-05
bekamen,6.0483261257447e-05
zeigte,0.000241933045029788
offene,9.07248918861705e-05
liberalere,3.02416306287235e-05
flexiblere,3.02416306287235e-05
einstellung,3.02416306287235e-05
weasley,0.0016632896845797925
genommen,0.0001512081531436175
verfügung,3.02416306287235e-05
lieb,3.02416306287235e-05
längst,3.02416306287235e-05
ausgezogen,3.02416306287235e-05
wirkte,0.0001512081531436175
läge,3.02416306287235e-05
fuchsbau,0.0003326579369159585
draußen,0.000362899567544682
zurückgehen,3.02416306287235e-05
tages,3.02416306287235e-05
heiraten,9.07248918861705e-05
weggehen,3.02416306287235e-05
blieb,0.000181449783772341
wusste,0.000483866090059576
genauso,0.000302416306287235
eltern,0.001270148486406387
geliebt,3.02416306287235e-05
gesorgt,3.02416306287235e-05
logische,3.02416306287235e-05
überlegung,3.02416306287235e-05
schieden,3.02416306287235e-05
zukünftiges,3.02416306287235e-05
zuhause,0.000241933045029788
hätten,0.0002721746756585115
ehrlich,9.07248918861705e-05
konnte,0.0015423231620648986
cottage,9.07248918861705e-05
lange,0.0003931411981734055
mehr,0.0014213566395500045
beiden,0.000967732180119152
vorstellen,0.000120966522514894
interessant,3.02416306287235e-05
glaubte,6.0483261257447e-05
erst,0.000483866090059576
recht,0.000181449783772341
begleiter,3.02416306287235e-05
frau,0.000665315873831917
sagte,0.0017842562070946866
fragte,0.0009979738107478756
offenbarung,3.02416306287235e-05
viele,0.000181449783772341
weaselys,3.02416306287235e-05
anscheinend,9.07248918861705e-05
art,0.0001512081531436175
verbandelt,3.02416306287235e-05
prinzip,3.02416306287235e-05
fehlten,3.02416306287235e-05
ältesten,9.07248918861705e-05
weasleybrüder,3.02416306287235e-05
wären,0.0001512081531436175
versammelt,9.07248918861705e-05
