term,relative_frequency
saßen,0.0007986199846664963
bett,0.0005430615895732175
spielten,0.0001277791975466394
zauberer,3.194479938665985e-05
schnipp,3.194479938665985e-05
schnapp,3.194479938665985e-05
buch,0.0002555583950932788
weiterlas,3.194479938665985e-05
schon,0.0020764119601328905
zug,9.583439815997956e-05
bearbeitet,3.194479938665985e-05
hockten,3.194479938665985e-05
zusammen,0.0011180679785330948
fensternische,3.194479938665985e-05
wisperten,3.194479938665985e-05
gebeugt,3.194479938665985e-05
gemeinsam,0.00038333759263991824
zauber,0.0001277791975466394
erntete,9.583439815997956e-05
konstatierte,3.194479938665985e-05
blicke,0.0003513927932532584
nickten,9.583439815997956e-05
sofort,0.0005111167901865576
fügten,3.194479938665985e-05
umgehend,3.194479938665985e-05
wunsch,6.38895987733197e-05
winkte,0.00015972399693329925
überrumpelt,6.38895987733197e-05
verließ,0.00015972399693329925
brav,3.194479938665985e-05
nahm,0.00038333759263991824
liste,9.583439815997956e-05
sah,0.0013416815742397137
einzelne,3.194479938665985e-05
stand,0.000638895987733197
aufgeschrieben,3.194479938665985e-05
beispiel,0.0001277791975466394
jack,6.38895987733197e-05
sowie,0.0004152823920265781
natalie,3.194479938665985e-05
mcdonald,3.194479938665985e-05
muggelgeborene,3.194479938665985e-05
halfbloods,3.194479938665985e-05
raum,0.0007347303858931766
änderte,3.194479938665985e-05
jeweiligen,9.583439815997956e-05
bedürfnisse,3.194479938665985e-05
fünferteams,3.194479938665985e-05
recht,0.00019166879631995912
veränderten,3.194479938665985e-05
verschwanden,6.38895987733197e-05
massiven,3.194479938665985e-05
steinwand,3.194479938665985e-05
bösen,0.0001277791975466394
schwarzmagischen,3.194479938665985e-05
sprüchen,3.194479938665985e-05
schützten,3.194479938665985e-05
denke,0.0001277791975466394
beim,0.00038333759263991824
ersten,0.0002555583950932788
training,6.38895987733197e-05
drannehmen,3.194479938665985e-05
erst,0.00047917199079989777
spielerische,3.194479938665985e-05
ecke,0.0002555583950932788
dicken,3.194479938665985e-05
matten,3.194479938665985e-05
ausstaffiert,3.194479938665985e-05
deren,6.38895987733197e-05
wänden,3.194479938665985e-05
hilfsmittel,3.194479938665985e-05
hingen,3.194479938665985e-05
verteufelte,3.194479938665985e-05
bo,3.194479938665985e-05
stecken,3.194479938665985e-05
nie,0.0002555583950932788
lieben,6.38895987733197e-05
klar,9.583439815997956e-05
nächste,0.00019166879631995912
morgen,0.0003194479938665985
brach,0.00015972399693329925
gryffindorgemeinschaftsraum,3.194479938665985e-05
erwarteten,3.194479938665985e-05
schrecken,3.194479938665985e-05
creeveys,6.38895987733197e-05
laufen,9.583439815997956e-05
unterhielten,0.00022361359570661896
besser,0.0003194479938665985
gesagt,0.0004152823920265781
meckerten,6.38895987733197e-05
allzu,3.194479938665985e-05
anstrengenden,3.194479938665985e-05
schultag,3.194479938665985e-05
