term,relative_frequency
hätte,0.0010919781604367912
dafür,0.000503989920201596
nie,0.0005879882402351952
nimmer,8.399832003359933e-05
verständnis,8.399832003359933e-05
gehabt,0.00016799664006719866
erinnerst,8.399832003359933e-05
reagiert,8.399832003359933e-05
zeigte,0.0003359932801343973
gänsehaut,8.399832003359933e-05
vernarbten,8.399832003359933e-05
armen,0.0003359932801343973
rieb,0.00016799664006719866
weiß,0.000503989920201596
hilfe,8.399832003359933e-05
reinkomme,8.399832003359933e-05
weitergeht,8.399832003359933e-05
wartet,8.399832003359933e-05
ungeduldig,8.399832003359933e-05
würgte,8.399832003359933e-05
wenig,0.00041999160016799666
vornehm,8.399832003359933e-05
neben,0.001007979840403192
wurde,0.0015959680806383872
subtil,0.00016799664006719866
apolline,8.399832003359933e-05
tanzfläche,0.0003359932801343973
geschleift,8.399832003359933e-05
verhalten,0.00016799664006719866
anscheinend,0.000251994960100798
unmöglich,8.399832003359933e-05
fand,0.000503989920201596
endlich,0.00041999160016799666
mal,0.0014279714405711886
undankbare,8.399832003359933e-05
rolle,8.399832003359933e-05
leviten,8.399832003359933e-05
lesen,0.000251994960100798
danke,8.399832003359933e-05
wachsen,8.399832003359933e-05
gerade,0.0013439731205375893
gab,0.000251994960100798
eitlen,8.399832003359933e-05
frausein,8.399832003359933e-05
berührte,8.399832003359933e-05
schultern,0.00016799664006719866
leichten,8.399832003359933e-05
wäre,0.00041999160016799666
gar,0.00041999160016799666
nötig,8.399832003359933e-05
verkündete,8.399832003359933e-05
legten,8.399832003359933e-05
hopsende,8.399832003359933e-05
kesse,8.399832003359933e-05
sohle,8.399832003359933e-05
aufs,8.399832003359933e-05
parkett,8.399832003359933e-05
hielt,0.00041999160016799666
arm,0.0005879882402351952
auffordernd,8.399832003359933e-05
magst,8.399832003359933e-05
zutreffen,8.399832003359933e-05
kam,0.0005879882402351952
schnippisch,8.399832003359933e-05
worauf,8.399832003359933e-05
eingeschnappt,8.399832003359933e-05
mund,0.0006719865602687946
zuklappte,8.399832003359933e-05
missbilligend,8.399832003359933e-05
erhob,8.399832003359933e-05
marschierte,8.399832003359933e-05
halle,0.0003359932801343973
klassenzimmer,8.399832003359933e-05
antwort,0.00016799664006719866
verfassen,8.399832003359933e-05
kurz,0.000503989920201596
mittag,8.399832003359933e-05
abschickte,8.399832003359933e-05
freute,0.00016799664006719866
begleitung,0.00016799664006719866
gedacht,0.00041999160016799666
absolut,0.000251994960100798
schlechtes,8.399832003359933e-05
gewissen,8.399832003359933e-05
wirkte,0.00016799664006719866
angriff,0.00016799664006719866
familie,0.000251994960100798
verhärmter,8.399832003359933e-05
je,0.00016799664006719866
zuvor,0.00016799664006719866
ruhig,0.00016799664006719866
blut,8.399832003359933e-05
warf,0.0003359932801343973
überlegend,8.399832003359933e-05
hob,0.00016799664006719866
güte,8.399832003359933e-05
hände,0.0003359932801343973
irländern,8.399832003359933e-05
augenscheinlich,8.399832003359933e-05
weit,0.000251994960100798
ging,0.0011759764804703905
sprachlos,0.00016799664006719866
pass,8.399832003359933e-05
angst,0.000503989920201596
immer,0.002267954640907182
verlieren,8.399832003359933e-05
mitbekommt,8.399832003359933e-05
geschlafen,0.00016799664006719866
obwohl,0.000251994960100798
steif,8.399832003359933e-05
fest,0.00041999160016799666
behauptet,8.399832003359933e-05
freund,0.0006719865602687946
sehe,8.399832003359933e-05
schwanger,0.000251994960100798
geschockt,8.399832003359933e-05
gerechnet,0.00016799664006719866
zusammen,0.0011759764804703905
liebt,8.399832003359933e-05
eingestanden,8.399832003359933e-05
fast,0.000503989920201596
traurig,8.399832003359933e-05
darüber,0.00041999160016799666
hermeine,8.399832003359933e-05
besonders,0.00016799664006719866
glücklich,8.399832003359933e-05
einerseits,8.399832003359933e-05
froh,0.00016799664006719866
gefühl,0.000503989920201596
vielleicht,0.000503989920201596
seite,0.0003359932801343973
stand,0.0010919781604367912
brachte,0.00016799664006719866
nachdenken,8.399832003359933e-05
bewusst,8.399832003359933e-05
lehrern,8.399832003359933e-05
karierre,8.399832003359933e-05
wichtig,8.399832003359933e-05
ja,0.0015119697606047879
übernacht,8.399832003359933e-05
verschwunden,8.399832003359933e-05
wusste,0.00041999160016799666
schatz,8.399832003359933e-05
sei,0.0005879882402351952
DOBBY,8.399832003359933e-05
besorgte,8.399832003359933e-05
diantuskraut,8.399832003359933e-05
konnte,0.0015119697606047879
stunde,8.399832003359933e-05
unterwasser,8.399832003359933e-05
atmen,0.00016799664006719866
oger,8.399832003359933e-05
erbärmlich,8.399832003359933e-05
grunzte,8.399832003359933e-05
erinnerte,0.0003359932801343973
eher,0.000251994960100798
geschlachtetes,8.399832003359933e-05
schwein,8.399832003359933e-05
beeindruckendes,8.399832003359933e-05
na,0.000251994960100798
bravo,8.399832003359933e-05
wissen,0.00016799664006719866
fluch,8.399832003359933e-05
weitergegeben,8.399832003359933e-05
sodass,0.00016799664006719866
scheiß,0.00016799664006719866
marcus,8.399832003359933e-05
bauen,8.399832003359933e-05
murrte,8.399832003359933e-05
hä,8.399832003359933e-05
fragte,0.0011759764804703905
entsetzt,8.399832003359933e-05
lauschte,0.00016799664006719866
erzählung,8.399832003359933e-05
sichtlich,0.00016799664006719866
bewegt,0.00016799664006719866
unverzeihlich,8.399832003359933e-05
riesengroßen,8.399832003359933e-05
fehler,8.399832003359933e-05
begangen,8.399832003359933e-05
tja,0.00016799664006719866
siehst,0.00016799664006719866
passiert,0.000251994960100798
endete,0.00016799664006719866
soeben,8.399832003359933e-05
schluckte,8.399832003359933e-05
unwohl,8.399832003359933e-05
grüne,8.399832003359933e-05
augen,0.0008399832003359933
bemerkte,0.00041999160016799666
genau,0.0003359932801343973
ähnlich,0.00016799664006719866
wohl,0.000503989920201596
