term,relative_frequency
sogar,0.0005059693619403387
abgehauen,1.0765305573198695e-05
erst,0.0005059693619403387
beauftragt,2.153061114639739e-05
wurde,0.001270306057637446
vorletzten,1.0765305573198695e-05
tag,0.0004629081396475439
geholt,5.382652786599348e-05
ja,0.0015502040025406122
stell,3.229591671959609e-05
mal,0.0015502040025406122
gefeierter,1.0765305573198695e-05
held,6.459183343919218e-05
zaubererwelt,8.612244458558956e-05
zurückkehren,3.229591671959609e-05
darf,7.535713901239086e-05
warum,0.0004521428340743452
immer,0.0015824999192602081
geschafft,0.00011841836130518564
erhalten,4.306122229279478e-05
verteidigung,9.688775015878826e-05
dunklen,0.00019377550031757652
künste,8.612244458558956e-05
bestnote,1.0765305573198695e-05
abgeschlossen,1.0765305573198695e-05
fächern,1.0765305573198695e-05
e,3.229591671959609e-05
astronomie,4.306122229279478e-05
abgelenkt,5.382652786599348e-05
wegen,0.00017224488917117912
festnehmen,1.0765305573198695e-05
stupor,1.0765305573198695e-05
verletzt,5.382652786599348e-05
unterdrückte,2.153061114639739e-05
zusammen,0.0007212754734043126
heldenhaft,1.0765305573198695e-05
schütteln,4.306122229279478e-05
halbbruder,7.535713901239086e-05
ansicht,1.0765305573198695e-05
wurschtelte,1.0765305573198695e-05
gegend,5.382652786599348e-05
versuchte,0.0005597958898063321
abzulenken,4.306122229279478e-05
theatralisch,1.0765305573198695e-05
aufstöhnte,1.0765305573198695e-05
riesiges,4.306122229279478e-05
stofftaschentuch,1.0765305573198695e-05
zog,0.00038755100063515304
geräuschvoll,1.0765305573198695e-05
rasch,2.153061114639739e-05
trat,0.00032295916719596085
seite,0.00038755100063515304
fracht,2.153061114639739e-05
freizugeben,1.0765305573198695e-05
lief,0.00027989794490316605
hinterher,0.00010765305573198696
krankenstation,2.153061114639739e-05
zielstrebig,2.153061114639739e-05
traf,0.00011841836130518564
fast,0.0004736734452207426
schlag,1.0765305573198695e-05
türen,3.229591671959609e-05
aufgerissen,2.153061114639739e-05
wurden,0.0003121938616227622
sanft,0.00016147958359798042
erstbesten,1.0765305573198695e-05
bett,0.0002260714170371726
ablegte,1.0765305573198695e-05
sofort,0.0005705611953795308
tür,0.0007643366956971074
zurückzog,2.153061114639739e-05
schockte,1.0765305573198695e-05
wohl,0.0005920918065259283
alte,5.382652786599348e-05
endgültig,3.229591671959609e-05
erstaunt,6.459183343919218e-05
luft,0.0003121938616227622
einsog,1.0765305573198695e-05
todernst,1.0765305573198695e-05
dankte,1.0765305573198695e-05
trotz,7.535713901239086e-05
unfreundlichen,1.0765305573198695e-05
tons,2.153061114639739e-05
erklärte,0.00043061222292794783
lautstark,4.306122229279478e-05
chrm,1.0765305573198695e-05
professor,0.0007535713901239086
draußen,0.0003121938616227622
mädchen,0.00017224488917117912
rein,0.00013994897245158303
traut,1.0765305573198695e-05
heilerin,3.229591671959609e-05
hogwarts,0.0011195917796126642
tumbe,2.153061114639739e-05
halbriese,0.0002583673337567687
ebenfalls,0.0002260714170371726
anwesend,4.306122229279478e-05
sprüche,2.153061114639739e-05
anwandte,1.0765305573198695e-05
außerdem,0.00011841836130518564
möchte,0.00011841836130518564
wissen,0.00049520405636714
glauben,0.00016147958359798042
aufwuchs,1.0765305573198695e-05
eltern,0.0004413775285011465
säufer,1.0765305573198695e-05
blöd,2.153061114639739e-05
auto,4.306122229279478e-05
fahren,6.459183343919218e-05
familie,0.00021530611146397392
klein,5.382652786599348e-05
gehalten,7.535713901239086e-05
miterlebt,1.0765305573198695e-05
abholte,1.0765305573198695e-05
darüber,0.0002906632504763648
aufgebracht,6.459183343919218e-05
erzürnt,2.153061114639739e-05
schluchzte,5.382652786599348e-05
hemmungslos,1.0765305573198695e-05
los,0.0003337244727691596
umklammerte,2.153061114639739e-05
arm,0.0002691326393299674
bewusstlosen,1.0765305573198695e-05
sohnes,1.0765305573198695e-05
verzweifelt,6.459183343919218e-05
twins,2.153061114639739e-05
verschämt,1.0765305573198695e-05
decke,7.535713901239086e-05
anstarrten,1.0765305573198695e-05
peinlich,3.229591671959609e-05
berührt,3.229591671959609e-05
eingang,5.382652786599348e-05
zurück,0.000882755057002293
bettes,2.153061114639739e-05
verharrten,1.0765305573198695e-05
still,7.535713901239086e-05
sowie,0.00012918366687838436
leise,0.0003552550839155569
zurückhaltendes,1.0765305573198695e-05
begrüßendes,1.0765305573198695e-05
nicken,1.0765305573198695e-05
reiß,2.153061114639739e-05
winselte,1.0765305573198695e-05
lauthals,3.229591671959609e-05
arg,3.229591671959609e-05
zusammenreißen,2.153061114639739e-05
verächtlichen,1.0765305573198695e-05
ton,4.306122229279478e-05
auszustoßen,1.0765305573198695e-05
vorgebrauchten,1.0765305573198695e-05
dank,0.00010765305573198696
leicht,0.0003767856950619543
widerwillig,2.153061114639739e-05
erschein,1.0765305573198695e-05
leidendes,1.0765305573198695e-05
gesicht,0.00049520405636714
biss,3.229591671959609e-05
riese,8.612244458558956e-05
grob,2.153061114639739e-05
lippe,1.0765305573198695e-05
ärgerte,2.153061114639739e-05
sichtlich,4.306122229279478e-05
gesagt,0.000527499973086736
hätte,0.0007966326124167034
preisgeben,1.0765305573198695e-05
sollen,0.00012918366687838436
spät,0.00012918366687838436
miene,7.535713901239086e-05
flog,6.459183343919218e-05
gemeingefährlicher,1.0765305573198695e-05
