term,relative_frequency
meinte,0.0005182114302635475
sei,0.0002220906129700918
zeichen,7.403020432336393e-05
symbol,0.00014806040864672785
achteckig,7.403020432336393e-05
geschliffene,7.403020432336393e-05
goldene,7.403020432336393e-05
stein,7.403020432336393e-05
weißgold,7.403020432336393e-05
eingefasst,7.403020432336393e-05
mitte,0.00014806040864672785
citrinsteins,7.403020432336393e-05
kleinen,0.0004441812259401836
smaragdsplittern,7.403020432336393e-05
windende,7.403020432336393e-05
schlange,0.00037015102161681965
dargestellt,7.403020432336393e-05
dabei,0.0007403020432336393
lautstark,7.403020432336393e-05
unterbrochen,0.0002220906129700918
worden,0.0002961208172934557
schreien,7.403020432336393e-05
begann,0.00014806040864672785
schenkte,0.00014806040864672785
breites,7.403020432336393e-05
grinsen,0.0002961208172934557
erklärte,0.0002961208172934557
leicht,0.0005182114302635475
arrogant,7.403020432336393e-05
ring,0.0002220906129700918
finger,0.0002961208172934557
mal,0.0014065738821439147
ansah,0.0002220906129700918
weihnachtsgeschenk,7.403020432336393e-05
angeblich,7.403020432336393e-05
gehört,0.0002961208172934557
denke,0.0002220906129700918
gerade,0.0008883624518803672
beweis,7.403020432336393e-05
erhalten,7.403020432336393e-05
wirklich,0.001110453064850459
gehörte,7.403020432336393e-05
wieso,0.0002220906129700918
verpasst,7.403020432336393e-05
grinste,0.0004441812259401836
ja,0.001110453064850459
platt,7.403020432336393e-05
gemacht,0.0002961208172934557
beim,0.00014806040864672785
zischte,0.0002220906129700918
angesprochene,0.00014806040864672785
ignorierte,7.403020432336393e-05
ganze,0.0004441812259401836
dreimal,7.403020432336393e-05
einander,7.403020432336393e-05
lippen,0.00037015102161681965
wurde,0.001036422860527095
immer,0.0017767249037607344
siegessicherer,7.403020432336393e-05
beiden,0.001036422860527095
schenkten,7.403020432336393e-05
schachspielen,7.403020432336393e-05
wusste,0.0011844832691738228
hasste,0.00014806040864672785
hm,7.403020432336393e-05
schokopudding,7.403020432336393e-05
frauen,7.403020432336393e-05
raschen,7.403020432336393e-05
themenwechsel,7.403020432336393e-05
aua,7.403020432336393e-05
hast,0.0006662718389102754
davon,0.0005182114302635475
ließ,0.0005922416345869114
löffel,7.403020432336393e-05
demonstrativ,7.403020432336393e-05
pudding,7.403020432336393e-05
gähnte,0.00014806040864672785
blickte,0.0007403020432336393
prasselnde,7.403020432336393e-05
see,7.403020432336393e-05
lag,0.0002961208172934557
schon,0.0025910571513177378
ganz,0.0006662718389102754
still,0.0004441812259401836
gab,0.0005922416345869114
mehr,0.001258513473497187
spannendes,7.403020432336393e-05
einfach,0.001258513473497187
tun,0.0005182114302635475
wach,0.0002220906129700918
jungs,0.0004441812259401836
geh,7.403020432336393e-05
bett,0.0005182114302635475
murmelte,0.0007403020432336393
umarmte,0.0002961208172934557
eh,7.403020432336393e-05
stunde,7.403020432336393e-05
weile,0.0002961208172934557
warten,0.0002220906129700918
schlafsaal,7.403020432336393e-05
verzogen,7.403020432336393e-05
konnte,0.00207284572105419
raus,0.0002220906129700918
gut,0.0005922416345869114
letztes,7.403020432336393e-05
geheimgang,0.00014806040864672785
direkt,0.00037015102161681965
neben,0.00037015102161681965
gefunden,7.403020432336393e-05
einzige,0.0002220906129700918
ecke,0.0002220906129700918
alte,0.0002220906129700918
wandvorhang,7.403020432336393e-05
zeiten,7.403020432336393e-05
wohl,0.0008143322475570033
niemandem,7.403020432336393e-05
komisch,0.00014806040864672785
nie,0.0005182114302635475
jemanden,0.0002220906129700918
jedoch,0.0005922416345869114
dahinter,7.403020432336393e-05
eher,0.0002961208172934557
zufall,7.403020432336393e-05
kerkergänge,7.403020432336393e-05
durchstöbert,7.403020432336393e-05
zog,0.0005182114302635475
vorhang,7.403020432336393e-05
beiseite,7.403020432336393e-05
trat,0.0004441812259401836
tunnel,7.403020432336393e-05
paar,0.0006662718389102754
wurzeln,7.403020432336393e-05
allzu,7.403020432336393e-05
groß,0.00014806040864672785
kannte,0.0002220906129700918
ruf,7.403020432336393e-05
vertreter,7.403020432336393e-05
reinen,7.403020432336393e-05
blutes,0.00014806040864672785
regelrechter,7.403020432336393e-05
fan,7.403020432336393e-05
ideologie,7.403020432336393e-05
bitte,0.0002961208172934557
tretet,7.403020432336393e-05
herein,7.403020432336393e-05
garten,7.403020432336393e-05
mögt,7.403020432336393e-05
lud,7.403020432336393e-05
wies,7.403020432336393e-05
richtung,0.0005182114302635475
wohnzimmer,0.00014806040864672785
große,0.0004441812259401836
balkontür,7.403020432336393e-05
terrasse,0.00014806040864672785
offen,0.00014806040864672785
danke,0.0002220906129700918
misses,7.403020432336393e-05
erwiderte,0.0005182114302635475
knapp,7.403020432336393e-05
bemühte,7.403020432336393e-05
dreck,0.00014806040864672785
tragen,7.403020432336393e-05
miene,0.00014806040864672785
wären,0.0002961208172934557
sicher,0.0004441812259401836
begeistert,0.00014806040864672785
sehen,0.0002961208172934557
anflug,7.403020432336393e-05
frustration,7.403020432336393e-05
ärmel,0.00014806040864672785
hoch,0.00014806040864672785
trank,0.00037015102161681965
unterdrückte,7.403020432336393e-05
trotzdem,0.0002961208172934557
dunkel,0.0004441812259401836
haut,0.0002220906129700918
schimmerte,7.403020432336393e-05
riss,0.00014806040864672785
entsetzt,7.403020432336393e-05
augen,0.001036422860527095
wann,0.00014806040864672785
bekommen,0.0004441812259401836
monaten,0.0002961208172934557
bisher,0.0002961208172934557
schlau,7.403020432336393e-05
genug,0.00037015102161681965
entscheidung,0.0002220906129700918
vaters,7.403020432336393e-05
wenden,7.403020432336393e-05
ende,0.0004441812259401836
schwöre,0.00014806040864672785
sowieso,7.403020432336393e-05
glänzen,7.403020432336393e-05
rote,7.403020432336393e-05
bild,0.00014806040864672785
hängt,7.403020432336393e-05
kamin,0.0002961208172934557
folgen,0.00014806040864672785
ärger,0.00037015102161681965
bekommt,7.403020432336393e-05
weißt,0.00037015102161681965
wer,0.0002961208172934557
konnten,0.0002961208172934557
parsel,0.0002220906129700918
sprechen,0.00014806040864672785
wiederholte,0.00014806040864672785
vorher,7.403020432336393e-05
gesagt,0.0005922416345869114
mund,0.0002220906129700918
klang,0.0002220906129700918
besser,0.0005182114302635475
solltet,7.403020432336393e-05
ohnehin,7.403020432336393e-05
unten,0.0002220906129700918
finden,0.0002961208172934557
kriegt,7.403020432336393e-05
