term,relative_frequency
meinte,0.0006560701398622252
sei,0.00014910684996868756
zeichen,8.946410998121254e-05
symbol,8.946410998121254e-05
achteckig,2.9821369993737513e-05
geschliffene,2.9821369993737513e-05
goldene,2.9821369993737513e-05
stein,5.9642739987475026e-05
weißgold,2.9821369993737513e-05
eingefasst,2.9821369993737513e-05
mitte,0.00011928547997495005
citrinsteins,2.9821369993737513e-05
kleinen,0.00041749917991232516
smaragdsplittern,2.9821369993737513e-05
windende,2.9821369993737513e-05
schlange,0.0005069632898935377
dargestellt,5.9642739987475026e-05
dabei,0.00041749917991232516
lautstark,2.9821369993737513e-05
unterbrochen,0.00011928547997495005
worden,0.00020874958995616258
schreien,0.00014910684996868756
begann,0.0006262487698684878
geschichte,0.0003280350699311126
caractacus,2.9821369993737513e-05
gesehen,0.00041749917991232516
laden,5.9642739987475026e-05
burgin,2.9821369993737513e-05
besaß,5.9642739987475026e-05
kurz,0.0005367846598872753
weihnachten,5.9642739987475026e-05
geschäft,2.9821369993737513e-05
lebens,0.00011928547997495005
machte,0.0005964273998747502
hochschwangeren,2.9821369993737513e-05
zerlumpten,2.9821369993737513e-05
hexe,0.00011928547997495005
echte,2.9821369993737513e-05
medaillonkette,2.9821369993737513e-05
abkaufte,2.9821369993737513e-05
dafür,0.00035785643992485017
zehn,2.9821369993737513e-05
galleonen,2.9821369993737513e-05
gab,0.0010735693197745505
freundlichem,2.9821369993737513e-05
verzweifeltem,2.9821369993737513e-05
gruß,2.9821369993737513e-05
potternachdenklich,2.9821369993737513e-05
schaute,5.9642739987475026e-05
brief,0.00020874958995616258
händen,0.00011928547997495005
lag,0.0002982136999373751
hinab,2.9821369993737513e-05
kam,0.001163033429755763
begrüßte,0.00011928547997495005
händeschütteln,2.9821369993737513e-05
hexerei,5.9642739987475026e-05
zaubereischulleiter,2.9821369993737513e-05
rowena,0.0005069632898935377
ravenclaw,0.0003280350699311126
slytherinsehr,2.9821369993737513e-05
geehrter,2.9821369993737513e-05
freuen,2.9821369993737513e-05
mitteilen,8.946410998121254e-05
zauberei,5.9642739987475026e-05
aufgenommen,5.9642739987475026e-05
erwarten,8.946410998121254e-05
eule,0.00011928547997495005
spätestens,2.9821369993737513e-05
freundlichen,2.9821369993737513e-05
grüßenhelga,2.9821369993737513e-05
hufflepuffschulleiterinals,2.9821369993737513e-05
merkte,5.9642739987475026e-05
text,5.9642739987475026e-05
ende,0.0003280350699311126
gelesen,8.946410998121254e-05
fragte,0.0006560701398622252
möchtest,8.946410998121254e-05
vielleicht,0.0002385709599499001
schon,0.0020576745295678885
mitkommen,5.9642739987475026e-05
warnte,0.00011928547997495005
bevor,0.0010437479497808128
weitere,0.0002683923299436376
vorwarnung,5.9642739987475026e-05
hoffe,0.00017892821996242508
gefallen,8.946410998121254e-05
übelkeit,2.9821369993737513e-05
mittlerweile,0.00014910684996868756
verflogen,2.9821369993737513e-05
wurde,0.0014314257596994007
bewusst,0.0002385709599499001
immer,0.0017594608296305132
rechten,0.00011928547997495005
hand,0.0012524975397369756
robe,2.9821369993737513e-05
klammerte,2.9821369993737513e-05
gestern,0.00014910684996868756
tausend,5.9642739987475026e-05
jahren,0.00017892821996242508
anhörte,2.9821369993737513e-05
innerlich,2.9821369993737513e-05
schüttelte,0.00038767780991858766
kopf,0.0009542838397996004
schritt,0.0003280350699311126
bedeutete,0.00011928547997495005
geste,2.9821369993737513e-05
umzusehen,2.9821369993737513e-05
erstaunt,8.946410998121254e-05
sah,0.001401604389705663
kindern,0.00014910684996868756
wandte,0.00020874958995616258
vorgeschlagen,2.9821369993737513e-05
setzte,0.0004473205499060627
kutsche,5.9642739987475026e-05
wartete,0.00020874958995616258
rückkehr,2.9821369993737513e-05
großen,0.0002982136999373751
eingangshalle,2.9821369993737513e-05
blieben,5.9642739987475026e-05
beiden,0.0006262487698684878
stehen,0.00041749917991232516
erklärte,0.0003280350699311126
vorgehen,2.9821369993737513e-05
nickte,0.0008051769898309129
ging,0.0010139265797870754
große,0.00020874958995616258
halle,8.946410998121254e-05
kollegen,2.9821369993737513e-05
holen,8.946410998121254e-05
währenddessen,5.9642739987475026e-05
tür,0.00035785643992485017
eben,0.00011928547997495005
angesprochen,2.9821369993737513e-05
wohl,0.0006560701398622252
erst,0.0006262487698684878
später,0.00041749917991232516
bild,5.9642739987475026e-05
drei,0.0004473205499060627
stimme,0.00038767780991858766
erklang,2.9821369993737513e-05
bereit,0.00014910684996868756
angekommen,8.946410998121254e-05
übernahm,2.9821369993737513e-05
vorstellung,5.9642739987475026e-05
mitgründer,2.9821369993737513e-05
freunde,0.00014910684996868756
schreibt,5.9642739987475026e-05
p,2.9821369993737513e-05
angekündigt,2.9821369993737513e-05
geht,0.0002982136999373751
mal,0.0008349983598246503
schneller,5.9642739987475026e-05
dviel,2.9821369993737513e-05
spaß,0.00017892821996242508
liebe,0.0002385709599499001
grüßeeure,2.9821369993737513e-05
yasumi,2.9821369993737513e-05
frisch,2.9821369993737513e-05
konnte,0.003131243849342439
sachen,0.00014910684996868756
neuen,0.00020874958995616258
zimmer,0.0006262487698684878
verstauen,2.9821369993737513e-05
führte,0.00020874958995616258
jungen,0.0005069632898935377
unterirdischen,2.9821369993737513e-05
teil,0.00020874958995616258
schlosses,5.9642739987475026e-05
dachte,0.0002982136999373751
verstehen,0.0002385709599499001
gesagte,2.9821369993737513e-05
eingeprägt,2.9821369993737513e-05
gingen,5.9642739987475026e-05
hindurch,2.9821369993737513e-05
damen,5.9642739987475026e-05
essen,0.0003280350699311126
begannen,5.9642739987475026e-05
kostete,2.9821369993737513e-05
wildbraten,2.9821369993737513e-05
aufgetaucht,8.946410998121254e-05
wiederholte,8.946410998121254e-05
geschehnisse,2.9821369993737513e-05
davon,0.0005069632898935377
bereits,0.00035785643992485017
morgen,0.00041749917991232516
gehört,0.0002385709599499001
nebenbei,8.946410998121254e-05
lauschte,5.9642739987475026e-05
lady,8.946410998121254e-05
hufflepuff,2.9821369993737513e-05
gesetzt,8.946410998121254e-05
wiedermal,2.9821369993737513e-05
versprochen,8.946410998121254e-05
fand,0.00017892821996242508
nächsten,0.00041749917991232516
roben,2.9821369993737513e-05
stuhl,0.00020874958995616258
lächelte,0.0004473205499060627
tisch,0.00041749917991232516
freundlich,5.9642739987475026e-05
neben,0.00038767780991858766
ans,8.946410998121254e-05
linke,8.946410998121254e-05
tisches,2.9821369993737513e-05
gastgeschenke,2.9821369993737513e-05
personen,5.9642739987475026e-05
heute,0.0002683923299436376
winkelgasse,0.00014910684996868756
zogen,5.9642739987475026e-05
reiseumhänge,2.9821369993737513e-05
fuhren,2.9821369993737513e-05
hogsmead,2.9821369993737513e-05
apparieren,8.946410998121254e-05
verabschiedete,5.9642739987475026e-05
spur,5.9642739987475026e-05
sehen,0.0004473205499060627
sprach,0.0002982136999373751
tempus,2.9821369993737513e-05
stellte,0.0002982136999373751
fest,0.0002982136999373751
minuten,0.00014910684996868756
treffen,0.00011928547997495005
wollten,0.00014910684996868756
begutachtete,2.9821369993737513e-05
koffer,2.9821369993737513e-05
dunklem,2.9821369993737513e-05
leder,2.9821369993737513e-05
trug,0.00017892821996242508
kleinere,2.9821369993737513e-05
betraten,8.946410998121254e-05
koboldbank,2.9821369993737513e-05
unbesetzten,2.9821369993737513e-05
schalter,2.9821369993737513e-05
kobold,8.946410998121254e-05
saß,0.00041749917991232516
gerade,0.0004771419198998002
abakus,2.9821369993737513e-05
kleine,0.0004473205499060627
stapel,2.9821369993737513e-05
gold,2.9821369993737513e-05
zusammenzählte,2.9821369993737513e-05
kleinigkeit,5.9642739987475026e-05
bestand,8.946410998121254e-05
zinsen,2.9821369993737513e-05
platznehmen,2.9821369993737513e-05
kleiner,0.00011928547997495005
trank,0.0002683923299436376
stärkere,2.9821369993737513e-05
zauber,0.0003280350699311126
helfend,2.9821369993737513e-05
eingegriffen,2.9821369993737513e-05
schwarze,0.00011928547997495005
haare,0.00041749917991232516
fielen,5.9642739987475026e-05
sanften,5.9642739987475026e-05
wellen,2.9821369993737513e-05
glatt,2.9821369993737513e-05
stufen,2.9821369993737513e-05
fast,0.0003280350699311126
schultern,0.0002385709599499001
verschmitzt,2.9821369993737513e-05
fanden,2.9821369993737513e-05
mittagsessen,2.9821369993737513e-05
hogwarts,0.0005964273998747502
gemeinsam,8.946410998121254e-05
speisen,2.9821369993737513e-05
gryffindor,0.0006858915098559628
erfahrung,0.00011928547997495005
töchter,2.9821369993737513e-05
zuhause,2.9821369993737513e-05
blitzten,2.9821369993737513e-05
augen,0.0014314257596994007
lieber,0.00020874958995616258
schnell,0.0005069632898935377
ferien,2.9821369993737513e-05
freunden,5.9642739987475026e-05
letzten,0.00038767780991858766
augusttag,2.9821369993737513e-05
wiederkommen,2.9821369993737513e-05
tagen,0.0002683923299436376
vieles,8.946410998121254e-05
neu,8.946410998121254e-05
kennengelernt,2.9821369993737513e-05
menge,5.9642739987475026e-05
erzählen,0.0002385709599499001
wurden,0.0003280350699311126
salinomé,2.9821369993737513e-05
herzlich,8.946410998121254e-05
willkommen,8.946410998121254e-05
geheißen,5.9642739987475026e-05
freudig,2.9821369993737513e-05
begrüßt,5.9642739987475026e-05
wiederrum,2.9821369993737513e-05
blicke,0.0002683923299436376
weniger,8.946410998121254e-05
begeistert,0.00011928547997495005
zurück,0.0008946410998121254
sogar,0.0003280350699311126
augenbraue,0.00017892821996242508
genervt,5.9642739987475026e-05
feines,2.9821369993737513e-05
räuspern,2.9821369993737513e-05
riss,5.9642739987475026e-05
grünäugigen,2.9821369993737513e-05
beobachtung,2.9821369993737513e-05
widmete,2.9821369993737513e-05
aufmerksamkeit,0.0003280350699311126
mädchen,8.946410998121254e-05
gespannt,5.9642739987475026e-05
mehr,0.0016699967196493006
erfahren,0.00020874958995616258
interessierten,2.9821369993737513e-05
mitschüler,2.9821369993737513e-05
spüren,0.00020874958995616258
neuer,5.9642739987475026e-05
schüler,0.0002683923299436376
vierten,2.9821369993737513e-05
klasse,2.9821369993737513e-05
vorgestellt,2.9821369993737513e-05
nichte,2.9821369993737513e-05
gleich,0.00011928547997495005
weitermachte,2.9821369993737513e-05
wenigen,0.00014910684996868756
überzeugt,2.9821369993737513e-05
beste,2.9821369993737513e-05
lehrer,8.946410998121254e-05
verteidigung,2.9821369993737513e-05
dunklen,0.0002982136999373751
künste,5.9642739987475026e-05
je,0.00011928547997495005
blick,0.0016401753496555632
stundenplan,2.9821369993737513e-05
anwendung,2.9821369993737513e-05
flüche,5.9642739987475026e-05
beziehen,2.9821369993737513e-05
freitags,2.9821369993737513e-05
unterrichtete,2.9821369993737513e-05
gleichen,8.946410998121254e-05
thema,0.00014910684996868756
ausführung,2.9821369993737513e-05
aufmunternd,2.9821369993737513e-05
sagte,0.0009244624698058629
ah,8.946410998121254e-05
idee,8.946410998121254e-05
zufrieden,5.9642739987475026e-05
antwort,0.0003280350699311126
ja,0.0007157128798497003
richtig,0.00011928547997495005
ring,0.00020874958995616258
siegelring,5.9642739987475026e-05
emmet,2.9821369993737513e-05
nahm,0.0004473205499060627
schloss,0.0002683923299436376
leichter,2.9821369993737513e-05
kraft,2.9821369993737513e-05
zermal,2.9821369993737513e-05
staub,2.9821369993737513e-05
geschah,8.946410998121254e-05
weißer,2.9821369993737513e-05
nebel,5.9642739987475026e-05
erhob,5.9642739987475026e-05
stand,0.0009244624698058629
luft,0.0002385709599499001
rief,0.00035785643992485017
wer,0.0005367846598872753
schlaf,0.00014910684996868756
erweckt,2.9821369993737513e-05
sollst,5.9642739987475026e-05
sterben,5.9642739987475026e-05
zauberstäbe,2.9821369993737513e-05
riefen,5.9642739987475026e-05
infinte,2.9821369993737513e-05
wellte,2.9821369993737513e-05
fing,0.00020874958995616258
wirbelsturm,2.9821369993737513e-05
komisch,2.9821369993737513e-05
moment,0.0005367846598872753
irritiert,0.00017892821996242508
erbe,0.00035785643992485017
VOLDEMORT,0.002982136999373751
sahen,0.0002385709599499001
maureen,2.9821369993737513e-05
erzählt,0.0002385709599499001
ur,0.00017892821996242508
enkelin,2.9821369993737513e-05
lachte,0.00017892821996242508
gibt,0.0003280350699311126
unendlich,8.946410998121254e-05
viele,8.946410998121254e-05
menschen,0.0002683923299436376
schlangen,0.0002683923299436376
sprechen,0.0002683923299436376
tun,0.0010139265797870754
eingetrichtert,2.9821369993737513e-05
schlecht,0.00020874958995616258
wäre,0.000984105209793338
brachte,8.946410998121254e-05
buch,0.0002385709599499001
werdet,5.9642739987475026e-05
kapitel,0.0002982136999373751
weiteres,8.946410998121254e-05
entschuldigen,2.9821369993737513e-05
schreibe,2.9821369993737513e-05
rechtschreibprogramm,2.9821369993737513e-05
außergewöhnlichen,2.9821369993737513e-05
names,2.9821369993737513e-05
büchern,5.9642739987475026e-05
wörterbuch,2.9821369993737513e-05
gehabt,8.946410998121254e-05
nachgeholt,2.9821369993737513e-05
besser,0.00020874958995616258
leider,0.00014910684996868756
fehler,0.00017892821996242508
ff,2.9821369993737513e-05
aufgefallen,0.00011928547997495005
hierbei,2.9821369993737513e-05
jedenfall,2.9821369993737513e-05
aufklären,2.9821369993737513e-05
wusste,0.002027853159574151
vorfahre,2.9821369993737513e-05
vater,0.0011332120597620254
erklärt,5.9642739987475026e-05
möglich,0.0002683923299436376
familie,0.0005666060298810127
alt,0.0002385709599499001
ehrwürdigen,2.9821369993737513e-05
verwandt,5.9642739987475026e-05
zwei,0.0005367846598872753
ecken,2.9821369993737513e-05
gebogen,2.9821369993737513e-05
hingen,2.9821369993737513e-05
jedoch,0.00041749917991232516
portraits,5.9642739987475026e-05
wänden,2.9821369993737513e-05
beeindruckt,2.9821369993737513e-05
bunt,2.9821369993737513e-05
dekoration,2.9821369993737513e-05
ausschließlich,2.9821369993737513e-05
todesser,0.00014910684996868756
bildern,0.00011928547997495005
finden,0.0002683923299436376
beachteten,2.9821369993737513e-05
bemerkte,0.0002385709599499001
figur,2.9821369993737513e-05
portrait,0.00011928547997495005
wechselte,5.9642739987475026e-05
finde,2.9821369993737513e-05
krankenstation,8.946410998121254e-05
grinste,0.00014910684996868756
gut,0.0011332120597620254
werte,5.9642739987475026e-05
versuche,0.00011928547997495005
wiederzugeben,2.9821369993737513e-05
timothy,5.9642739987475026e-05
ersten,0.00014910684996868756
schülern,8.946410998121254e-05
besuchten,2.9821369993737513e-05
unterrichtet,2.9821369993737513e-05
persönlich,8.946410998121254e-05
huffelpuff,2.9821369993737513e-05
hörte,0.0002385709599499001
sagen,0.0007455342498434378
hektisch,2.9821369993737513e-05
erweckte,2.9821369993737513e-05
statue,0.0003280350699311126
slyhterin,2.9821369993737513e-05
leben,0.0005367846598872753
basilisken,0.00014910684996868756
warf,0.0002385709599499001
vergrub,0.00011928547997495005
ahnung,0.00014910684996868756
horkruxe,5.9642739987475026e-05
zerstörte,2.9821369993737513e-05
paar,0.00038767780991858766
stunden,0.0002683923299436376
her,0.00020874958995616258
überhaupt,0.0002385709599499001
handeln,5.9642739987475026e-05
schoss,8.946410998121254e-05
steinberg,2.9821369993737513e-05
heraus,0.00017892821996242508
rammte,2.9821369993737513e-05
oberkörper,2.9821369993737513e-05
gezähmtes,2.9821369993737513e-05
dämonenfeuer,2.9821369993737513e-05
zeit,0.000984105209793338
nahrung,2.9821369993737513e-05
gezähmt,2.9821369993737513e-05
gelöscht,2.9821369993737513e-05
soweit,8.946410998121254e-05
atmete,0.00017892821996242508
tief,0.0002683923299436376
holte,8.946410998121254e-05
verkohlte,2.9821369993737513e-05
tagebuch,5.9642739987475026e-05
aufrufezauber,2.9821369993737513e-05
heran,0.00014910684996868756
drehte,0.0002683923299436376
steinhaufen,2.9821369993737513e-05
zuvor,8.946410998121254e-05
rücken,8.946410998121254e-05
schnelle,5.9642739987475026e-05
