term,relative_frequency
gekuschelt,4.134931070699051e-05
eingeschlafen,0.00014058765640376775
folgte,0.0002563657263833412
treppen,3.307944856559241e-05
hoch,0.0002811753128075355
stürmte,4.134931070699051e-05
mochte,7.442875927258293e-05
kleinen,0.0008683355248468008
heute,0.0005706204877564691
geburtstag,0.00017366710496936015
normalerweise,5.788903498978672e-05
spielst,8.269862141398103e-06
immer,0.002191513467470497
wurden,0.00014058765640376775
geboren,5.788903498978672e-05
folglich,8.269862141398103e-06
story,3.307944856559241e-05
januar,8.269862141398103e-06
bzw,8.269862141398103e-06
februar,1.6539724282796206e-05
sowas,3.307944856559241e-05
bemerke,8.269862141398103e-06
spricht,3.307944856559241e-05
brief,0.00016539724282796205
schreiben,5.788903498978672e-05
beerdigung,2.480958642419431e-05
begleiten,4.961917284838862e-05
plötzlich,0.0006533191091704501
arme,0.0004961917284838862
voll,4.961917284838862e-05
stürmisch,4.134931070699051e-05
umarmte,0.0002563657263833412
schließlich,0.0009758437326849762
zog,0.0006863985577360425
lächelte,0.000562350625615071
schwach,3.307944856559241e-05
entgegen,0.00014058765640376775
zunickte,1.6539724282796206e-05
kurzer,1.6539724282796206e-05
blick,0.0009841135948263741
kindern,0.00010750820783817534
zeigte,0.00023155613995914687
klammerte,4.961917284838862e-05
tat,0.0002729054506661374
verzichtete,8.269862141398103e-06
ebenfalls,0.00043003283135270137
ging,0.0009096848355537913
steinweg,8.269862141398103e-06
zurück,0.0007773670412914217
weder,0.00015712738068656397
warfen,2.480958642419431e-05
dissapperierten,8.269862141398103e-06
ebenso,0.00014058765640376775
kinder,0.00047138214205969187
erst,0.000562350625615071
zwei,0.00038041365850431273
schon,0.002720784644519976
beschäftigt,9.096848355537913e-05
erklären,0.00014885751854516586
toll,5.788903498978672e-05
haus,0.00046311227991829374
slytherin,0.00019847669139355447
ruft,3.307944856559241e-05
hinterher,0.00016539724282796205
folgt,3.307944856559241e-05
stehe,8.269862141398103e-06
alleine,0.00016539724282796205
krankenflügel,3.307944856559241e-05
leer,4.134931070699051e-05
wirkt,4.961917284838862e-05
irgendwie,0.00011577806997957343
trete,8.269862141398103e-06
schritt,0.00012404793212097154
näher,0.00011577806997957343
ran,8.269862141398103e-06
sieht,0.0002480958642419431
wirklich,0.000719478006301635
ganz,0.0009758437326849762
gut,0.0012322094590683174
haut,4.134931070699051e-05
verhältnisse,8.269862141398103e-06
blass,2.480958642419431e-05
obwohl,0.00038041365850431273
schläft,5.788903498978672e-05
erschöpft,7.442875927258293e-05
ganze,0.00020674655353495258
halbe,4.961917284838862e-05
stunde,0.00019020682925215636
langsam,0.00047138214205969187
hob,0.00037214379636291465
kopf,0.0009675738705435781
erwiderte,0.0002232862778177488
zaubertränkelehrers,8.269862141398103e-06
ehe,0.0003473342099387203
stück,0.00010750820783817534
links,3.307944856559241e-05
wandern,1.6539724282796206e-05
ließ,0.0007029382820188388
wosiesaß,8.269862141398103e-06
stimme,0.00043003283135270137
klang,9.096848355537913e-05
anklagend,1.6539724282796206e-05
mehr,0.0017532107739763978
erstaunt,0.00011577806997957343
dennoch,0.00015712738068656397
schnaubte,7.442875927258293e-05
verächtlich,1.6539724282796206e-05
nett,0.00012404793212097154
bringt,4.961917284838862e-05
leben,0.00035560407208011844
besonders,0.00015712738068656397
weit,0.00016539724282796205
müsstest,8.269862141398103e-06
hufflepuff,2.480958642419431e-05
besten,0.00013231779426236965
lass,0.00019020682925215636
ruhe,0.00014058765640376775
weint,2.480958642419431e-05
kindermädchen,8.269862141398103e-06
mummy,8.269862141398102e-05
fall,4.134931070699051e-05
postkarte,8.269862141398103e-06
land,4.134931070699051e-05
kinderloses,8.269862141398103e-06
interessantes,8.269862141398103e-06
derzeit,8.269862141398103e-06
verschlagen,2.480958642419431e-05
schickt,1.6539724282796206e-05
spät,9.096848355537913e-05
nachts,1.6539724282796206e-05
arbeitet,8.269862141398103e-06
müde,0.00020674655353495258
anzufassen,8.269862141398103e-06
anzusehen,4.961917284838862e-05
einfach,0.0009262245598365875
gefühl,0.00019020682925215636
los,0.00047138214205969187
uhren,8.269862141398103e-06
laut,0.00035560407208011844
ticken,8.269862141398103e-06
glaubt,2.480958642419431e-05
platzt,8.269862141398103e-06
gleich,0.0002894451749489336
schädel,1.6539724282796206e-05
fragt,9.096848355537913e-05
hinauf,0.00010750820783817534
nachthimmel,8.269862141398103e-06
unendlich,9.096848355537913e-05
dunkel,4.961917284838862e-05
wölbt,8.269862141398103e-06
legt,3.307944856559241e-05
nacken,1.6539724282796206e-05
sterne,1.6539724282796206e-05
bisschen,4.961917284838862e-05
heller,8.269862141398103e-06
leuchten,2.480958642419431e-05
lächelt,4.961917284838862e-05
bitteren,8.269862141398103e-06
kante,8.269862141398103e-06
darin,7.442875927258293e-05
