term,relative_frequency
ab,0.0004981606376456162
heißt,0.00019160024524831392
muse,3.832004904966278e-05
warten,0.00015328019619865113
derzeit,3.832004904966278e-05
leider,0.00019160024524831392
vorschläge,3.832004904966278e-05
natürlich,0.000881361128142244
weiterhin,7.664009809932556e-05
notiert,3.832004904966278e-05
allerdings,0.00019160024524831392
moment,0.0002682403433476395
x,7.664009809932556e-05
roxannescorpius,3.832004904966278e-05
wusste,0.0008430410790925812
woran,3.832004904966278e-05
lag,0.0002682403433476395
sagten,7.664009809932556e-05
weasley,0.0016477621091354998
schönes,0.00011496014714898834
paar,0.0006514408338442673
abgeben,3.832004904966278e-05
früher,0.00015328019619865113
besser,0.0003448804414469651
verstanden,0.00011496014714898834
bevor,0.0006897608828939301
angefreundet,7.664009809932556e-05
beste,0.00019160024524831392
freundin,0.0004981606376456162
freundschaft,0.00030656039239730225
scorp,0.0002682403433476395
weder,0.00015328019619865113
akzeptiert,3.832004904966278e-05
irgendwie,0.00015328019619865113
schüttele,3.832004904966278e-05
kopf,0.0008047210300429185
gedanken,0.0006131207847946045
vergangenheit,3.832004904966278e-05
los,0.0004598405885959534
empörte,3.832004904966278e-05
schon,0.0017244022072348253
lauter,0.00011496014714898834
konnte,0.0013412017167381974
bildlich,3.832004904966278e-05
vorstellen,0.00015328019619865113
hand,0.0011496014714898835
aufgeregt,0.00011496014714898834
roten,7.664009809932556e-05
locken,3.832004904966278e-05
fuhr,0.00030656039239730225
verärgert,0.00011496014714898834
hüfte,7.664009809932556e-05
letzten,0.0005748007357449417
jahren,0.00019160024524831392
nie,0.0006131207847946045
kontakt,0.00011496014714898834
gehabt,0.0002682403433476395
öffnete,0.00011496014714898834
mund,0.0002682403433476395
sagen,0.0006514408338442673
schloss,0.0004215205395462906
erwiderte,0.00030656039239730225
blick,0.0009196811771919068
unschlüssigen,3.832004904966278e-05
miene,0.00015328019619865113
bald,7.664009809932556e-05
begann,7.664009809932556e-05
abendbrot,7.664009809932556e-05
wenige,0.00011496014714898834
schüler,3.832004904966278e-05
saßen,0.00011496014714898834
konzentrierter,3.832004904966278e-05
pergamenten,3.832004904966278e-05
federn,7.664009809932556e-05
fest,0.0002682403433476395
händen,0.00011496014714898834
knöchel,3.832004904966278e-05
weiß,0.00038320049049662784
gewusst,3.832004904966278e-05
leicht,0.00038320049049662784
zusammen,0.001226241569589209
posten,3.832004904966278e-05
schulsprechers,3.832004904966278e-05
auszuführen,3.832004904966278e-05
gleichzeitig,7.664009809932556e-05
genug,0.00038320049049662784
abstand,0.00015328019619865113
wahren,3.832004904966278e-05
verdacht,7.664009809932556e-05
schöpfen,3.832004904966278e-05
hätte,0.0008430410790925812
geahnt,3.832004904966278e-05
schwer,0.0002299202942979767
tatsächlich,0.000536480686695279
beginn,0.00011496014714898834
schuljahres,3.832004904966278e-05
wappen,7.664009809932556e-05
verzichtet,7.664009809932556e-05
vieles,3.832004904966278e-05
schüttelte,0.0003448804414469651
wehmütigen,3.832004904966278e-05
vertreiben,3.832004904966278e-05
versuchte,0.0005748007357449417
wesentliche,3.832004904966278e-05
wissen,0.0002299202942979767
bestätigte,7.664009809932556e-05
glaubte,0.00019160024524831392
fragte,0.000881361128142244
obwohl,0.00019160024524831392
bereits,0.0008430410790925812
genau,0.0004215205395462906
wer,0.00011496014714898834
mittelpunkt,3.832004904966278e-05
gespräches,3.832004904966278e-05
hielt,0.0003448804414469651
währenddessen,3.832004904966278e-05
immer,0.0016477621091354998
zauberstab,0.00019160024524831392
rechten,0.00015328019619865113
bereit,7.664009809932556e-05
zeigen,0.00015328019619865113
stark,7.664009809932556e-05
identisch,3.832004904966278e-05
verletzung,3.832004904966278e-05
soeben,3.832004904966278e-05
gesehen,0.0003448804414469651
vorbeigezogen,3.832004904966278e-05
gelangweilt,7.664009809932556e-05
blätterte,7.664009809932556e-05
tagespropheten,0.00011496014714898834
vielleicht,0.0004981606376456162
sache,0.0002682403433476395
wäre,0.0006131207847946045
genauer,3.832004904966278e-05
darüber,0.0004981606376456162
nachdachte,7.664009809932556e-05
wohl,0.00038320049049662784
allgemeinen,3.832004904966278e-05
typ,7.664009809932556e-05
albernheiten,3.832004904966278e-05
schrieben,3.832004904966278e-05
ergebnisse,3.832004904966278e-05
warteten,0.00011496014714898834
darauf,0.0006131207847946045
tisch,0.0003448804414469651
professorin,7.664009809932556e-05
schließlich,0.0005748007357449417
beiden,0.0011879215205395463
schulsprecher,7.664009809932556e-05
erreichte,7.664009809932556e-05
schenkte,0.00011496014714898834
mitfühlenden,3.832004904966278e-05
tätschelte,3.832004904966278e-05
sowohl,0.00015328019619865113
ach,0.00019160024524831392
verbitterung,3.832004904966278e-05
augen,0.0009963212752912324
beobachtete,0.00030656039239730225
argwöhnisch,3.832004904966278e-05
verwandlung,7.664009809932556e-05
nachdem,0.0004215205395462906
gefangen,3.832004904966278e-05
mechanisiert,3.832004904966278e-05
zusteuerte,3.832004904966278e-05
schulter,0.0004215205395462906
griff,0.00015328019619865113
fiel,0.00011496014714898834
bosheit,3.832004904966278e-05
bewirken,7.664009809932556e-05
meinung,0.00015328019619865113
ändern,3.832004904966278e-05
betracht,3.832004904966278e-05
ziehen,0.00015328019619865113
töten,3.832004904966278e-05
atmete,7.664009809932556e-05
tief,0.00011496014714898834
hinterkopf,3.832004904966278e-05
verbannen,3.832004904966278e-05
bisher,0.0002299202942979767
spiel,0.00019160024524831392
ungewohnt,3.832004904966278e-05
fair,3.832004904966278e-05
verlaufen,7.664009809932556e-05
traute,0.00015328019619865113
vermeintlichen,7.664009809932556e-05
harmonie,3.832004904966278e-05
ruhte,3.832004904966278e-05
jacke,3.832004904966278e-05
einzugreifen,3.832004904966278e-05
falls,0.00015328019619865113
plan,7.664009809932556e-05
zachary,7.664009809932556e-05
schien,0.0006514408338442673
hakte,7.664009809932556e-05
verdrehte,0.00019160024524831392
automatisch,3.832004904966278e-05
versprachen,7.664009809932556e-05
synchron,3.832004904966278e-05
