term,relative_frequency
zusammen,0.0005095063151966963
weasley,0.0005899546807540694
longbottom,0.0002145289748196616
aufgetaucht,2.68161218524577e-05
kapitel,0.0003217934622294924
belauschte,2.68161218524577e-05
seherin,2.68161218524577e-05
sicht,5.36322437049154e-05
klassenzimmer,5.36322437049154e-05
roch,2.68161218524577e-05
irgendwie,0.00013408060926228848
angebrannt,2.68161218524577e-05
feuerteufel,2.68161218524577e-05
schaute,0.0002145289748196616
beschämt,2.68161218524577e-05
häuflein,2.68161218524577e-05
asche,2.68161218524577e-05
mal,0.0009653803866884771
hölzernes,2.68161218524577e-05
schülerpult,2.68161218524577e-05
wären,5.36322437049154e-05
punkte,0.00013408060926228848
abzug,5.36322437049154e-05
gryffindor,0.0004290579496393232
mr,0.00013408060926228848
glauben,0.0001072644874098308
zurück,0.0002949773403770347
halten,0.00013408060926228848
blöden,2.68161218524577e-05
kreis,0.00013408060926228848
erstürmen,2.68161218524577e-05
passierte,5.36322437049154e-05
mehreres,2.68161218524577e-05
gleichzeitig,0.0001072644874098308
marcus,5.36322437049154e-05
stürmten,2.68161218524577e-05
höhle,2.68161218524577e-05
herein,5.36322437049154e-05
fing,0.0001072644874098308
fürchterlich,2.68161218524577e-05
endlich,0.0001072644874098308
warum,0.0001608967311147462
lange,0.0002145289748196616
gedauert,5.36322437049154e-05
betrübt,2.68161218524577e-05
konnte,0.0005095063151966963
nie,0.00026816121852457696
dinge,0.00013408060926228848
eigene,2.68161218524577e-05
worte,0.00013408060926228848
fassen,2.68161218524577e-05
lernte,5.36322437049154e-05
buch,0.00024134509667211927
stand,0.00048269019334423854
gab,0.00045587407149178086
viertelstunde,5.36322437049154e-05
vorne,5.36322437049154e-05
sprach,8.04483655573731e-05
leise,0.00034860958408195006
versuchen,5.36322437049154e-05
geist,2.68161218524577e-05
einzudringen,2.68161218524577e-05
schnappte,2.68161218524577e-05
handtuch,5.36322437049154e-05
hacken,5.36322437049154e-05
badezimmer,2.68161218524577e-05
schlafsaal,0.00013408060926228848
angrenzte,2.68161218524577e-05
hielt,0.0002145289748196616
sekunde,8.04483655573731e-05
inne,5.36322437049154e-05
überlegen,0.0001072644874098308
wem,5.36322437049154e-05
gehörte,2.68161218524577e-05
sowohl,5.36322437049154e-05
seit,0.0001608967311147462
zeit,0.00034860958408195006
raum,0.0002949773403770347
wünsche,0.0001072644874098308
gelebt,2.68161218524577e-05
flucht,5.36322437049154e-05
erinnerte,8.04483655573731e-05
kreacher,8.04483655573731e-05
sachen,0.0001072644874098308
hochgebracht,2.68161218524577e-05
sagte,0.0015285189455900888
wer,0.00013408060926228848
immer,0.0007776675337212732
vielleicht,0.0002145289748196616
sogar,0.00045587407149178086
mrs,2.68161218524577e-05
neben,0.0010726448740983078
weasleys,0.0002949773403770347
robert,2.68161218524577e-05
armen,8.04483655573731e-05
erwartet,0.00013408060926228848
vater,8.04483655573731e-05
dädalus,2.68161218524577e-05
ehemaligen,2.68161218524577e-05
jägerinnen,2.68161218524577e-05
gryffindors,0.0002145289748196616
damaliger,2.68161218524577e-05
hüter,5.36322437049154e-05
viele,0.00026816121852457696
mitglieder,2.68161218524577e-05
armee,2.68161218524577e-05
mcmillan,2.68161218524577e-05
pavati,8.04483655573731e-05
patil,0.00013408060926228848
