term,relative_frequency
stuhl,0.00012573344509639564
entfesselt,4.191114836546522e-05
aufgesprungen,4.191114836546522e-05
sprach,0.0002514668901927913
beruhigend,4.191114836546522e-05
rollte,4.191114836546522e-05
genervt,4.191114836546522e-05
augen,0.0010477787091366304
schien,0.00046102263202011734
tor,8.382229673093043e-05
schlossmauern,4.191114836546522e-05
luftraum,4.191114836546522e-05
darüber,0.0005029337803855825
gesichert,4.191114836546522e-05
stand,0.0007544006705783739
großen,0.00037720033528918694
schmiedeeisernen,4.191114836546522e-05
gittertor,4.191114836546522e-05
niemand,0.0002514668901927913
giftig,4.191114836546522e-05
aussehender,4.191114836546522e-05
echt,4.191114836546522e-05
miese,4.191114836546522e-05
laune,4.191114836546522e-05
zusammen,0.00033528918692372173
sehen,0.0005448449287510478
spät,0.00012573344509639564
hogwarts,0.00046102263202011734
hauchte,4.191114836546522e-05
süffisant,4.191114836546522e-05
sah,0.0014249790444258172
wütend,0.00012573344509639564
nennung,4.191114836546522e-05
verhassten,4.191114836546522e-05
namens,8.382229673093043e-05
lippen,0.0002514668901927913
biss,0.00016764459346186087
gerade,0.0009220452640402347
wütenden,4.191114836546522e-05
entgegnung,4.191114836546522e-05
aufbrausen,4.191114836546522e-05
einzigartigen,4.191114836546522e-05
weise,0.00020955574182732607
wind,4.191114836546522e-05
segeln,4.191114836546522e-05
sollten,0.00033528918692372173
arbeit,0.00020955574182732607
konzentrieren,8.382229673093043e-05
bösen,8.382229673093043e-05
schützen,4.191114836546522e-05
schüler,4.191114836546522e-05
ölte,4.191114836546522e-05
versnobt,4.191114836546522e-05
mund,0.00037720033528918694
huschten,4.191114836546522e-05
brav,4.191114836546522e-05
kleinen,0.00046102263202011734
spalt,4.191114836546522e-05
lauten,8.382229673093043e-05
bumms,4.191114836546522e-05
aussperrte,4.191114836546522e-05
wehendem,8.382229673093043e-05
mantel,8.382229673093043e-05
rücken,0.00020955574182732607
ließen,0.00012573344509639564
wurde,0.0014249790444258172
langsamer,4.191114836546522e-05
giftete,4.191114836546522e-05
erwarten,4.191114836546522e-05
fällt,4.191114836546522e-05
eigentlich,0.00037720033528918694
tagen,0.00012573344509639564
ersten,0.0002514668901927913
mal,0.001005867560771165
verhalten,0.00016764459346186087
tage,0.00020955574182732607
informiert,8.382229673093043e-05
öfters,4.191114836546522e-05
siehst,8.382229673093043e-05
weiß,0.0006705783738474435
information,8.382229673093043e-05
vielleicht,0.00041911148365465214
mehr,0.0017183570829840738
anzufangen,4.191114836546522e-05
na,0.00012573344509639564
endlich,0.00020955574182732607
langsam,0.00037720033528918694
wohl,0.0005029337803855825
sarkastisch,4.191114836546522e-05
kam,0.0010896898575020956
schmunzelnd,8.382229673093043e-05
sinn,0.00012573344509639564
bitte,0.0005029337803855825
twins,0.00016764459346186087
schon,0.0010896898575020956
schneller,0.00012573344509639564
begriff,4.191114836546522e-05
sagt,0.00020955574182732607
lieber,0.00012573344509639564
eingeteilt,4.191114836546522e-05
macht,0.00020955574182732607
wölfen,4.191114836546522e-05
sicht,4.191114836546522e-05
endedracos,4.191114836546522e-05
sichtmit,4.191114836546522e-05
konnte,0.001550712489522213
hinterm,4.191114836546522e-05
ofen,4.191114836546522e-05
vorlocken,4.191114836546522e-05
wusste,0.0006705783738474435
drei,0.00033528918692372173
anwesenden,0.00012573344509639564
vermuteten,4.191114836546522e-05
sicher,0.0005448449287510478
machte,0.0008801341156747695
weitverzweigtes,4.191114836546522e-05
informationssystem,4.191114836546522e-05
bezahlt,4.191114836546522e-05
ja,0.0008801341156747695
gab,0.0007124895222129086
gerne,0.00033528918692372173
orden,0.00037720033528918694
dafür,0.0002933780385582565
unabkömmlich,4.191114836546522e-05
schließlich,0.000586756077116513
momentan,0.00016764459346186087
geheimwaffe,4.191114836546522e-05
gutes,0.00016764459346186087
verhältnis,0.00012573344509639564
verstoßenen,4.191114836546522e-05
cousine,0.00020955574182732607
unterhielten,0.00016764459346186087
wussten,0.00020955574182732607
vater,0.0002514668901927913
tat,0.00020955574182732607
genialer,4.191114836546522e-05
schachzug,4.191114836546522e-05
gut,0.0007544006705783739
verstand,0.00020955574182732607
mochte,8.382229673093043e-05
beiden,0.0006286672254819782
bösartigen,4.191114836546522e-05
chaoten,4.191114836546522e-05
wirklich,0.0007124895222129086
frau,0.0006286672254819782
essen,0.00016764459346186087
immer,0.001383067896060352
verneinte,4.191114836546522e-05
direktor,8.382229673093043e-05
frage,0.00046102263202011734
stellte,0.00016764459346186087
vermutung,4.191114836546522e-05
hätte,0.0005448449287510478
meinte,0.00046102263202011734
überraschte,4.191114836546522e-05
erregt,4.191114836546522e-05
rüberkam,4.191114836546522e-05
gestrigen,4.191114836546522e-05
auftritt,4.191114836546522e-05
dachte,0.0006286672254819782
passiert,0.00041911148365465214
wisse,4.191114836546522e-05
aussage,0.00016764459346186087
glauben,0.0002514668901927913
professor,0.0007124895222129086
bitten,0.00012573344509639564
warum,0.0005448449287510478
belustigte,4.191114836546522e-05
totaler,4.191114836546522e-05
seelenruhe,4.191114836546522e-05
vorgetragener,4.191114836546522e-05
denke,8.382229673093043e-05
wahrlich,4.191114836546522e-05
interessante,4.191114836546522e-05
tochter,0.0002933780385582565
bekommen,0.0002514668901927913
beeindruckend,4.191114836546522e-05
seltenen,4.191114836546522e-05
gabe,4.191114836546522e-05
spöttelte,4.191114836546522e-05
gemein,4.191114836546522e-05
löschte,4.191114836546522e-05
feuer,4.191114836546522e-05
kunstwerk,4.191114836546522e-05
milchig,4.191114836546522e-05
aussah,4.191114836546522e-05
stank,4.191114836546522e-05
wohltat,4.191114836546522e-05
nein,0.0005029337803855825
zuerst,0.00012573344509639564
besorgt,8.382229673093043e-05
aufgrund,4.191114836546522e-05
verschwindens,4.191114836546522e-05
nachdem,0.00037720033528918694
rudel,4.191114836546522e-05
zurückkam,4.191114836546522e-05
botschaft,4.191114836546522e-05
tode,8.382229673093043e-05
wolfes,4.191114836546522e-05
verkündet,4.191114836546522e-05
nachricht,0.00012573344509639564
erschüttert,4.191114836546522e-05
besonders,0.00016764459346186087
sagen,0.0007124895222129086
verwunderte,4.191114836546522e-05
gasse,4.191114836546522e-05
kümmern,0.0002933780385582565
sofortiger,4.191114836546522e-05
gegenfluch,4.191114836546522e-05
geschafft,0.00012573344509639564
wunde,8.382229673093043e-05
vergrößerte,4.191114836546522e-05
enorme,4.191114836546522e-05
tiefe,8.382229673093043e-05
klaffte,4.191114836546522e-05
weit,8.382229673093043e-05
bauch,8.382229673093043e-05
penibel,4.191114836546522e-05
gesäubert,4.191114836546522e-05
dabei,0.000586756077116513
per,4.191114836546522e-05
hand,0.0008382229673093043
vernähen,4.191114836546522e-05
beschmieren,4.191114836546522e-05
verbinden,4.191114836546522e-05
dauern,0.00012573344509639564
schmerzfrei,4.191114836546522e-05
ganz,0.000796311818943839
geheilt,4.191114836546522e-05
letzter,4.191114836546522e-05
sekunde,4.191114836546522e-05
SCABIOR,4.191114836546522e-05
abgelenkt,4.191114836546522e-05
wäre,0.000586756077116513
fluch,0.00020955574182732607
wesentlich,4.191114836546522e-05
stärker,8.382229673093043e-05
ausgefallen,4.191114836546522e-05
anscheinend,0.00012573344509639564
beobachtet,8.382229673093043e-05
twin,4.191114836546522e-05
entgangen,8.382229673093043e-05
grad,4.191114836546522e-05
irritiert,4.191114836546522e-05
anblinzelte,4.191114836546522e-05
ähnlich,8.382229673093043e-05
wobei,8.382229673093043e-05
umsichtig,4.191114836546522e-05
stab,4.191114836546522e-05
hä,4.191114836546522e-05
wollten,0.00012573344509639564
schlechtes,4.191114836546522e-05
gewissen,8.382229673093043e-05
witzig,8.382229673093043e-05
sofort,0.00046102263202011734
abgefangen,4.191114836546522e-05
ecke,0.00020955574182732607
zeit,0.0008382229673093043
nämlich,4.191114836546522e-05
erhalten,8.382229673093043e-05
zeitung,4.191114836546522e-05
wisst,4.191114836546522e-05
schrott,4.191114836546522e-05
schreibt,4.191114836546522e-05
offenbarte,4.191114836546522e-05
ging,0.000586756077116513
fast,0.0006705783738474435
