term,relative_frequency
loyalen,7.398091292446548e-05
getreuen,7.398091292446548e-05
inneren,7.398091292446548e-05
zirkels,7.398091292446548e-05
zutritt,7.398091292446548e-05
dark,7.398091292446548e-05
mark,7.398091292446548e-05
gekoppelt,7.398091292446548e-05
her,0.00029592365169786193
konnten,7.398091292446548e-05
drei,0.0006658282163201894
lestranges,0.00044388547754679295
innere,7.398091292446548e-05
kreis,0.00014796182584893096
besteht,7.398091292446548e-05
wenigkeit,7.398091292446548e-05
wenig,0.0005178663904712584
sagen,0.00029592365169786193
gar,0.00029592365169786193
gesprochen,0.00014796182584893096
wussten,7.398091292446548e-05
besorgen,7.398091292446548e-05
endlich,0.0005178663904712584
entlassen,7.398091292446548e-05
erstürmten,7.398091292446548e-05
erwartet,0.00014796182584893096
zwei,0.00044388547754679295
dunklen,0.0005178663904712584
gesellen,7.398091292446548e-05
rückzugsort,7.398091292446548e-05
zeigten,0.00014796182584893096
erregt,0.00014796182584893096
beruhigt,7.398091292446548e-05
gelaufen,0.00014796182584893096
belustigten,7.398091292446548e-05
gedanken,0.00036990456462232746
thrones,7.398091292446548e-05
betreffend,7.398091292446548e-05
bekam,0.00036990456462232746
geschimpft,7.398091292446548e-05
ja,0.0009617518680180514
recht,0.00044388547754679295
obwohl,0.00014796182584893096
sagte,0.0036250647332988087
glaubte,7.398091292446548e-05
belustigt,7.398091292446548e-05
gestraft,7.398091292446548e-05
humane,7.398091292446548e-05
art,0.00029592365169786193
ließ,0.0009617518680180514
sowohl,0.00014796182584893096
augenbraue,0.00022194273877339647
heben,7.398091292446548e-05
beide,0.00044388547754679295
erstaunen,0.00014796182584893096
lord,0.00044388547754679295
durchschaut,7.398091292446548e-05
warf,0.0007398091292446549
unterschätzt,7.398091292446548e-05
vorgeführt,7.398091292446548e-05
folge,7.398091292446548e-05
strikt,7.398091292446548e-05
treib,7.398091292446548e-05
weit,7.398091292446548e-05
reizt,0.00014796182584893096
maßlos,7.398091292446548e-05
wen,7.398091292446548e-05
biest,7.398091292446548e-05
aufs,7.398091292446548e-05
blut,0.00044388547754679295
trat,0.0005918473033957239
wahren,0.00014796182584893096
worten,0.00014796182584893096
schritt,0.0005178663904712584
zurück,0.0018495228231116372
schon,0.0011097136938669823
türen,7.398091292446548e-05
öffneten,0.00014796182584893096
knurriger,7.398091292446548e-05
stufen,0.00022194273877339647
eingangsportals,7.398091292446548e-05
erklomm,7.398091292446548e-05
böse,0.00022194273877339647
gegend,7.398091292446548e-05
spät,7.398091292446548e-05
freuen,7.398091292446548e-05
überhaupt,0.00014796182584893096
erscheinen,0.00014796182584893096
begrüßung,7.398091292446548e-05
herren,7.398091292446548e-05
beiden,0.0008137900421691204
griesgramen,7.398091292446548e-05
zog,0.0008137900421691204
betont,0.00014796182584893096
langsam,0.00022194273877339647
kapuze,7.398091292446548e-05
straff,7.398091292446548e-05
gebundenen,7.398091292446548e-05
haare,0.00014796182584893096
zückte,7.398091292446548e-05
maske,0.00029592365169786193
verborgen,7.398091292446548e-05
mantel,7.398091292446548e-05
getragen,7.398091292446548e-05
sah,0.0012576755197159133
auffordernd,7.398091292446548e-05
manor,7.398091292446548e-05
geschafft,0.00022194273877339647
kurz,0.0008877709550935859
rasche,7.398091292446548e-05
verbeugung,7.398091292446548e-05
andeutete,7.398091292446548e-05
problem,0.00022194273877339647
daher,7.398091292446548e-05
brachen,7.398091292446548e-05
viele,0.00022194273877339647
lautes,0.00014796182584893096
johlendes,7.398091292446548e-05
übermütiges,7.398091292446548e-05
rufen,0.00014796182584893096
ministerium,0.00022194273877339647
lachten,0.00036990456462232746
spott,7.398091292446548e-05
bescheuerten,7.398091292446548e-05
auroren,0.00014796182584893096
minister,7.398091292446548e-05
ausließen,7.398091292446548e-05
schüttelte,0.00044388547754679295
stöhnend,7.398091292446548e-05
blödheit,7.398091292446548e-05
blindheit,7.398091292446548e-05
zuständigen,7.398091292446548e-05
schien,0.0011836946067914477
gespräch,0.00022194273877339647
versank,7.398091292446548e-05
aufmerksam,0.00022194273877339647
bemerkte,0.0007398091292446549
vielen,0.00014796182584893096
abzweigungen,7.398091292446548e-05
dachte,0.00036990456462232746
warum,0.0005918473033957239
kam,0.0007398091292446549
abwertend,7.398091292446548e-05
lippen,0.0006658282163201894
biss,7.398091292446548e-05
ruhig,0.00014796182584893096
blieb,0.0006658282163201894
bisher,7.398091292446548e-05
miesepetrig,7.398091292446548e-05
drauf,7.398091292446548e-05
immer,0.0011836946067914477
wären,0.00022194273877339647
kommt,0.00022194273877339647
aufbruch,7.398091292446548e-05
crosby,7.398091292446548e-05
mann,0.00036990456462232746
getötet,7.398091292446548e-05
körper,0.00022194273877339647
gerade,0.0006658282163201894
leblos,7.398091292446548e-05
boden,0.00036990456462232746
sackte,7.398091292446548e-05
hörte,0.0005178663904712584
spruch,7.398091292446548e-05
schulbuch,7.398091292446548e-05
entdeckt,0.00014796182584893096
brüllte,0.00014796182584893096
zischte,0.00044388547754679295
bösartige,7.398091292446548e-05
stimme,0.0007398091292446549
gehören,7.398091292446548e-05
zuckte,0.00029592365169786193
höhe,0.00014796182584893096
bevor,0.0007398091292446549
zuwenden,7.398091292446548e-05
erhob,0.00014796182584893096
brüsk,7.398091292446548e-05
beachten,7.398091292446548e-05
augenwinkeln,7.398091292446548e-05
wohl,0.0005918473033957239
erlauchte,7.398091292446548e-05
gruppe,0.00036990456462232746
aufmerksamkeit,0.00014796182584893096
personen,0.00014796182584893096
auffällig,7.398091292446548e-05
erkannte,0.00036990456462232746
glühend,7.398091292446548e-05
beobachtenden,7.398091292446548e-05
blicke,7.398091292446548e-05
schatten,0.00014796182584893096
dahinglitten,7.398091292446548e-05
versteckt,7.398091292446548e-05
auge,0.00014796182584893096
konnte,0.0019974846489605683
co,7.398091292446548e-05
ausfindig,7.398091292446548e-05
betrachteten,7.398091292446548e-05
männer,7.398091292446548e-05
dachten,7.398091292446548e-05
blöde,7.398091292446548e-05
anmachen,7.398091292446548e-05
drückte,0.00014796182584893096
SCABIOR,7.398091292446548e-05
gelassen,7.398091292446548e-05
glas,0.00029592365169786193
hand,0.0011836946067914477
misstrauisch,7.398091292446548e-05
schnupperte,7.398091292446548e-05
amüsiert,0.00014796182584893096
kenntnis,0.00014796182584893096
nahm,0.0005918473033957239
blickte,0.00022194273877339647
augen,0.0016275800843382408
schelmisch,7.398091292446548e-05
verschlagen,7.398091292446548e-05
entgegen,0.00036990456462232746
strahlten,7.398091292446548e-05
sicht,0.00014796182584893096
endehermiones,7.398091292446548e-05
sichtich,7.398091292446548e-05
schnell,0.00044388547754679295
ballsaal,7.398091292446548e-05
stimmung,0.00014796182584893096
gelockert,7.398091292446548e-05
sprach,0.00036990456462232746
kümmerten,7.398091292446548e-05
greengrass,7.398091292446548e-05
gegangen,0.00014796182584893096
arme,0.00014796182584893096
wobei,0.0005178663904712584
hoffte,0.00014796182584893096
chance,0.00014796182584893096
ableben,7.398091292446548e-05
gattin,7.398091292446548e-05
bot,0.00022194273877339647
ergriff,0.00014796182584893096
hirn,0.00014796182584893096
höhle,7.398091292446548e-05
erreichten,7.398091292446548e-05
fanden,7.398091292446548e-05
gut,0.0007398091292446549
gefüllten,7.398091292446548e-05
raum,0.0006658282163201894
zeremonie,7.398091292446548e-05
