term,relative_frequency
konnte,0.0013054830287206266
blutstatus,0.00013054830287206266
sagen,0.0006527415143603133
tippe,0.00013054830287206266
reinblütig,0.00013054830287206266
körperlich,0.00013054830287206266
fand,0.0002610966057441253
schon,0.000783289817232376
mal,0.0006527415143603133
anziehend,0.00013054830287206266
persönlichkeit,0.00013054830287206266
erinnerte,0.00013054830287206266
erzählung,0.00013054830287206266
onkel,0.0005221932114882506
tante,0.0002610966057441253
monat,0.00013054830287206266
scheinbar,0.00013054830287206266
hölle,0.0002610966057441253
heiß,0.00013054830287206266
gemacht,0.0005221932114882506
bereits,0.000783289817232376
spät,0.00013054830287206266
stand,0.0006527415143603133
ruckartig,0.00013054830287206266
verließ,0.000391644908616188
fluchtartig,0.00013054830287206266
schwarzhaarige,0.00013054830287206266
sah,0.002349869451697128
murmelte,0.0002610966057441253
gut,0.0018276762402088772
wenig,0.0005221932114882506
begeistert,0.00013054830287206266
ging,0.001174934725848564
abraxas,0.00013054830287206266
gänge,0.00013054830287206266
ministeriums,0.00013054830287206266
gar,0.00013054830287206266
ausmalen,0.00013054830287206266
geben,0.0005221932114882506
beobachtete,0.0006527415143603133
unruhig,0.00013054830287206266
schlaf,0.0002610966057441253
her,0.000391644908616188
warf,0.000391644908616188
fragte,0.005091383812010444
sicher,0.0010443864229765013
ganze,0.00013054830287206266
wahrheit,0.00013054830287206266
kannte,0.0002610966057441253
sehen,0.0006527415143603133
tränke,0.00013054830287206266
benutzt,0.00013054830287206266
schulter,0.00013054830287206266
sehend,0.00013054830287206266
maske,0.00013054830287206266
schwankte,0.00013054830287206266
sorge,0.0002610966057441253
beunruhigung,0.00013054830287206266
übernahm,0.0002610966057441253
sohn,0.0010443864229765013
sagte,0.016840731070496082
einfach,0.000783289817232376
pläne,0.000391644908616188
kommen,0.0005221932114882506
lassen,0.0013054830287206266
gesicht,0.0005221932114882506
verzog,0.00013054830287206266
ekel,0.0002610966057441253
gedacht,0.000783289817232376
zumindest,0.00013054830287206266
wäre,0.0009138381201044386
immun,0.00013054830287206266
gegenüber,0.000391644908616188
verehrung,0.00013054830287206266
wütend,0.000391644908616188
magische,0.00013054830287206266
welt,0.00013054830287206266
nein,0.0009138381201044386
hätte,0.0006527415143603133
kind,0.000783289817232376
getan,0.0006527415143603133
ort,0.000391644908616188
stelle,0.00013054830287206266
entscheidend,0.00013054830287206266
wissen,0.001174934725848564
wer,0.0002610966057441253
steckte,0.00013054830287206266
gedanken,0.000783289817232376
großteil,0.000391644908616188
abendessens,0.00013054830287206266
wartete,0.0002610966057441253
neugierig,0.0006527415143603133
drauf,0.00013054830287206266
sprach,0.000391644908616188
ließ,0.000783289817232376
grinsen,0.0002610966057441253
jedoch,0.000391644908616188
kam,0.0005221932114882506
zurück,0.001566579634464752
tagebüchern,0.00013054830287206266
leise,0.0006527415143603133
seufzend,0.0002610966057441253
verwirrung,0.0002610966057441253
augen,0.0016971279373368146
lesen,0.0002610966057441253
zuerst,0.0002610966057441253
musst,0.00013054830287206266
rausbekommen,0.00013054830287206266
tun,0.0010443864229765013
skandal,0.00013054830287206266
ministerium,0.0002610966057441253
verursachen,0.00013054830287206266
inkompetent,0.00013054830287206266
minister,0.00013054830287206266
magie,0.0009138381201044386
aussehen,0.00013054830287206266
hoffentlich,0.0002610966057441253
entlassen,0.00013054830287206266
lächelnd,0.000391644908616188
fühlte,0.0006527415143603133
freund,0.00013054830287206266
gähnte,0.00013054830287206266
esszimmer,0.00013054830287206266
bemerkend,0.00013054830287206266
geschichte,0.00013054830287206266
wiederholen,0.00013054830287206266
aufhalten,0.0002610966057441253
letzte,0.0002610966057441253
erde,0.00013054830287206266
tue,0.0002610966057441253
verengten,0.00013054830287206266
ausdruck,0.0002610966057441253
entschlossenheit,0.00013054830287206266
wanderte,0.0002610966057441253
weißt,0.000391644908616188
seltsam,0.0002610966057441253
sprechen,0.000391644908616188
jüngeres,0.0002610966057441253
raum,0.000391644908616188
nahm,0.0009138381201044386
ziemlich,0.0006527415143603133
seltsamen,0.00013054830287206266
umstände,0.00013054830287206266
art,0.000391644908616188
denk,0.0002610966057441253
zwei,0.000391644908616188
verschiedene,0.0002610966057441253
menschen,0.00013054830287206266
frage,0.000391644908616188
weniger,0.00013054830287206266
witz,0.00013054830287206266
bleiben,0.0002610966057441253
tut,0.0005221932114882506
katz,0.00013054830287206266
wegen,0.0005221932114882506
kopf,0.000783289817232376
askaban,0.00013054830287206266
erwachsen,0.00013054830287206266
stellte,0.0002610966057441253
liebe,0.0002610966057441253
grad,0.0002610966057441253
leid,0.000391644908616188
kaum,0.0002610966057441253
schuld,0.00013054830287206266
grinsend,0.00013054830287206266
technisch,0.00013054830287206266
falsch,0.00013054830287206266
richtig,0.0002610966057441253
passiert,0.000391644908616188
verpasste,0.00013054830287206266
fortapparierend,0.00013054830287206266
lachte,0.0005221932114882506
fast,0.000391644908616188
verblüfften,0.00013054830287206266
gerne,0.000391644908616188
jemanden,0.0002610966057441253
adoptionsagentur,0.00013054830287206266
bitte,0.0009138381201044386
sage,0.00013054830287206266
stimme,0.0006527415143603133
besuchereingang,0.00013054830287206266
verängstigt,0.00013054830287206266
erinnern,0.00013054830287206266
wann,0.00013054830287206266
begonnen,0.00013054830287206266
schlagen,0.00013054830287206266
gute,0.000783289817232376
sache,0.000391644908616188
mann,0.0006527415143603133
besonders,0.00013054830287206266
helle,0.00013054830287206266
ja,0.0014360313315926892
sanft,0.0005221932114882506
jüngeren,0.0002610966057441253
dachte,0.000783289817232376
wüsste,0.00013054830287206266
erst,0.0002610966057441253
begann,0.0005221932114882506
dafür,0.0002610966057441253
sorgen,0.000391644908616188
mehr,0.0010443864229765013
glaubt,0.00013054830287206266
beginnt,0.00013054830287206266
freak,0.00013054830287206266
wirklich,0.001174934725848564
aufhört,0.00013054830287206266
glauben,0.00013054830287206266
hören,0.0005221932114882506
verstehe,0.00013054830287206266
warum,0.0006527415143603133
mungo,0.00013054830287206266
raus,0.0002610966057441253
gehe,0.000391644908616188
bett,0.0002610966057441253
bleib,0.00013054830287206266
lange,0.000391644908616188
wach,0.00013054830287206266
nacht,0.0002610966057441253
nachzudenken,0.00013054830287206266
küsste,0.0005221932114882506
ähm,0.00013054830287206266
gehend,0.00013054830287206266
zurückpoppte,0.00013054830287206266
erwartet,0.00013054830287206266
dorthin,0.00013054830287206266
gehen,0.0009138381201044386
erschöpften,0.00013054830287206266
erzähl,0.00013054830287206266
person,0.0002610966057441253
zaubertränke,0.0002610966057441253
machst,0.00013054830287206266
schlafen,0.00013054830287206266
angeboten,0.00013054830287206266
trotz,0.00013054830287206266
menge,0.0002610966057441253
viele,0.00013054830287206266
na,0.00013054830287206266
nimmst,0.00013054830287206266
dusche,0.00013054830287206266
entspannst,0.00013054830287206266
portion,0.00013054830287206266
merklich,0.00013054830287206266
kleiner,0.0005221932114882506
erwachsenen,0.00013054830287206266
gerade,0.0006527415143603133
dad,0.0005221932114882506
genannt,0.00013054830287206266
geschockt,0.0002610966057441253
ah,0.0005221932114882506
zusammenzuckend,0.00013054830287206266
vielleicht,0.000783289817232376
chance,0.000391644908616188
