term,relative_frequency
veranlassen,5.551237926057511e-05
tun,0.00033307427556345063
liegt,0.00016653713778172531
scheint,5.551237926057511e-05
fluch,5.551237926057511e-05
posten,0.00011102475852115021
se,5.551237926057511e-05
warfen,5.551237926057511e-05
sofort,0.0007771733096480515
hektische,5.551237926057511e-05
blicke,0.00011102475852115021
zuhörten,0.00011102475852115021
zeigten,5.551237926057511e-05
versprecher,5.551237926057511e-05
beachtet,5.551237926057511e-05
hätten,0.00022204951704230043
starrten,0.00011102475852115021
gebannt,5.551237926057511e-05
nie,0.00044409903408460086
gesehen,0.00011102475852115021
offene,5.551237926057511e-05
aussage,0.00022204951704230043
kam,0.0011657599644720772
irland,5.551237926057511e-05
überraschend,5.551237926057511e-05
keuchte,5.551237926057511e-05
tief,5.551237926057511e-05
schien,0.00044409903408460086
nahe,0.00011102475852115021
koller,5.551237926057511e-05
sachte,5.551237926057511e-05
verständnisvoll,5.551237926057511e-05
nickte,0.0006106361718663262
wobei,0.00022204951704230043
durchaus,0.0002775618963028755
komische,0.00011102475852115021
her,0.0002775618963028755
gingen,0.0002775618963028755
ja,0.000999222826690352
meute,5.551237926057511e-05
verstand,0.00016653713778172531
wirklich,0.0006661485511269013
inzwischen,0.00033307427556345063
verständigt,0.00011102475852115021
irgendwas,0.00011102475852115021
stimmt,0.00011102475852115021
geschickt,0.00016653713778172531
zusammen,0.0008326856889086267
bl,5.551237926057511e-05
aktiviert,5.551237926057511e-05
biss,5.551237926057511e-05
lippe,5.551237926057511e-05
aufziehende,5.551237926057511e-05
schaudern,5.551237926057511e-05
verstohlen,5.551237926057511e-05
blick,0.0012212723437326524
gruppe,0.00016653713778172531
deatheater,0.00011102475852115021
warf,0.00022204951704230043
erkannte,0.00011102475852115021
begeistert,0.00016653713778172531
wirkten,0.00011102475852115021
schutzsuchend,5.551237926057511e-05
instinkt,5.551237926057511e-05
folgend,5.551237926057511e-05
zusammendrängten,5.551237926057511e-05
schreiend,5.551237926057511e-05
erstaunliche,5.551237926057511e-05
viele,0.00022204951704230043
gar,0.00033307427556345063
lage,0.00016653713778172531
patroni,0.00016653713778172531
erzeugen,5.551237926057511e-05
effektiv,5.551237926057511e-05
wesen,0.00016653713778172531
unfassbar,5.551237926057511e-05
grausamen,5.551237926057511e-05
macht,0.00022204951704230043
jemandem,5.551237926057511e-05
glück,0.00022204951704230043
entziehen,5.551237926057511e-05
schützen,0.00011102475852115021
konnten,0.00016653713778172531
brauchten,5.551237926057511e-05
menschen,0.00016653713778172531
plastisch,0.00011102475852115021
kräftig,0.00011102475852115021
beispiel,0.00022204951704230043
schülern,0.0002775618963028755
wenigstens,5.551237926057511e-05
immer,0.0013322971022538025
beschwören,5.551237926057511e-05
genügend,5.551237926057511e-05
positive,0.00011102475852115021
gedanken,0.0006661485511269013
finden,0.00022204951704230043
wenngleich,5.551237926057511e-05
lethargischer,5.551237926057511e-05
ließen,5.551237926057511e-05
entzogen,5.551237926057511e-05
ganzes,5.551237926057511e-05
dafür,0.00016653713778172531
meisten,0.00022204951704230043
verdorben,5.551237926057511e-05
passieren,5.551237926057511e-05
hufflepuff,0.00011102475852115021
niemand,0.00033307427556345063
ravenclaw,0.00038858665482402574
slytherin,0.0002775618963028755
haltet,5.551237926057511e-05
fest,0.00022204951704230043
glücklich,0.00016653713778172531
bestimmte,0.00022204951704230043
aufgabe,0.00011102475852115021
city,5.551237926057511e-05
stadthermine,5.551237926057511e-05
geht,0.0006661485511269013
ersten,0.0002775618963028755
mal,0.0011657599644720772
london,0.00011102475852115021
theater,5.551237926057511e-05
waiting,5.551237926057511e-05
wartenmerope,5.551237926057511e-05
neuen,0.00016653713778172531
lebenssinn,5.551237926057511e-05
gefunden,0.00022204951704230043
wild,5.551237926057511e-05
entschlossenbarty,5.551237926057511e-05
crouch,0.00011102475852115021
meister,0.00011102475852115021
endlich,0.00038858665482402574
dienen,5.551237926057511e-05
sacrifice,5.551237926057511e-05
opfernarzissa,5.551237926057511e-05
eigenen,0.00016653713778172531
beweggründe,5.551237926057511e-05
bittersweet,5.551237926057511e-05
bittersüßein,5.551237926057511e-05
kompliziertes,5.551237926057511e-05
innenleben,5.551237926057511e-05
suffocate,5.551237926057511e-05
erstickenremus,5.551237926057511e-05
eigenwillige,5.551237926057511e-05
probleme,0.00016653713778172531
rejection,5.551237926057511e-05
ablehnungsibyll,5.551237926057511e-05
wartet,0.00022204951704230043
ungeduldig,0.00011102475852115021
ankunft,0.00011102475852115021
fairy,5.551237926057511e-05
tale,5.551237926057511e-05
märchenzwei,5.551237926057511e-05
einzelkinder,5.551237926057511e-05
erleben,0.00022204951704230043
tag,0.0008326856889086267
djinn,5.551237926057511e-05
djinngilderoy,5.551237926057511e-05
bekommt,5.551237926057511e-05
besuch,0.00022204951704230043
verführerischein,5.551237926057511e-05
amputation,5.551237926057511e-05
abtrennungvoldemorts,5.551237926057511e-05
treuer,5.551237926057511e-05
diener,5.551237926057511e-05
trennt,5.551237926057511e-05
sogar,0.00038858665482402574
körperteile,5.551237926057511e-05
contort,5.551237926057511e-05
verzerreneine,5.551237926057511e-05
idee,0.00016653713778172531
mutter,0.00016653713778172531
gestorben,5.551237926057511e-05
suicide,5.551237926057511e-05
selbstmordabraxas,5.551237926057511e-05
guter,0.00011102475852115021
laune,0.00011102475852115021
security,5.551237926057511e-05
blanket,5.551237926057511e-05
schmusedeckeneville,5.551237926057511e-05
einschlafen,5.551237926057511e-05
bully,5.551237926057511e-05
tyrannseverus,5.551237926057511e-05
opfer,5.551237926057511e-05
täter,5.551237926057511e-05
annoyance,5.551237926057511e-05
belästigung,5.551237926057511e-05
verdruss,5.551237926057511e-05
müssen,0.00022204951704230043
nachsitzen,0.00011102475852115021
wanton,5.551237926057511e-05
lüstern,5.551237926057511e-05
laszivlucius,5.551237926057511e-05
erstes,0.00011102475852115021
date,5.551237926057511e-05
obsession,5.551237926057511e-05
besessenheitim,5.551237926057511e-05
sommer,5.551237926057511e-05
viertem,5.551237926057511e-05
schuljahr,0.0002775618963028755
begegnen,0.00011102475852115021
einander,0.00011102475852115021
zwei,0.00038858665482402574
alte,0.00011102475852115021
konkurrenten,5.551237926057511e-05
pawn,5.551237926057511e-05
pfand,5.551237926057511e-05
bauer,5.551237926057511e-05
schachbarty,5.551237926057511e-05
erwartet,0.00022204951704230043
schicksal,0.00011102475852115021
i,0.00016653713778172531
ca,5.551237926057511e-05
nichtnach,5.551237926057511e-05
tod,0.00011102475852115021
double,5.551237926057511e-05
demented,5.551237926057511e-05
dementmolly,5.551237926057511e-05
weasley,0.000999222826690352
rund,0.00011102475852115021
fünfundzwanzig,5.551237926057511e-05
jahren,0.0002775618963028755
mirror,5.551237926057511e-05
spiegel,5.551237926057511e-05
kleine,0.00044409903408460086
szene,5.551237926057511e-05
rumtreibern,5.551237926057511e-05
broken,5.551237926057511e-05
pieces,5.551237926057511e-05
zerbrochene,5.551237926057511e-05
stückecedric,5.551237926057511e-05
steht,0.00033307427556345063
trümmern,5.551237926057511e-05
ehe,5.551237926057511e-05
test,5.551237926057511e-05
testein,5.551237926057511e-05
wichtiger,0.00011102475852115021
leben,0.00038858665482402574
the,5.551237926057511e-05
fool,5.551237926057511e-05
idioteine,5.551237926057511e-05
seltsame,5.551237926057511e-05
begegnung,5.551237926057511e-05
bar,5.551237926057511e-05
disease,5.551237926057511e-05
krankheitremus,5.551237926057511e-05
findet,0.00011102475852115021
hilfe,0.00022204951704230043
words,5.551237926057511e-05
wortecedric,5.551237926057511e-05
