term,relative_frequency
höchstwahrscheinlich,5.7165723432230034e-05
stimmt,0.00022866289372892014
sogar,0.0003429943405933802
beiden,0.0008574858514834505
erzählt,0.00045732578745784027
deutet,5.7165723432230034e-05
darauf,0.0003429943405933802
beschrieben,0.0001714971702966901
geschwärmt,5.7165723432230034e-05
gerne,0.0003429943405933802
slugclub,5.7165723432230034e-05
mal,0.0012576459155090609
ehrlich,0.00022866289372892014
wer,0.00045732578745784027
normal,0.00011433144686446007
schüler,0.00022866289372892014
abgelehnt,0.0001714971702966901
verschnupft,5.7165723432230034e-05
kundgetan,5.7165723432230034e-05
sei,0.00040016006402561027
gespannt,5.7165723432230034e-05
gothicic,5.7165723432230034e-05
pa,5.7165723432230034e-05
einmischen,5.7165723432230034e-05
suche,5.7165723432230034e-05
trotz,0.00011433144686446007
sache,5.7165723432230034e-05
orden,0.00011433144686446007
weitergeben,5.7165723432230034e-05
liefen,5.7165723432230034e-05
ligusterweg,0.0001714971702966901
richtung,0.0001714971702966901
nummer,0.0001714971702966901
gehofft,0.0001714971702966901
niemals,0.0001714971702966901
her,0.0003429943405933802
rechnung,5.7165723432230034e-05
mutter,0.0009718172983479105
tür,0.0009146515749156805
angekommen,0.0001714971702966901
hörten,0.00011433144686446007
schrille,5.7165723432230034e-05
lachen,0.00022866289372892014
tante,0.0021722974904247413
gute,0.00011433144686446007
arbeit,5.7165723432230034e-05
geleistet,5.7165723432230034e-05
erinnerung,0.00028582861716115016
entführung,5.7165723432230034e-05
genommen,0.00011433144686446007
ach,0.0001714971702966901
ja,0.0009718172983479105
jemand,0.00022866289372892014
gefragt,0.0001714971702966901
warum,0.0005716572343223003
dursleys,0.0006288229577545304
einstellung,0.00011433144686446007
gegenüber,0.0003429943405933802
verändert,0.0001714971702966901
immer,0.0024581261075858913
schon,0.001714971702966901
zumindest,0.00028582861716115016
schwer,0.00022866289372892014
vorstellbar,5.7165723432230034e-05
zauberern,0.00011433144686446007
ändert,5.7165723432230034e-05
kind,0.00045732578745784027
mitbekommen,5.7165723432230034e-05
teil,0.00022866289372892014
verursacht,0.00011433144686446007
genauso,0.00022866289372892014
vielleicht,0.0001714971702966901
eltern,0.0014863088092379809
erklärt,5.7165723432230034e-05
wahr,0.00022866289372892014
möglicherweise,0.00011433144686446007
mehr,0.001714971702966901
beachtung,5.7165723432230034e-05
geschenkt,5.7165723432230034e-05
dahin,0.00011433144686446007
unzertrennlich,0.0001714971702966901
gelernt,0.0001714971702966901
hexe,0.00040016006402561027
na,5.7165723432230034e-05
gut,0.0011433144686446006
einfach,0.00045732578745784027
mehrere,0.00022866289372892014
gründe,5.7165723432230034e-05
schön,0.00022866289372892014
geworden,0.0003429943405933802
dachte,0.0008574858514834505
flüchtig,5.7165723432230034e-05
wilden,5.7165723432230034e-05
beschimpfungen,5.7165723432230034e-05
stelle,0.0001714971702966901
vertrieb,5.7165723432230034e-05
jedenfalls,0.00011433144686446007
brauche,0.0001714971702966901
hilfe,5.7165723432230034e-05
