term,relative_frequency
verspricht,9.33179669747715e-06
davon,0.0005925690902897989
image,4.665898348738575e-06
aufzubauen,1.3997695046215723e-05
fassade,9.33179669747715e-06
bisher,9.798386532351006e-05
nie,0.0006158985820334919
nötig,5.599078018486289e-05
VOLDEMORT,0.026492970824137624
genauso,0.0002472926124831444
antwort,0.00015864054385711154
warf,0.00023329491743692872
verächtlich,2.7995390092431446e-05
kalt,7.932027192855577e-05
irgendwie,0.00022396312073945157
spottend,4.665898348738575e-06
konnte,0.0018290321527055212
ernst,0.00016330644220585011
arch,4.665898348738575e-06
sieh,3.73271867899086e-05
wert,4.665898348738574e-05
letzten,0.0003172810877142231
jahr,0.00022396312073945157
geheim,3.73271867899086e-05
gehaltene,4.665898348738575e-06
neuigkeiten,5.599078018486289e-05
heran,6.998847523107862e-05
kam,0.0006765552605670933
beeindruckt,4.665898348738575e-06
angeboten,2.332949174369287e-05
karriere,4.665898348738575e-06
ministerium,0.0002379608157856673
unterstützen,2.7995390092431446e-05
äußerst,5.132488183612432e-05
schwer,0.00019596773064702012
halten,0.00017730413725206581
dafür,0.0004992511233150275
merkt,2.7995390092431446e-05
schnell,0.0004199308513864717
guter,6.998847523107862e-05
spion,0.0003452764778066545
ja,0.0010404953317687021
wusste,0.0011338132987434735
spionierte,1.3997695046215723e-05
beide,0.00027528800257557587
seiten,9.798386532351006e-05
bewusst,0.00013531105211341866
unwahrscheinlich,1.86635933949543e-05
verborgen,2.7995390092431446e-05
blieb,0.0002706221042268373
annahme,1.86635933949543e-05
zwei,0.00035927417285287023
anführern,4.665898348738575e-06
klar,0.00027528800257557587
seite,0.0005785713952435833
stand,0.0005785713952435833
nämlich,3.73271867899086e-05
eigenen,0.0001819700356008044
mann,0.000471255733222596
schule,0.0002006336289957587
hilfst,4.665898348738575e-06
schulakte,4.665898348738575e-06
lesen,0.00010264976367224863
kleinigkeit,1.3997695046215723e-05
gemacht,0.0003032833926680073
kennen,8.865206862603291e-05
brauchen,7.932027192855577e-05
liste,3.73271867899086e-05
muggel,0.00015397464550837296
geborenen,4.665898348738575e-06
schülern,9.798386532351006e-05
elternteil,9.33179669747715e-06
tätschelte,1.3997695046215723e-05
rücken,0.00019130183229828154
sagte,0.001633064422058501
weinen,9.33179669747715e-06
lieb,3.266128844117002e-05
seid,8.398617027729435e-05
familie,0.0002939515959705302
mal,0.0013764400128778794
besiegen,8.865206862603291e-05
weinte,1.86635933949543e-05
mehr,0.0014977533699450823
jemand,0.0001446428488108958
bemerkt,6.065667853360147e-05
ersinnung,4.665898348738575e-06
abgetaucht,9.33179669747715e-06
schaute,0.000219297222390713
vielleicht,0.0004992511233150275
helfen,0.00013064515376468009
schließlich,0.0003499423761553931
fragte,0.0006392280737771847
sah,0.0016283985237097625
beunruhigt,4.665898348738575e-06
gerade,0.000569239598546106
großen,0.0002939515959705302
schluck,4.199308513864717e-05
tees,4.665898348738575e-06
wochen,0.00015397464550837296
rief,0.00020996542569323584
gab,0.0006345621754284462
großes,6.998847523107862e-05
treffen,0.000284619799273053
dunkle,0.00022396312073945157
tobsuchtsanfälle,4.665898348738575e-06
geht,0.0002892856976217916
genug,0.0002799539009243145
plant,2.332949174369287e-05
winkelgasse,1.3997695046215723e-05
anzugreifen,3.266128844117002e-05
sagen,0.0004012672579915174
warum,0.000503917021663766
friedhof,1.86635933949543e-05
passiert,0.0002006336289957587
reichlich,1.86635933949543e-05
schlaf,4.665898348738574e-05
raubt,9.33179669747715e-06
begeistert,5.132488183612432e-05
nahm,0.00037793776624782453
verlost,9.33179669747715e-06
wurde,0.001315783334344278
geboren,3.73271867899086e-05
sohn,0.0004012672579915174
maureen,9.33179669747715e-06
nickte,0.0005505760051511517
glaubst,4.665898348738574e-05
lebt,4.665898348738574e-05
little,2.7995390092431446e-05
hangleton,2.7995390092431446e-05
tagebücher,9.33179669747715e-06
mutter,0.0002659562058780987
großmutter,2.332949174369287e-05
schwester,7.46543735798172e-05
gegeben,0.00019596773064702012
verraten,0.00017263823890332724
abend,0.00019130183229828154
haus,0.0002706221042268373
sei,0.00020996542569323584
verwandten,1.86635933949543e-05
entführen,4.665898348738575e-06
lassen,0.00045259213982764174
natürlich,0.000438594444781426
kenne,1.86635933949543e-05
geschichte,0.00021463132404197442
tante,2.7995390092431446e-05
heimlich,3.266128844117002e-05
