term,relative_frequency
ging,0.000601368112455837
lange,0.00037585507028489815
diskussion,0.00015034202811395924
ausschweifende,7.517101405697962e-05
erklärung,7.517101405697962e-05
warum,0.0006765391265128167
passiert,0.00015034202811395924
garantiert,0.00015034202811395924
einlassen,7.517101405697962e-05
niemandem,7.517101405697962e-05
damen,7.517101405697962e-05
tisch,0.00045102608434187776
zwei,0.0003006840562279185
drei,0.00037585507028489815
frauen,0.00022551304217093888
namentlich,7.517101405697962e-05
kannte,0.0003006840562279185
männer,7.517101405697962e-05
darunter,0.00015034202811395924
zogen,7.517101405697962e-05
empört,7.517101405697962e-05
luft,0.0003006840562279185
holten,7.517101405697962e-05
zischend,7.517101405697962e-05
ausquetschen,7.517101405697962e-05
wär,7.517101405697962e-05
gegangen,0.00022551304217093888
getrödelt,7.517101405697962e-05
hätten,0.00015034202811395924
kam,0.0009020521686837555
gruppe,0.00022551304217093888
bestehend,7.517101405697962e-05
weasleys,0.000601368112455837
aufbrechen,7.517101405697962e-05
leider,0.00015034202811395924
müssen,0.00022551304217093888
mal,0.0015785912951965721
fuß,7.517101405697962e-05
gehen,0.000601368112455837
ministerium,0.0006765391265128167
gut,0.000601368112455837
sprechen,0.00022551304217093888
fahrzeuge,7.517101405697962e-05
verfügung,7.517101405697962e-05
stellt,7.517101405697962e-05
kings,7.517101405697962e-05
cross,0.00015034202811395924
weit,7.517101405697962e-05
erklärte,0.00037585507028489815
mrs,0.00037585507028489815
funktioniert,7.517101405697962e-05
versagt,7.517101405697962e-05
siehe,7.517101405697962e-05
KRAETZE,7.517101405697962e-05
beziehungsweise,7.517101405697962e-05
gute,0.0003006840562279185
dienst,7.517101405697962e-05
leisten,7.517101405697962e-05
versprochen,0.00015034202811395924
zuerst,0.0003006840562279185
grimmauld,7.517101405697962e-05
place,7.517101405697962e-05
geplauscht,7.517101405697962e-05
nötig,0.00015034202811395924
alte,0.0003006840562279185
laufenden,7.517101405697962e-05
bleibt,7.517101405697962e-05
lieber,7.517101405697962e-05
quartier,7.517101405697962e-05
wenig,0.0009772231827407352
zimmer,0.00037585507028489815
umgesehen,7.517101405697962e-05
warf,0.0005261970983988574
bedeutungsvoll,7.517101405697962e-05
füße,7.517101405697962e-05
gingen,7.517101405697962e-05
informationen,0.0003006840562279185
fast,0.0006765391265128167
augen,0.0010523941967977147
wahhh,7.517101405697962e-05
fragte,0.0009020521686837555
kritisch,0.00015034202811395924
beäugte,7.517101405697962e-05
frage,0.00015034202811395924
kinksley,7.517101405697962e-05
rest,0.0003006840562279185
familie,0.00037585507028489815
natürlich,0.0005261970983988574
lust,0.00015034202811395924
helfen,0.0003006840562279185
na,0.00015034202811395924
ja,0.0008268811546267759
ganzen,0.00037585507028489815
stress,0.00015034202811395924
begannen,7.517101405697962e-05
erst,0.00022551304217093888
ausbildungenjames,7.517101405697962e-05
arbeiteten,7.517101405697962e-05
auroren,0.00045102608434187776
büro,0.00015034202811395924
kommt,0.00022551304217093888
rein,7.517101405697962e-05
uhr,0.00015034202811395924
kamen,0.0006765391265128167
hause,0.00022551304217093888
heimweg,7.517101405697962e-05
essen,0.0003006840562279185
ordenstreffen,7.517101405697962e-05
schließlich,0.00045102608434187776
caroline,0.00015034202811395924
sophie,0.00015034202811395924
richard,7.517101405697962e-05
ted,0.00037585507028489815
zwillingeharry,7.517101405697962e-05
froh,7.517101405697962e-05
viele,0.0006765391265128167
großeltern,7.517101405697962e-05
wurden,0.0005261970983988574
zwillinge,0.00022551304217093888
begrüßt,0.00015034202811395924
mutter,0.00045102608434187776
wurde,0.0011275652108546945
fing,7.517101405697962e-05
vielen,0.00015034202811395924
lieben,0.0003006840562279185
dank,0.00015034202811395924
gekommen,0.00045102608434187776
seit,0.0003006840562279185
möchte,7.517101405697962e-05
erfahren,0.00015034202811395924
