term,relative_frequency
ging,0.000876127516377611
lange,0.0006770076262917903
diskussion,9.955994504291034e-05
ausschweifende,1.991198900858207e-05
erklärung,9.955994504291034e-05
warum,0.0006570956372832082
passiert,0.00023894386810298482
garantiert,3.982397801716414e-05
einlassen,1.991198900858207e-05
niemandem,9.955994504291034e-05
damen,1.991198900858207e-05
tisch,0.0006770076262917903
zwei,0.00045797574719738757
drei,0.0003783277911630593
frauen,7.964795603432827e-05
namentlich,1.991198900858207e-05
kannte,0.00015929591206865655
männer,5.9735967025746205e-05
darunter,9.955994504291034e-05
zogen,1.991198900858207e-05
empört,7.964795603432827e-05
luft,0.00023894386810298482
holten,1.991198900858207e-05
zischend,1.991198900858207e-05
ausquetschen,1.991198900858207e-05
wär,5.9735967025746205e-05
gegangen,0.00011947193405149241
getrödelt,1.991198900858207e-05
hätten,0.00019911989008582068
kam,0.0008562155273690289
gruppe,9.955994504291034e-05
bestehend,1.991198900858207e-05
weasleys,0.0006172716592660441
aufbrechen,3.982397801716414e-05
leider,0.0002588558571115669
müssen,0.00023894386810298482
mal,0.001433663208617909
fuß,5.9735967025746205e-05
gehen,0.0006969196153003723
ministerium,0.0003185918241373131
gut,0.0008363035383604469
sprechen,0.00021903187909440275
fahrzeuge,1.991198900858207e-05
verfügung,1.991198900858207e-05
stellt,1.991198900858207e-05
kings,1.991198900858207e-05
cross,3.982397801716414e-05
weit,0.00011947193405149241
erklärte,0.00035841580215447723
mrs,0.00011947193405149241
bestritt,1.991198900858207e-05
mehr,0.001194719340514924
weniger,0.00011947193405149241
schwere,1.991198900858207e-05
gespräch,0.00021903187909440275
ja,0.0012345433185320881
hinterlassen,5.9735967025746205e-05
fragte,0.0012743672965492524
offenbar,9.955994504291034e-05
verhältnis,3.982397801716414e-05
eingeweiht,1.991198900858207e-05
schien,0.00033850381314589516
vorsichtig,3.982397801716414e-05
antwortete,0.0005376237032317158
sofort,0.00041815176918022344
stimmte,0.00011947193405149241
immer,0.0015730471316779833
