term,relative_frequency
fragte,0.0005136546528550637
kritisch,8.56091088091773e-05
beäugte,8.56091088091773e-05
frage,0.0001712182176183546
kinksley,8.56091088091773e-05
rest,0.0001712182176183546
familie,0.0003424364352367092
natürlich,0.0007704819792825957
lust,0.0001712182176183546
helfen,8.56091088091773e-05
caroline,0.0001712182176183546
unterhielten,0.0003424364352367092
angeregt,8.56091088091773e-05
sophie,0.0003424364352367092
richard,0.00025682732642753187
erzählten,0.0003424364352367092
all,0.0001712182176183546
jahren,8.56091088091773e-05
durchgemacht,8.56091088091773e-05
charly,8.56091088091773e-05
gespräch,8.56091088091773e-05
quiddich,8.56091088091773e-05
vertieft,8.56091088091773e-05
uhr,0.0001712182176183546
kamen,0.0008560910880917729
hause,0.0001712182176183546
heimweg,8.56091088091773e-05
essen,0.0005992637616642411
ordenstreffen,8.56091088091773e-05
schließlich,0.00025682732642753187
ted,0.0003424364352367092
zwillingeharry,8.56091088091773e-05
froh,0.0001712182176183546
viele,0.00025682732642753187
sah,0.0017121821761835459
geschockt,0.0001712182176183546
traute,8.56091088091773e-05
entgegen,0.0001712182176183546
stand,0.0008560910880917729
verließ,0.0001712182176183546
weiteres,0.0001712182176183546
wort,0.0001712182176183546
saal,8.56091088091773e-05
folgten,0.00025682732642753187
weitere,0.0003424364352367092
tribunal,0.0001712182176183546
schmälerte,8.56091088091773e-05
abgehakt,8.56091088091773e-05
anwesenden,8.56091088091773e-05
male,8.56091088091773e-05
untersucht,8.56091088091773e-05
wurden,0.0009417001969009503
mad,0.00042804554404588647
eye,0.00042804554404588647
gerufen,8.56091088091773e-05
angehörten,8.56091088091773e-05
später,0.0005992637616642411
sowie,0.0009417001969009503
dazukommen,8.56091088091773e-05
allerdings,0.00025682732642753187
schon,0.002568273264275319
mutterschutz,8.56091088091773e-05
erzählte,0.0001712182176183546
altes,8.56091088091773e-05
fliegendes,8.56091088091773e-05
motorrad,0.0006848728704734184
bekommen,0.0003424364352367092
reparieren,0.00025682732642753187
konnte,0.0011985275233284821
kurz,0.0005136546528550637
bevor,0.0005136546528550637
schultern,8.56091088091773e-05
dachte,0.0001712182176183546
vielleicht,0.0009417001969009503
hielt,0.00042804554404588647
inne,8.56091088091773e-05
erwiderte,0.0001712182176183546
moment,0.0006848728704734184
einfach,0.0005136546528550637
blick,0.0007704819792825957
kopf,0.00042804554404588647
nein,0.0005136546528550637
okay,0.0001712182176183546
lachte,8.56091088091773e-05
grimasse,8.56091088091773e-05
sicher,0.0005992637616642411
stimmte,0.0001712182176183546
abermals,8.56091088091773e-05
deutete,0.00025682732642753187
repariert,8.56091088091773e-05
schuppen,8.56091088091773e-05
weiß,0.0007704819792825957
vorerst,8.56091088091773e-05
erfahren,8.56091088091773e-05
helfe,8.56091088091773e-05
bisschen,0.0001712182176183546
zeit,0.0009417001969009503
finde,8.56091088091773e-05
eher,0.0003424364352367092
zusammengeschraubt,8.56091088091773e-05
schwebte,8.56091088091773e-05
zentimeter,0.0001712182176183546
rechten,8.56091088091773e-05
hand,0.0006848728704734184
schien,0.0003424364352367092
schraubenschlüssel,8.56091088091773e-05
halten,0.00025682732642753187
montieren,8.56091088091773e-05
befürchte,8.56091088091773e-05
gibt,8.56091088091773e-05
tun,0.0001712182176183546
herausfinden,8.56091088091773e-05
müssen,0.00025682732642753187
erklärte,0.0005992637616642411
kannst,0.0001712182176183546
ernsthaft,0.00025682732642753187
vorstellen,0.0001712182176183546
jemand,0.00042804554404588647
gewalttätiges,8.56091088091773e-05
gutheißt,8.56091088091773e-05
gewalttätig,8.56091088091773e-05
blutsport,8.56091088091773e-05
warf,0.00025682732642753187
finsteren,8.56091088091773e-05
beinahe,0.00025682732642753187
hätte,0.00042804554404588647
gesagt,0.0007704819792825957
