term,relative_frequency
uhr,0.0002539145154464664
kamen,0.000761743546339399
hause,0.00016927634363097757
heimweg,0.00016927634363097757
essen,8.463817181548878e-05
ordenstreffen,8.463817181548878e-05
schließlich,0.00042319085907744394
caroline,8.463817181548878e-05
sophie,8.463817181548878e-05
richard,8.463817181548878e-05
ted,0.0002539145154464664
zwillingeharry,8.463817181548878e-05
froh,8.463817181548878e-05
viele,0.00016927634363097757
große,0.0002539145154464664
mühe,8.463817181548878e-05
gegeben,8.463817181548878e-05
weasleykinder,8.463817181548878e-05
geschenke,0.0002539145154464664
finden,8.463817181548878e-05
vermutete,8.463817181548878e-05
jünger,0.0002539145154464664
peinlich,0.00016927634363097757
kindern,8.463817181548878e-05
gezählt,8.463817181548878e-05
schlanken,8.463817181548878e-05
schwertern,8.463817181548878e-05
erhielten,8.463817181548878e-05
angetan,8.463817181548878e-05
konnte,0.0021159542953872196
helfen,0.00033855268726195513
erneute,8.463817181548878e-05
aufmerksamkeit,8.463817181548878e-05
trotz,8.463817181548878e-05
sagen,0.0002539145154464664
sicherlich,0.0002539145154464664
mehr,0.002031316123571731
daraus,8.463817181548878e-05
späteren,8.463817181548878e-05
nacht,0.0002539145154464664
heiratsantrag,8.463817181548878e-05
erzählte,0.0005078290308929327
wildheit,8.463817181548878e-05
gesehen,8.463817181548878e-05
ergriff,8.463817181548878e-05
seltsames,8.463817181548878e-05
starkes,8.463817181548878e-05
furchtbares,8.463817181548878e-05
gefühl,0.00042319085907744394
gerechten,8.463817181548878e-05
zornes,8.463817181548878e-05
antun,8.463817181548878e-05
zugeben,8.463817181548878e-05
sache,0.0002539145154464664
einfach,0.0008463817181548879
kam,0.0010156580617858655
spielt,0.00016927634363097757
immer,0.0014388489208633094
teil,0.00016927634363097757
geschichte,0.00016927634363097757
schüchterne,8.463817181548878e-05
süße,8.463817181548878e-05
lächeln,0.0008463817181548879
versicherte,8.463817181548878e-05
zeit,0.0010156580617858655
dunkle,0.00016927634363097757
hungrige,8.463817181548878e-05
wolf,8.463817181548878e-05
tür,0.0002539145154464664
verschwinden,8.463817181548878e-05
durchfuhr,8.463817181548878e-05
erleichterung,0.0002539145154464664
berichtete,0.00016927634363097757
frei,8.463817181548878e-05
anforderungen,8.463817181548878e-05
conscriptus,8.463817181548878e-05
