term,relative_frequency
wusste,0.0011022320198401765
gar,0.00034444750620005513
passen,2.2963167080003675e-05
höchstwahrscheinlich,4.592633416000735e-05
sofort,0.0004363001745200698
wissen,0.00034444750620005513
mal,0.0009874161844401579
begabung,2.2963167080003675e-05
dafür,0.0004363001745200698
bestimmte,6.888950124001103e-05
mürrisch,2.2963167080003675e-05
blieb,0.00016074216956002573
ganz,0.0004592633416000735
ruhig,0.00016074216956002573
schon,0.0018140901993202903
immer,0.001837053366400294
beliebt,2.2963167080003675e-05
leicht,0.00022963167080003674
rot,0.00013777900248002206
sehen,0.00041333700744006614
fand,0.00011481583540001837
übertrieben,4.592633416000735e-05
schließlich,0.00041333700744006614
natürlich,0.00041333700744006614
hingehen,2.2963167080003675e-05
überwand,4.592633416000735e-05
groll,2.2963167080003675e-05
zorn,6.888950124001103e-05
ging,0.0006200055111600992
umgefallenen,2.2963167080003675e-05
stuhl,6.888950124001103e-05
herum,9.18526683200147e-05
nahm,0.00048222650868007716
sachte,2.2963167080003675e-05
hand,0.0006429686782401029
lass,0.00011481583540001837
wegen,0.00032148433912005146
streiten,9.18526683200147e-05
wert,4.592633416000735e-05
haare,9.18526683200147e-05
bekommen,0.0003674106732800588
hast,0.0005281528428400846
recht,0.0003903738403600625
letzten,0.00032148433912005146
tage,0.00011481583540001837
wohl,0.0003674106732800588
überempfindlich,2.2963167080003675e-05
gemacht,0.0004592633416000735
passten,2.2963167080003675e-05
hinsicht,6.888950124001103e-05
zusammen,0.0005740791770000919
unterschreibe,2.2963167080003675e-05
sogar,0.0002525948378800404
absolut,9.18526683200147e-05
lieb,2.2963167080003675e-05
unglaublich,4.592633416000735e-05
finde,9.18526683200147e-05
sagen,0.0005281528428400846
passt,4.592633416000735e-05
hervorragend,2.2963167080003675e-05
kannst,0.00020666850372003307
fast,0.00032148433912005146
schocken,2.2963167080003675e-05
musst,6.888950124001103e-05
anstrengen,2.2963167080003675e-05
hättest,6.888950124001103e-05
kürzester,2.2963167080003675e-05
zeit,0.0007577845136401213
grab,2.2963167080003675e-05
gehabt,0.00020666850372003307
lebensstil,2.2963167080003675e-05
arme,0.0002525948378800404
opfer,6.888950124001103e-05
genervte,2.2963167080003675e-05
wenigkeit,2.2963167080003675e-05
echt,6.888950124001103e-05
zermürbend,2.2963167080003675e-05
erzählte,0.00013777900248002206
schlussendlich,2.2963167080003675e-05
seelenruhe,2.2963167080003675e-05
erhalten,0.00011481583540001837
heute,0.00022963167080003674
dargestellt,2.2963167080003675e-05
zeigte,0.00013777900248002206
arrogantes,2.2963167080003675e-05
überhebliches,4.592633416000735e-05
antlitz,2.2963167080003675e-05
schweren,4.592633416000735e-05
herzens,2.2963167080003675e-05
einräumen,2.2963167080003675e-05
testament,6.888950124001103e-05
geschrieben,0.00020666850372003307
siehst,0.00011481583540001837
oh,0.0001837053366400294
mann,0.0005281528428400846
sah,0.0014007531918802242
erzfeind,2.2963167080003675e-05
verlassen,0.00011481583540001837
offenbarung,2.2963167080003675e-05
ersetzt,2.2963167080003675e-05
worden,0.00048222650868007716
überhaupt,6.888950124001103e-05
sprach,0.00020666850372003307
geht,0.00048222650868007716
konnte,0.0017911270322402866
hingab,2.2963167080003675e-05
freiwillig,6.888950124001103e-05
umständen,2.2963167080003675e-05
fasse,2.2963167080003675e-05
reicht,4.592633416000735e-05
nein,0.00032148433912005146
schmierigen,4.592633416000735e-05
fledermaus,2.2963167080003675e-05
kroch,2.2963167080003675e-05
spät,2.2963167080003675e-05
nachts,2.2963167080003675e-05
kuschelte,2.2963167080003675e-05
wisperte,0.00011481583540001837
ohr,6.888950124001103e-05
wiesel,2.2963167080003675e-05
wohnzimmer,9.18526683200147e-05
gehört,0.0002525948378800404
erstaunlich,0.00013777900248002206
geredet,2.2963167080003675e-05
glaubte,0.00011481583540001837
gerne,0.00022963167080003674
gut,0.000780747680720125
tat,0.00020666850372003307
reflektieren,2.2963167080003675e-05
wochen,0.00013777900248002206
geschehen,9.18526683200147e-05
verlust,2.2963167080003675e-05
lang,0.0001837053366400294
her,0.0002525948378800404
kannte,0.00016074216956002573
hoffte,6.888950124001103e-05
mutter,0.0005740791770000919
ähnliches,2.2963167080003675e-05
zeitungssystem,2.2963167080003675e-05
gelebt,2.2963167080003675e-05
wurde,0.0013777900248002205
enttäuscht,4.592633416000735e-05
ungewohnt,2.2963167080003675e-05
solch,2.2963167080003675e-05
permanenten,2.2963167080003675e-05
sexuellen,2.2963167080003675e-05
anspannung,2.2963167080003675e-05
gegenübersah,2.2963167080003675e-05
bisher,0.00016074216956002573
gehalten,4.592633416000735e-05
männern,4.592633416000735e-05
bett,0.0002525948378800404
sex,4.592633416000735e-05
victor,6.888950124001103e-05
gelassen,0.00011481583540001837
spannung,2.2963167080003675e-05
nachgegeben,2.2963167080003675e-05
aufgekommen,2.2963167080003675e-05
hose,2.2963167080003675e-05
eng,6.888950124001103e-05
damals,0.00032148433912005146
klang,0.00016074216956002573
atemlos,4.592633416000735e-05
genüsslich,2.2963167080003675e-05
leise,0.00034444750620005513
lachte,0.00011481583540001837
mund,0.00011481583540001837
unten,9.18526683200147e-05
bewegte,6.888950124001103e-05
erregten,2.2963167080003675e-05
knospen,2.2963167080003675e-05
biss,6.888950124001103e-05
meinte,0.00048222650868007716
kreacher,0.00013777900248002206
getan,0.00011481583540001837
hauselfen,6.888950124001103e-05
hinterlistig,2.2963167080003675e-05
ans,2.2963167080003675e-05
cottage,2.2963167080003675e-05
zurückdachte,2.2963167080003675e-05
beim,0.0003674106732800588
beobachtet,6.888950124001103e-05
seit,0.0006429686782401029
stolz,0.00011481583540001837
behaupten,2.2963167080003675e-05
mehr,0.0013089005235602095
bettgespielinnen,2.2963167080003675e-05
partner,4.592633416000735e-05
allzu,4.592633416000735e-05
wechselhafte,2.2963167080003675e-05
vergangenheit,2.2963167080003675e-05
zurückblicken,2.2963167080003675e-05
zogen,2.2963167080003675e-05
sowie,0.0004363001745200698
inneren,2.2963167080003675e-05
augen,0.0009414898502801506
vorbei,0.00013777900248002206
besten,6.888950124001103e-05
freund,0.00034444750620005513
nämlich,9.18526683200147e-05
wählte,2.2963167080003675e-05
erwählt,2.2963167080003675e-05
pate,0.00048222650868007716
twins,9.18526683200147e-05
erziehung,2.2963167080003675e-05
kindes,4.592633416000735e-05
übernehmen,2.2963167080003675e-05
ständig,6.888950124001103e-05
leben,0.0003903738403600625
onkels,2.2963167080003675e-05
erstaunte,2.2963167080003675e-05
astoria,0.0001837053366400294
schied,2.2963167080003675e-05
einflusslose,2.2963167080003675e-05
schwester,0.0002525948378800404
wirkte,0.00013777900248002206
geschaffene,2.2963167080003675e-05
vielleicht,0.00041333700744006614
bestimmt,0.0001837053366400294
erkannt,6.888950124001103e-05
familie,0.0011940846881601911
geschützt,2.2963167080003675e-05
durchaus,4.592633416000735e-05
ernst,0.0002985211720400478
nahmen,4.592633416000735e-05
somit,0.00013777900248002206
geartete,2.2963167080003675e-05
verantwortung,2.2963167080003675e-05
übernahm,2.2963167080003675e-05
nehmen,0.0002525948378800404
giftigkeit,2.2963167080003675e-05
überspielen,2.2963167080003675e-05
dachte,0.00048222650868007716
mochte,0.00011481583540001837
namen,0.00013777900248002206
affäre,2.2963167080003675e-05
sage,4.592633416000735e-05
jemand,0.00022963167080003674
eifersüchtig,6.888950124001103e-05
gab,0.0003674106732800588
eiskalt,2.2963167080003675e-05
eisig,4.592633416000735e-05
