term,relative_frequency
tot,0.00015509778210171595
gefühl,6.34490926779747e-05
letzte,0.00018329737884748248
teil,0.00011279838698306614
familie,0.00033839516094919843
pate,0.00011984828616950778
genau,0.0004582434471187062
gute,0.00013394808454239104
freundin,0.0004723432454915895
kannte,0.00017624747966104085
genauso,0.00023969657233901555
lange,0.00033839516094919843
bot,4.934929430509144e-05
sofort,0.00043004385037293967
lakonisch,7.049899186441634e-06
na,0.0002749460682712237
lieber,0.00016214768128815758
eltern,0.0005428422373560058
druella,7.049899186441634e-06
black,0.0005569420357288891
sowie,0.00023264667315257392
charlus,2.1149697559324902e-05
somit,7.049899186441634e-05
ebenso,0.00013394808454239104
reinblütig,2.8199596745766536e-05
rein,7.754889105085797e-05
wünschen,4.934929430509144e-05
konnte,0.0014804788291527431
schon,0.001959871973830774
geburt,5.639919349153307e-05
muggelstämmige,2.1149697559324902e-05
nämlich,0.00011279838698306614
geheiratet,2.8199596745766536e-05
schienen,9.869858861018288e-05
wert,2.1149697559324902e-05
tradition,7.049899186441634e-06
unruhgien,7.049899186441634e-06
zeiten,4.2299395118649804e-05
gelegte,7.049899186441634e-06
hätte,0.0009023870958645291
paten,0.00011279838698306614
bekommen,0.00023264667315257392
natürlich,0.0004793931446780311
kam,0.0008036885072543463
hinzu,7.049899186441634e-05
bekennender,7.049899186441634e-06
weißmagier,7.049899186441634e-06
nie,0.0006203911284068638
solch,7.049899186441634e-06
enges,7.049899186441634e-06
band,5.639919349153307e-05
zulassen,1.4099798372883268e-05
schwarzmagischen,2.1149697559324902e-05
taufe,7.049899186441634e-06
entstehen,1.4099798372883268e-05
wissen,0.0002960957658305486
heute,0.00038069455606784823
gesagt,0.0004159440520000564
hätten,0.00017624747966104085
leben,0.0002749460682712237
sicher,0.00034544506013564006
gräbern,7.049899186441634e-06
umdrehen,2.1149697559324902e-05
davon,0.0004159440520000564
wüssten,1.4099798372883268e-05
sah,0.0021572691510511398
frau,0.00020444707640680738
erster,4.2299395118649804e-05
warf,0.0004582434471187062
zerborstenen,7.049899186441634e-06
türrahmen,1.4099798372883268e-05
zurück,0.0007613891121356965
argh,7.049899186441634e-06
schrie,0.00017624747966104085
schmerzen,2.8199596745766536e-05
blickte,0.000289045866644107
sekunde,0.00010574848779662451
aufgerissene,7.049899186441634e-06
augen,0.0012760317527459356
gewaltige,2.1149697559324902e-05
loch,1.4099798372883268e-05
dachstuhl,7.049899186441634e-06
wen,7.049899186441634e-05
packte,0.00013394808454239104
handgelenk,3.524949593220817e-05
ecke,0.00015509778210171595
ziehen,5.639919349153307e-05
bevor,0.000712039817830605
kleinen,0.0003101955642034319
sehen,0.0005569420357288891
blutjunge,7.049899186441634e-06
dad,0.00011279838698306614
längst,2.1149697559324902e-05
entdeckt,1.4099798372883268e-05
schnappte,3.524949593220817e-05
luft,0.0002678961690847821
riss,0.00011279838698306614
los,0.00038774445525428987
schlitterte,7.049899186441634e-06
raum,0.0003736446568814066
vorbei,0.00019034727803392412
begriff,5.639919349153307e-05
erst,0.0004934929430509144
ersticktes,7.049899186441634e-06
weinen,4.2299395118649804e-05
ertönte,3.524949593220817e-05
laufstall,1.4099798372883268e-05
zwei,0.00048644304386447274
ärmchen,7.049899186441634e-06
entgegengestreckt,7.049899186441634e-06
wurden,0.00032429536257631516
tbc,2.1149697559324902e-05
vater,0.00028199596745766536
beiden,0.0010292852812204786
auroren,4.934929430509144e-05
erstaunlich,1.4099798372883268e-05
bald,0.0001268981853559494
auftauchten,1.4099798372883268e-05
medimagierteam,7.049899186441634e-06
ließen,0.00011279838698306614
realisieren,7.049899186441634e-06
zeit,0.0008177883056272295
weiterlief,7.049899186441634e-06
hoffe,0.00011279838698306614
bloß,7.754889105085797e-05
hören,0.00019739717722036575
hölle,3.524949593220817e-05
schatz,2.1149697559324902e-05
blieb,0.00023264667315257392
frühen,7.049899186441634e-06
abend,0.0003736446568814066
ersparte,7.049899186441634e-06
weitere,8.459879023729961e-05
ausflüchte,7.049899186441634e-06
verräter,3.524949593220817e-05
dankesbrief,7.049899186441634e-06
kinderbesen,1.4099798372883268e-05
erstem,7.049899186441634e-06
geburtstag,0.0001268981853559494
bedankte,1.4099798372883268e-05
nahm,0.000500542842237356
brief,0.00019034727803392412
öffnete,0.00021149697559324902
ihnliebe,7.049899186441634e-06
jameswie,7.049899186441634e-06
konntet,7.049899186441634e-06
nurpeter,7.049899186441634e-06
geheimniswahrer,0.0001268981853559494
nehmen,0.00014099798372883268
dachte,0.00038774445525428987
sei,0.00018329737884748248
schlimmes,1.4099798372883268e-05
passiert,0.00021149697559324902
dunklen,9.869858861018288e-05
lord,0.0001268981853559494
verraten,0.00034544506013564006
ja,0.0014099798372883268
schwester,0.0002467464715254572
damals,0.00019739717722036575
zwillinge,8.459879023729961e-05
bekam,0.00021854687477969065
lilian,7.049899186441634e-06
niemand,0.00014099798372883268
außer,0.00023264667315257392
